ï»¿ID,No,nom,localisation,nb_place_24_hrs,handicape,vignette,reglement,borne_electrique,nb_place_2_hrs
4,S-80,Parc Ãtienne-Bellemare,"Face au 1021, chemin de Saint-Jean-des-Piles",8,0,NON,Stationnement 24h,NON,0
24,S-151,Parc Jacob,Avenue d'Almaville,12,0,NON,Stationnement 24h,NON,0
23,S-152,Station de pompage,"105, rue RÃ©gis",48,1,NON,NUIT : stationnement interdit en pÃ©riode hivernale (15 nov. au 30 avril) - voir signalisation sur place,NON,0
16,S-157,108e avenue - Parc Boisvert,,8,2,NON,Stationnement 24h,NON,0
21,S-153,109e Rue,"Face au 540, 109e Rue",0,1,NON,NUIT : stationnement autorisÃ© / JOUR : voir signalisation sur place ,NON,12
27,S-160,Parc de l'Ã®le-Melville,Chemin des Chutes,25,0,NON,Stationnement 24h,NON,0
28,S-161,Parc de l'Ã®le-Melville,Chemin des Chutes,45,0,NON,Stationnement 24h,NON,0
3,S-81,Parc Ãtienne-Bellemare,"Face au 1171, chemin Saint-Jean-des-Piles - PrÃ¨s de la rue de la Traverse",10,0,NON,Stationnement 24h,NON,0
486,S-114,Marina en bas,,58,2,,Stationnement 24h,2,0
1,S-83,Rue Morin,Parc des Piles - au bout de la rue MÃ©thot,3,1,NON,Stationnement 24h,NON,0
29,S-162,Parc de l'Ã®le-Melville,Chemin des Chutes,80,0,NON,Stationnement 24h,NON,0
13,S-140,Parc de la Plage-IdÃ©ale,"5790,  avenue Tour-du-Lac",45,0,NON,Stationnement 24h,NON,0
26,S-159,Parc de l'Ã®le-Melville,Chemin des Chutes,95,0,NON,Stationnement 24h,NON,0
20,S-154,114e Rue,"Face au 430, 114e Rue",28,1,NON,Stationnement 24h,NON,0
25,S-150,"825, avenue d'Almaville",entre le barrage et le boulevard du Capitaine-Veilleux,24,1,NON,Stationnement 24h,1,0
31,S-15,"HÃ´tel Ãnergie Shawinigan, cÃ´tÃ© droit du bÃ¢timent section avec barriÃ¨re","dos au 902, promenade du Saint-Maurice",45,0,NON,Stationnement 24h,NON,0
33,S-10,Avenue de la Station - voisin du 695,Ãdifice Rum&Code,52,2,NON,NUIT : stationnement autorisÃ© / JOUR : voir signalisation sur place ,NON,5
35,S-16,Parc St-Maurice - accÃ¨s par avenue Broadway,Coin avenue Broadway et promenade du St-Maurice,19,1,NON,Stationnement 24h,NON,0
46,S-23,"Avenue St-Marc, face au 1652","entre le #1623 et #1669, avenue Saint-Marc",11,1,NON,Stationnement 24h,NON,0
45,S-24,"Avenue Saint-Marc, face Ã  la rue Vincent",Avenue Saint-Marc entre 1693 et 1733,16,0,NON,Stationnement 24h,NON,0
44,S-25,Face au marchÃ© public,"Coin rue Saint-Paul, avenue Saint-Marc et avenue Champlain",82,4,NON,NUIT : stationnement autorisÃ© / JOUR : voir signalisation sur place ,NON,14
47,S-26,Rue Saint-Paul et avenue Laurier,Parc des Trois-L,15,0,NON,Stationnement 24h,NON,0
37,S-6,4e Rue de la Pointe - voisin du 443,Coin Avenue Mercier et 4e Rue de la Pointe,0,2,2,NUIT : stationnement autorisÃ© / JOUR : voir signalisation sur place ,NON,25
48,S-27,"2272, avenue Laval",Patinoire  - Parc des Trois-L,22,0,NON,Stationnement 24h,NON,0
39,S-7,Stationnement Brunet,"Avenue Brunet derriÃ¨re 550, avenue Broadway (Meubles Jacob)",37,0,NON,Stationnement 24h,NON,0
53,S-32,"Avenue St-Marc, face 2650 et face 802, rue Notre-Dame",Dairy Queen,17,0,NON,Stationnement 24h,NON,0
41,S-1,"362, 8e Rue de la Pointe, dans le cul-de-sac","Fin de la 8e rue de la Pointe, rond-point",5,0,NON,Stationnement 24h,NON,0
32,S-14,"HÃ´tel Ãnergie Shawinigan, cÃ´tÃ© droit du bÃ¢timent (stationnement des canotiers)","dos au 902, promenade du Saint-Maurice",33,0,NON,Stationnement 24h,NON,0
49,S-28,"2432, avenue Laval en arriÃ¨re, Parc des Trois-L",Dans la ruelle derriÃ¨re logement,12,0,NON,Stationnement 24h,NON,0
34,S-3,4e rue de la Pointe derriÃ¨re le bureau de poste,"395, avenue de la Station - coin 4e rue de la Pointe",62,0,NON,Stationnement 24h,NON,0
51,S-31,"Avenue Saint-Jean, en arriÃ¨re","Dans la ruelle derriÃ¨re le logement 2763, avenue Saint-Jean",7,0,NON,Stationnement 24h,NON,0
54,S-33,Coin avenue Champlain et rue Notre-Dame,"Voisin du 932, rue Notre-Dame",8,0,NON,Stationnement 24h,NON,0
43,S-4,Avenue LÃ©vis - voisin du 1045,"Ã cÃ´tÃ© du 1045, avenue LÃ©vis",13,1,NON,Stationnement 24h,NON,0
38,S-5,4e rue de la Pointe - voisin du 462,Coin avenue Mercier et 4e Rue de la Pointe,0,1,NON,NUIT : stationnement autorisÃ© / JOUR : voir signalisation sur place ,2,14
76,S-106,7e Avenue - voisin du 371,,30,0,NON,Stationnement 24h,NON,0
78,S-103,Parc de la RiviÃ¨re Grand-MÃ¨re,Sur la 7e Rue en face de la 11e Avenue,15,1,NON,Stationnement 24h,NON,0
75,S-104,6e Rue coin 7e Avenue,,34,2,NON,Stationnement 24h,NON,0
79,S-107,7e Avenue - voisin du 311,,4,0,NON,Stationnement 24h,NON,0
73,S-109,Avenue Chahoon - coin 3e Rue,,37,0,NON,Stationnement 24h,NON,0
77,S-105,7e Avenue - voisin du 362 ,,31,1,NON,Stationnement 24h,NON,0
81,S-111,Avenue de Grand-MÃ¨re - voisin du 8,Face au condos,20,0,NON,Stationnement 24h,NON,0
