ID,Lieu,Type,Arrondissement,Zone active,Latitude,Longitude,X,Y
Antenne,311 Place d'Youville,Intersection,Ville-Marie,X,45.501337,-73.555539,300459.716120306,5040158.7399636
Antenne,Saint Pierre / Des Recollets,Intersection,Ville-Marie,X,45.502034,-73.557959,300270.652886056,5040236.33150397
Antenne,Saint Paul / Francois Xavier,Intersection,Ville-Marie,X,45.502735,-73.555258,300481.782693598,5040314.08522114
Antenne,Saint Jean / De L'Hopital,Intersection,Ville-Marie,X,45.502759,-73.557628,300296.577488403,5040316.88249191
Antenne,Saint Sacrement / Saint Eloi,Intersection,Ville-Marie,X,45.502807,-73.5564,300392.545050234,5040322.14864247
Antenne,Saint Jean / Notre Dame,Intersection,Ville-Marie,X,45.503005,-73.558089,300260.571753865,5040344.24654124
Antenne,Saint Paul / Chagouamigon,Intersection,Ville-Marie,X,45.503014,-73.555123,300492.353743225,5040345.08337934
Antenne,Saint Paul / Dizier,Intersection,Ville-Marie,X,45.505152,-73.553969,300582.69395445,5040582.61917979
2,Rue Peel / Av. du Docteur Penfield,Intersection,Ville-Marie,X,45.503456,-73.579494,298587.904304034,5040395.79891028
22,Peel / Ottawa,Intersection,Le Sud-Ouest,X,45.493918,-73.559334,300162.533998369,5039334.47567578
138,Notre-Dame / Gosford,Intersection,Ville-Marie,X,45.509191,-73.553383,300628.784143252,5041031.44496755
221,Atwater / Saint-Jacques,Intersection,Le Sud-Ouest,X,45.483811,-73.579752,298565.575576848,5038212.66398507
222,Atwater / Duvernay,Intersection,Le Sud-Ouest,,45.480632,-73.577454,298744.875774636,5037859.20571401
228,St-Jacques/Couvent,Intersection,Le Sud-Ouest,X,45.478336,-73.585198,298139.202286269,5037604.66386301
232,Georges-Vanier / Saint-Jacques,Intersection,Le Sud-Ouest,X,45.48687,-73.574181,299001.389197559,5038552.1939572
233,Rue Greene / Rue Saint-Jacques,Intersection,Le Sud-Ouest,X,45.482695,-73.581245,298448.7384287,5038088.75971059
235,Guy / Notre-Dame,Intersection,Ville-Marie,,45.490106,-73.567198,299547.539966138,5038911.33108091
236,Ottawa / William,Intersection,Le Sud-Ouest,X,45.489222,-73.565178,299705.351417198,5038812.96188453
237,Guy / Saint-Antoine,Intersection,Le Sud-Ouest,X,45.492541,-73.572511,299132.499213403,5039182.29433886
240,de la Montagne / Notre-Dame O,Intersection,Le Sud-Ouest,X,45.492812,-73.564764,299738.033389692,5039211.89334244
243,Notre-Dame O / Rose-de-Lima,Intersection,Le Sud-Ouest,X,45.479959,-73.580369,298516.914912839,5037784.63897805
244,Notre-Dame O / Saint-Henri,Intersection,Le Sud-Ouest,X,45.477399,-73.585032,298152.070019983,5037500.52130698
247,Seigneurs / Notre-Dame O,Intersection,Le Sud-Ouest,,45.487804,-73.569067,299401.231664434,5038655.63320441
257,Seigneurs / Saint-Jacques,Intersection,Le Sud-Ouest,X,45.489017,-73.572005,299171.697479822,5038790.63575681
258,Vinet / Saint-Jacques,Intersection,Le Sud-Ouest,X,45.485409,-73.576734,298801.670194083,5038390.02020608
259,Seigneurs / William,Intersection,Le Sud-Ouest,X,45.486944,-73.567521,299521.99771324,5038559.95852627
279,Rue Peel / Av. des Pins,Intersection,Ville-Marie,X,45.504626,-73.581981,298393.689234941,5040526.0169531
290,Place Phillips / Rue Sainte-Catherine,Intersection,Ville-Marie,X,45.504206,-73.568695,299431.868467395,5040478.36836294
296,Rue Jeanne-Mance / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.508287,-73.568395,299455.697976559,5040931.87215404
297,Rue Sainte-Catherine / Rue De Bleury,Intersection,Ville-Marie,X,45.50609,-73.567232,299546.369011874,5040687.64155715
298,Rue De Bleury / Rue Sherbrooke O,Intersection,Ville-Marie,,45.50839,-73.571131,299241.920406649,5040943.50429574
303,Rue Guy / Rue Sherbrooke O,Intersection,Ville-Marie,X,45.496618,-73.581893,298399.658640791,5039636.07733535
304,Rue Crescent / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.498064,-73.577659,298730.721937814,5039796.44326144
305,Rue Crescent / Rue Sainte-Catherine,Intersection,Ville-Marie,X,45.497069,-73.575613,298890.518745654,5039685.71598604
307,Rue Drummond / Rue Sainte-Catherine,Intersection,Ville-Marie,X,45.49867,-73.574132,299006.429451308,5039863.52786598
308,Rue Drummond / Rue Sherbrooke O,Intersection,Ville-Marie,X,45.50045,-73.577794,298720.428074388,5040061.61064814
315,Rue City Councillors / Av. du President-Kennedy,Intersection,Ville-Marie,X,45.50615,-73.570935,299257.015735267,5040694.55826262
316,Rue Guy / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.495866,-73.579387,298595.432300288,5039552.31070551
323,Rue De Bleury / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.507087,-73.568846,299420.343079591,5040798.54556161
