No.,Circonscription,Date,Jour,Mois,Annee,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Parti_liberal,Parti_conservateur,Credit_social,Bloc_populaire,Bloc_quebecois,Nouveau_parti_democratique,Parti_vert,Liberal_independant_01,Liberal_independant_02,Liberal_independant_03,Liberal_independant_04,Conservateur_independant,Autres_01,Autres_02,Autres_03,Autres_04,Autres_05,Autres_06,
240,Jacques-Cartier,18 décembre 1939,18,décembre,1939,26242,8904,99,6829,,,,,,,1418,,,,,558,,,,,,
241,Saint-Jacques,18 décembre 1939,18,décembre,1939,60661,23915,561,16986,,,,,,,,,,,,6368,,,,,,
242,Québec-Est,9 février 1942,9,février,1942,39419,29840,364,16708,,,,,,,,,,,,12768,,,,,,
243,Sainte-Marie,9 février 1942,9,février,1942,49861,17143,361,7607,,,,,,,3635,738,,,,4802,,,,,,
244,Charlevoix-Saguenay,30 novembre 1942,30,novembre,1942,30342,19568,113,,,,,,,,6706,2578,209,,,9773,189,,,,,
245,Outremont,30 novembre 1942,30,novembre,1942,35832,20143,817,12378,,,,,,,,,,,,6948,,,,,,
246,Stanstead,9 août 1943,9,août,1943,15592,12361,94,5349,,,6661,,257,,,,,,,,,,,,,
247,Cartier,9 août 1943,9,août,1943,39190,19441,411,4180,,,5639,,3313,,,,,,,5789,109,,,,,
248,Pontiac,16 septembre 1946,16,septembre,1946,49435,32124,299,10379,7487,11412,,,,,,,,,,1975,572,,,,,
249,Richelieu-Verchères,23 décembre 1946,23,décembre,1946,25718,20143,120,11984,1875,6164,,,,,,,,,,,,,,,,
250,Cartier,31 mars 1947,31,mars,1947,37779,25187,483,9649,,,,,,,,,,,,6929,6616,1323,142,45,,
251,Laval-Deux-Montagnes,20 décembre 1948,20,décembre,1948,22060,9679,112,6280,3287,,,,,,,,,,,,,,,,,
252,Nicolet-Yamaska,7 février 1949,7,février,1949,21755,17069,123,8095,8382,,,,,,,,,,,469,,,,,,
253,Gatineau,24 octobre 1949,24,octobre,1949,19919,9340,57,5438,2705,,,,,,,,,,,1140,,,,,,
254,Kamouraska,24 octobre 1949,24,octobre,1949,17845,11365,102,5230,,,,,,,6033,,,,,,,,,,,
255,Jacques-Cartier,24 octobre 1949,24,octobre,1949,35710,16366,136,6903,,,,,,,,,,,,9327,,,,,,
256,Laurier,24 octobre 1949,24,octobre,1949,35933,11113,236,10164,713,,,,,,,,,,,,,,,,,
257,Mercier,24 octobre 1949,24,octobre,1949,41584,12658,116,9389,,,,,,,2028,,,,,1125,,,,,,
258,Cartier,19 juin 1950,19,juin,1950,34549,18220,300,9701,2833,,,,1473,,,,,,,3913,,,,,,
259,Joliette-L'Assomption-Montcalm,2 octobre 1950,2,octobre,1950,,,,Élu sans opposiotion,,,,,,,,,,,,,,,,,,
260,Rimouski,16 octobre 1950,16,octobre,1950,29844,20685,154,9431,,,,,,,9976,,,,,1124,,,,,,
261,Sainte-Marie,16 octobre 1950,16,octobre,1950,34167,15694,206,5251,,,,,383,,9579,80,,,,195,,,,,,
262,Brôme-Missisquoi,26 mai 1952,26,mai,1952,21809,15185,138,8394,6013,,,,640,,,,,,,,,,,,,
263,Roberval,26 mai 1952,26,mai,1952,20400,16421,161,5854,6703,,,,,,3703,,,,,,,,,,,
264,Richelieu-Verchères,6 octobre 1952,6,octobre,1952,26983,17952,293,13285,4374,,,,,,,,,,,,,,,,,
265,Outremont-Saint-Jean,6 octobre 1952,6,octobre,1952,32914,11390,155,442,3203,,,,1135,,6294,,,,,161,,,,,,
266,Gatineau,22 mars 1954,22,mars,1954,23328,10756,104,6568,2614,,,,674,,,,,,,796,,,,,,
267,Verdun,22 mars 1954,22,mars,1954,48790,25435,337,8221,5755,,,,2745,,4671,1322,,,,2180,204,,,,,
268,Saint-Antoine-Westmount,8 novembre 1954,8,novembre,1954,41467,23786,308,13960,9161,,,,,,,,,,,224,133,,,,,
269,Saint-Laurent-Saint-Georges,8 novembre 1954,8,novembre,1954,32473,11893,164,6548,4489,,,,415,,,,,,,277,,,,,,
270,Bellechasse,26 septembre 1955,26,septembre,1955,16208,11390,62,5945,5383,,,,,,,,,,,,,,,,,
271,Québec-Sud,26 septembre 1955,26,septembre,1955,35824,25024,235,13881,10677,,,,,,,,,,,231,,,,,,
272,Témiscouata,26 septembre 1955,26,septembre,1955,27177,20235,170,12010,8055,,,,,,,,,,,,,,,,,
273,Saint-Jean-Iberville-Napierville,19 décembre 1955,19,décembre,1955,28997,21957,263,9920,2997,,,,,,8285,411,58,,,23,,,,,,
274,Montmagny-L'Islet,29 septembre 1954,29,septembre,1958,20199,14456,144,6516,7796,,,,,,,,,,,,,,,,,
275,Labelle,31 octobre 1960,31,octobre,1960,21694,16943,168,9540,7235,,,,,,,,,,,,,,,,,
276,Laurier,10 février 1964,10,février,1964,25989,10518,167,5349,1866,2232,,,688,,,,,,,216,,,,,,
277,Saint-Denis,10 février 1964,10,février,1964,35500,15656,199,7781,4768,2052,,,605,,,,,,,183,68,,,,,
278,Nicolet-Yamaska,19 septembre 1966,19,septembre,1966,24071,16639,100,7936,6842,,,,588,,,,,,,1129,44,,,,,
279,Hull,29 mai 1967,29,mai,1967,45158,22941,252,11854,939,8715,,,907,,274,,,,,,,,,,,
280,Richelieu-Verchères,29 mai 1967,29,mai,1967,40940,16267,319,10577,3104,1089,,,1178,,,,,,,,,,,,,
281,Outremont-Saint-Jean,29 mai 1967,29,mai,1967,30897,11743,289,6262,,,,,4860,,,,,,,214,118,,,,,
282,Papineau,29 mai 1967,29,mai,1967,46354,10905,215,6197,1958,702,,,1568,,,,,,,265,,,,,,
283,Frontenac,16 novembre 1970,16,novembre,1970,39958,23831,552,13404,2154,7721,,,,,,,,,,,,,,,,
284,Labelle,16 novembre 1970,16,novembre,1970,48072,21542,651,12604,4870,3417,,,,,,,,,,,,,,,,
285,Chambly,31 mai 1971,31,mai,1971,64457,25967,1568,16243,1573,,,,5138,,,,,,,1049,396,,,,,
286,Trois-Rivières,31 mai 1971,31,mai,1971,60029,28297,1453,12809,1827,11616,,,,,,,,,,422,170,,,,,
287,Hochelaga,14 octobre 1975,14,octobre,1975,37303,17414,459,5649,8236,1729,,,675,,,,,,,396,169,101,,,,
288,Langelier,24 mai 1977,24,mai,1977,34794,18771,480,12171,3952,618,,,1104,,,,,,,213,166,67,,,,
289,Louis-Hébert,24 mai 1977,24,mai,1977,77103,44895,2317,30763,9142,1652,,,,,,,,,,1021,,,,,,
290,Témiscamingue,24 mai 1977,24,mai,1977,33477,21760,727,7422,3136,9603,,,377,,,,,,,495,,,,,,
291,Terrebonne,24 mai 1977,24,mai,1977,102777,47014,1613,25006,15539,1949,,,1299,,,,,,,1151,290,167,,,,
292,Verdun,24 mai 1977,24,mai,1977,45043,26035,325,15208,2003,173,,,8151,,,,,,,97,78,,,,,
293,Lotbinière,16 octobre 1978,16,octobre,1978,50274,36572,381,11955,6916,16358,,,962,,,,,,,,,,,,,
294,Saint-Hyacinthe,16 octobre 1978,16,octobre,1978,63968,41293,1071,21515,16559,889,,,1259,,,,,,,,,,,,,
295,Westmount,16 octobre 1978,16,octobre,1978,47773,28988,261,17214,9391,,,,1817,,,,,,,305,,,,,,
296,Lévis,4 mai 1981,4,mai,1981,76081,34129,272,15591,10052,367,,,5235,,,,,,,1900,540,172,,,,
297,Joliette,17 août 1981,17,août,1981,64458,37799,393,11450,24434,92,,,281,,,,,,,667,349,91,42,,,
298,Saint-Maurice,29 septembre 1986,29,septembre,1986,51936,33660,370,19608,6666,,,,6484,,,,,,,428,104,,,,,
299,Lac-Saint-Jean,20 juin 1988,20,juin,1988,51978,30906,193,10746,16951,,,,2903,,,,,,,113,,,,,,
300,Chambly,17 février 1990,12,février,1990,67292,40641,722,7000,3819,96,,,26998,1846,,,,,,160,,,,,,
301,Laurier-Sainte-Marie,1 août 1990,1,août,1990,52753,25522,391,4812,1120,,,16818,1821,395,,,,,,123,42,,,,,
302,Brome-Missisquoi,13 février 1995,13,février,1995,58579,37679,288,19078,1235,,,15764,371,,,,,,,517,126,107,101,77,15,
303,Saint-Henri-Westmount,13 février 1995,13,février,1995,53121,16797,100,12675,545,,,2357,296,,,,,,,468,213,64,47,32,,
304,Lac-Saint-Jean,25 mars 1996,25,mars,1996,49726,27283,144,5846,205,,,20777,136,,,,,,,175,,,,,,
305,Papineau-Saint-Michel,25 mars 1996,25,mars,1996,50063,26190,294,15330,608,,,8787,899,,,,,,,272,,,,,,
306,Saint-Laurent-Cartierville,25 mars 1996,25,mars,1996,59695,27122,205,21336,699,,,4000,212,,,,,,,441,229,,,,,
307,Sherbrooke,14 septembre 1998,14,septembre,1998,76101,37028,582,15923,2303,,,16143,720,,,,,,,934,254,97,72,,,
308,Hull-Aylmer,15 novembre 1999,15,novembre,1999,69892,17787,144,9532,1448,,,4495,1356,,,,,,,307,176,175,103,51,,
309,Mont-Royal,15 novembre 1999,15,novembre,1999,62841,17310,110,15820,648,,,385,347,,,,,,,,,,,,,
310,Saint-Léonard-Saint-Michel,13 mai 2002,13,mai,2002,74465,17062,213,14076,634,,,1495,447,,,,,,,197,,,,,,
311,Verdun-Saint-Henri-Saint-Paul-Pointe-Saint-Charles,13 mai 2002,13,mai,2002,68115,17333,280,10897,735,,,4432,635,,,,,,,241,113,,,,,
312,Berthier-Montcalm,9 décembre 2002,9,décembre,2002,98406,28159,716,11646,598,,,13747,977,,,,,,,475,,,,,,
313,Lac-Saint-Jean-Saguenay,9 décembre 2002,9,décembre,2002,52963,18831,335,7594,434,,,8912,267,,,,,,,532,467,290,,,,
314,Lévis-et-Chutes-de-la-Chaudière,16 juin 2003,16,juin,2003,100947,23745,172,13115,537,,,8274,987,254,,,,,,220,186,,,,,
315,Témiscamingue,16 juin 2003,16,juin,2003,61495,18008,124,10195,733,,,6287,587,,,,,,,82,,,,,,
316,Repentigny,27 novembre 2006,27,novembre,2006,85366,31636,493,1940,5822,,,20635,2187,,,,,,,390,91,78,,,,
317,Outremont,17 septembre 2007,17,septembre,2007,64438,24118,175,6933,2052,,,2618,11374,529,,,,,,145,78,61,46,45,32,30
318,Roberval-Lac-Saint-Jean,17 septembre 2007,17,septembre,2007,63050,29527,265,2795,17463,,,7830,675,499,,,,,,,,,,,,
319,Saint-Hyacinthe-Bagot,17 septembre 2007,17,septembre,2007,76005,32470,534,2376,11965,,,13443,2538,1169,,,,,,384,61,,,,,
320,Hochelaga,9 novembre 2009,9,novembre,2009,78801,17833,264,2519,1768,,,8989,3444,572,,,,,,129,79,69,,,,
321,Montmagny-L'Islet-Kamouraska-Rivière-du-Loup,9 novembre 2009,9,novembre,2009,77877,28766,264,3768,12162,,,10737,1363,472,,,,,,,,,,,,
322,Bourassa,25 novembre 2013,25,novembre,2013,,,,8767,852,,,2387,5716,368,,,,,,140,,,,,,
