Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_independants,Autres_ouvrier,Autres_nationaliste,Autres_ministeriel
Argenteuil,16766,8559,17165,9321,4312,3143,21,3122,1169,1502,1620,,,,,,
Arthabaska,24441,23919,24848,24372,5870,4387,17,4370,1483,2370,2000,,,,,,
Bagot,18206,18078,18035,17876,4473,3720,32,3688,753,1942,1746,,,,,,
Beauce,39508,38835,40308,39828,8600,4387,41,4346,4213,3255,384,,,707,,,
Beauharnois,20802,18049,19888,18283,5119,4115,30,4085,1004,2073,2012,,,,,,
Bellechasse,21141,21114,21813,21781,4648,3702,39,3663,946,2220,1443,,,,,,
Berthier,19872,19620,20509,20213,5047,3921,32,3889,1126,1944,1945,,,,,,
Bonaventure,28110,20035,29092,21256,5575,4129,27,4102,1446,2619,1483,,,,,,
Brome,13216,4977,13381,6083,4016,3182,45,3137,834,1785,1352,,,,,,
Chambly,16711,12417,21924,14420,4689,3132,35,3097,1557,1783,1314,,,,,,
Champlain,42758,38944,54191,51664,10245,7552,73,7479,2693,3695,3784,,,,,,
Charlevoix-Saguenay,32865,30336,38200,32206,6425,4353,167,4186,2072,2065,2121,,,,,,
Châteauguay,13322,9607,13557,10151,3551,2529,26,2503,1022,1336,1167,,,,,,
Chicoutimi,21304,21046,37578,36422,5558,3369,22,3347,2189,1914,1433,,,,,,
Compton,21483,15059,23023,14790,6118,4079,65,4014,2039,2094,1920,,,,,,
Deux-Montagnes,13868,12902,14309,13421,3503,2754,31,2723,749,1231,1492,,,,,,
Dorchester,25096,23627,26788,25524,5796,4656,50,4606,1140,2316,2290,,,,,,
Dorion,53809,43635,53809,43635,11205,3776,17,3759,7429,1620,1082,136,,,921,,
Drummond,17149,15246,19975,18611,4415,3266,10,3256,1149,1734,1522,,,,,,
Frontenac,20038,15400,24090,22845,5338,3681,48,3633,1657,1980,1653,,,,,,
Gaspé,28338,21158,33248,24766,5075,,,,,Élu sans opposition,,,,,,,
Hochelaga,60479,41709,60479,41709,12376,5294,79,5215,7082,3163,2052,,,,,,
Hull,48332,34373,55026,41535,11379,5709,49,5660,5670,3535,2125,,,,,,
Huntingdon,13240,5372,13174,5901,3331,1942,14,1928,1389,1154,774,,,,,,
Iberville,9493,8959,9299,8938,2429,1288,12,1276,1141,926,350,,,,,,
Îles-de-la-Madeleine,6663,5969,7127,6380,1482,1281,6,1275,201,733,542,,,,,,
Jacques-Cartier,51839,34433,62252,33125,14414,5298,235,5063,9116,2276,2787,,,,,,
Joliette,23911,23227,25913,25169,5847,4815,40,4775,1032,2367,2408,,,,,,
Kamouraska,20888,20806,22014,21879,4689,3489,47,3442,1200,1775,1667,,,,,,
Labelle,40351,34016,46292,40712,9735,5340,70,5270,4395,3033,2237,,,,,,
Lac-Saint-Jean,29809,29047,35539,35303,6764,4414,24,4390,2350,2616,1774,,,,,,
Laprairie,11623,9077,12071,9231,2391,2131,18,2113,260,1014,1099,,,,,,
L'Assomption,15164,14691,14331,13825,3451,2568,33,2535,883,1420,,1115,,,,,
Laurier,58116,35062,58116,35062,12219,4149,34,4115,8070,1907,1561,,,,647,,
Laval,29977,26819,24674,22294,8103,4862,52,4810,3241,2522,2288,,,,,,
Lévis,28913,27947,33323,32418,6787,4908,46,4862,1879,2227,2603,,,,,,32
L'Islet,16435,16209,17859,17691,3778,2741,29,2712,1037,1344,1368,,,,,,
Lotbinière,22158,21319,21837,21054,5005,3097,21,3076,1908,2148,928,,,,,,
Maisonneuve,59053,46101,59053,46101,11953,4439,90,4349,7514,2495,1854,,,,,,
Maskinongé,16509,16377,16253,16167,3708,2826,35,2791,882,1439,1352,,,,,,
Matane,27539,26614,36303,35632,6860,5049,56,4993,1811,2596,2397,,,,,,
Mégantic,31314,26761,33633,30044,8618,5629,19,5610,2989,3006,2604,,,,,,
Missisquoi,17466,10479,17709,11508,5394,3792,48,3744,1602,1894,1850,,,,,,
