Circonscriptions,Anglophones_1996,Francophones_1996,Allophones_1996,Anglophones_2001,Francophones_2001,Allophones_2001,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Alliance_canadienne,Autres_independants_01,Autres_independants_02,Autres_parti_marijuana,Autres_parti_vert,Autres_parti_de_la_loi_naturelle,Autres_parti_marxiste-leniniste,Autres_parti_communiste_canadien,Autres_action_canadienne
Abitibi-Baie-James-Nunavik,2570,73870,19805,2348,69302,21815,65934,37253,848,36405,28681,18198,809,15567,534,1297,,,,,,,,
Ahuntsic,4602,61123,37285,4114,61341,38145,81288,54439,1289,53150,26849,28643,3018,17132,997,1816,,,,1123,,159,262,
Anjou-Rivière-des-Prairies,5639,60266,27625,5262,60283,29985,74695,49755,1134,48621,24940,28134,2034,14755,624,2005,,,918,,,151,,
Argenteuil-Papineau-Mirabel,10205,88630,1455,9344,96651,1865,81024,51646,1387,50259,29378,21171,1848,21713,550,2897,167,,934,723,256,,,
Bas-Richelieu-Nicolet-Bécancour,553,84652,725,607,81608,705,67815,45620,1229,44391,22195,13781,1944,25266,421,2078,,,901,,,,,
Beauce,662,97133,140,522,99003,160,75170,47615,1132,46483,27555,26033,1628,12323,436,5452,,,,,611,,,
Beauharnois-Salaberry,10162,80933,1295,9738,80132,1530,72089,50780,1390,49390,21309,23834,2133,20938,703,1782,,,,,,,,
Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,707,97283,580,667,96353,645,80217,52846,1481,51365,27371,18714,2916,21341,869,5878,,,1364,,,283,,
Bellechasse-Etchemins-Montmagny-L'Islet,452,81853,75,411,79934,95,64379,41043,1047,39996,23336,19163,1636,14973,,4224,,,,,,,,
Berthier-Montcalm,3015,120195,2695,2981,121304,3055,94011,57394,1929,55465,36617,16669,2011,31647,823,2851,,,1464,,,,,
Bonaventure-Gaspé-Iles-de-la-Madeleine-Pabok,7650,67155,145,6555,61300,155,56286,36820,698,36122,19466,19213,,15532,613,764,,,,,,,,
Bourassa,3837,58973,25860,4055,57940,29535,67488,42076,1248,40828,25412,25403,1325,11462,736,1435,,,,,,330,137,
Brome-Missisquoi,15694,65076,1740,15350,68565,1870,66730,43853,986,42867,22877,21545,5502,13363,480,1977,,,,,,,,
Brossard-Laprairie,11816,65544,20595,11530,67645,20530,78535,51939,1067,50872,26596,26806,2783,16758,852,2973,,,,,528,172,,
Chambly,4832,94513,1780,4427,97538,1630,81181,53967,1735,52232,27214,17400,3448,26084,769,2780,,,1751,,,,,
Champlain,1144,83811,2860,742,81458,3110,68914,46911,1789,45122,22003,20408,,20423,672,2599,,,1020,,,,,
Charlesbourg-Jacques-Cartier,1836,101619,1170,1435,103545,1315,86371,58852,1747,57105,27519,21045,3256,21867,1000,8801,,,,1136,,,,
Charlevoix,516,71719,2220,386,71089,2495,58737,34253,923,33330,24484,9308,1154,20479,484,1905,,,,,,,,
Châteauguay,15320,90495,4245,14179,94636,4105,85512,57530,1748,55782,27982,22972,2041,26284,622,3120,,,,,743,,,
Chicoutimi-Le Fjord,682,85923,495,617,79963,420,67058,43021,1347,41674,24037,20105,,15073,698,2001,3797,,,,,,,
Compton-Stanstead,10530,65055,1360,9832,70258,1560,59382,38946,870,38076,20436,17729,2422,14808,580,2061,,,,,476,,,
