Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Oui,Non
Maskinongé,483,54712,315,677,56953,565,43220,40095,668,39427,3125,22502,16925
Masson,1424,53381,980,1607,62173,1080,43331,41132,813,40319,2199,28636,11683
Matane,268,38407,80,210,37095,55,28314,25325,333,24992,2989,15611,9381
Matapédia,210,41990,65,162,41188,85,30312,27260,368,26892,3052,17292,9600
Mégantic-Compton,3226,38884,160,3359,39306,205,30369,27968,391,27577,2401,13042,14535
Mercier,4856,43889,11695,4715,43425,10905,42596,40067,735,39332,2529,24688,14644
Mille-Îles,2017,56768,6280,2156,56169,7400,46800,44715,835,43880,2085,22660,21220
Montmagny-L'Islet,231,41414,30,235,40695,65,31816,28096,563,27533,3720,12360,15173
Montmorency,548,69767,385,531,73249,420,53331,50002,728,49274,3329,28360,20914
Mont-Royal,19223,20867,28730,16571,18989,36430,40794,38254,891,37363,2540,5030,32333
Nelligan,33093,34267,14330,34271,35259,17865,55030,52712,775,51937,2318,9443,42494
Nicolet-Yamaska,279,44381,480,286,43644,410,32705,30602,477,30125,2103,17022,13103
Notre-Dame-de-Grâce,31427,15008,14215,28787,14543,16185,38962,37041,880,36161,1921,4855,31306
Orford,7295,53970,460,7622,58103,700,47430,44577,672,43905,2853,20773,23132
Outremont,12945,36060,20905,10578,34387,24345,42408,39717,670,39047,2691,13428,25619
Papineau,5505,49495,420,4409,46151,455,36555,34170,282,33888,2385,12371,21517
Pointe-aux-Trembles,2092,57398,3920,1756,54474,4080,37929,35742,549,35193,2187,21425,13768
Pontiac,21327,28158,2170,22368,29927,2300,37247,35561,444,35117,1686,4485,30632
Portneuf,569,49751,140,586,51044,140,39129,36255,717,35538,2874,19303,16235
Prévost,981,56404,625,983,61102,695,45809,42482,870,41612,3327,26180,15432
Richelieu,463,52557,395,361,50354,425,39395,36740,653,36087,2655,22490,13597
Richmond,2368,41702,330,2040,41455,390,31984,29927,352,29575,2057,15719,13856
Rimouski,236,49854,145,381,50029,130,38748,35253,280,34973,3495,22289,12684
Rivière-du-Loup,156,40084,60,195,39600,60,29879,27076,401,26675,2803,14561,12114
Robert-Baldwin,35243,21897,19400,34027,21083,23065,45929,43854,488,43366,2075,4410,38956
Roberval,211,60059,545,225,59545,520,42650,38940,305,38635,3710,25194,13441
Rosemont,2862,48063,9970,2352,44688,11485,38244,35687,751,34936,2557,18723,16213
Rousseau,2210,46810,915,2300,55225,935,41861,38550,634,37916,3311,24237,13679
Rouyn-Noranda-Témiscamingue,3374,54386,675,3816,54889,575,41718,38315,512,37803,3403,20553,17250
Saguenay,413,47137,2065,366,46799,2175,35493,32064,608,31456,3429,23067,8389
Saint-François,5300,49820,995,5141,49319,1595,42140,39280,773,38507,2860,19314,19193
Saint-Henri-Sainte-Anne,9491,42774,6985,8547,39598,8405,40379,37389,912,36477,2990,17097,19380
Saint-Hyacinthe,387,59483,510,546,59119,735,45183,42180,676,41504,3003,22952,18552
Saint-Jean,2853,61337,1175,2326,64729,1070,48991,46368,847,45521,2623,25554,19967
Saint-Laurent,15461,27839,28720,13157,25653,33180,45542,43035,965,42070,2507,7214,34856
Saint-Maurice,423,45622,175,492,44268,170,34674,32391,639,31752,2283,17779,13973
Sainte-Marie-Saint-Jacques,4559,48441,9380,4683,46032,10345,45963,41704,987,40717,4259,23879,16838
Salaberry-Soulanges,2244,61436,600,2249,63681,685,49423,46590,908,45682,2833,26068,19614
Sauvé,2235,36700,11345,2044,31586,13170,32379,29934,706,29228,2445,11870,17358
Shefford,2981,63594,770,2793,65097,670,49998,46605,837,45768,3393,23986,21782
Sherbrooke,2372,48188,1875,2038,47077,2325,40413,37894,684,37210,2519,19826,17384
Taillon,2157,64398,4330,1863,63592,5620,50766,47841,877,46964,2925,28604,18360
Taschereau,1187,45338,1800,1185,42280,1640,32688,29898,502,29396,2790,17358,12038
Terrebonne,1012,52638,1110,1111,58029,1270,41606,39531,830,38701,2075,26046,12655
Trois-Rivières,772,48088,565,717,45993,565,38171,35476,737,34739,2695,19328,15411
Ungava,1309,20391,14590,1240,18770,17810,23512,19901,318,19583,3611,9187,10396
Vachon,6289,51546,4575,5915,53865,4980,40467,38531,873,37658,1936,21374,16284
Vanier,729,67586,1135,772,68308,1785,49502,46315,843,45472,3187,25119,20353
Vaudreuil,16502,46438,2630,18453,50682,3275,50883,48688,628,48060,2195,18856,29204
Verchères,554,45051,355,652,50498,320,36193,34319,698,33621,1874,22483,11138
Verdun,14332,42168,4810,12481,40644,5625,43851,41020,689,40331,2831,16269,24062
Viau,2677,34138,25700,2313,28047,30755,37768,35127,680,34447,2641,10746,23701
Viger,3996,37464,19750,3562,33443,21555,36731,34854,663,34191,1877,10982,23209
Vimont,3140,67925,8805,3450,69990,12365,52092,49932,842,49090,2160,24548,24542
Westmount-Saint-Louis,30619,25211,19770,28490,21900,24310,50161,45921,746,45175,4240,6880,38295
