Circonscriptions,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Coalition_avenir_quebec,Quebec_solidaire,Parti_vert,Autres_option_nationale,Autres_independants_01,Autres_independants_02,Autres_parti_conservateur,Autres_coalition_pour_la_constituante,Autres_parti_nul,Autres_equipe_autonomiste,Autres_union_citoyenne,Autres_parti_de_la_classe_moyenne,Autres_parti_marxiste-leniniste,Autres_parti_independantiste,Autres_parti_unite_nationale,Autres_bloc_pot,Autres_quebec_revolution_democratique,Autres_parti_equitable
Jean-Lesage,703,54147,3320,46448,33038,475,32563,13410,9965,9314,8894,2598,,1289,222,,,,,77,84,,64,,56,,,
Jeanne-Mance-Viger,5883,23007,46595,48069,32401,419,31982,15668,20912,4295,4643,1618,,410,,,,,,,,,104,,,,,
Jean-Talon,1385,48855,5215,45317,36675,397,36278,8642,13534,10063,8747,2321,,1351,,,,,,262,,,,,,,,
Johnson,799,60886,1160,56357,42243,743,41500,14114,8434,15007,14804,1887,,889,,,479,,,,,,,,,,,
Joliette,602,67623,1435,56340,44135,610,43525,12205,6102,20509,13009,2449,,649,513,,202,,,,92,,,,,,,
Jonquière,451,56289,320,45294,34483,413,34070,10811,6833,16429,8540,1089,,427,218,,,,269,,265,,,,,,,
La Prairie,3485,47865,4540,41728,34406,419,33987,7322,9338,11019,11094,1195,469,473,,,172,179,,,,,48,,,,,
Labelle,4372,52483,760,47369,34282,401,33881,13087,5749,17181,8082,1976,574,319,,,,,,,,,,,,,,
Lac-Saint-Jean,230,52945,195,42721,32268,310,31958,10453,5270,16972,7704,1214,275,323,,,,,,,,,,,,200,,
Lafontaine,5675,23640,27245,40960,29207,327,28880,11753,17081,4826,4728,1248,507,252,,,160,,,,78,,,,,,,
Lapeltrie,1647,69968,1010,53957,42655,495,42160,11302,11747,6069,21871,1069,,690,552,,,,,162,,,,,,,,
Lapinière,9690,38250,30900,58360,42093,369,41724,16267,20551,7448,10220,1832,798,433,,,269,,,,111,,62,,,,,
Laporte,9361,42244,8330,45754,34926,440,34486,10828,12827,10752,8023,2043,,550,,,291,,,,,,,,,,,
L'Assomption,684,56446,2150,51210,41187,519,40668,10023,4694,16088,17166,1465,588,667,,,,,,,,,,,,,,
Laurier-Dorion,4786,33229,35275,46419,32593,357,32236,13826,10987,8524,3154,7844,480,912,119,50,,66,,,,,100,,,,,
Laval-des-Rapides,2777,48998,20025,53771,39450,492,38958,14321,12572,14934,8493,1643,517,594,,,,205,,,,,,,,,,
Laviolette,723,71852,3860,35793,25720,462,25258,10073,10903,7787,4934,951,,492,124,,,,,,,,67,,,,,
Lévis,517,56548,735,46455,36862,426,36436,9593,11255,7302,14528,1904,,669,,,259,,,76,,242,,,75,,,126
Lotbinière-Frontenac,728,64802,505,53843,41493,675,40818,12350,17681,8629,12725,1783,,,,,,,,,,,,,,,,
Louis-Hébert,1106,61774,2420,44263,38320,316,38004,5943,14602,8127,12510,1359,,706,,,146,209,226,70,49,,,,,,,
Marguerite-Bourgeoys,19828,28642,24995,51493,35554,423,35131,15939,19993,6944,6104,1434,,543,,,,,,,,,113,,,,,
Marie-Victorin,1953,51592,8335,46478,33407,489,32918,13071,5773,15506,7119,2702,648,832,,,,244,,,,,,94,,,,
Marquette,17393,29052,12210,44812,31541,354,31187,13271,15343,6683,6101,1628,992,440,,,,,,,,,,,,,,
Maskinongé,536,55869,660,47278,36865,450,36415,10413,11676,10888,10907,1334,389,784,,,,121,,81,,235,,,,,,
Masson,1445,61305,2795,49058,38349,536,37813,10709,4178,17377,13664,1199,545,716,,,,134,,,,,,,,,,
Matane-Matapédia,301,57919,160,47613,33788,280,33508,13825,6263,19768,5332,1230,348,440,,,,,,127,,,,,,,,
Mégantic,2658,45642,295,38548,28696,355,28341,9852,9946,8847,7260,1531,,473,178,106,,,,,,,,,,,,
Mercier,6372,40593,8860,40069,30561,252,30309,9508,4091,7137,3336,14164,859,722,,,,,,,,,,,,,,
Mille-Îles,3537,37603,15800,41596,32288,342,31946,9308,11946,10149,7467,1511,343,354,122,,,,,,54,,,,,,,
Mirabel,2370,71700,1735,57581,45138,664,44474,12443,5812,19467,16167,1687,,988,353,,,,,,,,,,,,,
Montarville,3392,59908,3200,51772,45384,381,45003,6388,11020,14175,16083,2010,633,877,,,205,,,,,,,,,,,
Montmorency,577,66553,1200,54942,43054,559,42495,11888,14117,8736,16239,1460,,755,517,,,,,155,,417,,99,,,,
Mont-Royal,15193,20607,38470,41431,25772,266,25506,15659,16892,2276,3387,1743,597,363,,,,177,,,,,71,,,,,
Nelligan,29878,28072,29640,56909,41662,237,41425,15247,27470,3716,7654,966,1238,292,,,,,,,89,,,,,,,
