Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Oui,Non
Abitibi-Est,1437,43293,1415,1375,43885,1555,30689,23206,557,22649,7483,8090,14559
Abitibi-Ouest,443,46542,425,320,45900,400,31927,24396,481,23915,7531,7553,16362
Acadie,7207,33268,30220,6163,28662,35955,40647,34884,660,34224,5763,24192,10032
Anjou,2339,38101,6415,2121,36644,7600,32418,28136,471,27665,4282,11993,15672
Argenteuil,8286,46679,955,8579,54546,1060,42136,34824,603,34221,7312,14983,19238
Arthabaska,306,57429,235,481,57879,410,41419,34167,726,33441,7252,11833,21608
Beauce-Nord,266,42644,55,312,42613,85,30299,24326,459,23867,5973,10284,13583
Beauce-Sud,366,55018,90,350,56070,55,38242,29467,817,28650,8775,13512,15138
Beauharnois-Huntingdon,9106,38614,1220,8539,39356,1065,34653,28753,472,28281,5900,12789,15492
Bellechasse,297,40093,65,217,39308,10,29376,22674,511,22163,6702,9451,12712
Berthier,620,54195,345,639,59871,350,41861,34589,960,33629,7272,10929,22700
Bertrand,1571,72089,1325,1717,81123,1495,54277,47822,1455,46367,6455,14789,31578
Bonaventure,5287,32303,830,5220,31965,870,27590,21666,495,21171,5924,10939,10232
Bourassa,2146,37589,12330,1903,32932,14615,32959,27560,896,26664,5399,13334,13330
Bourget,2102,48163,5485,1828,43037,6275,35123,29582,824,28758,5541,11430,17328
Brome-Missisquoi,13230,35645,1370,13030,37405,1305,35428,29715,583,29132,5713,16271,12861
Chambly,5940,55400,1690,5039,62236,1945,45179,39946,953,38993,5233,15214,23779
Champlain,538,57852,255,647,57478,360,42623,35963,750,35213,6660,12725,22488
Chapleau,4791,68799,2130,5418,74057,3030,53932,42049,928,41121,11883,23968,17153
Charlesbourg,640,59165,630,879,58321,870,46208,39637,814,38823,6571,14057,24766
Charlevoix,166,41309,45,281,40444,65,30252,23708,452,23256,6544,8849,14407
