Circonscriptions,Anglophones_1996,Francophones_1996,Allophones_1996,Anglophones_2001,Francophones_2001,Allophones_2001,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_parti_de_la_democratie_socialiste,Autres_equality_party,Autres_bloc_pot,Autres_parti_de_la_loi_naturelle,Autres_parti_marxiste-leniniste,Autres_parti_ innovateur,Autres_parti_communiste_du_quebec
Abitibi-Est,1375,43885,1555,1045,41740,1570,33016,24521,327,24194,8495,8993,12302,2417,338,,144,,,,,,
Abitibi-Ouest,320,45725,400,314,43266,460,33663,25043,273,24770,8620,7333,14733,2430,274,,,,,,,,
Acadie,6163,28662,35955,5590,27885,38030,45226,35299,298,35001,9927,26316,6687,1629,,,136,,,,,49,184
Anjou,2121,36644,7600,1605,36455,9040,33488,27564,384,27180,5924,12097,11954,2825,,,192,,,,,68,44
Argenteuil,8579,54546,1060,7742,62198,1450,50725,39714,427,39287,11011,16684,16536,5058,271,,128,,478,132,,,
Arthabaska,481,57879,410,260,58480,520,45380,36784,521,36263,8596,12197,19469,4597,,,,,,,,,
Beauce-Nord,312,42613,85,196,43364,95,33010,26400,238,26162,6610,12137,10126,3772,,,127,,,,,,
Beauce-Sud,350,56070,55,341,57519,105,42919,32654,290,32364,10265,15784,11907,4235,131,74,233,,,,,,
Beauharnois-Huntingdon,8955,44660,1100,8665,47210,1195,40724,33117,355,32762,7607,15487,13449,3461,,,147,218,,,,,
Bellechasse,217,39308,10,311,38229,35,30374,24048,248,23800,6326,9144,11323,3149,,,184,,,,,,
Berthier,649,59911,1720,845,61030,2125,47790,37997,535,37462,9793,11710,20074,5113,,,297,,,268,,,
Bertrand,3364,48691,1045,3273,51542,1210,43830,33917,321,33596,9913,13923,15666,3725,59,,125,,,98,,,
Blainville,1863,53987,1790,1988,61122,2235,42406,35122,427,34695,7284,9719,17692,7102,,,182,,,,,,
Bonaventure,5255,33965,870,5262,29593,795,30211,22849,235,22614,7362,10681,10521,1412,,,,,,,,,
Borduas,2369,44966,830,2263,46292,835,36652,30606,320,30286,6046,9186,16785,4041,,,274,,,,,,
Bourassa,1903,32932,14615,1726,33019,15560,32205,25269,355,24914,6936,13434,8358,2734,,,189,,,,,78,121
Bourget,1828,43037,6275,1515,40095,6290,34783,27668,312,27356,7115,10951,13056,2899,,,185,,,,89,61,115
Brome-Missisquoi,13030,37405,1305,12535,39320,1260,39680,31967,258,31709,7713,18127,9789,3599,,,,,,194,,,
Chambly,5039,62236,1945,4864,64286,1625,51221,43350,385,42965,7871,15230,22559,4550,131,,117,,344,,,34,
