Circonscriptions,Population_totale_1901,Canadiens_francais_1901,Population_totale_1911,Canadiens_francais_1911,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_independants,Autres_nationaliste
Argenteuil,16407,7391,16766,8559,3950,2777,49,2728,1173,1559,1169,,,
Arthabaska,23947,23185,24441,23919,5662,3632,33,3599,2030,2480,691,,428,
Bagot,16291,16038,18206,18078,4440,3414,83,3331,1026,1773,1558,,,
Beauce,43129,42192,51399,50580,10209,6775,98,6677,3434,3667,3010,,,
Beauharnois,21732,19506,20802,18049,4717,3666,28,3638,1051,1811,1827,,,
Bellechasse,18706,18640,21141,21114,4050,2954,17,2937,1096,1936,1001,,,
Berthier,18982,18672,19872,19620,4607,3554,25,3529,1053,1892,1637,,,
Bonaventure,24495,17056,28110,20035,5153,3387,31,3356,1766,2654,702,,,
Brome,13397,4766,13216,4977,3762,2499,25,2474,1263,1477,997,,,
Chambly,12779,10926,16711,12417,3909,2641,47,2594,1268,1431,1163,,,
Champlain,35159,34293,42758,38944,8715,6330,47,6283,2385,3332,2951,,,
Charlevoix,19334,18979,20637,20302,4364,3524,26,3498,840,1720,1778,,,
Châteauguay,15693,9415,13322,9607,3329,2371,11,2360,958,1165,1195,,,
Chicoutimi-Saguenay,28135,24418,36230,33207,6239,4441,54,4387,1798,2338,2049,,,
Compton,26460,14460,29630,18714,7659,4832,39,4793,2827,2056,2737,,,
Deux-Montagnes,14438,13366,13868,12902,4006,2664,65,2599,1342,1213,1386,,,
Dorchester,21007,18106,25096,23627,4802,3924,53,3871,878,2065,1806,,,
Drummond,20537,17860,17149,15246,3979,2689,33,2656,1290,1068,1008,,580,
Gaspé,24657,17526,28338,21158,4380,,,,,Élu sans opposition,,,,
Hochelaga,142826,104069,307121,208855,46920,17090,225,16865,29830,8229,5967,,2669,
Huntingdon,13979,5105,13240,5372,3235,,,,,Élu sans opposition,,,,
