Circonscriptions,Population_totale_1891,Canadiens_francais_1891,Population_totale_1901,Canadiens_francais_1901,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_ouvrier
Argenteuil,15158,5951,16407,7391,3032,2152,31,2121,880,1117,1004,,,,
Arthabaska,27284,26225,23947,23185,4934,3581,6,3575,1353,2184,1391,,,,
Bagot,21695,21375,16291,16038,4335,3485,36,3449,850,1701,1748,,,,
Beauce,37222,36076,43129,42192,7998,6039,52,5987,1959,3371,2616,,,,
Beauharnois,16662,15370,21732,19506,3957,3224,38,3186,733,1729,1457,,,,
Bellechasse,18368,18332,18706,18640,3697,3041,23,3018,656,1726,1292,,,,
Berthier,19836,19539,18982,18672,4210,2877,20,2857,1333,1457,1400,,,,
Bonaventure,20835,13287,24495,17056,3995,3061,46,3015,934,1839,1176,,,,
Brome,14709,4839,13397,4766,3886,2931,52,2879,955,1617,1262,,,,
Chambly,11704,10139,12779,10926,3362,2354,25,2329,1008,1280,,,,1049,
Champlain,29267,28284,35159,34293,5910,4585,16,4569,1325,2177,2392,,,,
Charlevoix,19038,18896,19334,18979,3764,2834,41,2793,930,1389,1404,,,,
Châteauguay,13864,9660,15693,9415,3347,2268,51,2217,1079,1451,766,,,,
Chicoutimi-Saguenay,24233,21696,28135,24418,3456,2556,29,2527,900,,1661,,866,,
Compton,22779,10335,26460,14460,5857,3533,48,3485,2324,1894,1591,,,,
Deux-Montagnes,15027,13915,14438,13366,3328,2715,26,2689,613,1345,,,1344,,
Dorchester,19017,17132,21007,18106,4106,3033,24,3009,1073,1442,1567,,,,
Drummond,16639,13391,20537,17860,3479,2273,26,2247,1206,1269,978,,,,
Gaspé,21933,14975,24657,17526,3521,2932,83,2849,589,1419,1430,,,,
Hochelaga,80998,58522,142826,104069,27583,14503,145,14358,13080,8103,6255,,,,
Huntingdon,14385,4489,13979,5105,3402,2402,26,2376,1000,1318,,1058,,,
Iberville,11893,11132,9673,9184,2624,1417,16,1401,1207,1044,357,,,,
Îles-de-la-Madeleine,4942,4431,6026,5259,1038,895,17,878,143,469,,409,,,
Jacques-Cartier,13832,11856,14934,12293,4330,3093,21,3072,1237,1541,1531,,,,
Joliette,22921,22330,22255,21662,4569,3531,51,3480,1038,1733,1747,,,,
Kamouraska,20454,20411,19099,19012,3760,2864,35,2829,896,1439,1390,,,,
Lac-Saint-Jean,14048,13960,20156,19871,4065,2799,32,2767,1266,1212,1555,,,,
Laprairie,10900,8974,8947,8729,2100,1711,17,1694,389,900,794,,,,
L'Assomption,13674,13327,14993,14661,3056,2467,16,2451,589,1118,1333,,,,
Laval,9436,9173,10248,9916,2147,1870,9,1861,277,838,1023,,,,
Lévis,25995,24848,26210,25068,5532,4058,40,4018,1474,2546,1472,,,,
L'Islet,13823,13805,14439,14413,2924,2198,27,2171,726,1186,985,,,,
Lotbinière,20688,19128,20039,18817,4246,2830,15,2815,1416,1692,1123,,,,
Maskinongé,17829,17755,15813,15563,3446,2396,15,2381,1050,1422,959,,,,
Matane,14621,14139,20456,19162,3529,2676,26,2650,853,1427,1223,,,,
Mégantic,22233,16631,23621,18721,5133,3913,24,3889,1220,2078,1811,,,,
Missisquoi,18549,9337,18482,9908,4673,3460,45,3415,1213,1910,1505,,,,
Montcalm,12131,11023,13001,12020,2900,2038,12,2026,862,1056,970,,,,
Montmagny,14726,14695,14757,14663,2929,1938,39,1899,991,952,,947,,,
Montmorency,12309,12085,12311,12124,2533,2065,13,2052,468,999,1053,,,,
Montréal-No. 1 (Sainte-Marie),34746,28662,40631,32850,8934,5061,81,4980,3873,2947,2033,,,,
Montréal-No. 2 (Saint-Jacques),35830,31879,42618,37081,8159,5193,38,5155,2966,2962,2193,,,,
Montréal-No. 3 (Saint-Louis),24924,17084,26919,16877,5281,3325,43,3282,1956,1952,1330,,,,
Montréal-No. 4 (Saint-Laurent),17884,4386,21889,5401,5136,3018,44,2974,2118,1350,1624,,,,
Montréal-No. 5 (Saint-Georges),44626,11267,47653,14597,8732,4619,57,4562,4113,2289,2273,,,,
