Circonscriptions,Population_totale_1921,Canadiens_francais_1921,Population_totale_1931,Canadiens_francais_1931,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_liberal_protectionniste,Autres_protectionniste,Autres_communiste
Argenteuil,17165,9321,18976,11026,9649,8703,54,8649,946,3940,4709,,,,,,
Bagot,18035,17876,16914,16782,7917,7174,41,7133,743,3654,3479,,,,,,
Beauce,53505,52707,58854,57940,23745,18784,124,18660,4961,12093,6567,,,,,,
Beauharnois,19888,18283,25163,20906,11238,9797,94,9703,1441,5714,3989,,,,,,
Bellechasse,21813,21781,22006,21927,9308,7617,38,7579,1691,4786,2793,,,,,,
Berthier-Maskinongé,36762,36380,35545,35115,17546,14132,76,14056,3414,6850,7206,,,,,,
Bonaventure,29092,21256,32432,24229,14051,11822,80,11742,2229,5894,5848,,,,,,
Brome-Missisquoi,31090,17591,32069,18963,16916,14732,78,14654,2184,6584,8070,,,,,,
Cartier,54800,23925,34861,12037,25442,12262,269,11993,13180,8231,1928,540,,,,1294,
Chambly-Verchères,34643,26751,39404,28626,20267,17014,163,16851,3253,7827,9024,,,,,,
Champlain,48140,46091,51772,49870,22460,19199,146,19053,3261,8232,9024,1797,,,,,
Charlevoix-Saguenay,46125,40019,55134,47976,23028,19063,179,18884,3965,10806,8078,,,,,,
Châteauguay-Huntingdon,26731,16052,25470,15751,13212,11446,67,11379,1766,5445,5934,,,,,,
Chicoutimi,37578,36422,55724,52925,23622,20539,154,20385,3083,10641,9744,,,,,,
Compton,31583,22469,30464,22814,15263,13153,59,13094,2110,6393,6701,,,,,,
Dorchester,29121,27811,31067,29878,13270,11266,62,11204,2004,5433,5771,,,,,,
Drummond-Arthabaska,44823,42983,53338,50424,23166,19123,98,19025,4043,11241,7784,,,,,,
Gaspé,40375,31146,45617,36388,19456,16327,130,16197,3129,9784,6413,,,,,,
Hochelaga,73526,57620,84253,71908,43728,28652,321,28331,15076,19382,8949,,,,,,
Hull,35518,31914,46114,39320,22790,18586,132,18454,4204,12543,5911,,,,,,
Jacques-Cartier,62039,33087,156622,87194,61453,44801,475,44326,16652,20438,22907,981,,,,,
Joliette,25913,25169,27585,26719,12721,10963,80,10883,1758,5904,4979,,,,,,
Kamouraska,22014,21879,23954,23807,10790,8713,70,8643,2077,4534,4109,,,,,,
Labelle,37161,34086,39395,35589,,,,,,,,,,Élu sans opposition,,,
Lac-Saint-Jean,35539,35303,50253,48383,19181,16694,96,16598,2487,8211,8387,,,,,,
Laprairie-Napierville,20065,17053,21091,17582,9152,8345,56,8289,807,4321,3968,,,,,,
L'Assomption-Montcalm,28318,26780,29188,27623,14061,11299,81,11218,2762,6568,4650,,,,,,
Laurier-Outremont,72047,35184,88579,35555,45968,27310,502,26808,18658,15259,7590,,1236,,2723,,
Laval-Deux-Montagnes,28314,26450,30449,28383,13733,12345,110,12235,1388,5634,6601,,,,,,
Lévis,33323,32418,35656,34704,16677,14074,129,13945,2603,6880,7065,,,,,,
L'Islet,17859,17691,19404,19276,8535,6804,81,6723,1731,3558,3165,,,,,,
Lotbinière,21837,21054,23034,22527,10381,8989,58,8931,1392,5068,3863,,,,,,
Maisonneuve,64933,47826,112263,82327,50593,34196,442,33754,16397,18894,13494,,,1053,,,313
Matane,36303,35632,45272,44143,18249,14805,120,14685,3444,6975,7710,,,,,,
Mégantic,33633,30044,35492,32685,15889,13461,95,13366,2428,7609,5757,,,,,,
Montmagny,21997,21792,20239,20072,9405,7550,58,7492,1855,3635,3857,,,,,,
Montmorency,31241,29250,39417,37268,16673,14592,65,14527,2081,7165,7212,,,150,,,
Mont-Royal,19688,2133,88941,16987,48515,26590,175,26415,21925,6483,19932,,,,,,
Nicolet,29695,29367,28673,28471,13680,11487,82,11405,2193,6303,5102,,,,,,
Pontiac,46201,30037,65542,44669,29732,21918,155,21763,7814,5891,8884,6988,,,,,
Portneuf,34686,33221,38497,36832,18418,15175,100,15075,3243,7813,7262,,,,,,
Québec-Est,38330,36439,38330,36439,27049,21611,147,21464,5438,11822,9642,,,,,,
Québec-Ouest,37993,36943,37993,36943,23891,20101,117,19984,3790,9769,10215,,,,,,
Québec-Sud,27706,19675,27706,19675,19820,14892,173,14719,4928,8086,6633,,,,,,
Richelieu,19548,19114,21483,21169,10608,8938,58,8880,1670,5644,3236,,,,,,
Richmond-Wolfe,41926,35289,41867,35709,19391,16998,103,16895,2393,7870,9025,,,,,,
Rimouski,27520,27325,33151,32255,13564,11043,64,10979,2521,6257,4722,,,,,,
Saint-Antoine,32394,10395,34279,9892,19956,12639,262,12377,7317,5185,7192,,,,,,
Saint-Denis,78920,60219,135016,105249,69249,45396,636,44760,23853,28646,14382,,,1732,,,
Saint-Henri,45316,35511,48441,38806,23718,17722,285,17437,5996,11520,5917,,,,,,
Saint-Hyacinthe-Rouville,36754,35995,39630,38653,20492,16187,112,16075,4305,8616,7459,,,,,,
Saint-Jacques,42443,37491,74504,56157,32776,19821,314,19507,12955,13299,6208,,,,,,
Saint-Jean-Iberville,23518,21475,27051,24648,14346,12099,123,11976,2247,7958,4018,,,,,,
Saint-Laurent-Saint-George,36912,7321,34026,7708,19646,10479,160,10319,9167,3653,6666,,,,,,
Sainte-Anne,52049,16211,36733,14898,31256,22770,369,22401,8486,11017,11384,,,,,,
Sainte-Marie,63975,55720,75350,66170,35762,22957,318,22639,12805,16540,6099,,,,,,
Shefford,25734,21965,28262,24449,14013,12648,106,12542,1365,5478,7064,,,,,,
Sherbrooke,31356,21216,37386,26842,19865,16700,106,16594,3165,8546,8048,,,,,,
Stanstead,23380,14230,25118,16622,12998,11351,63,11288,1647,3900,5804,1584,,,,,
Témiscouata,44310,43470,50294,49536,20737,17584,179,17405,3153,8761,8644,,,,,,
Terrebonne,33908,31136,38611,35772,18308,15454,118,15336,2854,8609,6727,,,,,,
Trois-Rivières-Saint-Maurice,50845,48111,69095,65284,32978,26110,295,25815,6868,14732,11083,,,,,,
Vaudreuil-Soulanges,21620,19212,21114,19012,10429,8500,37,8463,1929,4313,2432,1718,,,,,
Wright,28639,16247,27747,18121,12927,11020,73,10947,1907,6015,4932,,,,,,
Yamaska,18056,17787,16820,16521,7926,7068,59,7009,858,3505,3504,,,,,,
