Circonscriptions,Anglophones_2001,Francophones_2001,Allophones_2001,Anglophones_2006,Francophones_2006,Allophones_2006,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Parti_vert,Autres_independants_01,Autres_independants_02,Autres_parti_marijuana,Autres_parti_marxiste-leniniste,Autres_parti_communiste_canadien,Autres_christian_heritage_party,Autres_parti_libertarien,Autres_action_canadienne
Laurentides-Labelle,4620,87865,1450,5044,97111,2425,84438,50008,886,49122,34430,14459,2887,28675,1320,1781,,,,,,,,
Laurier,6489,77586,13570,8145,73775,16970,80741,48523,700,47823,32218,8454,1224,28728,5779,2912,,,572,154,,,,
Laval,4887,74538,18260,5795,70480,25030,80503,49951,1191,48760,30552,17639,3115,24425,1998,1091,,,492,,,,,
Laval-Les Îles,10212,60298,28950,12135,59280,39605,82511,51027,915,50112,31484,23985,3498,18597,2202,1178,,,498,154,,,,
Lévis-Bellechasse,721,99404,285,962,101573,1085,84867,50588,1124,49464,34279,13664,9425,21930,1910,2372,,,,,163,,,
Longueuil,2325,87175,5740,2326,84714,9715,76664,49176,810,48366,27488,12363,2354,29473,2512,1263,,,401,,,,,
Lotbinière-Chutes-de-la-Chaudière,802,92663,450,917,97403,1170,74647,45100,1076,44024,29547,9445,10628,20245,2091,1615,,,,,,,,
Louis-Hébert,2374,90741,4020,2394,92546,5560,82158,56654,823,55831,25504,18999,7512,24071,3112,2137,,,,,,,,
Louis-Saint-Laurent,1400,91095,1340,1409,92316,1700,77208,45851,985,44866,31357,10025,13967,17248,1369,1243,563,332,,,119,,,
Manicouagan,4830,71130,8165,4653,68747,9155,65142,33132,589,32543,32010,8097,1601,19040,3361,444,,,,,,,,
Marc-Aurèle-Fortin,5377,86538,5955,5874,90151,10160,79015,53377,1103,52274,25638,14491,3125,30779,1867,2012,,,,,,,,
Matapédia-Matane,291,72274,95,375,70765,525,59416,32205,536,31669,27211,9653,1972,17878,1581,585,,,,,,,,
Mégantic-L'Érable,838,83797,360,924,83486,1075,69703,43923,868,43055,25780,15778,4916,19264,1608,1489,,,,,,,,
Montcalm,1880,101625,1440,2334,116396,3595,84211,49867,1601,48266,34344,7915,2831,34383,1531,1606,,,,,,,,
Mont-Royal,33959,21266,41005,31800,20790,44315,71537,38201,317,37884,33336,28670,3271,2636,1859,1046,,,308,94,,,,
Notre-Dame-de-Grâce-Lachine,36666,40079,23095,35864,38156,28990,77678,44805,532,44273,32873,23552,4526,9736,3513,2214,,,479,88,,,165,
