Circonscriptions,Anglophones_1951,Francophones_1951,Allophones_1951,Anglophones_1961,Francophones_1961,Allophones_1961,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_liberal_01,Autres_liberal_02,Autres_liberal_03,Autres_union_nationale_01,Autres_union_nationale_02,Autres_independants,Autres_parti_social-democrate,Autres_ouvrier_progressiste,Autres_ouvrier,Autres_union_nationale_ouvrier,Autres_capital_familial
Abitibi-Est,4172,77360,4824,4043,74008,5861,32424,26363,469,25894,6061,11767,13967,,,,,,,,,160,,
Abitibi-Ouest,4172,77360,4824,219,24027,155,14022,12517,264,12253,1505,6207,6046,,,,,,,,,,,
Argenteuil,8476,17151,245,9690,21578,562,15245,13121,242,12879,2124,5726,7153,,,,,,,,,,,
Arthabaska,223,36680,54,307,44824,170,20299,18822,209,18613,1477,8424,10189,,,,,,,,,,,
Bagot,112,19091,21,110,21203,77,10251,9304,36,9268,947,3572,5696,,,,,,,,,,,
Beauce,253,54676,44,300,61847,117,26939,23846,140,23706,3093,10274,13432,,,,,,,,,,,
Beauharnois,2740,35810,198,2713,46591,363,23574,20735,279,20456,2839,8478,11928,,,,,,,,50,,,
Bellechasse,91,25233,8,94,25914,46,13152,10898,114,10784,2254,4541,6243,,,,,,,,,,,
Berthier,147,24500,70,179,26988,158,14206,12828,147,12681,1378,5558,7123,,,,,,,,,,,
Bonaventure,6503,33332,906,6093,35857,1012,19837,16675,442,16233,3162,8551,7682,,,,,,,,,,,
Brome,6984,6073,336,7175,5990,526,7648,6375,37,6338,1273,3274,3029,,,,,,,35,,,,
Chambly,18119,58489,1323,35164,106919,4662,54456,41634,1107,40527,12822,20031,19264,205,,,,,,877,150,,,
Champlain,2260,83040,445,663,49097,147,23796,21493,149,21344,2303,8765,12579,,,,,,,,,,,
Charlevoix,248,27989,22,197,30759,56,14787,12890,87,12803,1897,5074,7729,,,,,,,,,,,
Châteauguay,4021,13716,120,10161,22815,1066,12283,10513,118,10395,1770,4459,5936,,,,,,,,,,,
Chicoutimi,2481,112855,568,2205,89668,369,32899,28703,285,28418,4196,9315,19103,,,,,,,,,,,
Compton,5391,18276,189,4912,19265,233,12659,10851,70,10781,1808,5542,5141,,,,,,,98,,,,
Deux-Montagnes,2249,18282,517,5886,25908,1043,13611,11356,109,11247,2255,2971,8133,,,,,,,143,,,,
Dorchester,667,32634,12,473,34173,65,18613,15895,142,15753,2718,6184,9569,,,,,,,,,,,
Drummond,2336,50958,132,2423,55577,220,26978,24690,149,24541,2288,11283,13211,,,,,,,,47,,,
Frontenac,437,30244,52,331,30226,43,13919,12478,100,12378,1441,5927,6451,,,,,,,,,,,
Gaspé-Nord,53,15027,9,1125,19182,222,10985,9256,181,9075,1729,4439,4574,,,,,,62,,,,,
Gaspé-Sud,7042,30368,32,6424,34754,155,16914,14490,184,14306,2424,6290,8016,,,,,,,,,,,
Gatineau,10033,24504,727,13428,29810,1070,19445,14840,176,14664,4605,6458,8206,,,,,,,,,,,
Hull,5906,51073,339,4912,59906,965,28309,23511,395,23116,4798,10564,10421,,,,1895,,,157,79,,,
Huntingdon,5451,7083,923,5901,7580,1271,7454,6313,58,6255,1141,2982,3273,,,,,,,,,,,
Iberville,431,13021,55,477,17323,280,7811,6884,63,6821,927,2918,3903,,,,,,,,,,,
Îles-de-la-Madeleine,737,9260,2,801,11656,22,5181,4616,48,4568,565,1977,2591,,,,,,,,,,,
Jacques-Cartier,40549,51501,3914,120775,105250,18197,82390,58235,1569,56666,24155,31385,22291,,,,,,,2322,668,,,
Jeanne-Mance,19915,105832,10542,16989,138199,30619,89808,59613,1175,58438,30195,25637,29076,1798,,,91,,238,334,239,1025,,
Joliette,463,36611,177,606,43925,438,20753,17859,134,17725,2894,6225,11500,,,,,,,,,,,
Jonquière-Kénogami,2488,61888,578,2488,61888,578,28194,24811,1239,23572,3383,,11946,,,,,,11626,,,,,
Kamouraska,68,26578,26,84,27024,30,13841,11277,146,11131,2564,4642,6489,,,,,,,,,,,
Labelle,226,26794,177,211,28697,176,12493,10920,98,10822,1573,4059,6717,,,,,,,,46,,,
Lac-Saint-Jean,605,30454,69,622,43145,153,17136,15878,198,15680,1258,7136,8544,,,,,,,,,,,
L'Assomption,1159,21900,146,1931,37127,382,15042,13232,157,13075,1810,5815,7260,,,,,,,,,,,
Laurier,4220,52321,6445,3261,60471,12012,41696,29547,1078,28469,12149,986,17154,666,,,,,9663,,,,,
Laval,18237,147945,4980,46126,361879,37566,135733,95702,2179,93523,40031,41214,50417,,,,,,,1129,763,,,
Laviolette,2260,83040,445,2080,46507,776,24316,20167,240,19927,4149,8079,11848,,,,,,,,,,,
Lévis,430,43156,39,444,51266,132,25262,22747,242,22505,2515,10106,12220,,,,100,61,,,18,,,
L'Islet,54,22921,21,68,24676,54,11830,10238,243,9995,1592,4673,5322,,,,,,,,,,,
Lotbinière,381,27584,20,868,29284,82,13925,12450,127,12323,1475,5271,7052,,,,,,,,,,,
Maisonneuve,13129,83733,2267,10297,108875,5367,59906,41313,734,40579,18593,18199,20668,119,,,670,271,249,227,176,,,
Maskinongé,95,19115,268,110,20684,480,10617,9878,119,9759,739,4171,5588,,,,,,,,,,,
Matane,335,29894,14,318,34689,71,20908,17622,173,17449,3286,7340,10109,,,,,,,,,,,
Matapédia,133,33784,22,131,35396,59,15468,13302,121,13181,2166,5976,7205,,,,,,,,,,,
Mégantic,1592,43602,131,1652,55518,230,25270,23303,212,23091,1967,10968,12123,,,,,,,,,,,
Mercier,4763,69430,1151,1993,47631,1177,46778,30774,515,30259,16004,11460,18165,,,,,,,162,383,89,,
Missisquoi,5699,18584,406,6328,22373,825,14514,12486,142,12344,2028,5343,7001,,,,,,,,,,,
Montcalm,962,16391,167,1055,17506,205,9165,8181,90,8091,984,3506,4585,,,,,,,,,,,
Montmagny,28,24475,11,80,26337,33,13227,11556,105,11451,1671,5048,6403,,,,,,,,,,,
Montmorency,254,21114,21,823,24804,81,12440,11285,151,11134,1155,4463,6628,,,,,,,,43,,,
Napierville-Laprairie,1647,23468,2727,4294,35703,2376,16595,14816,208,14608,1779,6695,7861,,,,,,,,52,,,
Nicolet,95,30224,16,110,30628,89,16702,14452,129,14323,2250,5825,8498,,,,,,,,,,,
Notre-Dame-de-Grâce,59717,15207,6761,70184,20416,20211,66027,36507,124,36383,29520,28175,7069,,,,,,,629,510,,,
Outremont,59922,34857,24153,61242,50254,49666,65333,36458,565,35893,28875,24348,10017,,,,,,,726,802,,,
Papineau,4136,25028,217,6729,44493,495,22890,20093,232,19861,2797,8697,11164,,,,,,,,,,,
