Circonscriptions,Anglophones_1971,Francophones_1971,Allophones_1971,Anglophones_1981,Francophones_1981,Allophones_1981,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_rhinoceros,Autres_union_populaire,Autres_parti_marxiste-leniniste,Autres_parti_communiste_ouvrier,Autres_rhinoceros_independant_01,Autres_rhinoceros_independant_02,Autres_parti_libertarien,Autres_groupe_socialiste_des_travailleurs_quebecois,Autres_parti_communiste_canadien,Autres_creditiste,Autres_esprit_social
Abitibi,4660,82395,5780,3795,85615,13105,72826,43796,606,43190,29030,22050,1982,14881,2553,,,,416,300,,,,,1008,,,
Argenteuil,10445,53820,970,9815,56010,1000,46892,32349,316,32033,14543,21976,5128,1074,2422,,,1298,,135,,,,,,,,
Beauce,530,71215,90,780,80610,145,55334,42808,266,42542,12526,21647,819,18734,404,276,,624,,38,,,,,,,,
Beauharnois-Salaberry,10235,61610,1475,10730,64830,1305,56394,38385,821,37564,18009,27476,5629,1017,2738,,,,217,77,410,,,,,,,
Bellechasse,455,83915,80,585,79800,100,57339,40632,274,40358,16707,20636,2912,15124,730,,,815,141,,,,,,,,,
Berthier-Maskinongé,500,62840,920,880,69365,1220,51625,40604,337,40267,11021,21232,17483,546,,,,728,132,146,,,,,,,,
Blainville-Deux-Montagnes,13830,60540,2425,12020,96230,3765,70667,49265,650,48615,21402,35979,3448,1699,5460,,,1685,213,58,,,,73,,,,
Bonaventure-Îles-de-la-Madeleine,7010,53005,1080,6855,51945,880,40422,27942,282,27660,12480,19193,5063,528,1568,,,917,,,,391,,,,,,
Bourassa,6780,74515,12575,6370,76355,16050,66481,41545,1115,40430,24936,30924,3182,,5144,,,,875,305,,,,,,,,
Chambly,17525,59930,2660,16195,92605,4325,68813,47634,613,47021,21179,32849,4655,1580,5868,,,1724,227,118,,,,,,,,
Champlain,1315,71495,730,1320,76780,745,55522,40319,622,39697,15203,25758,4359,,9164,,,,238,178,,,,,,,,
Charlesbourg,3050,88625,540,3285,129280,950,84432,60475,569,59906,23957,42569,4128,2275,7388,,,3066,480,,,,,,,,,
Charlevoix,700,65120,195,530,71010,2025,49557,31561,281,31280,17996,22130,5679,1021,1273,,,945,232,,,,,,,,,
Châteauguay,18215,48920,3610,14320,66460,8000,56595,37323,706,36617,19272,27152,3311,1182,4203,,,,570,199,,,,,,,,
Chicoutimi,1135,65800,230,1275,66430,315,46521,31374,535,30839,15147,20821,5607,1110,2926,,,,375,,,,,,,,,
Dollard,49145,33365,10880,48030,40220,21400,69287,49992,469,49523,19295,37860,5303,,5767,,,,285,138,,,,170,,,,
Drummond,2275,68455,245,1170,73390,425,51597,36302,457,35845,15295,26082,5265,1916,2305,,,,180,97,,,,,,,,
Duvernay,3640,86805,3135,4820,92745,5540,67146,48443,728,47715,18703,34560,3647,1542,5069,,,2479,218,112,,,,,,88,,
Frontenac,1525,68570,190,1260,68590,265,48360,32372,243,32129,15988,14745,4922,10328,1693,92,,,,46,202,,,,,,101,
Gamelin,7650,77210,8130,5855,69250,9435,62720,40988,609,40379,21732,29232,3245,1162,4506,118,,1640,181,87,208,,,,,,,
Gaspé,6945,53385,155,5505,54505,105,40323,29732,250,29482,10591,17846,9604,,1018,255,,759,,,,,,,,,,
Gatineau,10150,65300,865,10505,88680,1390,66195,45313,244,45069,20882,35437,3134,975,4792,,,640,,91,,,,,,,,
Hochelaga-Maisonneuve,5010,87870,3130,3175,62020,3115,51417,29410,596,28814,22007,21138,1977,873,2732,,,1412,98,98,286,,,,200,,,
Hull,13025,66135,2035,13750,65555,3565,59150,41206,200,41006,17944,27938,2167,,10059,,,598,,70,174,,,,,,,
Joliette,2430,75125,850,3270,88700,1145,63963,48295,854,47441,15668,21891,22280,756,2330,,,,,184,,,,,,,,
Jonquière,2680,64840,385,1425,67295,285,47952,30191,597,29594,17761,22202,1126,1315,4444,,,,380,127,,,,,,,,
Kamouraska-Rivière-du-Loup,355,69600,90,430,71250,150,51075,35154,296,34858,15921,19117,1519,13101,,,,358,414,,,349,,,,,,
Labelle,3610,71990,925,4395,86945,1335,64524,44878,566,44312,19646,29488,9829,,2858,,,664,227,108,227,580,331,,,,,
Lachine,59785,22145,4930,48980,24390,7415,56362,42895,206,42689,13467,25502,12854,,3492,,,692,,43,,,,106,,,,
Lac-Saint-Jean,1530,63990,150,645,77215,210,50447,34105,533,33572,16342,21267,4608,2821,3465,,,1159,252,,,,,,,,,
Langelier,3930,81205,955,2495,60565,1205,55350,34940,370,34570,20410,24714,2606,1191,2811,,,2813,252,115,,,,,,68,,
Laprairie,25315,52535,4170,27450,78540,10590,74219,51702,584,51118,22517,36842,4960,948,5894,,,1868,222,87,,,,297,,,,
Lasalle,29455,51390,12400,26950,51050,14455,64091,42358,734,41624,21733,32561,3128,,5173,,,,507,255,,,,,,,,
Laurier,5075,64570,21525,5070,43285,15100,45996,24751,448,24303,21245,16201,1572,534,2216,102,,3067,95,63,346,,,,,107,,
Laval,22580,61065,7825,20035,83275,13240,72216,51803,597,51206,20413,38580,3715,1110,5709,,,1679,271,142,,,,,,,,
Laval-des-Rapides,13000,71830,9545,10260,69600,15030,66096,44975,531,44444,21121,33317,3049,911,4699,,,2152,216,100,,,,,,,,
Lévis,930,76160,215,1570,113075,415,74633,53751,494,53257,20882,35519,4759,3385,6459,,,2652,264,118,101,,,,,,,
Longueuil,6285,88340,2965,6845,112150,5325,80160,48398,902,47496,31762,32755,3383,1688,6144,164,,2631,362,92,204,,,,,73,,
Lotbinière,340,74115,115,570,80970,450,55268,42204,279,41925,13064,24780,9117,3707,3041,,,945,75,59,201,,,,,,,
Louis-Hébert,6355,85760,1475,4770,96475,1895,75607,53379,516,52863,22228,34231,5490,1247,7392,,,3795,596,112,,,,,,,,
Manicouagan,8575,59045,4715,7265,69670,4915,53223,31814,495,31319,21409,21499,4844,1184,2111,,,841,,125,,715,,,,,,
Matapédia-Matane,395,60890,75,515,58280,80,41773,27365,237,27128,14408,21116,3095,1137,888,,,892,,,,,,,,,,
Mégantic-Compton-Stanstead,12555,56650,340,11740,66435,540,51752,37938,246,37692,13814,21562,10336,3023,1769,,,1002,,,,,,,,,,
