Circonscriptions,Anglophones_1951,Francophones_1951,Allophones_1951,Anglophones_1961,Francophones_1961,Allophones_1961,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_liberal,Autres_union_nationale,Autres_independants_01,Autres_independants_02,Autres_conservateur,Autres_action_provinciale,Autres_communiste
Québec-Centre,2120,25768,188,2010,42083,842,21347,17948,261,17687,3399,9750,7937,,,,,,,
Québec-Comté,1009,64148,65,5819,124937,1023,68694,59811,827,58984,8883,34090,24894,,,,,,,
Québec-Est,1220,62963,213,1183,68426,433,45958,40715,480,40235,5243,21001,19234,,,,,,,
Québec-Ouest,6416,35834,331,4910,36105,495,24755,21845,373,21472,2910,14582,6890,,,,,,,
Richelieu,542,30187,72,643,37678,244,21396,19281,222,19059,2115,10598,8461,,,,,,,
Richmond,5277,28683,142,5337,36624,271,20356,17335,174,17161,3021,9932,7229,,,,,,,
Rimouski,319,52821,80,386,64687,222,25154,20803,274,20529,4351,10720,9809,,,,,,,
Rivière-du-Loup,176,37184,15,181,39994,64,19594,16792,209,16583,2802,8493,8090,,,,,,,
Roberval,355,50198,325,429,60287,594,25864,22002,195,21807,3862,10635,11172,,,,,,,
Rouville,1735,17694,77,3504,22166,309,13633,11833,109,11724,1800,6575,5149,,,,,,,
Rouyn-Noranda,7625,44755,2722,4988,34301,2675,18602,15904,276,15628,2698,9386,6242,,,,,,,
Saguenay,4064,33096,5504,5318,45031,3183,27181,21466,340,21126,5715,12116,9010,,,,,,,
Saint-Henri,9125,57032,3774,8744,61634,7817,47891,33660,573,33087,14231,17548,15008,531,,,,,,
Saint-Hyacinthe,383,37616,102,338,44377,278,25478,21619,180,21439,3859,12070,9369,,,,,,,
Saint-Jacques,1182,42375,1061,2320,43157,4648,23330,15317,243,15074,8013,7149,7854,,,,,,,71
Saint-Jean,2575,25856,271,3950,33517,1003,19791,17726,182,17544,2065,8869,8003,672,,,,,,
Saint-Louis,18553,53494,38840,8811,38630,35121,40868,24910,695,24215,15958,14082,10133,,,,,,,
Saint-Maurice,1469,46130,182,1769,62993,223,32238,28430,286,28144,3808,15684,12460,,,,,,,
Saint-Sauveur,309,46880,185,411,48634,164,28051,25002,422,24580,3049,11939,12641,,,,,,,
Sainte-Anne,28240,41132,5845,20569,33874,7494,23600,13663,448,13215,9937,5312,1845,,,6058,,,,
Sainte-Marie,2399,70865,2806,2355,78958,2777,37317,25162,428,24734,12155,11656,12977,,101,,,,,
Shefford,4372,39140,210,4935,49475,553,28494,24284,238,24046,4210,11226,12026,794,,,,,,
Sherbrooke,11199,50454,513,11344,68170,976,44089,35841,502,35339,8248,18539,16714,,,,,,86,
Stanstead,8537,25940,165,8318,27547,230,18954,15977,143,15834,2977,8918,6817,,,,,,99,
Témiscamingue,7625,44755,2722,1452,16647,225,8929,7784,42,7742,1145,4102,3640,,,,,,,
Témiscouata,134,28030,11,110,28945,24,12044,9922,149,9773,2122,3842,5931,,,,,,,
Terrebonne,3955,62509,973,8143,91775,2357,54331,46179,565,45614,8152,26901,18713,,,,,,,
Trois-Rivières,1983,43900,191,2212,54979,380,33247,29909,299,29610,3338,14287,15323,,,,,,,
Vaudreuil-Soulanges,3511,22915,185,7172,30812,772,20975,18972,221,18751,2003,10780,7971,,,,,,,
Verchères,1083,16567,79,1954,23451,292,13526,11852,183,11669,1674,6827,4842,,,,,,,
Verdun,38995,35811,2585,30818,44669,2830,45289,32969,827,32142,12320,21208,10934,,,,,,,
Westmount,37614,13394,4489,28944,11154,5238,32552,19218,221,18997,13334,13114,1628,,,,,4255,,
Wolfe,565,17559,29,411,17890,34,8326,7515,72,7443,811,3458,3939,,,,,,46,
Yamaska,61,15963,47,56,15939,63,8115,6865,86,6779,1250,2701,4078,,,,,,,
