Circonscriptions,Population_totale_1901,Canadiens_francais_1901,Population_totale_1911,Canadiens_francais_1911,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_ouvrier,Autres_nationaliste
Total,1646493,1321970,2000646,1605249,213958,114471,1018,113453,99487,62889,30331,13777,459,4796,1201
Argenteuil,16407,7391,16766,8559,3400,,,,,Élu sans opposition,,,,,
Arthabaska,23947,23185,24441,23919,5300,,,,,Élu sans opposition,,,,,
Bagot,16291,16038,18206,18078,4300,,,,,Élu sans opposition,,,,,
Beauce,43129,42192,51399,50580,11405,,,,,Élu sans opposition,,,,,
Beauharnois,21732,19506,20802,18049,4893,3711,44,3667,1182,1891,1776,,,,
Bellechasse,18706,18640,21141,21114,4100,,,,,Élu sans opposition,,,,,
Berthier,18982,18672,19872,19620,4200,,,,,Élu sans opposition,,,,,
Bonaventure,24495,17056,28110,20035,4629,3126,19,3107,1503,2287,,820,,,
Brome,13397,4766,13216,4977,3800,,,,,Élu sans opposition,,,,,
Chambly,12779,10926,16711,12417,3776,1994,6,1988,1782,1324,664,,,,
Champlain,35159,34293,42758,38944,7838,4823,39,4784,3015,2742,2042,,,,
Charlevoix,19334,18979,20637,20302,4142,3201,5,3196,941,1377,1819,,,,
Châteauguay,15693,9415,13322,9607,3330,,,,,Élu sans opposition,,,,,
Chicoutimi-Saguenay,28135,24418,36230,33207,5200,,,,,Élu sans opposition,,,,,
Compton,26460,14460,29630,18714,7275,4732,46,4686,2543,2270,2416,,,,
Deux-Montagnes,14438,13366,13868,12902,3700,,,,,Élu sans opposition,,,,,
Dorchester,21007,18106,25096,23627,4500,,,,,Élu sans opposition,,,,,
Drummond,20537,17860,17149,15246,3784,2193,21,2172,1591,1267,905,,,,
Gaspé,24657,17526,28338,21158,4100,,,,,Élu sans opposition,,,,,
Hochelaga,142826,104069,307121,208855,37535,9670,85,9585,27865,5462,,,,4123,
Huntingdon,13979,5105,13240,5372,3300,,,,,Élu sans opposition,,,,,
Iberville,9673,9184,9493,8959,2501,1939,17,1922,562,1021,901,,,,
Îles-de-la-Madeleine,6026,5259,6663,5969,1172,971,17,954,201,618,,336,,,
Jacques-Cartier,14934,12293,22508,15851,5340,2907,14,2893,2433,1354,1119,420,,,
Joliette,22255,21662,23911,23227,4812,3781,22,3759,1031,1729,2030,,,,
Kamouraska,19099,19012,20888,20806,4100,,,,,Élu sans opposition,,,,,
Lac-Saint-Jean,20156,19871,27111,26920,4930,3457,25,3432,1473,1802,,1630,,,
Laprairie,8947,8729,11623,9077,2150,,,,,Élu sans opposition,,,,,
L'Assomption,14993,14661,15164,14691,3300,,,,,Élu sans opposition,,,,,
Laval,10248,9916,11407,10863,2373,1795,14,1781,578,749,1032,,,,
Lévis,26210,25068,28913,27947,5900,,,,,Élu sans opposition,,,,,
L'Islet,14439,14413,16435,16209,3100,,,,,Élu sans opposition,,,,,
Lotbinière,20039,18817,22158,21319,4463,2867,36,2831,1596,939,1134,716,42,,
Maskinongé,15813,15563,16509,16377,3732,2612,30,2582,1120,1165,1417,,,,
Matane,20456,19162,27539,26614,4700,,,,,Élu sans opposition,,,,,
Mégantic,23621,18721,31314,26761,6000,,,,,Élu sans opposition,,,,,
Missisquoi,18482,9908,17466,10479,4950,,,,,Élu sans opposition,,,,,
Montcalm,13001,12020,13862,12904,3100,,,,,Élu sans opposition,,,,,
Montmagny,14757,14663,17356,17226,3200,,,,,Élu sans opposition,,,,,
Montmorency,12311,12124,13215,12953,2700,,,,,Élu sans opposition,,,,,
Montréal-No. 1 (Sainte-Marie),40631,32850,54910,45941,9574,4065,44,4021,5509,2372,1649,,,,
Montréal-No. 2 (Saint-Jacques),42618,37081,44057,38384,8950,,,,,Élu sans opposition,,,,,
Montréal-No. 3 (Saint-Louis),26919,16877,30821,13522,5225,2738,16,2722,2487,1215,,989,,518,
Montréal-No. 4 (Saint-Laurent),21889,5401,25030,4785,4392,1770,19,1751,2622,1311,,440,,,
Montréal-No. 5 (Saint-Georges),47653,14597,48638,14230,8527,2365,9,2356,6162,1553,,648,,155,
Montréal-No. 6 (Sainte-Anne),23368,7439,21676,6539,7895,4271,75,4196,3624,2281,,1915,,,
Napierville,8576,8161,7712,7426,2070,1659,21,1638,411,845,,793,,,
Nicolet,26590,26121,30055,29741,6400,,,,,Élu sans opposition,,,,,
Ottawa,75731,54599,88683,68389,16575,7009,49,6960,9566,4230,2730,,,,
Pontiac,25722,9397,29416,14270,6000,,,,,Élu sans opposition,,,,,
Portneuf,27159,25669,30529,29292,6117,4070,23,4047,2047,2449,1598,,,,
Québec-Centre,20366,15297,21143,16945,4300,,,,,Élu sans opposition,,,,,
Québec-Comté,22101,18710,25844,22428,4160,,,,,Élu sans opposition,,,,,
Québec-Est,18894,17331,24673,23183,4393,3032,22,3010,1361,1855,,1155,,,
Québec-Ouest,9149,4911,9618,5465,2315,1560,22,1538,755,620,,501,417,,
Richelieu,18576,18189,20686,20384,4748,3119,27,3092,1629,1788,1304,,,,
Richmond,17821,10812,21282,14961,4700,,,,,Élu sans opposition,,,,,
Rimouski,19701,19303,23951,23460,3262,2058,10,2048,1204,1418,630,,,,
Rouville,15990,15458,13131,12737,3500,,,,,Élu sans opposition,,,,,
Saint-Hyacinthe,21543,21302,22342,22094,5150,,,,,Élu sans opposition,,,,,
Saint-Jean,9863,8957,12389,10673,2893,2139,37,2102,754,855,515,732,,,
Saint-Maurice,15428,14962,21712,20941,4100,,,,,Élu sans opposition,,,,,
Saint-Sauveur,20431,19477,22756,22487,3500,,,,,Élu sans opposition,,,,,
Shefford,23628,18086,23976,19214,6138,4120,37,4083,2018,1873,2210,,,,
Sherbrooke,18426,10645,23211,13947,4800,,,,,Élu sans opposition,,,,,
Soulanges,9928,9269,9400,8949,2399,1849,11,1838,550,1021,817,,,,
Stanstead,18998,8744,20765,10655,5311,3448,22,3426,1863,1803,1623,,,,
Témiscouata,29185,28320,36430,35628,6092,3298,45,3253,2794,2345,,908,,,
Terrebonne,26816,25424,29018,26715,6329,3948,39,3909,2381,2708,,,,,1201
Trois-Rivières,10739,10219,14441,13836,2000,,,,,Élu sans opposition,,,,,
Vaudreuil,10445,9352,11039,9861,2990,,,,,Élu sans opposition,,,,,
Verchères,11539,11343,12004,11698,2703,1754,23,1731,949,882,,849,,,
Wolfe,16316,14885,18209,16976,3805,2420,27,2393,1385,1468,,925,,,
Yamaska,16204,15767,19511,19059,3800,,,,,Élu sans opposition,,,,,
