Circonscriptions,Population_totale_1921,Canadiens_francais_1921,Population_totale_1931,Canadiens_francais_1931,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_ouvrier,Autres_socialiste,Autres_protectionniste
Argenteuil,17165,9321,18976,11026,9234,8017,69,7948,1217,3854,4094,,,,,,
Bagot,18035,17876,16914,16782,7848,7088,90,6998,760,3787,3211,,,,,,
Beauce,53505,52707,58854,57940,22520,13810,83,13727,8710,11176,2551,,,,,,
Beauharnois,19888,18283,25163,20906,9729,7810,28,7782,1919,4843,2565,374,,,,,
Bellechasse,21813,21781,22006,21927,8930,6853,54,6799,2077,4897,1902,,,,,,
Berthier-Maskinongé,36762,36380,35545,35115,16577,11280,48,11232,5297,6606,4626,,,,,,
Bonaventure,29092,21256,32432,24229,13762,11399,80,11319,2363,6164,5155,,,,,,
Brome-Missisquoi,31090,17591,32069,18963,16506,13220,89,13131,3286,7126,6005,,,,,,
Cartier,54800,23925,34861,12037,16003,10356,281,10075,5647,5048,2312,2043,,,,672,
Chambly-Verchères,34643,26751,39404,28626,19449,15805,172,15633,3644,8667,6966,,,,,,
Champlain,48140,46091,51772,49870,21838,15496,65,15431,6342,10024,5407,,,,,,
Charlevoix-Saguenay,46125,40019,55134,47976,19374,11539,75,11464,7835,8553,2911,,,,,,
Châteauguay-Huntingdon,26731,16052,25470,15751,13838,10732,70,10662,3106,5691,4971,,,,,,
Chicoutimi,37578,36422,55724,52925,20194,10874,74,10800,9320,,2142,8658,,,,,
Compton,31583,22469,30464,22814,15086,12139,35,12104,2947,7125,4979,,,,,,
Dorchester,29121,27811,31067,29878,12953,9297,30,9267,3656,5627,3640,,,,,,
Drummond-Arthabaska,44823,42983,53338,50424,21331,13466,52,13414,7865,9600,3814,,,,,,
Gaspé,40375,31146,45617,36388,18383,13704,115,13589,4679,8769,4820,,,,,,
Hochelaga,73526,57620,84253,71908,30976,19533,162,19371,11443,16339,2530,502,,,,,
Hull,35518,31914,46114,39320,22422,13170,86,13084,9252,10899,2185,,,,,,
Jacques-Cartier,62039,33087,156622,87194,44197,35706,349,35357,8491,18755,16602,,,,,,
Joliette,25913,25169,27585,26719,12226,9916,55,9861,2310,5659,4202,,,,,,
Kamouraska,22014,21879,23954,23807,10126,6952,58,6894,3174,4332,2562,,,,,,
Labelle,37161,34086,39395,35589,15684,8848,32,8816,6836,,1118,,,7569,,,129
Lac-Saint-Jean,35539,35303,50253,48383,17227,13869,46,13823,3358,8090,5733,,,,,,
Laprairie-Napierville,20065,17053,21091,17582,8903,7090,45,7045,1813,4201,2844,,,,,,
L'Assomption-Montcalm,28318,26780,29188,27623,14175,7974,29,7945,6201,6044,1901,,,,,,
Laurier-Outremont,72047,35184,88579,35555,28910,21311,245,21066,7599,12724,8342,,,,,,
Laval-Deux-Montagnes,28314,26450,30449,28383,13398,8091,27,8064,5307,5916,2148,,,,,,
Lévis,33323,32418,35656,34704,16481,13053,88,12965,3428,7127,5838,,,,,,
L'Islet,17859,17691,19404,19276,8081,6450,36,6414,1631,3619,2795,,,,,,
Lotbinière,21837,21054,23034,22527,10127,8012,17,7995,2115,4650,,,,3345,,,
