Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Union_nationale,Ralliement_creditiste,Autres_parti_quebecois_independant,Autres_independants_01,Autres_independants_02,Autres_nouveau_parti_democratique,Autres_parti_communiste_du_quebec,Autres_ligue_socialiste_ouvriere,Autres_creditiste
Matapédia,131,35396,59,100,26720,40,15741,13355,141,13214,2386,4319,3805,2564,871,,1655,,,,,
Mégantic,1652,55518,230,1395,56465,160,33674,29662,1181,28481,4012,6954,5626,7700,8201,,,,,,,
Mercier,2326,58315,1393,2115,58975,2370,42255,33730,855,32875,8525,15337,12276,4145,1011,,106,,,,,
Missisquoi,6328,22373,825,6635,26530,790,20311,17183,302,16881,3128,6246,2042,6789,1804,,,,,,,
Montcalm,1055,17506,205,1335,19895,315,12793,11086,152,10934,1707,4612,1372,4950,,,,,,,,
Montmagny,80,26337,33,115,26160,30,16182,13310,155,13155,2872,3664,634,5596,3261,,,,,,,
Montmorency,823,24804,81,780,57485,210,34812,30410,657,29753,4402,9714,3729,6337,9673,,300,,,,,
Napierville-Laprairie,4294,35703,2376,10410,59065,4290,37961,30648,1068,29580,7313,14408,7014,6739,1194,,225,,,,,
Nicolet,110,30628,89,130,29725,145,18564,16375,165,16210,2189,5561,1764,7380,1505,,,,,,,
Notre-Dame-de-Grâce,46225,14380,10744,42865,14130,12745,44237,37175,582,36593,7062,31930,2783,680,357,,,,843,,,
Olier,5243,43973,11655,7970,75420,38055,56049,45691,733,44958,10358,22649,16691,3994,1624,,,,,,,
Outremont,26820,26372,12542,22840,31245,11965,41339,35725,749,34976,5614,25955,7295,1419,,,,,307,,,
Papineau,6729,44493,495,7620,54385,510,34960,29687,425,29262,5273,12651,2634,9003,4974,,,,,,,
Pontiac,10979,8327,641,11145,7895,530,12074,9780,143,9637,2294,5152,253,3990,242,,,,,,,
Portneuf,1853,48621,237,2360,48975,205,35150,29463,400,29063,5687,7981,3681,6315,11086,,,,,,,
Richelieu,643,37678,244,1030,45700,360,32736,29140,461,28679,3596,12047,5866,9819,947,,,,,,,
Richmond,5337,36624,271,4770,36080,190,24316,21083,305,20778,3233,6348,3655,3290,7485,,,,,,,
Rimouski,386,64687,222,455,63735,75,32890,28176,347,27829,4714,9987,8427,5247,4168,,,,,,,
Rivière-du-Loup,181,39994,64,220,39210,60,24384,20978,241,20737,3406,8586,2008,7585,2558,,,,,,,
Robert-Baldwin,44594,19663,3675,87560,34315,9660,61673,53570,779,52791,8103,46169,4853,1769,,,,,,,,
Roberval,429,60287,594,335,56300,435,31122,26341,327,26014,4781,9845,5977,7236,2956,,,,,,,
Rouville,3504,22166,309,3915,27415,430,18299,16274,224,16050,2025,6564,2327,6255,904,,,,,,,
Rouyn-Noranda,4988,34301,2675,3535,32700,1280,21365,18881,438,18443,2484,4013,2756,2101,9573,,,,,,,
Saguenay,5318,45031,3183,1790,58720,3960,34154,28072,391,27681,6082,10144,12392,4007,1138,,,,,,,
Saint-Henri,8191,60203,7767,5550,50895,7405,39220,31094,1028,30066,8126,14096,11395,4036,,,244,,295,,,
Saint-Hyacinthe,338,44377,278,450,49720,325,32580,28190,400,27790,4390,10628,5696,8584,2801,,81,,,,,
Saint-Jacques,1953,51211,4499,2390,36180,3760,31826,22648,721,21927,9178,7064,8554,5377,848,,84,,,,,
Saint-Jean,3950,33517,1003,3415,41555,925,26637,23821,493,23328,2816,8993,6821,6605,909,,,,,,,
Saint-Laurent,27715,30415,6120,32390,48945,13425,55449,47028,1060,45968,8421,33109,9459,2917,,,,,483,,,
Saint-Louis,10492,38334,37632,9255,23545,34010,28168,19774,761,19013,8394,12303,4595,1526,,,,,376,213,,
Saint-Maurice,1769,62993,223,990,54775,150,38085,32698,419,32279,5387,7857,7876,11921,4625,,,,,,,
Saint-Sauveur,411,48634,164,990,56875,215,36591,30032,506,29526,6559,8685,4912,6712,9217,,,,,,,
Sainte-Anne,21357,37801,8086,15705,24250,4115,27432,19209,637,18572,8223,8914,3809,804,,,4875,170,,,,
Sainte-Marie,2032,69368,2480,1535,52785,1540,35317,25820,666,25154,9497,8194,10707,5165,1088,,,,,,,
Shefford,4935,49475,553,4605,57235,520,36733,31958,397,31561,4775,8844,4113,10480,8124,,,,,,,
Sherbrooke,11344,68170,976,11130,89165,1175,60989,51381,835,50546,9608,17319,10783,10421,11716,,,,307,,,
Stanstead,8318,27547,230,7935,28120,210,21996,18486,365,18121,3510,8897,2000,2300,4924,,,,,,,
Taillon,10989,52990,2192,12780,92480,3890,49664,40009,1302,38707,9655,16501,11138,4997,2826,2998,134,113,,,,
Témiscamingue,1452,16647,225,1480,15485,180,10211,8595,56,8539,1616,3747,499,1448,2845,,,,,,,
Témiscouata,110,28945,24,105,23075,10,13193,11172,109,11063,2021,3356,877,3929,2901,,,,,,,
Terrebonne,8143,91775,2357,11285,125560,3100,79792,68159,1288,66871,11633,30452,17985,13406,5028,,,,,,,
Trois-Rivières,2212,54979,380,2090,61490,340,40554,32909,531,32378,7645,12899,6995,8706,3778,,,,,,,
Vaudreuil-Soulanges,7172,30812,772,10095,36915,1035,28224,23957,333,23624,4267,11841,4183,6389,1158,,,,,,,53
Verchères,6248,35522,792,11785,57070,1400,33288,28845,1001,27844,4443,14822,8026,3995,1001,,,,,,,
Verdun,30818,44669,2830,26250,46195,2275,48418,40445,964,39481,7973,23630,9298,4129,1117,,862,259,186,,,
Westmount,43894,17342,13596,45475,20785,12955,48441,38982,641,38341,9459,32703,3647,1126,336,,,,529,,,
Wolfe,411,17890,34,395,15780,25,9547,8474,114,8360,1073,2082,706,3712,1860,,,,,,,
Yamaska,56,15939,63,65,15130,10,9488,8245,84,8161,1243,3826,558,3339,438,,,,,,,
