Circonscriptions,Anglophones_2006,Francophones_2006,Allophones_2006,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Bloc_quebecois,Nouveau_parti_democratique,Parti_vert,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_parti_marxiste-leniniste,Autres_parti_progressiste,Autres_parti_marijuana,Autres_parti_libertarien,Autres_action_canadienne,Autres_parti_communiste_canadien,Autres_christian_heritage_party
Abitibi-Baie-James-Nunavik-Eeyou,2263,52792,24895,56615,30471,562,29909,26144,6700,6261,13928,1810,1210,,,,,,,,,,,
Abitibi-Témiscamingue,3383,96687,1410,79435,47673,600,47073,31762,6501,10634,24637,4022,1279,,,,,,,,,,,
Ahuntsic,3899,55416,38840,75100,50511,586,49925,24589,18594,6119,19428,3948,1836,,,,,,,,,,,
Alfred-Pellan,5569,74341,23025,80328,54769,791,53978,25559,14895,10210,23193,3838,1842,,,,,,,,,,,
Argenteuil-Papineau-Mirabel,8492,99473,2455,86627,54279,846,53433,32348,7171,12461,27855,3466,2480,,,,,,,,,,,
Bas-Richelieu-Nicolet-Bécancour,732,87683,1220,75514,50488,877,49611,25026,6438,11588,27742,2248,1595,,,,,,,,,,,
Beauce,611,101049,740,82123,55532,454,55078,26591,4364,36915,10997,1405,1397,,,,,,,,,,,
Beauharnois-Salaberry,9338,93262,2425,84563,56151,1053,55098,28412,8272,14609,26190,4163,1864,,,,,,,,,,,
Beauport-Limoilou,847,94238,3580,83327,49721,638,49083,33606,4929,19409,18589,3917,2005,,,,,234,,,,,,
Berthier-Maskinongé,1027,103403,1520,85642,54778,780,53998,30864,5605,16958,26191,3319,1925,,,,,,,,,,,
Bourassa,4453,56107,38525,73571,43907,815,43092,29664,18705,6830,13777,2237,1370,,,,,173,,,,,,
Brome-Missisquoi,14507,73668,2650,74088,49074,554,48520,25014,13569,9874,18596,2839,1721,,,,,,1921,,,,,
Brossard-La Prairie,11630,73140,28560,86808,58211,545,57666,28597,20190,9749,21433,4301,1883,,,,,110,,,,,,
