Circonscriptions,Anglophones_2006,Francophones_2006,Allophones_2006,Anglophones_2011,Francophones_2011,Allophones_2011,Electeur_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Quebec_solidaire,Parti_vert,Autres_independants_01,Autres_independants_02,Autres_parti_marxiste-leniniste,Autres_bloc_pot,Autres_parti_de_la_democratie_chretienne
Abitibi-Est,1067,40038,2030,1223,41612,1595,32921,22313,404,21909,10608,7545,8262,5060,1042,,,,,,
Abitibi-Ouest,355,41565,485,336,42079,510,32391,22918,216,22702,9473,5376,10983,5529,814,,,,,,
Acadie,5573,26292,41360,5607,26083,43510,48712,30216,322,29894,18496,17962,4970,4327,1135,1500,,,,,
Anjou,2775,40520,16925,2570,39040,19705,45034,32443,333,32110,12591,13280,8795,7409,1151,1376,,,99,,
Argenteuil,7357,40788,1275,7350,46670,1295,39278,26914,248,26666,12364,10025,6891,7906,600,1244,,,,,
Arthabaska,421,59924,945,431,63794,995,48406,36788,412,36376,11618,11098,7892,15231,1125,1030,,,,,
Beauce-Nord,326,48854,385,381,53129,245,39475,30757,213,30544,8718,8056,2392,19127,361,525,83,,,,
Beauce-Sud,330,58935,435,461,60074,255,46422,34395,339,34056,12027,10283,3578,19361,834,,,,,,
Beauharnois,1528,51797,730,1708,52842,625,43322,32097,528,31569,11225,7679,12967,9262,600,1061,,,,,
Bellechasse,196,42054,300,336,44024,205,34391,26403,191,26212,7988,9004,3521,12715,460,512,,,,,
Berthier,722,65638,2880,875,66995,2765,53464,38886,432,38454,14578,6687,13354,16242,1087,1084,,,,,
Bertrand,3730,60105,1760,3740,64305,1890,52358,37228,292,36936,15130,9082,13672,11188,1228,1766,,,,,
Blainville,2337,71033,3555,2859,78366,4910,54869,42795,412,42383,12074,8109,14184,17731,810,1549,,,,,
Bonaventure,4881,28854,920,3829,28756,120,28853,19563,236,19327,9290,10221,5710,2357,1039,,,,,,
Borduas,1940,49965,1125,1849,55126,1240,40980,32613,286,32327,8367,7010,12529,10123,944,1459,262,,,,
Bourassa-Sauvé,3376,42819,31010,2960,38655,35010,50323,31759,550,31209,18564,15631,7105,6379,1043,891,160,,,,
Bourget,1790,49460,9370,1957,49763,11615,47108,32923,391,32532,14185,7433,13422,7487,1363,2632,,,,,195
Brome-Missisquoi,12452,48708,1860,12314,53706,1645,49928,35888,298,35590,14040,14182,7238,11221,1032,1917,,,,,
Chambly,4751,71879,2400,4817,78078,2880,59086,47018,382,46636,12068,11240,13450,18154,1527,2265,,,,,
Champlain,476,55929,745,567,58348,655,46741,35777,360,35417,10964,7635,10871,15872,1039,,,,,,
Chapleau,5120,67965,5290,5193,70542,6180,52839,32745,362,32383,20094,14581,7137,8071,774,1755,,,65,,
Charlesbourg,571,58444,1500,723,61337,2030,50702,39988,305,39683,10714,10843,9828,17207,837,968,,,,,
Charlevoix,145,39350,410,266,40674,175,32932,24366,210,24156,8566,6541,9099,7436,527,553,,,,,
Châteauguay,12346,55984,4565,14210,57860,6770,55949,41321,485,40836,14628,15279,11208,12228,967,1154,,,,,
Chauveau,1037,62168,900,1682,73813,965,51689,40067,470,39597,11622,8849,6680,22013,800,1255,,,,,
Chicoutimi,335,56145,925,391,56819,705,46081,35228,293,34935,10853,12919,13965,6155,1093,803,,,,,
Chomedey,8924,30941,35025,9426,33054,42360,54746,34436,338,34098,20310,18667,5180,7929,683,1237,299,,103,,
Chutes-de-la-Chaudière,751,71059,885,823,76147,725,51126,41605,231,41374,9521,7292,7647,24378,854,1203,,,,,
Crémazie,1761,43344,17085,2002,42578,18670,47076,34759,349,34410,12317,12218,12388,5540,2218,1934,,,112,,
D'Arcy McGee,26911,10334,23925,26220,11880,24540,41445,22007,145,21862,19438,18410,710,934,338,1470,,,,,
Deux-Montagnes,4564,52356,1975,4431,53434,3250,45231,34543,360,34183,10688,8183,11283,12415,740,1448,114,,,,
Drummond,737,68903,2155,854,74921,1800,56394,40485,621,39864,15909,9530,12960,15349,1645,,380,,,,
Dubuc,281,52019,445,442,53723,145,37154,27205,277,26928,9949,7077,10120,8401,728,602,,,,,
Duplessis,4502,38843,6540,4003,39592,6450,36534,22993,187,22806,13541,6332,10205,4959,689,621,,,,,
Fabre,6562,57018,16160,7128,56977,23965,57781,42371,448,41923,15410,14615,11224,13407,882,1795,,,,,
Frontenac,553,39657,460,497,39668,350,33311,25681,259,25422,7630,10440,5264,8831,391,496,,,,,
Gaspé,2872,30013,425,2800,30325,145,27763,18889,185,18704,8874,7022,7662,3162,858,,,,,,
Gatineau,10737,51233,2975,10713,55227,3170,48095,30499,240,30259,17596,13602,7210,6447,896,1958,,,146,,
Gouin,2282,44833,12195,2705,45360,10875,43752,30667,281,30386,13085,5612,11318,3540,7910,1750,109,,,147,
Groulx,3645,56685,4980,3462,56903,6160,48715,36705,311,36394,12010,9898,10513,13630,850,1503,,,,,
Hochelaga-Maisonneuve,1596,44669,7705,1791,44394,8335,40272,25040,355,24685,15232,3347,13012,3836,2388,1749,97,,63,193,
Hull,5714,53221,9335,7101,50484,10275,48915,29967,237,29730,18948,12643,7115,5071,2358,2476,,,67,,
Huntingdon,8209,45961,1790,8649,48011,1685,43746,31017,354,30663,12729,9674,6926,13113,669,,281,,,,
Iberville,1678,54792,1220,1783,61367,1100,45224,34427,410,34017,10797,8390,9262,14365,776,1224,,,,,
Îles-de-la-Madeleine,831,12074,75,710,11935,25,10586,8056,75,7981,2530,2642,4820,380,,139,,,,,
Jacques-Cartier,35024,16576,13160,35085,15905,14675,47774,32174,166,32008,15600,22481,1352,3973,491,3545,166,,,,
Jean-Lesage,396,53404,2565,623,53837,3145,48319,35103,321,34782,13216,10185,7990,13865,1236,1159,131,,100,,116
Jeanne-Mance-Viger,6324,23666,41435,5883,23007,46595,48710,30815,349,30466,17895,20716,3659,4565,635,790,,,101,,
Jean-Talon,1526,44044,2700,1411,44664,3480,41208,32958,235,32723,8250,13732,9859,6056,1463,1518,,,,,95
Johnson,1187,53738,880,1118,56042,470,43092,32323,366,31957,10769,7157,11331,11511,770,1188,,,,,
Joliette,421,60779,1345,612,66323,1420,50439,37709,480,37229,12730,7527,13055,13805,1693,1149,,,,,
Jonquière,521,55009,610,451,56289,320,44011,32949,275,32674,11062,11576,12851,6634,839,703,71,,,,
Kamouraska-Témiscouata,231,42664,315,215,41385,120,34475,24957,217,24740,9518,9826,4804,9074,521,515,,,,,
La Prairie,4350,67265,4010,4840,71530,6265,55758,43214,442,42772,12544,12251,13168,14453,818,1605,179,,60,238,
Labelle,1549,53486,980,4372,52483,760,45061,31082,344,30738,13979,6970,13961,7724,894,1189,,,,,
Lac-Saint-Jean,160,51895,395,235,53430,195,41389,32001,229,31772,9388,9175,14750,6837,536,474,,,,,
Lafontaine,4956,23149,26240,5675,23640,27245,39114,26355,287,26068,12759,16281,3715,4755,552,765,,,,,
Lapeltrie,1013,68517,1005,995,72170,1110,52097,41550,316,41234,10547,11171,7033,21055,772,1203,,,,,
Lapinière,9000,35965,25775,9690,38250,30900,53488,35576,311,35265,17912,17786,6281,8654,860,1684,,,,,
Laporte,10918,41787,7620,9361,42244,8330,46048,32659,320,32339,13389,13249,8137,7699,1256,1998,,,,,
L'Assomption,1063,67872,2575,1177,71793,3825,55838,42527,415,42112,13311,8235,14287,16510,1303,1777,,,,,
Laurier-Dorion,4527,31478,37940,4786,33229,35275,47121,30809,392,30417,16312,12064,10968,2874,2431,1639,160,115,166,,
Laval-des-Rapides,2603,46942,14550,2540,45185,18935,48667,33905,396,33509,14762,11532,10038,9344,1145,1450,,,,,
Laviolette,592,71468,3610,713,69757,3855,34279,24884,243,24641,9395,10100,6687,6826,468,494,,,,,66
Lévis,756,59489,750,582,64313,765,49997,39664,270,39394,10333,9925,10101,17388,802,1015,,,36,,127
Lotbinière,211,41899,490,381,44059,320,33788,26377,250,26127,7411,5720,4305,15472,630,,,,,,
Louis-Hébert,1304,60471,3670,1212,60703,4820,51615,41977,259,41718,9638,14410,10429,13594,1326,1734,,,,,225
Marguerite-Bourgeoys,17491,26194,21055,17713,24712,22175,46887,29602,282,29320,17285,16752,4697,5547,717,1454,,,56,,97
Marguerite-D'Youville,1258,64037,2245,1434,66641,2680,51221,42325,415,41910,8896,11401,13015,15536,1958,,,,,,
