No.,Circonscription,Date,Jour,Mois,Annee,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Parti_liberal,Parti conservater,Parti_quebecois,Credit_social,Action_democratique,Quebec_solidaire,Parti_vert,Liberal_independant_01,Liberal_independant_02,Liberal_independant_03,Liberal_independant_04,Liberal_independant_05,Conservateur_indepedant_01,Conservateur_indepedant_02,Autres_01,Autres_02,Autres_03,Autres_04,Autres_05,Autres_06,Autres_07,Autres_08,Autres_09
1,Champlain,16 décembre 1867,16,décembre,1867,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
2,Trois-Rivières,16 octobre 1868,16,octobre,1868,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
3,Kamouraska,11 février 1869,11,février,1869,3278,2230,,1096,1134,,,,,,,,,,,,,,,,,,,,,
4,Sherbrooke,5 novembre 1869,5,novembre,1869,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
5,Huntingdon,6 novembre 1869,6,novembre,1869,2421,1481,,694,787,,,,,,,,,,,,,,,,,,,,,
6,Trois-Rivières,19 octobre 1869,19,octobre,1869,678,457,,,254,,,,,,,,,,,203,,,,,,,,,,
7,Richelieu,29 octobre 1869,29,octobre,1869,3392,1708,,848,860,,,,,,,,,,,,,,,,,,,,,
8,Napierville,11 octobre 1870,11,octobre,1870,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
9,Rimouski,29 avril 1872,29,avril,1872,3618,1738,,,941,,,,,,,,,,,797,,,,,,,,,,
10,Montmorency,23 décembre 1872,23,décembre,1872,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
11,Québec-Est,3 mars 1873,3,mars,1873,3984,1995,,1415,580,,,,,,,,,,,,,,,,,,,,,
12,Terrebonne,12 mars 1873,12,mars,1873,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
13,Québec-Comté,21 mars 1873,21,mars,1873,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
14,Gaspé,7 avril 1873,7,avril,1873,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
15,Beauharnois,12 juillet 1873,12,juillet,1873,2041,1312,,995,317,,,,,,,,,,,,,,,,,,,,,
16,Montréal-Ouest,22 août 1873,22,août,1873,4483,4303,,1376,1784,,,,,,,,,,,,,1143,,,,,,,,
17,Montmagny,16 décembre 1873,16,décembre,1873,1767,1425,,807,618,,,,,,,,,,,,,,,,,,,,,
18,Montréal-Centre,6 féveiwe 1874,6,février,1874,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
19,Montmorency,10 février 1874,10,février,1874,1713,1046,,211,835,,,,,,,,,,,,,,,,,,,,,
20,Yamaska,11 février 1874,11,février,1874,2668,1237,,,837,,,,,,,,,,,,,268,132,,,,,,,
21,Drummond-Arthabaska,20 février 1874,20,février,1874,4640,2507,,922,1585,,,,,,,,,,,,,,,,,,,,,
22,Beauce,24 février 1874,24,février,1874,3819,2563,,1168,1395,,,,,,,,,,,,,,,,,,,,,
23,Montcalm,13 mars 1874,13,mars,1874,1975,1413,,428,657,,,,,,,,,,,328,,,,,,,,,,
24,Québec-Centre,16 avril 1874,16,avril,1874,3103,1231,,393,838,,,,,,,,,,,,,,,,,,,,,
25,Québec-Est,16 avril 1874,16,avril,1874,3984,2428,,1147,1281,,,,,,,,,,,,,,,,,,,,,
26,Chicoutimi-Saguenay,2 mai 1874,2,mai,1874,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
27,Huntingdon,30 mai 1874,30,mai,1874,2488,1664,,1020,,,,,,,644,,,,,,,,,,,,,,,
28,Bonaventure,4 août 1874,4,août,1874,2484,1301,,569,732,,,,,,,,,,,,,,,,,,,,,
29,Trois-Rivières,3 actobre 1874,3,octobre,1874,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
30,Montmorency,5 actobre 1874,5,octobre,1874,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
31,Québec-Comté,5 actobre 1874,5,octobre,1874,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
32,Pontiac,26 octobre 1874,26,octobre,1874,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
33,Missisquoi,10 février 1876,10,février,1876,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
34,Terrebonne,10 février 1876,10,février,1876,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
35,Deux-Montagnes,3 mars 1876,3,mars,1876,2432,1512,,556,956,,,,,,,,,,,,,,,,,,,,,
36,Mégantic,18 avril 1876,18,avril,1876,2962,1818,,,593,,,,,,,,,,,439,,439,347,,,,,,,
37,Trois-Rivières,18 avril 1876,18,avril,1876,1482,1060,,,428,,,,,,,,,,,632,,,,,,,,,,
38,Huntingdon,24 avril 1876,24,avril,1876,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
