Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_conservateur_01,Autres_conservateur_02,Autres_independants,Autres_parti_de_la_reconstruction,Autres_commonwealth_cooperative_federation,Autres_ouvrier,Autres_verdun_party,Autres_communiste,Autres_independant_reconstruction,Autres_liberal_ouvrier,Autres_veterans
Montmagny-L'Islet,30869,30660,33394,33097,15636,11843,135,11708,3793,6826,4611,,,,,,271,,,,,,,
Montmorency,36599,34741,45605,43166,20386,17359,211,17148,3027,9084,8064,,,,,,,,,,,,,
Mont-Royal,54819,10911,70066,14301,46133,33224,456,32768,12909,11967,16203,,,,,343,2782,1473,,,,,,
Nicolet-Yamaska,40157,39664,40749,40067,20790,16592,172,16420,4198,9542,6770,,,,,,108,,,,,,,
Outremont,58817,27932,78054,34201,28804,20616,472,20144,8188,11260,7040,,,,,,1844,,,,,,,
Pontiac,41850,23665,73436,48438,28147,18465,203,18262,9682,5626,4409,5708,,,,,2519,,,,,,,
Portneuf,38129,36611,42008,40443,19046,15602,121,15481,3444,5981,5155,4281,64,,,,,,,,,,,
Québec-Est,71862,69119,71862,69119,30330,25442,274,25168,4888,15557,9611,,,,,,,,,,,,,
Québec-Ouest-et-Sud,69064,65380,69064,65380,23337,19365,179,19186,3972,10466,8720,,,,,,,,,,,,,
Québec-Sud,45811,38558,45811,38558,23027,18167,234,17933,4860,11270,6663,,,,,,,,,,,,,
Richelieu-Verchères,34963,34492,37996,37378,20067,14567,143,14424,5500,11022,3402,,,,,,,,,,,,,
Richmond-Wolfe,36568,30470,39545,33681,18258,14946,151,14795,3312,6278,5034,2533,,,,,950,,,,,,,
Rimouski,40208,39289,51454,50409,19827,14581,116,14465,5246,9238,4495,,,,,,732,,,,,,,
Saint-Antoine-Westmount,58514,13084,63313,15120,35330,22322,396,21926,13008,7222,12905,,,,,,1799,,,,,,,
Saint-Denis,93784,72318,97851,82209,44936,31049,653,30396,13887,19047,1519,,,,,761,8067,,1002,,,,,
Saint-Henri,76281,57087,79343,62502,42606,30096,779,29317,12510,21561,4871,,,,,,2885,,,,,,,
Saint-Hyacinthe-Bagot,42820,42247,49772,49167,24977,16089,136,15953,8888,11547,3268,,,,,,1138,,,,,,,
Saint-Jacques,133762,103244,142543,117673,54760,37672,791,36881,17088,22298,2953,,,,,241,10242,1147,,,,,,
Saint-Jean-Iberville-Napierville,32259,30184,36383,34367,18502,10910,129,10781,7592,9422,1359,,,,,,,,,,,,,
Saint-Laurent-Saint-Georges,34026,7708,35154,11272,22549,14329,311,14018,8220,5695,6862,,,,,,1461,,,,,,,
Saint-Maurice-Laflèche,46565,43427,54134,50889,21943,17035,246,16789,4908,5505,3332,4237,3715,,,,,,,,,,,
Sainte-Anne,36733,14898,35485,16127,20665,15803,186,15617,4862,3818,2145,4274,3137,,,,713,,1301,,,,229,
Sainte-Marie,75350,66170,80127,72333,46573,32951,725,32226,13622,18479,,,,,,,12840,,,,,907,,
Shefford,28262,24449,33387,29290,16499,13595,168,13427,2904,6925,6502,,,,,,,,,,,,,
Sherbrooke,37386,26842,46574,35388,21979,18085,250,17835,3894,9806,8029,,,,,,,,,,,,,
Stanstead,25118,16622,27972,19543,14493,11765,102,11663,2728,5676,5553,,,,,,434,,,,,,,
Témiscouata,42679,41946,49871,49105,20718,15347,214,15133,5371,10177,4565,,,,,,391,,,,,,,
Terrebonne,38935,36088,47263,43625,20748,15389,176,15213,5359,9900,4141,,,,,,1172,,,,,,,
Trois-Rivières,44654,42198,52061,48863,25547,20587,263,20324,4960,5070,5748,6114,2267,76,,,1049,,,,,,,
Vaudreuil-Soulanges,21114,19012,22498,20214,11643,8848,67,8781,2795,5983,2519,,,,,,279,,,,,,,
Verdun,63144,24920,72050,31056,36338,25347,324,25023,10991,,5602,2731,2065,232,74,,1266,4706,3833,4214,,,221,79
Wright,26925,17444,29754,20130,14284,10783,177,10606,3501,5945,2540,,,,,825,1296,,,,,,,
