Communautes,CGT,Polation_totale_1971,Anglophones_1971,Francophones_1971,Allophones_1971,Polation_totale_1981,Anglophones_1981,Francophones_1981,Allophones_1981,Polation_totale_1986,Anglophones_1986,Francophones_1986,Allophones_1986,Polation_totale_1991,Anglophones_1991,Francophones_1991,Allophones_1991,Polation_totale_1996,Anglophones_1996,Francophones_1996,Allophones_1996,Polation_totale_2001,Anglophones_2001,Francophones_2001,Allophones_2001,Polation_totale_2006,Anglophones_2006,Francophones_2006,Allophones_2006,Population_totale_2011,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits_1953,Votes_exprimes_1953,Bulletins_rejetés_1953,Parti_liberal_1953,Parti_progressiste-conservateur_1953,Commonwealth_cooperative_federation_1953,Autres_1953,Electeurs_inscrits_1957,Votes_exprimes_1957,Bulletins_rejetes_1957,Parti_liberal_1957,Parti_progressiste-conservateur_1957,Commonwealth_cooperative_federation_1957,Autres_1957,Electeurs_inscrits_1958,Votes_exprimes_1958,Bulletins_rejetes_1958,Parti_liberal_1958,Parti_progressiste-conservateur_1958,Commonwealth_cooperative_federation_1958,Autres_1958,Electeurs_inscrits_1962,Votes_exprimes_1962,Bulletins_rejetes_1962,Parti_liberal_1962,Parti_progressiste-conservateur_1962,Nouveau_parti_democratique_1962,Credit_social_1962,Autres_1962,Electeurs_inscrits_1963,Votes_exprimes_1963,Bulletins_rejetes_1963,Parti_liberal_1963,Parti_progressiste-conservateur_1963,Nouveau_parti_democratique_1963,Credit_social_1963,Autres_1963,Electeurs_inscrits_1965,Votes_exprimes_1965,Bulletins_rejetes_1965,Parti_liberal_1965,Parti_progressiste-conservateur_1965,Nouveau_parti_democratique_1965,Ralliement_creditiste_1965,Autres_1965,Electeurs_inscrits_1968,Votes_exprimes_1968,Bulletins_rejetes_1968,Parti_liberal_1968,Parti_progressiste-conservateur_1968,Nouveau_parti_democratique_1968,Ralliement_creditiste_1968,Autres_1968,Electeurs_inscrits_1972,Votes_exprimes_1972,Bulletins_rejetes_1972,Parti_liberal_1972,Parti_progressiste-conservateur_1972,Nouveau_parti_democratique_1972,Credit_social_1972,Autres_1972,Electeurs_inscrits_1974,Votes_exprimes_1974,Bulletins_rejetes_1974,Parti_liberal_1974,Parti_progressiste-conservateur_1974,Nouveau_parti_democratique_1974,Credit_social_1974,Autres_1974,Electeurs_inscrits_1979,Votes_exprimes_1979,Bulletins_rejetes_1979,Parti_liberal_1979,Parti_progressiste-conservateur_1979,Nouveau_parti_democratique_1979,Credit_social_1979,Autres_1979,Electeurs_inscrits_1980,Votes_exprimes_1980,Bulletins_rejetes_1980,Parti_liberal_1980,Parti_progressiste-conservateur_1980,Nouveau_parti_democratique_1980,Credit_social_1980,Autres_1980,Electeurs_inscrits_1984,Votes_exprimes_1984,Bulletins_rejetes_1984,Parti_liberal_1984,Parti_progressiste-conservateur_1984,Nouveau_parti_democratique_1984,Autres_1984,Electeurs_inscrits_1988,Votes_exprimes_1988,Bulletins_rejetes_1988,Parti_liberal_1988,Parti_progressiste-conservateur_1988,Nouveau_parti_democratique_1988,Autres_1988,Electeurs_inscrits_1993,Votes_exprimes_1993,Bulletins_rejetes_1993,Parti_liberal_1993,Parti_progressiste-conservateur_1993,Bloc_quebecois_1993,Nouveau_parti_democratique_1993,Autres_1993,Electeurs_inscrits_1997,Votes_exprimes_1997,Bulletins_rejetes_1997,Parti_liberal_1997,Parti_progressiste-conservateur_1997,Bloc_quebecois_1997,Nouveau_parti_democratique_1997,Reform_party_1997,Autres_1997,Electeurs_inscrits_2000,Votes_exprimes_2000,Bulletins_rejetes_2000,Parti_liberal_2000,Parti_progressiste-conservateur_2000,Bloc_quebecois_2000,Nouveau_parti_democratique_2000,Alliance_canadienne_2000,Autres_2000,Electeurs_inscrits_2004,Votes_exprimes_2004,Bulletins_rejetes_2004,Parti_liberal_2004,Parti_progressiste-conservateur_2004,Bloc_quebecois_2004,Nouveau_parti_democratique_2004,Parti_vert_2004,Autres_2004,Electeurs_inscrits_2006,Votes_exprimes_2006,Bulletins_rejetes_2006,Parti_liberal_2006,Parti_conservateur_2006,Bloc_quebecois_2006,Nouveau_parti_democratique_2006,Parti_vert_2006,Autres_2006,Electeurs_inscrits_2008,Votes_exprimes_2008,Bulletins_rejetes_2008,Parti_liberal_2008,Parti_conservateur_2008,Bloc_quebecois_2008,Nouveau_parti_democratique_2008,Parti_vert_2008,Autres_2008,Electeurs_inscrits_2011,Votes_exprimes_2011,Bulletins_rejetes_2011,Parti_liberal_2011,Parti_conservateur_2011,Bloc_quebecois_2011,Nouveau_parti_democratique_2011,Parti_vert_2011,Autres_2011
Montagnais – RI Natashquan,98806,338,0,0,0,415,0,5,410,491,0,15,480,598,0,10,590,639,0,0,635,761,0,20,740,810,0,20,795,841,0,10,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,142,1,124,11,2,4,0,186,145,0,124,19,2,0,0,141,86,1,80,3,2,0,0,203,122,3,108,9,0,0,2,265,114,0,80,23,2,5,4,266,138,2,111,14,1,5,5,311,168,5,77,71,10,5,272,115,1,44,49,21,0,252,169,6,38,45,76,4,0,354,177,0,170,1,5,1,0,0,380,179,1,157,1,17,1,2,0,342,135,0,110,4,15,2,4,0,437,116,1,98,9,6,0,1,1,485,86,0,52,9,16,8,1,0,542,164,0,17,2,2,143,0,0
Montagnais – RI Pakuashipi,98802,0,0,0,0,0,0,0,0,0,0,0,0,211,0,5,210,242,0,15,225,228,0,10,220,289,0,10,275,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,77,1,54,19,1,2,101,36,1,20,6,9,0,138,52,2,20,18,7,5,0,140,89,4,76,0,6,3,0,0,125,56,0,43,1,9,2,1,0,109,82,0,76,0,5,1,0,0,91,62,0,54,3,2,2,1,0,68,28,1,19,1,4,3,0,0,151,113,1,3,1,0,108,0,0
Naskapis – VK Kawawachikamach,97806,0,0,0,0,0,0,0,0,354,0,0,350,405,10,0,395,487,10,10,475,540,0,0,525,569,15,10,550,586,20,5,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,152,1,94,33,22,2,230,147,0,103,30,10,4,0,275,155,0,134,1,7,13,0,0,263,126,0,110,4,6,3,3,0,294,99,1,94,1,1,2,0,0,290,105,0,91,6,0,5,3,0,311,115,0,91,2,7,14,1,0,360,64,0,41,0,2,20,1,0
Inuit – VN Akulivik,99125,0,0,0,0,256,0,0,255,337,0,5,330,375,5,10,360,411,0,10,390,472,0,15,455,507,0,10,500,615,20,10,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,41,0,0,0,0,0,41,103,75,0,32,7,21,4,11,162,150,1,104,20,10,15,159,88,1,43,22,22,0,183,118,1,97,8,6,6,0,239,137,2,106,12,8,9,0,0,241,153,3,114,2,9,13,12,0,244,106,5,78,4,14,4,1,0,246,124,0,52,27,24,14,7,0,334,110,6,61,11,21,10,1,0,321,145,1,29,14,14,54,33,0
Inuit – VN Aupaluk,99105,0,0,0,0,102,5,0,100,110,5,5,105,131,5,5,130,159,0,10,155,159,0,0,150,174,10,10,160,195,5,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,0,6,2,15,2,2,26,21,3,9,2,1,3,3,49,36,0,10,25,1,0,59,39,0,16,10,8,5,60,34,0,24,6,3,1,0,72,47,1,31,6,6,3,0,0,77,44,0,42,0,2,0,0,0,98,49,0,36,0,5,4,4,0,89,41,0,29,5,2,3,2,0,99,47,0,32,5,2,5,3,0,111,52,2,12,9,6,14,9,0
Inuit – VN Inukjuak,99085,525,0,0,0,661,10,10,640,778,25,25,730,1044,45,30,970,1184,35,25,1130,1294,35,60,1200,1597,50,45,1335,1597,33,33,1535,232,36,9,16,11,0,0,181,69,0,39,30,0,0,179,47,3,24,20,0,0,185,115,3,51,49,0,12,0,204,92,2,42,16,20,12,0,197,91,3,33,21,31,3,0,215,113,1,42,35,16,19,0,258,26,8,15,1,0,2,0,271,27,0,12,10,3,1,1,348,254,1,12,6,4,1,230,353,196,1,80,17,34,23,41,383,205,1,67,51,64,22,480,246,4,95,46,101,0,580,310,4,189,59,25,33,0,667,337,3,204,49,42,39,0,0,727,359,1,279,12,30,14,23,0,858,322,2,251,17,12,23,17,0,821,346,3,168,75,39,25,36,0,728,287,0,133,45,24,62,23,0,816,377,0,49,28,8,35,257,0
Inuit – VN Ivujivik,99140,120,0,0,0,0,0,0,0,208,5,5,205,263,0,5,250,274,0,10,270,298,10,15,280,349,0,0,340,370,5,15,355,59,53,1,43,9,0,0,52,52,0,20,32,0,0,63,60,1,23,36,0,0,53,40,0,4,6,0,30,0,51,48,1,9,9,15,14,0,51,48,3,19,7,17,2,0,54,42,0,17,3,15,7,0,59,8,0,7,0,0,1,0,74,16,0,9,4,1,1,1,79,30,0,1,5,1,0,23,77,25,0,6,2,13,2,2,104,23,0,5,9,7,2,138,60,1,15,15,29,0,131,53,0,28,10,6,9,0,145,43,1,25,7,6,4,0,0,147,66,2,34,6,8,7,9,0,171,63,1,47,3,4,4,4,0,172,67,0,19,24,10,9,5,0,165,77,2,33,15,12,13,2,0,183,75,1,24,8,7,17,18,0
Inuit – VN Kangiqsualujjuaq,99090,231,0,0,0,149,10,0,135,383,0,0,375,529,108,108,310,648,20,25,600,710,10,30,670,735,20,10,695,874,30,30,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,61,2,19,10,9,21,0,94,0,0,0,0,0,0,0,119,24,0,16,4,4,0,0,141,40,3,14,7,9,2,5,144,113,2,11,81,6,7,6,183,107,0,28,60,9,10,259,206,3,68,41,76,18,359,244,3,149,30,40,22,0,346,201,3,120,16,23,39,0,0,366,253,1,197,8,23,10,14,0,412,209,0,138,12,14,13,32,0,393,197,1,122,21,21,14,18,0,437,264,2,177,21,18,38,8,0,484,123,0,39,18,11,25,30,0
Inuit – VN Kangiqsujuaq,99130,227,0,0,0,229,5,5,220,337,0,5,330,404,5,10,385,479,10,20,445,536,15,20,500,605,15,20,565,696,15,25,660,43,13,1,6,6,0,0,46,15,0,7,8,0,0,60,16,0,7,9,0,0,44,14,0,5,2,0,7,0,48,44,0,9,10,16,9,0,63,49,2,10,15,14,8,0,65,41,0,17,5,13,6,0,95,13,2,8,1,0,2,0,101,23,0,12,3,3,4,1,136,104,0,0,1,0,0,103,137,63,0,38,20,3,0,2,155,125,0,46,31,39,9,183,120,1,38,35,40,6,252,141,1,44,24,51,21,0,247,115,0,58,18,25,14,0,0,260,143,0,103,10,20,2,8,0,321,151,2,106,5,7,5,26,0,303,159,1,47,45,29,21,16,0,361,167,3,65,31,13,39,16,0,355,146,2,26,33,14,35,36,0
Inuit – VN Kangirsuk,99110,219,0,0,0,0,0,0,0,308,5,5,295,351,15,10,330,394,10,10,365,436,0,25,405,466,10,15,440,549,5,20,525,127,0,0,0,0,0,0,55,8,0,4,4,0,0,87,23,0,7,16,0,0,62,18,0,4,5,0,9,0,57,42,0,15,8,12,7,0,71,49,3,10,19,10,7,0,79,43,0,6,4,10,23,0,117,0,0,0,0,0,0,0,116,21,1,5,12,2,0,1,125,80,0,4,2,0,2,72,112,67,0,36,13,5,6,7,137,85,1,33,27,14,10,179,100,0,27,22,43,8,204,104,3,69,15,12,5,0,236,118,0,84,9,11,14,0,0,239,145,0,113,4,16,3,9,0,258,124,1,99,7,7,3,7,0,243,124,0,74,21,15,7,7,0,219,129,0,76,14,11,25,3,0,237,105,0,30,26,1,25,23,0
