Circonscriptions,Anglophones_1971,Francophones_1971,Allophones_1971,Anglophones_1981,Francophones_1981,Allophones_1981,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_liberal,Autres_creditiste,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_parti_rhinoceros,Autres_parti_marxiste-leniniste,Autres_parti_communiste_canadien,Autres_esprit_social
Abitibi,1115,42800,3085,2355,57825,10250,35138,24408,1984,22424,10730,8203,1739,12482,,,,,,,,,,
Ahuntsic,6730,68965,14725,5415,54775,16110,55705,44339,4262,40077,11366,21741,6429,4467,6706,,,734,,,,,,
Argenteuil-Deux-Montagnes,16990,67820,1630,16200,89370,1935,50234,39395,1495,37900,10839,18749,7987,8199,1929,,,1036,,,,,,
Beauce,515,69375,90,760,78195,145,44013,33803,1764,32039,10210,13170,5551,12686,632,,,,,,,,,
Beauharnois-Salaberry,9805,62130,1460,10370,65505,1300,46709,36563,1990,34573,10146,16745,7040,8061,2727,,,,,,,,,
Bellechasse,405,64195,70,535,63680,110,40508,29948,926,29022,10560,11714,3533,12999,776,,,,,,,,,
Berthier,455,61215,890,670,66215,1170,40986,30016,1102,28914,10970,14035,4481,9809,589,,,,,,,,,
Bonaventure-Îles-de-la-Madeleine,6980,46955,1070,6815,46925,870,32039,23470,827,22643,8569,12213,5108,4842,480,,,,,,,,,
Bourassa,8060,98555,19355,7810,96360,22060,75289,54654,4853,49801,20635,25728,9054,10418,4601,,,,,,,,,
Brome-Missisquoi,16150,58530,1665,16870,67555,1920,48067,38613,1022,37591,9454,12165,15593,9038,795,,,,,,,,,
Chambly,19415,98315,2600,18260,169555,4935,71741,53946,4094,49852,17795,26532,8151,8728,5532,,,474,,,435,,,
Champlain,945,62270,640,855,59990,645,39957,31209,1649,29560,8748,11403,2770,14882,505,,,,,,,,,
Charlevoix,335,59035,165,370,54615,110,38035,27337,1221,26116,10698,10105,5747,10264,,,,,,,,,,
Chicoutimi,2340,80220,285,1440,84635,380,48879,38640,2766,35874,10239,15655,12712,6572,935,,,,,,,,,
Compton,10915,51010,265,9810,51230,380,37360,28247,977,27270,9113,10656,4142,11636,654,,,182,,,,,,
Dollard,58485,51150,14255,54435,58120,27865,74969,60966,3307,57659,14003,38984,9511,,8111,,,,,,,1053,,
Drummond,1540,73745,250,1455,79910,520,47230,38915,1198,37717,8315,15853,5351,15923,590,,,,,,,,,
Duvernay,4150,104055,3915,5780,114735,7395,63607,49979,3651,46328,13628,23050,7950,9659,5669,,,,,,,,,
Frontenac,1415,66400,185,1180,66485,265,41267,31595,1996,29599,9672,12014,5635,11950,,,,,,,,,,
Gamelin,8065,78300,7585,5895,68545,9060,57458,44109,3929,40180,13349,20860,7066,7135,5119,,,,,,,,,
Gaspé,6935,49540,140,5490,51060,105,33773,24131,1037,23094,9642,12422,7059,2970,643,,,,,,,,,
Gatineau,8730,71585,770,9565,88545,1155,48975,34066,2493,31573,14909,15894,4163,9469,2047,,,,,,,,,
Hochelaga,2280,61910,2160,1780,44035,2155,40498,27512,2175,25337,12986,11235,6199,,4515,,,2171,338,,879,,,
Hull,16250,75215,2335,17070,79875,4000,57986,39580,1654,37926,18406,24630,4173,4874,3796,453,,,,,,,,
Joliette,2090,80745,745,3065,98425,1170,53269,42713,4037,38676,10556,12819,1770,5652,361,,,18074,,,,,,
Kamouraska,270,62855,75,340,62160,85,38902,27350,765,26585,11552,9053,2842,14195,495,,,,,,,,,
Labelle,3605,76750,950,4315,92805,1345,51911,38386,1509,36877,13525,15807,6439,12247,1645,,,371,,,,,368,
Lachine,50115,35805,6285,38600,34310,6905,57207,46828,986,45842,10379,26680,11344,3597,4221,,,,,,,,,
Lac-Saint-Jean,620,55670,140,495,59490,170,32298,25459,1655,23804,6839,11165,7074,5203,,,,362,,,,,,
Lafontaine,4185,60605,3710,2795,44240,3850,43892,30498,2200,28298,13394,13508,6134,5078,3350,,,228,,,,,,
Langelier,1785,56320,575,1100,38760,720,39281,27909,2215,25694,11372,14725,3206,6101,,,1313,,,,,349,,
Lapointe,2440,69630,375,1375,77135,295,42330,31590,3107,28483,10740,16423,4042,6934,,,,1084,,,,,,
Laprairie,42720,81370,7595,40630,120665,18195,79571,60217,3937,56280,19354,34557,9147,7315,5261,,,,,,,,,
Lasalle,32375,68860,15000,28905,64700,16130,71050,52894,2892,50002,18156,30816,7652,6339,5195,,,,,,,,,
Laurier,5050,42190,19760,4725,28460,13875,34678,22034,1412,20622,12644,10936,3320,3789,2290,,,,,,,132,155,
Laval,26060,80055,9795,22230,99395,15295,67157,51823,4025,47798,15334,28121,6219,6921,5868,,,669,,,,,,
Lévis,1030,78810,215,1625,111840,410,52988,42765,2961,39804,10223,17588,9848,10256,1593,,,519,,,,,,
Longueuil,8820,100125,3755,9045,127520,6205,72458,52575,2977,49598,19883,22129,7015,12091,4548,,,2020,,,1625,170,,
Lotbinière,315,70500,100,530,78395,445,44273,36690,1230,35460,7583,9836,4258,21366,,,,,,,,,,
Louis-Hébert,8270,96810,1750,5795,96660,2220,73300,57553,4062,53491,15747,30928,7566,4672,7750,,,1490,1085,,,,,
Maisonneuve-Rosemont,5970,59805,4505,3655,44715,4045,46861,32825,2710,30115,14036,13607,6551,5877,3786,,,294,,,,,,
Manicouagan,9155,65445,10945,7130,51165,6875,50534,31402,1705,29697,19132,16780,4625,6136,2156,,,,,,,,,
Matane,280,47800,70,400,48330,80,28351,19728,723,19005,8623,10038,2999,5968,,,,,,,,,,
Mercier,9480,103030,4885,7990,106060,11555,70241,51593,3987,47606,18648,22207,9010,11468,4921,,,,,,,,,
Montmorency,1575,113530,580,2255,151600,940,73781,56735,4395,52340,17046,24250,5904,15126,2215,,,4845,,,,,,
Mont-Royal,52945,16460,20000,45235,18420,22415,58352,46992,1259,45733,11360,36875,4446,625,3274,,,,,,433,80,,
Notre-Dame-de-Grâce,44890,17535,14620,35210,15905,12800,46713,36887,1422,35465,9826,24126,6991,,3957,,,391,,,,,,
Outremont,18900,37200,21385,13830,35455,17820,47012,35772,3093,32679,11240,21399,2811,1404,5223,,,168,,,1565,,,109
Papineau,3305,58225,11925,3095,43775,9230,43393,30759,2033,28726,12634,15347,4205,5802,3118,,,,,,,254,,
Pontiac,15980,42870,1115,14235,41640,805,35929,23756,551,23205,12173,11780,3993,6519,913,,,,,,,,,
Portneuf,5465,109945,690,4850,164630,995,71431,55193,1360,53833,16238,23113,4664,23626,2430,,,,,,,,,
Québec-Est,1525,80320,425,1055,66225,625,54105,40391,3931,36460,13714,19382,6152,10926,,,,,,,,,,
Richelieu,1175,75570,465,1240,83735,700,50798,39349,1934,37415,11449,18087,9487,8340,1209,,,292,,,,,,
Richmond,5725,56780,230,4980,56405,240,36998,29266,1965,27301,7732,8657,3887,14133,624,,,,,,,,,
Rimouski,500,68480,75,620,71925,165,43191,32066,1339,30727,11125,11097,5657,13241,732,,,,,,,,,
Rivière-du-Loup-Témiscouata,285,59625,55,380,58340,100,36442,26802,1876,24926,9640,10004,5263,9659,,,,,,,,,,
Roberval,330,53170,420,330,58965,570,31757,24638,2503,22135,7119,8472,2347,11316,,,,,,,,,,
Saint-Denis,8260,36610,32420,7245,27365,28165,37215,28313,1848,26465,8902,16991,3695,3968,,,,1509,,,,302,,
Saint-Henri,14520,39395,3110,10890,26065,2200,31434,20644,1539,19105,10790,7191,2802,2082,1161,,,5743,,,,126,,
Saint-Hyacinthe,4025,77795,740,3540,93315,980,54602,44941,2103,42838,9661,15982,16680,8716,814,,,540,,,,106,,
Saint-Jacques,6455,29255,16010,4780,20000,10250,27447,17045,1359,15686,10402,8682,3213,1696,1598,,,41,,,208,97,151,
Saint-Jean,6065,76860,1475,6275,92285,1935,51040,39633,2159,37474,11407,16459,8462,9304,2165,,,600,347,,,137,,
Saint-Maurice,1455,69460,230,1245,70525,285,45471,37157,2143,35014,8314,19840,2227,11363,1032,,,552,,,,,,
Saint-Michel,8940,85805,43465,11845,86930,51050,74583,52872,3964,48908,21711,23850,7158,8591,4551,,,4758,,,,,,
Sainte-Marie,1690,59220,1630,2085,40770,2270,37177,24109,1624,22485,13068,7945,7826,3662,1482,,,696,161,,713,,,
Shefford,5075,72770,575,4865,84815,795,49733,40375,1630,38745,9358,12928,6228,18803,786,,,,,,,,,
Sherbrooke,10785,85610,1165,9285,88790,1590,64853,49560,1913,47647,15293,20569,6700,16072,1713,,,1423,911,259,,,,
Témiscamingue,5015,48185,1460,3790,47985,795,31019,25317,546,24771,5702,6731,752,15660,774,,,854,,,,,,
Terrebonne,10110,104675,2650,10045,183505,4670,73552,57498,4527,52971,16054,24928,10885,13136,4022,,,,,,,,,
