Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_part_ democratique,Autres_liberal,Autres_conservateur,Autres_independants,Autres_lib._des_electeurs,Autres_parti_de_la_confederation,Autres_capital_familial,Autres_communiste,Autres_ouvrier
Argenteuil-Deux-Montagnes,15576,47486,1605,16510,65655,1525,34471,28185,409,27776,6286,11761,10589,4095,,,,695,,636,,,
Beauce,297,60994,116,385,62825,85,29542,26127,222,25905,3415,9774,901,15230,,,,,,,,,
Beauharnois-Salaberry,10185,58764,1242,17395,71265,1985,37344,31186,380,30806,6158,13290,11175,6341,,,,,,,,,
Bellechasse,131,32329,53,150,30165,30,15735,13080,82,12998,2655,4954,2953,5091,,,,,,,,,
Berthier-Maskinongé-De-Lanaudière,291,47869,641,340,47475,855,25745,20452,182,20270,5293,7607,9211,3452,,,,,,,,,
Bonaventure,6093,35857,1012,6135,34505,1060,20371,17037,167,16870,3334,7559,6286,3025,,,,,,,,,
Brome-Missisquoi,13503,28363,1351,14325,33625,1315,23641,19492,191,19301,4149,7629,8074,3598,,,,,,,,,
Cartier,7287,24416,28865,6045,18670,27735,19801,13495,377,13118,6306,6464,3582,1201,1871,,,,,,,,
Chambly-Rouville,15289,44183,1487,20400,72870,2315,30598,25200,463,24737,5398,11813,9688,3236,,,,,,,,,
Champlain,845,63351,507,835,66020,590,32246,27523,321,27202,4723,9936,7789,8662,815,,,,,,,,
Chapleau,1873,54172,3476,2475,64475,4670,32315,27071,332,26739,5244,5545,5213,15430,551,,,,,,,,
Charlevoix,982,47498,115,550,46865,65,23962,20595,201,20394,3367,5408,6341,8645,,,,,,,,,
Châteauguay-Huntingdon-Laprairie,13300,44606,3823,19850,69440,5605,32447,22272,309,21963,10175,10305,9260,2398,,,,,,,,,
