Circonscriptions,Anglophones_1941,Francophones_1941,Allophones_1941,Anglophones_1951,Francophones_1951,Allophones_1951,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Bloc_populaire,Autres_liberal_01,Autres_liberal_02,Autres_union_nationale,Autres_bloc_populaire,Autres_independants_01,Autres_independants_02,Autres_commonwealth_cooperative_federation,Autres_union_des_electeurs_independant,Autres_nationaliste,Autres_ouvrier,Autres_ouvrier_progressiste,Autres_commonwealth_cooperative_federation_independant,Autres_candidat_du_peuple
Abitibi-Est,4224,58738,4727,4172,77360,4824,17917,14290,143,14147,3627,5410,3976,2010,,,,,,,889,1862,,,,,
Abitibi-Ouest,4224,58738,4727,4172,77360,4824,11249,9677,71,9606,1572,2555,3729,1494,,,,,,,,1828,,,,,
Argenteuil,8187,14236,247,8476,17151,245,12714,9900,62,9838,2814,6084,1461,2293,,,,,,,,,,,,,
Arthabaska,301,29693,45,223,36680,54,15792,13582,74,13508,2210,5511,5478,2519,,,,,,,,,,,,,
Bagot,70,17548,24,112,19091,21,9586,7994,80,7914,1592,3781,3654,479,,,,,,,,,,,,,
Beauce,247,47768,58,253,54676,44,21884,18801,144,18657,3083,5099,5302,5466,,,,,,,,2790,,,,,
Beauharnois,2611,27349,309,2740,35810,198,19167,15943,277,15666,3224,2560,5920,7186,,,,,,,,,,,,,
Bellechasse,50,23611,15,91,25233,8,12193,9652,74,9578,2541,4762,4217,599,,,,,,,,,,,,,
Berthier,97,21077,59,147,24500,70,12177,10397,112,10285,1780,5138,4315,832,,,,,,,,,,,,,
Bonaventure,7499,30796,901,6503,33332,906,18419,13496,102,13394,4923,1651,6031,1223,4489,,,,,,,,,,,,
Brome,6834,5485,166,6984,6073,336,7534,5627,59,5568,1907,2205,2860,503,,,,,,,,,,,,,
Chambly,10862,20804,788,18119,58489,1323,22783,15973,261,15712,6810,6638,5528,2140,,,,,,,1406,,,,,,
Champlain,1616,65986,455,2260,83040,445,17272,14149,121,14028,3123,5138,7632,1258,,,,,,,,,,,,,
Charlevoix-Saguenay,2658,47481,4942,7645,80778,10868,24026,14193,81,14112,9833,,11173,,,,,,,2939,,,,,,,
Châteauguay,3191,11197,55,4021,13716,120,8633,7083,62,7021,1550,3128,2289,1604,,,,,,,,,,,,,
Chicoutimi,1676,76468,737,4969,174743,1146,44818,35461,300,35161,9357,8846,17752,6256,,,,,,,,2307,,,,,
Compton,6009,16508,440,5391,18276,189,12081,9227,94,9133,2854,4566,2837,1730,,,,,,,,,,,,,
Deux-Montagnes,1228,14989,529,2249,18282,517,9052,7165,77,7088,1887,2090,3599,1313,86,,,,,,,,,,,,
Dorchester,756,29089,24,667,32634,12,16116,13088,82,13006,3028,4672,6887,1447,,,,,,,,,,,,,
Drummond,2329,34220,134,2336,50958,132,19612,16589,157,16432,3023,4986,6965,4481,,,,,,,,,,,,,
Frontenac,410,27927,259,437,30244,52,12767,11002,38,10964,1765,3292,4599,1604,,,,,52,,,1417,,,,,
Gaspé-Nord,71,12320,6,53,15027,9,7643,6812,52,6760,831,2659,3198,150,,,,,753,,,,,,,,
Gaspé-Sud,7537,26303,31,7042,30368,32,14435,11422,69,11353,3013,3490,6090,,1773,,,,,,,,,,,,
Gatineau,8729,20270,755,10033,24504,727,15392,11202,97,11105,4190,5471,3879,942,,,,,,,813,,,,,,
Hull,3220,37880,334,5906,51073,339,21461,16453,142,16311,5008,4967,9051,2293,,,,,,,,,,,,,
Huntingdon,4870,6304,1220,5451,7083,923,7169,5321,41,5280,1848,2865,1751,664,,,,,,,,,,,,,
Iberville,272,9977,24,431,13021,55,6010,4954,32,4922,1056,1484,1910,956,572,,,,,,,,,,,,
Îles-de-la-Madeleine,711,8214,15,737,9260,2,4216,3798,28,3770,418,1678,2092,,,,,,,,,,,,,,
Jacques-Cartier,—,—,—,40549,51501,3914,38762,25928,275,25653,12834,13349,8141,4163,,,,,,,,,,,,,
Jeanne-Mance,—,—,—,19915,105832,10542,50584,32499,504,31995,18085,11662,6859,10092,,,,,485,,2897,,,,,,
Joliette,444,31036,233,463,36611,177,17107,14131,138,13993,2976,4997,8652,344,,,,,,,,,,,,,
Kamouraska,39,25470,26,68,26578,26,12893,10041,97,9944,2852,5175,4480,289,,,,,,,,,,,,,
Labelle,159,22629,186,226,26794,177,10722,8452,116,8336,2270,1839,5517,796,,,,,184,,,,,,,,
Lac-Saint-Jean,483,24658,104,605,30454,69,10976,9822,56,9766,1154,3718,3609,1944,,,,,,,,495,,,,,
L'Assomption,365,16999,179,1159,21900,146,10638,8934,134,8800,1704,3154,3522,,,,,,,,,,2124,,,,
Laurier,—,—,—,4220,52321,6445,45269,28103,549,27554,17166,8893,8350,9540,,,333,,,,438,,,,,,
Laval,—,—,—,18237,147945,4980,54011,33597,544,33053,20414,11642,7648,9131,,,4632,,,,,,,,,,
Laviolette,1616,65986,455,2260,83040,445,17161,13639,94,13545,3522,4113,7455,1785,,,,,,,192,,,,,,
Lévis,469,37618,32,430,43156,39,22378,17855,222,17633,4523,7180,8101,2352,,,,,,,,,,,,,
L'Islet,17,20563,9,54,22921,21,10939,8888,122,8766,2051,4834,3932,,,,,,,,,,,,,,
Lotbinière,374,26286,4,381,27584,20,12919,10782,67,10715,2137,4472,3660,,,,,,,,,,,,,,2583
Maisonneuve,—,—,—,13129,83733,2267,50526,32867,301,32566,17659,10533,10584,8245,,,,,,,1380,,,1824,,,
Maskinongé,102,17870,234,95,19115,268,9579,8224,84,8140,1355,3135,4475,530,,,,,,,,,,,,,
Matane,370,25095,23,335,29894,14,15982,13632,78,13554,2350,4554,8684,316,,,,,,,,,,,,,
Matapédia,103,29790,33,133,33784,22,13553,11141,112,11029,2412,4301,4979,1548,,,,,201,,,,,,,,
Mégantic,2237,37954,166,1592,43602,131,19630,17149,173,16976,2481,7263,9713,,,,,,,,,,,,,,
Mercier,—,—,—,4763,69430,1151,52882,33435,812,32623,19447,12977,11411,8235,,,,,,,,,,,,,
Missisquoi,5927,15190,325,5699,18584,406,12694,9808,175,9633,2886,5515,2471,1647,,,,,,,,,,,,,
Montcalm,644,14340,224,962,16391,167,8376,6840,43,6797,1536,2153,3079,1565,,,,,,,,,,,,,
Montmagny,40,21983,26,28,24475,11,11795,8656,98,8558,3139,4781,3777,,,,,,,,,,,,,,
Montmorency,244,18346,12,254,21114,21,9691,7839,65,7774,1852,3764,2712,168,,,,,,,,1130,,,,,
Napierville-Laprairie,855,18976,2228,1647,23468,2727,11267,8945,108,8837,2322,3250,3665,1922,,,,,,,,,,,,,
Nicolet,75,30007,3,95,30224,16,16214,12734,57,12677,3480,4931,5639,2107,,,,,,,,,,,,,
Notre-Dame-de-Grâce,—,—,—,59717,15207,6761,45985,26037,260,25777,19948,20140,699,1070,,,,,1437,,2431,,,,,,
Outremont,—,—,—,59922,34857,24153,41175,23189,250,22939,17986,17704,1417,2164,,,,,1039,615,,,,,,,
Papineau,3895,23335,321,4136,25028,217,18649,14654,89,14565,3995,4069,8842,1654,,,,,,,,,,,,,
Pontiac,11546,7588,718,11450,8463,783,10751,7676,83,7593,3075,3667,2785,,,,,,,,1141,,,,,,
