Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_de_la_loi_naturelle,Autres_abolitionniste,Autres_republicain-commonwealth,Autres_parti_nationaliste,Autres_parti_vert,Autres_parti_libertarien,Autres_parti_marxiste-leniniste,Autres_christian_heritage_party
Saint-Laurent-Cartierville,18951,37864,38185,15922,34313,45335,58885,46973,1018,45955,11912,32190,3414,8472,895,,,347,108,237,292,,,,
Saint-Léonard,6255,47055,37745,6383,40137,40850,60710,48432,1342,47090,12278,28799,4021,12879,583,,,499,91,77,,,,141,
Saint-Maurice,785,75465,280,747,74118,305,57307,47622,1009,46613,9685,25200,1909,18896,236,,,372,,,,,,,
Shefford,3407,90828,975,3103,93212,890,67584,51262,2558,48704,16322,14154,5836,27125,601,,,763,225,,,,,,
Sherbrooke,5576,87159,2465,5510,85830,3280,74350,58073,1254,56819,16277,4458,29758,21548,446,,,523,86,,,,,,
Témiscamingue,3538,78397,770,3901,78384,620,59276,41921,1486,40435,17355,9248,7819,22540,,,,529,299,,,,,,
Terrebonne,3167,146748,2805,3552,162343,3215,111511,88233,3973,84260,23278,15102,9825,58030,900,,,,,403,,,,,
Trois-Rivières,1099,77731,800,1209,78206,1005,62836,48423,1772,46651,14413,9882,10950,24927,370,,,522,,,,,,,
Vaudreuil,31013,72027,7800,32996,79594,9435,81844,67085,1868,65217,14759,31148,6471,25138,1107,,,727,,187,,,439,,
Verchères,1831,93264,1500,1977,102373,1665,72690,60036,2643,57393,12654,12132,5269,38633,695,,,,,194,,,,,470
Verdun-Saint-Paul,20552,62833,8060,17621,60674,9595,61838,46686,1720,44966,15152,19644,3864,19095,860,115,,432,140,88,130,598,,,
