Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Action_liberale_nationale,Autres_liberal_01,Autres_liberal_02,Autres_conservateur,Autre_liberal_opposition,Autres_liberal_ouvrier,Autres_independant_ministeriel,Autres_independant_opposition,Autres_ouvrier
Saint-Georges,36905,7757,41495,10193,5210,2600,54,2546,2610,1132,1414,,,,,,,,,
Saint-Henri,57631,43543,60137,47784,10342,6938,36,6902,3404,2290,,2418,2194,,,,,,,
Saint-Hyacinthe,25854,25541,31645,31277,7373,6350,51,6299,1023,3381,,2918,,,,,,,,
Saint-Jacques,42925,37731,45698,41431,8527,6181,155,6026,2346,2990,3036,,,,,,,,,
Saint-Jean,17649,15657,20584,18704,5336,4245,87,4158,1091,2626,,,,,,1532,,,,
Saint-Laurent,20545,5309,20534,7404,4884,4603,235,4368,281,3351,1017,,,,,,,,,
Saint-Louis,34861,12037,41375,17931,6712,,,,,Élu sans opposition,,,,,,,,,,
Saint-Maurice,32446,30950,36464,34732,8635,7085,20,7065,1550,2846,,4219,,,,,,,,
Saint-Sauveur,—,—,—,—,9661,8289,5,8284,1372,3102,4184,,,,,,998,,,
Sainte-Anne,66238,32976,65082,35602,5238,3411,79,3332,1827,991,,716,1541,,,,,84,,
Sainte-Marie,75350,66170,80127,72333,14593,9648,69,9579,4945,4421,,4782,,,,,,376,,
Shefford,28262,24449,33387,29290,8330,7105,148,6957,1225,3249,,3708,,,,,,,,
Sherbrooke,37386,26842,46574,35388,10704,8034,161,7873,2670,3096,,4777,,,,,,,,
Soulanges,9099,8590,9328,8861,2625,2251,19,2232,374,1287,945,,,,,,,,,
Stanstead,25118,16622,27972,19543,7063,5454,35,5419,1609,2548,,2871,,,,,,,,
Témiscamingue,20609,14923,40471,31889,7890,5531,69,5462,2359,1586,,2929,853,,,,,,94,
Témiscouata,17329,17019,23182,22892,4633,4032,66,3966,601,2112,,1854,,,,,,,,
Terrebonne,38611,35772,46864,43233,10753,9191,9190,1,1562,1,,,,,,,,,,
Trois-Rivières,36649,34334,43888,40886,9893,8577,33,8544,1316,3671,4873,,,,,,,,,
Vaudreuil,12015,10422,13170,11353,3564,3017,18,2999,547,1120,824,,1055,,,,,,,
Verchères,12603,12050,14214,13489,3583,3256,36,3220,327,2077,,1143,,,,,,,,
Verdun,60745,23277,67349,28242,22877,13390,103,13287,9487,3501,6518,,3268,,,,,,,
Westmount,126865,34036,159305,43786,32529,15091,224,14867,17438,6579,8288,,,,,,,,,
Wolfe,16911,16096,17492,16765,4432,3912,13,3899,520,2023,,1876,,,,,,,,
Yamaska,16820,16521,16516,16078,4450,4091,121,3970,359,1890,2080,,,,,,,,,
