Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_conservateur_ministeriel,Autres_independant_ministeriel,Autres_ouvrier_opposition,Autres_independant_opposition,Autres_ouvrier
Abitibi,23692,21004,67689,58579,5591,4256,22,4234,1335,2685,1376,,173,,,,,,
Argenteuil,18976,11026,22670,14152,4772,3838,14,3824,934,2130,1694,,,,,,,,
Arthabaska,27159,26693,30039,29522,6170,5236,17,5219,934,3590,1629,,,,,,,,
Bagot,16914,16782,17642,17563,3981,3546,,3546,435,1878,1668,,,,,,,,
Beauce,44793,44330,48073,47750,8648,7162,7,7155,1486,3847,2597,,,,711,,,,
Beauharnois,25163,20906,30269,27197,5436,4489,15,4474,947,2311,2163,,,,,,,,
Bellechasse,22006,21927,23676,23539,4962,4190,4,4186,772,2839,1347,,,,,,,,
Berthier,19506,19276,21233,20999,4910,4318,3,4315,592,2479,1836,,,,,,,,
Bonaventure,32432,24229,39196,30711,7319,6703,27,6676,616,3933,2743,,,,,,,,
Brome,12433,5628,12485,5942,3495,2954,35,2919,541,1472,1447,,,,,,,,
Chambly,26801,16576,32454,20729,7017,5133,47,5086,1884,2252,2834,,,,,,,,
Champlain,28888,28432,32690,32189,6741,5877,80,5797,864,3125,2672,,,,,,,,
Charlevoix-Saguenay,44694,37812,55081,47167,8847,7251,128,7123,1596,4223,2900,,,,,,,,
Châteauguay,13125,9837,14443,11088,3508,2841,13,2828,667,1661,1167,,,,,,,,
Chicoutimi,55724,52925,78881,75432,13258,9504,43,9461,3754,4123,2675,,,,,2663,,,
Compton,21917,14683,22957,16458,5851,4893,46,4847,958,2658,2189,,,,,,,,
Deux-Montagnes,14284,13427,16746,14937,3499,3203,10,3193,296,1548,1645,,,,,,,,
Dorchester,27994,26863,29869,28918,6834,5845,2,5843,989,3253,2590,,,,,,,,
Dorion,33434,27747,34640,29704,13050,9200,50,9150,3850,4831,4319,,,,,,,,
Drummond,26179,23731,36683,34078,6198,5086,26,5060,1112,2848,2212,,,,,,,,
Frontenac,25681,24756,28596,27791,5272,4478,42,4436,794,2687,1749,,,,,,,,
Gaspé-Nord,9242,9076,12397,12025,2518,2234,32,2202,284,1330,872,,,,,,,,
Gaspé-Sud,28433,20164,33871,25637,5847,5048,130,4918,799,2744,2174,,,,,,,,
Gatineau,26925,17444,29754,20130,6788,5417,121,5296,1371,2906,2147,243,,,,,,,
Hull,36945,32489,41434,37377,8996,5753,15,5738,3243,2247,3491,,,,,,,,
Huntingdon,12345,5914,12394,6447,3169,2584,30,2554,585,1193,1361,,,,,,,,
Iberville,9402,8991,10273,9811,2364,1868,37,1831,496,1303,528,,,,,,,,
Îles-de-la-Madeleine,7942,7148,8940,8128,1899,1536,6,1530,363,769,761,,,,,,,,
Jacques-Cartier,39264,23246,42715,26556,10469,8126,48,8078,2343,4147,3931,,,,,,,,
Joliette,27585,26719,31713,30889,6396,5658,11,5647,738,3089,2558,,,,,,,,
Kamouraska,23954,23807,25535,25434,5412,4449,24,4425,963,2630,1795,,,,,,,,
Labelle,20140,19461,22974,22422,4592,3319,35,3284,1273,1902,1382,,,,,,,,
Lac-Saint-Jean,20222,19572,25245,24490,4849,3920,24,3896,929,2055,1841,,,,,,,,
L'Assomption,15323,14768,17543,16944,3931,2954,11,2943,977,1801,1018,,,,,124,,,
Laurier,43860,18865,55032,22190,9946,6152,32,6120,3794,3565,2139,,,,,,,,416
Laval,133552,105734,154436,129138,23087,16721,121,16600,6366,8696,7904,,,,,,,,
Laviolette,31047,28858,35367,33313,6597,5407,43,5364,1190,3010,2354,,,,,,,,
Lévis,35656,34704,38119,37172,7878,6809,31,6778,1069,3595,3183,,,,,,,,
L'Islet,19404,19276,20589,20397,4500,3551,23,3528,949,2131,1397,,,,,,,,
Lotbinière,23034,22527,26664,26146,5387,4409,14,4395,978,2955,1440,,,,,,,,
Maisonneuve,116154,88313,128738,99743,22333,15272,96,15176,7061,7538,6008,,,,,,1630,,
Maskinongé,16039,15839,18206,17677,3858,3143,21,3122,715,1912,1210,,,,,,,,
Matane,20394,19569,25488,24181,5536,4649,9,4640,887,2592,2048,,,,,,,,
Matapédia,24878,24574,29926,29575,5672,4528,32,4496,1144,2813,1683,,,,,,,,
Mégantic,35492,32685,40357,37542,8075,6454,19,6435,1621,4060,2375,,,,,,,,
Mercier,131689,93103,141768,107203,23652,16425,424,16001,7227,9513,6311,,,177,,,,,
Missisquoi,19636,13335,21442,15435,4989,3938,33,3905,1051,2141,1764,,,,,,,,
Montcalm,13865,12855,15208,14285,3455,3154,6,3148,301,1765,1383,,,,,,,,
Montmagny,20239,20072,22049,21908,4868,3843,186,3657,1025,2101,1556,,,,,,,,
Montmorency,16955,16594,18602,18300,3777,3372,26,3346,405,1949,1368,,29,,,,,,
Napierville-Laprairie,21091,17582,22059,18718,4662,4047,64,3983,615,2337,1646,,,,,,,,
Nicolet,28673,28471,30085,29838,7109,5748,22,5726,1361,3316,2304,,,,,,,106,
Papineau,29246,23636,27551,23100,7943,6319,21,6298,1624,3554,2744,,,,,,,,
Pontiac,21241,8742,19852,8744,5528,4168,41,4127,1360,2164,1963,,,,,,,,
Portneuf,35890,34670,38996,37825,8487,7197,13,7184,1290,3746,3438,,,,,,,,
Québec-Centre,—,—,—,—,8380,6418,9,6409,1962,3522,2887,,,,,,,,
Québec-Comté,40321,37364,52125,48348,7503,6918,63,6855,585,3747,3108,,,,,,,,
Québec-Est,—,—,—,—,10687,8715,9,8706,1972,5021,3685,,,,,,,,
Québec-Ouest,—,—,—,—,3859,3119,12,3107,740,1641,1466,,,,,,,,
Richelieu,21483,21169,23691,23247,5590,4892,22,4870,698,2685,2153,,32,,,,,,
Richmond,24956,19613,27493,22309,6129,4899,25,4874,1230,2915,1959,,,,,,,,
