Circonscriptions,Anglophones_1971,Francophones_1971,Allophones_1971,Anglophones_1981,Francophones_1981,Allophones_1981,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Oui,Non
Abitibi-Est,3445,36280,1325,2650,51690,2805,53221,34937,560,34377,18284,17890,16487
Abitibi-Ouest,455,40120,185,420,45660,220,31573,24721,266,24455,6852,11462,12993
Anjou,5841,52078,2960,4798,58057,5826,42293,37109,676,36433,5184,16896,19537
Argenteuil,9650,38000,515,9165,39945,685,35740,30535,456,30079,5205,9257,20822
Arthabaska,255,51980,130,435,58695,300,39446,34420,416,34004,5026,13884,20120
Beauce-Nord,370,45770,90,675,63225,95,41117,35457,398,35059,5660,15532,19527
Beauce-Sud,230,46075,105,500,52210,105,33938,28830,334,28496,5108,12125,16371
Beauharnois,3035,50945,410,2690,53095,490,39954,35821,519,35302,4133,15258,20044
Bellechasse,310,42135,80,405,42460,60,30199,24822,431,24391,5377,9483,14908
Berthier,355,40175,155,695,46160,195,33484,29019,537,28482,4465,11137,17345
Bonaventure,5905,34105,80,5320,33680,80,27074,22367,344,22023,4707,7308,14715
Bourassa,3665,45054,20195,3979,39600,17386,39407,34693,1100,33593,4714,12125,21468
Bourget,4644,52984,3478,3056,42591,3297,35297,30742,454,30288,4555,14141,16147
Brome-Missisquoi,13185,28260,1120,13635,32185,1280,31419,27500,466,27034,3919,7022,20012
Chambly,11265,49010,1470,9460,85260,2465,59813,54515,592,53923,5298,25195,28728
Champlain,715,48605,140,845,54340,185,38276,33553,460,33093,4723,14549,18544
Charlesbourg,1150,58200,345,1685,82315,640,55395,48955,618,48337,6440,23075,25262
Charlevoix,240,41475,50,320,42620,70,29389,24563,413,24150,4826,10244,13906
Châteauguay,19060,39155,3700,15250,59505,2990,48914,43905,497,43408,5009,17441,25967
Chauveau,3495,40420,380,3680,99255,715,62479,54696,733,53963,7783,25829,28134
Chicoutimi,850,54455,225,655,59085,320,40568,34583,433,34150,5985,19980,14170
Crémazie,2600,46418,6838,2588,39430,7033,37011,32821,562,32259,4190,14147,18112
D'Arcy-McGee,38030,6145,12664,32848,7022,13677,42956,38443,515,37928,4513,1563,36365
Deux-Montagnes,7620,43535,810,7260,62745,1245,45075,39112,597,38515,5963,16239,22276
Dorion,2787,48451,13476,2710,37515,9894,35452,29971,637,29334,5481,12448,16886
Drummond,1195,54705,230,1070,58840,325,41664,36095,625,35470,5569,15382,20088
Dubuc,1595,43835,100,960,53695,130,34527,28409,439,27970,6118,14815,13155
Duplessis,8015,38595,1120,7140,55155,12500,46225,34958,486,34472,11267,18280,16192
Fabre,7725,65457,4261,6773,76458,6965,60332,53140,686,52454,7192,23681,28773
Frontenac,1055,50085,175,830,50385,180,35042,30878,372,30506,4164,14847,15659
Gaspé,6865,40340,165,5430,41910,85,31554,25684,308,25376,5870,10435,14941
Gatineau,14905,35850,1280,19030,60280,2255,42801,36291,541,35750,6510,8943,26807
Gouin,2626,49173,3742,2247,38957,3889,31300,25998,552,25446,5302,12395,13051
Hull,5190,56825,1565,4005,49840,2580,39243,32791,1087,31704,6452,10531,21173
Huntingdon,9275,29320,1450,9140,32260,980,28787,24741,363,24378,4046,6573,17805
