Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Ralliement_creditiste,Nouveau_parti_democratique,Autres_liberal_01,Autres_liberal_02,Autres_conservateur,Autres_creditiste,Autres_independants,Autres_independantiste,Autres_parti_rhinoceros,Autres_communiste,Autres_droit_vital_personnel,Autres_liberal_ouvrier,Autres_independant_ouvrier
Argenteuil-Deux-Montagnes,15576,47486,1605,16510,65655,1525,36774,29994,404,29590,6780,11576,14035,1805,2174,,,,,,,,,,,
Beauce,297,60994,116,385,62825,85,30977,25799,279,25520,5178,10530,338,7138,7514,,,,,,,,,,,
Beauharnois-Salaberry,10185,58764,1242,17395,71265,1985,42254,32780,514,32266,9474,16145,6242,1847,3544,4167,,,,,,321,,,,
Bellechasse,131,32329,53,150,30165,30,15902,11772,123,11649,4130,4783,2264,4432,170,,,,,,,,,,,
Berthier-Maskinongé-De-Lanaudière,291,47869,641,340,47475,855,26189,18127,235,17892,8062,7868,5512,1525,2672,315,,,,,,,,,,
Bonaventure,6093,35857,1012,6135,34505,1060,20971,16441,236,16205,4530,8985,6236,733,251,,,,,,,,,,,
Brome-Missisquoi,13503,28363,1351,14325,33625,1315,25095,19562,233,19329,5533,7512,9662,1116,1039,,,,,,,,,,,
Cartier,7287,24416,28865,6045,18670,27735,18261,11067,425,10642,7194,5389,2209,1141,1903,,,,,,,,,,,
Chambly-Rouville,15289,44183,1487,20400,72870,2315,37198,24839,462,24377,12359,14377,3838,1896,4266,,,,,,,,,,,
Champlain,845,63351,507,835,66020,590,33452,26170,411,25759,7282,12334,6106,5221,2098,,,,,,,,,,,
Chapleau,1873,54172,3476,2475,64475,4670,35897,26000,252,25748,9897,6816,2320,15402,872,,,,,338,,,,,,
Charlevoix,982,47498,115,550,46865,65,24486,19876,244,19632,4610,6676,6844,5556,556,,,,,,,,,,,
Châteauguay-Huntingdon-Laprairie,13300,44606,3823,19850,69440,5605,38707,23268,446,22822,15439,14222,4659,1052,2369,,,520,,,,,,,,
Chicoutimi,2193,81988,368,2405,84545,280,39042,29975,352,29623,9067,11092,5087,7894,1131,,,,,4419,,,,,,
Compton-Frontenac,5212,36977,266,4475,32890,110,19790,15140,112,15028,4650,4464,2128,7240,1196,,,,,,,,,,,
Dollard,27523,70197,15045,30750,71935,22000,60919,42200,1215,40985,18719,22496,6996,2452,9041,,,,,,,,,,,
Dorchester,483,38449,70,360,35935,55,18011,12872,188,12684,5139,4602,3802,3786,494,,,,,,,,,,,
Drummond-Arthabaska,1821,87667,363,1485,100190,290,48784,39191,353,38838,9593,15179,7413,8518,1660,,,,,6068,,,,,,
Gaspé,7556,56960,378,6950,55475,155,28654,22901,256,22645,5753,10452,11045,1148,,,,,,,,,,,,
