Circonscriptions,Anglophones_1951,Francophones_1951,Allophones_1951,Anglophones_1961,Francophones_1961,Allophones_1961,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Autres_liberal_01,Autres_liberal_02,Autres_conservateur_01,Autres_conservateur_02,Autres_independants,Autres_commonwealth_cooperative_federation,Autres_creditiste,Autres_ouvrier_progressiste,Autres_capital_familial
Argenteuil-Deux-Montagnes,10725,35433,762,15576,47486,1605,29678,24356,285,24071,5322,10084,8902,3983,1102,,,,,,,
Beauce,263,54354,45,297,60994,116,28409,24253,310,23943,4156,11559,,,,,,12384,,,,
Beauharnois-Salaberry,4415,41628,268,10185,58764,1242,30972,21676,291,21385,9296,14030,3109,4246,,,,,,,,
Bellechasse,114,30951,11,131,32329,53,15902,10998,81,10917,4904,7960,1792,,,1026,139,,,,,
Berthier-Maskinongé-De-Lanaudière,249,43702,341,291,47869,641,24921,19697,230,19467,5224,10418,9049,,,,,,,,,
Bonaventure,6903,33332,886,6093,35857,1012,19668,16196,132,16064,3472,7903,8161,,,,,,,,,
Brome-Missisquoi,12683,24657,742,13503,28363,1351,22368,18001,141,17860,4367,9255,8605,,,,,,,,,
Cartier,10748,17767,25790,7287,24416,28865,25655,16742,347,16395,8913,11955,1909,1618,236,,,,677,,,
Chambly-Rouville,6079,28031,412,15289,44183,1487,24592,18907,520,18387,5685,11302,5858,1035,192,,,,,,,
Champlain,583,50545,62,845,63351,507,30094,24035,280,23755,6059,13767,9988,,,,,,,,,
Chapleau,663,50516,2772,1873,54172,3476,30428,22735,242,22493,7693,11428,11065,,,,,,,,,
Charlevoix,452,42358,41,982,47498,115,22993,18506,333,18173,4487,10182,7532,213,,,,,,246,,
Châteauguay-Huntingdon-Laprairie,9860,30663,3820,13300,44606,3823,27495,19539,220,19319,7956,10066,6907,2346,,,,,,,,
Chicoutimi,308,57621,114,2193,81988,368,33344,29117,260,28857,4227,15124,,,,,,13733,,,,
Compton-Frontenac,5757,36433,238,5212,36977,266,20961,18044,106,17938,2917,9328,8270,,,,,,340,,,
Dollard,12674,42866,1419,27523,70197,15045,48420,32379,452,31927,16041,21917,7813,,,,,,2197,,,
Dorchester,668,36125,14,483,38449,70,18531,15883,127,15756,2648,8054,7702,,,,,,,,,
Drummond-Arthabaska,1637,75675,167,1821,87667,363,41228,32480,179,32301,8748,10512,10327,11462,,,,,,,,
Gaspé,7084,48922,44,7556,56960,378,29450,22521,253,22268,6929,10848,10916,,,,,504,,,,
Gatineau,10043,31613,811,14858,35366,1146,24816,18521,201,18320,6295,10770,5522,2028,,,,,,,,
Hochelaga,6001,61542,1901,4208,73877,4115,45864,27668,523,27145,18196,20611,4063,,,,,,796,,1675,
Hull,8061,55800,403,9079,83242,1235,41085,35296,479,34817,5789,15551,4922,11981,,,,,,2363,,
Îles-de-la-Madeleine,737,9260,2,801,11656,22,5141,4671,23,4648,470,2472,,31,,,,2145,,,,
Jacques-Cartier-Lasalle,29947,39121,3194,84774,67140,10939,66022,49046,494,48552,16976,23235,23378,,,,,,1939,,,
Joliette-L'Assomption-Montcalm,2569,73955,433,3587,97990,1022,45018,24097,243,23854,20921,19445,4409,,,,,,,,,
Kamouraska,93,34400,28,112,35163,37,18025,12645,168,12477,5380,5988,,,,,,6489,,,,
Labelle,1539,40893,269,1343,44298,325,21460,17628,177,17451,3832,8045,,,,9406,,,,,,
Lac-Saint-Jean,583,35370,69,639,47267,154,19473,16670,167,16503,2803,10129,6374,,,,,,,,,
Lafontaine,3943,45685,840,2089,47494,1510,33274,21410,221,21189,11864,15501,4593,,,,,,1095,,,
Lapointe,2145,55262,454,2500,69568,579,32078,26290,256,26034,5788,13671,,,,,,12363,,,,
Laurier,2341,43437,2325,1520,39746,2271,29523,18981,1000,17981,10542,11336,5321,712,,,,,270,,342,
Laval,7580,60766,1624,25492,153858,10589,66879,43962,645,43317,22917,26254,5525,,,,,10333,1205,,,
Lévis,412,40830,37,417,48500,130,24858,20677,214,20463,4181,14693,5770,,,,,,,,,
Longueuil,14434,45009,993,23958,79937,3423,46365,33356,550,32806,13009,19314,10942,,,782,,,1768,,,
Lotbinière,408,35988,23,917,37523,101,18419,16335,140,16195,2084,7823,8372,,,,,,,,,
Maisonneuve-Rosemont,16910,51132,3040,12006,68131,8553,58331,35971,542,35429,22360,25041,7718,,,,,,2670,,,
Matapédia-Matane,464,60168,31,442,67061,129,29750,22840,309,22531,6910,11642,10889,,,,,,,,,
Mégantic,1550,55177,146,1675,67879,242,31260,23990,312,23678,7270,15378,8300,,,,,,,,,
Mercier,8882,60320,2772,28394,198590,22723,67290,40778,661,40117,26512,30024,10093,,,,,,,,,
Montmagny-L'Islet,61,37881,30,119,40793,75,20274,16577,168,16409,3697,9772,,,,,,6637,,,,
Montmorency,2459,70087,113,5767,126730,1011,50701,39586,501,39085,11115,24964,14121,,,,,,,,,
Mont-Royal,47211,19776,14394,64184,29008,36573,62928,39101,490,38611,23827,23330,13861,,,,,,1420,,,
Nicolet-Yamaska,123,44065,60,171,44863,158,23585,19271,174,19097,4314,9292,9805,,,,,,,,,
Notre-Dame-de-Grâce,58864,15285,7009,64832,20836,18152,58990,43463,346,43117,15527,17551,24517,,,,,,1049,,,
Outremont-Saint-Jean,14783,32126,13108,11693,31365,18183,33478,19430,392,19038,14048,13840,3899,,,,,,1299,,,
Papineau,7193,55101,6747,4698,68209,16982,49774,31534,428,31106,18240,24373,4177,,,,,,2556,,,
Pontiac-Témiscamingue,13711,26936,1252,12224,24972,846,20480,16658,138,16520,3822,8642,7878,,,,,,,,,
Portneuf,989,43300,62,1858,49332,241,25050,19627,197,19430,5423,11328,8102,,,,,,,,,
Québec-Est,1459,77451,267,2563,91142,635,51012,38440,437,38003,12572,27364,9900,,,,,,,739,,
Québec-Ouest,892,53596,238,1929,50272,800,31931,25228,370,24858,6703,11828,10981,1520,,,,,,529,,
Québec-Sud,7702,44651,481,4022,53834,499,36278,28925,305,28620,7353,17709,9659,1092,,,,160,,,,
Richelieu-Verchères,708,43551,127,1834,58428,570,28740,19897,315,19582,8843,16003,749,,,2830,,,,,,
Richmond-Wolfe,6710,45943,177,6600,53825,305,29064,22265,214,22051,6799,10300,7243,4508,,,,,,,,
Rimouski,330,61367,79,426,73477,242,33434,24616,220,24396,8818,14642,9754,,,,,,,,,
Rivière-du-Loup-Témiscouata,290,56069,24,251,60575,68,26882,19926,274,19652,6956,11558,8094,,,,,,,,,
Roberval,358,45306,320,412,56165,593,22351,18248,152,18096,4103,10860,7236,,,,,,,,,
Saguenay,4011,32548,5498,8646,64238,8524,30928,19912,313,19599,11016,11408,8191,,,,,,,,,
Saint-Antoine-Westmount,34267,24617,3738,27544,23809,5247,40357,26613,326,26287,13744,14485,11802,,,,,,,,,
Saint-Denis,6029,59615,4014,2523,54205,6757,40313,25281,339,24942,15032,17027,4587,2329,,,,,999,,,
Saint-Henri,7074,50335,3422,7812,57647,7712,40227,25899,474,25425,14328,12489,2766,9207,,,,,963,,,
Saint-Hyacinthe-Bagot,468,54850,112,408,63186,348,32271,25880,244,25636,6391,11771,13865,,,,,,,,,
Saint-Jacques,2976,58549,7042,1892,46383,6124,40813,19609,331,19278,21204,7900,5347,3512,1789,,,,730,,,
Saint-Jean-Iberville-Napierville,2585,46585,289,4011,60159,1294,29961,26087,423,25664,3874,13427,378,11859,,,,,,,,
Saint-Laurent-Saint-George,22667,17424,8222,14286,11866,8825,27713,15054,277,14777,12659,7758,6219,,,,,,440,,360,
Saint-Maurice-Laflèche,2721,65597,288,3557,84116,596,43519,31900,380,31520,11619,18714,7686,,,,,751,4369,,,
Sainte-Anne,15879,26742,3892,10658,23041,3553,22930,16035,301,15734,6895,4254,2807,7771,902,,,,,,,
Sainte-Marie,1981,63166,2695,1429,52231,2169,35771,20996,671,20325,14775,12532,7041,,,,,,752,,,
Shefford,4686,49673,259,5167,62207,588,31127,23932,275,23657,7195,14897,8760,,,,,,,,,
Sherbrooke,7866,48383,462,8344,63304,897,36213,26370,255,26115,9843,16324,9791,,,,,,,,,
Stanstead,11352,28546,205,11318,32413,309,22439,17417,166,17251,5022,9827,7424,,,,,,,,,
Terrebonne,3892,63234,961,8146,92146,2357,44540,32871,383,32488,11669,19515,12973,,,,,,,,,
Trois-Rivières,2098,54783,223,2322,66109,423,35837,29920,267,29653,5917,14412,15004,,,,,,,,,237
Vaudreuil-Soulanges,3511,22915,185,7172,30812,772,18155,13384,163,13221,4771,9055,4166,,,,,,,,,
Verdun,38995,35811,2585,30818,44669,2830,47095,30490,459,30031,16605,18695,9037,,,,,,2299,,,
Villeneuve,8959,55528,4517,3395,69839,4594,34494,26202,199,26003,8292,9893,6034,,,,,,1947,8129,,
