Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_ouvrier
Argenteuil,16766,8559,17165,9321,4207,2865,33,2832,1342,1995,837,,,
Arthabaska,24441,23919,24848,24372,5465,4187,20,4167,1278,2833,1334,,,
Bagot,18206,18078,18035,17876,4152,3666,54,3612,486,1967,1645,,,
Beauce,39508,38835,40308,39828,8198,,,,,Élu sans opposition,,,,
Beauharnois,20802,18049,19888,18283,4634,3778,25,3753,856,2021,1732,,,
Bellechasse,21141,21114,21813,21781,4951,3865,39,3826,1086,2748,1078,,,
Berthier,19872,19620,20509,20213,4840,3932,37,3895,908,2324,1571,,,
Bonaventure,28110,20035,29092,21256,6368,,,,,Élu sans opposition,,,,
Brome,13216,4977,13381,6083,3807,,,,,Élu sans opposition,,,,
Chambly,16711,12417,21924,14420,4602,,,,,Élu sans opposition,,,,
Champlain,42758,38944,54191,51664,10522,8371,36,8335,2151,4923,3412,,,
Charlevoix-Saguenay,32865,30336,38200,32206,6700,2769,96,2673,3931,928,1745,,,
Châteauguay,13322,9607,13557,10151,3459,1900,12,1888,1559,1587,301,,,
Chicoutimi,21304,21046,37578,36422,6755,4519,25,4494,2236,2492,2002,,,
Compton,21483,15059,23023,14790,5689,4251,70,4181,1438,2359,1822,,,
Deux-Montagnes,13868,12902,14309,13421,3146,,,,,,Élus sans opposition,,,
Dorchester,25096,23627,26788,25524,5675,4933,15,4918,742,2717,2201,,,
Dorion,53809,43635,53809,43635,13936,5014,103,4911,8922,1901,,1764,522,724
Drummond,17149,15246,19975,18611,4347,3508,13,3495,839,2069,1426,,,
Frontenac,20038,15400,24090,22845,5097,3800,50,3750,1297,2290,1460,,,
Gaspé,28338,21158,33248,24766,6322,2722,10,2712,3600,2208,504,,,
Hochelaga,60479,41709,60479,41709,12507,,,,,Élu sans opposition,,,,
Hull,48332,34373,55026,41535,11985,,,,,Élu sans opposition,,,,
Huntingdon,13240,5372,13174,5901,3369,,,,,Élu sans opposition,,,,
Iberville,9493,8959,9299,8938,2215,,,,,Élu sans opposition,,,,
Îles-de-la-Madeleine,6663,5969,7127,6380,1625,,,,,Élu sans opposition,,,,
Jacques-Cartier,51839,34433,62252,33125,16049,6867,129,6738,9182,4023,2715,,,
Joliette,23911,23227,25913,25169,5682,4749,33,4716,933,2484,2232,,,
Kamouraska,20888,20806,22014,21879,4911,3824,57,3767,1087,2370,1397,,,
Labelle,40351,34016,46292,40712,10541,,,,,Élu sans opposition,,,,
Lac-Saint-Jean,29809,29047,35539,35303,6566,5389,84,5305,1177,1620,2113,1572,,
Laprairie,11623,9077,12071,9231,2335,2024,26,1998,311,1027,971,,,
L'Assomption,15164,14691,14331,13825,3319,,,,,Élu sans opposition,,,,
Laurier,58116,35062,58116,35062,14863,4038,86,3952,10825,2847,1105,,,
Laval,29977,26819,24674,22294,8714,5174,49,5125,3540,3211,580,1334,,
Lévis,28913,27947,33323,32418,6938,5659,99,5560,1279,3459,2101,,,
L'Islet,16435,16209,17859,17691,3673,2968,23,2945,705,1862,1083,,,
Lotbinière,22158,21319,21837,21054,5184,,,,,Élu sans opposition,,,,
Maisonneuve,59053,46101,59053,46101,15713,5580,85,5495,10133,3787,1708,,,
Maskinongé,16509,16377,16253,16167,3734,3027,43,2984,707,1678,1306,,,
Matane,27539,26614,36303,35632,7748,5940,136,5804,1808,3689,2115,,,
Mégantic,31314,26761,33633,30044,6991,5045,56,4989,1946,3303,1686,,,
Missisquoi,17466,10479,17709,11508,4801,,,,,Élu sans opposition,,,,
Montcalm,13862,12904,13987,12955,3157,2727,26,2701,430,1562,1139,,,
Montmagny,17356,17226,21997,21792,4205,2891,50,2841,1314,1788,1053,,,
Montmorency,13215,12953,14008,13798,3183,2541,17,2524,642,1732,792,,,
Napierville,7712,7426,7994,7822,1837,1473,30,1443,364,788,,655,,
Nicolet,30055,29741,29695,29367,6960,,,,,Élu sans opposition,,,,
Pontiac,20893,7453,19997,7536,5545,3283,40,3243,2262,1658,1585,,,
Portneuf,30529,29292,32960,31753,7225,,,,,Élu sans opposition,,,,
Québec-Centre,21143,16945,21143,16945,5849,3921,37,3884,1928,2019,1865,,,
Québec-Comté,25844,22428,29434,26596,5647,3146,32,3114,2501,2378,736,,,
Québec-Est,24673,23183,24673,23183,6163,3212,55,3157,2951,2777,380,,,
Québec-Ouest,9618,5465,9618,5465,2847,1817,24,1793,1030,1159,634,,,
Richelieu,20686,20384,19548,19114,5214,4276,52,4224,938,2327,1897,,,
Richmond,21282,14961,23745,18107,5065,,,,,Élu sans opposition,,,,
Rimouski,23951,23460,27520,27325,4118,,,,,Élu sans opposition,,,,
Rouville,13131,12737,13656,13067,3203,,,,,Élu sans opposition,,,,
Saint-Georges,48638,14230,48638,14230,5625,,,,,,Élus sans opposition,,,
Saint-Hyacinthe,22342,22094,23098,22928,5572,4700,50,4650,872,2457,2193,,,
Saint-Jacques,44057,38384,44057,38384,7973,3592,46,3546,4381,2634,912,,,
Saint-Jean,12389,10673,14219,12537,3508,2311,77,2234,1197,1371,863,,,
Saint-Laurent,25030,4785,25030,4785,3752,1388,33,1355,2364,825,530,,,
Saint-Louis,30821,13522,30821,13522,6327,3380,121,3259,2947,2098,,1161,,
Saint-Maurice,21712,20941,27597,26213,5407,,,,,Élu sans opposition,,,,
Saint-Sauveur,22756,22487,22756,22487,7302,4063,72,3991,3239,1670,1213,,,1108
Sainte-Anne,21676,6539,21676,6539,7433,3993,49,3944,3440,1794,1951,199,,
Sainte-Marie,54910,45941,54910,45941,12673,5314,43,5271,7359,4581,690,,,
Shefford,23976,19214,25734,21965,6037,,,,,Élu sans opposition,,,,
Sherbrooke,23211,13947,31356,21216,6432,,,,,Élu sans opposition,,,,
Soulanges,9400,8949,10065,9266,2352,1976,29,1947,376,1126,821,,,
Stanstead,20765,10655,23380,14230,6267,4017,29,3988,2250,2585,1403,,,
Témiscamingue,8523,6817,26204,22501,3170,1816,44,1772,1354,1155,617,,,
Témiscouata,36430,35628,44310,43470,8526,7029,94,6935,1497,4207,2728,,,
Terrebonne,29018,26715,33908,31136,6830,5080,64,5016,1750,3508,1508,,,
Trois-Rivières,14441,13836,23248,21898,4623,3244,38,3206,1379,2101,1105,,,
Vaudreuil,11039,9861,11555,9946,2707,,,,,Élu sans opposition,,,,
Verchères,12004,11698,12719,12331,3037,2506,41,2465,531,1427,1038,,,
Westmount,27763,7810,32724,7282,9449,,,,,,Élus sans opposition,,,
Wolfe,18209,16976,18181,17182,4036,3159,30,3129,877,1817,1312,,,
Yamaska,19511,19059,18056,17787,4345,,,,,Élu sans opposition,,,,
