Communautes,CGT,Population_totale_1971,Anglophones_1971,Francophones_1971,Allophones_1971,Population_totale_1981,Anglophones_1981,Francophones_1981,Allophones_1981,Population_totale_1986,Anglophones_1986,Francophones_1986,Allophones_1986,Population_totale_1991,Anglophones_1991,Francophones_1991,Allophones_1991,Population_totale_1996,Anglophones_1996,Francophones_1996,Allophones_1996,Population_totale_2001,Anglophones_2001,Francophones_2001,Allophones_2001,Population_totale_2006,Anglophones_2006,Francophones_2006,Allophones_2006,Population_totale_2011,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits_1970,Votes_exprimes_1970,Bulletins_rejetes_1970,Parti_liberal_1970,Parti_quebecois_1970,Union_nationale_1970,Ralliement_creditiste_1970,Autres_1970,Electeurs_inscrits_1973,Votes_exprimes_1973,Bulletins_rejetes_1973,Parti_liberal_1973,Parti_quebecois_1973,Union_nationale_1973,Ralliement_creditiste_1973,Autres_1973,Electeurs_inscrits_1976,Votes_exprimes_1976,Bulletins_rejetes_1976,Parti_liberal_1976,Parti_quebecois_1976,Union_nationale_1976,Ralliement_creditiste_1976,Autres_1976,Electeurs_inscrits_1980,Votes_exprimes_1980,Bulletins_rejetes_1980,Non_1980,Oui_1980,Electeurs inscrits_1981,Votes_exprimes_1981,Bulletins_rejetes_1981,Parti_liberal_1981,Parti_quebecois_1981,Union_nationale_1981,Autres_1981,Electeurs_inscrits_1985,Votes_exprimes_1985,Bulletins_rejetes_1985,Parti_liberal_1985,Parti_quebecois_1985,Autres_1985,Electeurs_inscrits_1989,Votes_exprimes_1989,Bulletins_rejetes_1989,Parti_liberal_1989,Parti_quebecois_1989,Autres_1989,Electeurs_inscrits_1992,Votes_exprimes_1992,Bulletins_rejetes_1992,Oui_1992,Non_1992,Electeurs_inscrits_1994,Votes_exprimes_1994,Bulletins_rejetes_1994,Parti_liberal_1994,Parti_quebecois_1994,Action_democratique_1994,Autres_1994,Electeurs_inscrits_1995,Votes_exprimes_1995,Bulletins_rejetes_1995,Non_1995,Oui_1995,Electeurs_inscrits_1998,Votes_exprimes_1998,Bulletins_rejetes_1998,Parti_liberal_1998,Parti_quebecois_1998,Action_democratique_1998,Autres_1998,Electeurs_inscrits_2003,Votes_exprimes_2003,Bulletins_rejetes_2003,Parti_liberal_2003,Parti_quebecois_2003,Action_democratique_2003,Autres_2003,Electeurs_inscrits_2007,Votes_exprimes_2007,Bulletins_rejetes_2007,Parti_liberal_2007,Parti_quebecois_2007,Action_democratique_2007,Quebec_solidaire_2007,Parti_vert_2007,Autres_2007,Electeurs_inscrits_2008,Votes_exprimes_2008,Bulletins_rejetes_2008,Parti_liberal_2008,Parti_quebecois_2008,Action_democratique_2008,Quebec_solidaire_2008,Parti_vert_2008,Autres_2008,Electeurs_inscrits_2012,Votes_exprimes_2012,Bulletins_rejetes_2012,Parti_liberal_2012,Parti_quebecois_2012,Coalition_avenir_quebec_2012,Quebec_solidaire_2012,Parti_vert_2012,Option_nationale_2012,Autres_2012
Micmacs – RI Listuguj,6804,1020,0,0,0,1091,550,25,520,896,549,10,335,920,390,25,495,1296,690,35,570,1442,850,45,540,1475,859,41,580,1850,0,0,0,35,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,435,232,15,213,4,505,0,0,0,0,0,0,736,28,0,19,8,1,637,112,2,93,3,14,656,52,0,35,17,834,129,0,126,3,0,0,639,527,6,514,7,734,126,0,118,6,2,0,894,78,0,77,0,0,1,1026,84,1,80,1,2,0,0,0,1139,57,0,56,1,0,0,0,0,1182,124,0,120,1,0,1,0,2,0
Mohawks - RI Akwesasne,69802,727,0,0,725,1370,1030,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,140,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,1054,0,0,0,0,0,0,0,0,0
Mohawks – RI Kahnawake,67802,3982,2060,345,1580,5218,0,0,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,90,2,52,8,15,11,2,1811,20,0,14,6,0,0,0,8,4,0,2,2,0,0,0,61,50,1,44,5,13,10,0,8,2,0,0,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,159,7,0,6,0,0,1,849,4,0,3,0,0,0,1,0,838,2,0,0,0,2,0,0,0,1552,28,0,21,1,4,2,0,0,0
Montagnais - RI Pessamit,96802,1574,0,0,0,1875,0,60,1815,1752,0,40,1715,1844,0,35,1805,2042,0,40,2000,2288,0,95,2190,2357,0,75,2275,2420,5,95,2315,804,215,5,123,29,53,5,0,800,112,4,62,24,8,13,1,873,261,13,139,56,34,19,0,991,470,5,449,16,1031,285,6,237,36,6,0,1139,101,0,65,29,7,1128,151,3,97,33,18,1268,459,17,398,44,1275,198,5,171,15,7,0,1032,512,13,485,14,1118,173,3,137,14,19,0,1233,177,2,136,25,13,1,1317,205,2,151,15,31,3,3,0,1359,113,0,96,10,7,0,0,0,1428,167,1,67,33,21,36,0,9,0
Montagnais – RI La Romaine,98804,480,0,0,0,583,0,580,5,644,0,0,645,758,0,10,750,833,0,30,805,944,0,40,905,926,0,15,910,1016,0,25,990,323,268,4,222,23,9,10,0,378,276,13,205,50,5,2,1,382,305,21,82,43,41,5,113,431,128,1,80,47,466,272,2,116,139,11,4,344,188,2,85,96,5,426,296,10,116,163,7,451,198,3,119,76,480,117,3,74,40,0,0,171,27,0,18,9,204,34,1,11,21,1,0,246,42,1,18,18,3,2,341,61,0,29,13,16,2,1,0,361,38,0,23,10,2,0,3,0,421,86,0,47,18,7,8,0,2,4
Montagnais – RI Essipit,95802,515,0,0,0,117,0,115,0,147,0,135,10,238,0,230,5,252,0,250,10,258,0,255,0,247,0,0,0,268,0,260,5,266,172,4,43,62,32,31,0,119,59,0,29,21,0,9,0,166,121,1,50,52,7,11,0,218,103,4,29,70,163,89,1,37,50,1,0,101,72,1,56,12,3,140,76,1,53,16,6,158,117,3,77,37,189,130,0,83,33,14,0,189,137,4,78,55,194,93,0,55,28,9,1,200,109,4,52,28,25,0,184,109,0,28,33,37,7,4,0,191,106,5,58,32,6,5,0,0,212,131,2,34,62,25,6,0,2,0
Montagnais – RI Uashat,97802,0,0,0,0,517,0,30,485,683,0,80,610,735,0,40,695,880,0,105,785,1136,10,180,940,1190,11,159,1030,1485,15,250,1210,343,156,7,58,33,48,10,0,308,104,2,71,21,2,8,0,357,237,15,62,28,2,10,120,398,120,4,104,12,408,178,5,103,53,11,6,455,165,12,67,76,10,279,90,0,31,57,2,321,139,1,103,35,368,66,1,52,13,0,0,378,257,4,238,15,449,90,0,72,15,3,0,540,129,0,100,12,14,3,652,127,1,88,14,20,0,4,0,725,78,0,57,10,10,0,1,0,839,156,4,41,38,16,34,0,2,21
Montagnais – RI Maliotenam,97804,0,0,0,0,766,0,70,700,526,0,30,500,826,0,45,780,1004,0,100,910,1095,0,75,1020,1123,0,150,975,1316,15,140,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,145,1,74,67,3,501,135,5,99,31,530,65,1,55,9,0,0,367,205,4,194,7,414,67,0,53,9,5,0,499,152,0,120,22,7,3,580,150,1,101,16,25,3,4,0,633,64,0,36,14,6,6,2,0,700,113,1,26,17,9,31,0,1,28
Montagnais – RI Mashteuiatsh,91802,1196,10,850,340,1318,10,920,385,1340,10,945,390,1489,10,1110,360,1725,10,1280,430,1861,10,1475,350,1749,10,1430,295,2213,15,1955,225,424,107,2,51,20,21,13,0,636,176,3,135,15,7,16,0,644,190,5,110,48,10,17,0,608,87,3,62,22,637,165,1,91,70,3,0,764,163,1,66,89,7,782,161,1,112,43,5,805,367,5,265,97,828,133,3,69,57,0,4,819,496,4,404,88,976,236,4,102,96,33,1,1065,241,6,123,65,44,3,1175,345,3,156,97,72,17,0,0,1232,211,1,102,75,18,8,0,7,1297,336,0,126,118,51,35,0,6,0
Montagnais – RI Matimekosh,97808,704,0,0,0,757,0,0,755,395,10,25,365,389,5,5,380,147,10,0,140,449,0,25,420,528,0,45,480,540,0,20,525,274,27,2,11,4,6,4,0,299,135,1,99,18,11,2,4,317,195,4,68,16,18,5,84,353,127,6,113,8,386,140,4,105,18,6,7,198,30,0,17,13,0,228,52,2,33,15,2,164,28,1,23,4,226,48,0,41,7,0,0,252,131,1,114,16,194,42,0,40,2,0,0,255,32,0,24,6,2,0,301,50,0,37,3,7,0,3,0,319,17,0,6,8,0,3,0,0,340,25,1,7,5,3,7,0,1,1
