Circonscriptions,Population_totale_1871,Canadiens_francais_1871,Population_totale_1881,Canadiens_francais_1881,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_conservateur_01,Autres_conservateur_02,Autres_conservateur_03
Total,1191516,929817,1359027,1073820,204429,139240,1764,137476,65189,65285,68035,3773,248,135
Argenteuil,12806,3902,16062,6414,2162,1619,16,1603,543,832,771,,,
Bagot,19491,19037,21199,20639,3660,2660,82,2578,1000,1374,1204,,,
Beauce,27253,26202,32020,30803,4185,2798,39,2759,1387,1576,1183,,,
Beauharnois,14757,13251,16005,14420,2006,1563,13,1550,443,656,894,,,
Bellechasse,17637,17542,18068,17991,2510,1977,28,1949,533,1090,859,,,
Berthier,19804,19435,21838,21384,2958,2129,17,2112,829,973,1139,,,
Bonaventure,15923,9545,18908,12047,2564,1895,43,1852,669,742,1110,,,
Brome,13757,3471,15827,4910,3099,1888,12,1876,1211,816,1060,,,
Chambly,10498,9775,10858,9747,2274,1645,5,1640,629,817,823,,,
Champlain,22052,21590,26818,25967,3281,2554,16,2538,727,986,1552,,,
Charlevoix,15611,15270,17901,17439,2476,2081,29,2052,395,1011,1041,,,
Châteauguay,16166,11288,14393,9908,2520,1414,22,1392,1106,741,651,,,
Chicoutimi-Saguenay,22980,20162,32409,29324,3104,2507,48,2459,597,1182,,1277,,
Compton,13665,3785,19581,7706,3860,2373,30,2343,1487,945,1398,,,
Deux-Montagnes,15615,13972,15856,14285,2262,1620,9,1611,642,697,914,,,
Dorchester,17779,14996,18710,16231,2811,2023,28,1995,788,566,1376,53,,
Drummond-Arthabaska,31892,26598,37360,31977,5151,3883,52,3831,1268,2088,1743,,,
Gaspé,18729,12956,25001,17848,3631,,,,,Élu sans opposition,,,,
Hochelaga,25640,20224,40079,31335,8140,4721,128,4593,3419,2098,2495,,,
Huntingdon,16304,4924,15495,4617,2592,,,,,Élu sans opposition,,,,
Iberville,15413,13971,14459,13201,2133,1363,16,1347,770,818,529,,,
Jacques-Cartier,11179,9766,12345,10705,2420,1809,21,1788,611,776,1012,,,
Joliette,23075,22020,21988,21057,3085,2129,25,2104,956,948,1156,,,
Kamouraska,21254,21038,22181,21988,3017,2499,26,2473,518,1249,1224,,,
Laprairie,11861,10154,11436,9682,1541,1236,20,1216,305,485,731,,,
L'Assomption,15473,14979,15282,14862,2363,1754,20,1734,609,771,963,,,
Laval,9472,9325,9462,9269,1577,,,,,,Élu sans opposition,,,
Lévis,24831,22706,27980,25972,5043,4288,43,4245,755,2214,2031,,,
L'Islet,13517,13375,14917,14824,2062,1370,24,1346,692,745,601,,,
Lotbinière,20606,17340,20857,18498,3110,2450,20,2430,660,1383,1047,,,
Maskinongé,15079,14782,17493,17085,2278,1466,42,1424,812,,720,456,248,
Mégantic,18879,12074,19056,12960,3227,2362,29,2333,865,1482,851,,,
Missisquoi,16922,7114,17784,8009,3582,2309,15,2294,1273,1156,1138,,,
Montcalm,12742,10794,12966,11337,2362,1622,2,1620,740,,885,735,,
Montmagny,13555,13449,15268,15222,2118,1663,35,1628,455,835,793,,,
Montmorency,12085,11602,12322,11967,1754,1563,19,1544,191,779,765,,,
Montréal-Centre,5264,3224,4635,3098,2840,1859,15,1844,981,1008,836,,,
