Circonscriptions,Anglophones_1986,Francophones_1986,Allophones_1986,Anglophones_1991,Francophones_1991,Allophones_1991,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Equality_party,Unity_party,Autres_parti_quebecois,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_parti_vert,Autres_nouveau_parti_democratique,Autres_parti_citron,Autres_parti_des_travailleurs_du_quebec,Autres_parti_conservateur,Autres_parti_independantiste,Autres_parti_marxiste-leniniste,Autres_parti_51,Autres_credit_social_uni,Autres_mouvement_socialiste,Autres_republicain-commonwealth,Autres_parti_communiste_du_quebec,Autres_parti_libertarien
Masson,1317,54967,725,1671,73739,1335,45926,33873,864,33009,12053,11648,19615,,,,,,,1135,611,,,,,,,,,,,
Matane,272,39482,55,267,37468,80,27378,19782,551,19231,7596,11061,8170,,,,,,,,,,,,,,,,,,,
Matapédia,135,38751,25,160,36290,45,26220,19190,760,18430,7030,11085,7345,,,,,,,,,,,,,,,,,,,
Mégantic-Compton,3209,36502,165,3138,36727,155,27642,21198,320,20878,6444,12608,6246,,1039,,,,,740,,,,,,,245,,,,,
Mercier,3943,35484,12890,4571,32409,11415,33243,23869,471,23398,9374,7117,13371,,,,,,,1961,567,,168,,,108,,,106,,,
Mille-Îles,1738,50827,4320,1875,51190,6010,37904,30083,1078,29005,7821,16436,12569,,,,,,,,,,,,,,,,,,,
Montmagny-L'Islet,145,43814,60,230,41415,30,31486,22420,451,21969,9066,12688,7874,,,,,,,1407,,,,,,,,,,,,
Montmorency,444,61787,335,547,69768,385,46666,35251,802,34449,11415,20653,11280,,,,524,,,,1726,,,,,266,,,,,,
Mont-Royal,17759,18918,20400,17298,17287,24285,29325,20633,388,20245,8692,10846,2456,5681,,,,,,941,229,,,,,92,,,,,,
Nelligan,27450,30039,8325,33089,34271,14325,47289,35200,573,34627,12089,16284,7063,10249,,,367,,,,664,,,,,,,,,,,
Nicolet-Yamaska,265,44504,475,278,44382,480,31763,25724,508,25216,6039,15164,8941,,,,,,,1111,,,,,,,,,,,,
Notre-Dame-de-Grâce,34287,13950,14150,30323,12857,14345,36306,27354,307,27047,8952,9548,3017,11638,,,234,,,2024,388,,,143,,55,,,,,,
