Circonscriptions,Population_totale_1901,Canadiens_francais_1901,Population_totale_1911,Canadiens_francais_1911,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur_01,Autres_conservateur_02,Autres_ouvrier
Argenteuil,16407,7391,16766,8559,4212,3091,40,3051,1121,1227,1824,,,,
Bagot,16291,16038,18206,18078,4312,3638,43,3595,674,1845,1750,,,,
Beauce,43129,42192,51399,50580,10932,8385,103,8282,2547,4823,3459,,,,
Beauharnois,21732,19506,20802,18049,4568,3761,36,3725,807,1876,1849,,,,
Bellechasse,18706,18640,21141,21114,4298,3470,32,3438,828,1696,1742,,,,
Berthier,18982,18672,19872,19620,4556,3654,21,3633,902,1612,1638,383,,,
Bonaventure,24495,17056,28110,20035,5079,3881,42,3839,1198,2444,1395,,,,
Brome,13397,4766,13216,4977,3836,3086,70,3016,750,1496,1520,,,,
Chambly-Verchères,24318,22269,28715,24115,6944,5340,52,5288,1604,2576,2712,,,,
Champlain,35159,34293,42758,38944,9193,7306,51,7255,1887,3444,3811,,,,
Charlevoix,19334,18979,20637,20302,4362,3428,50,3378,934,1358,2020,,,,
Châteauguay,15693,9415,13322,9607,3414,2538,16,2522,876,1281,1241,,,,
Chicoutimi-Saguenay,48291,44289,63341,60127,14043,9895,54,9841,4148,2523,3798,,1989,1531,
Compton,26460,14460,29630,18714,7673,5895,65,5830,1778,2877,2953,,,,
Deux-Montagnes,14438,13366,13868,12902,3406,,,,,Élu sans opposition,,,,,
Dorchester,21007,18106,25096,23627,5514,4731,51,4680,783,2174,2506,,,,
Drummond-Arthabaska,44484,41045,41590,39165,9517,7379,46,7333,2138,3800,3533,,,,
Gaspé,30683,22785,35001,27127,5874,4402,32,4370,1472,1900,2470,,,,
Hochelaga,56919,34429,75049,43032,18413,13230,247,12983,5183,5805,7178,,,,
Huntingdon,13979,5105,13240,5372,3284,2516,26,2490,768,1318,1172,,,,
Jacques-Cartier,26168,19297,65023,40920,15498,10398,174,10224,5100,4442,5782,,,,
Joliette,22255,21662,23911,23227,5316,4467,55,4412,849,2173,2239,,,,
Kamouraska,19099,19012,20888,20806,4492,3629,35,3594,863,1840,1754,,,,
Labelle,30931,24653,40351,34016,8962,5793,73,5720,3169,2818,2902,,,,
Laprairie-Napierville,17523,16890,19335,16503,4214,3460,39,3421,754,1795,1626,,,,
L'Assomption,14993,14661,15164,14691,3323,2759,42,2717,564,1508,1209,,,,
Laval,19743,17998,29977,26819,6828,5204,107,5097,1624,2648,2449,,,,
Lévis,26210,25068,28913,27947,6230,4846,76,4770,1384,2799,1971,,,,
L'Islet,14439,14413,16435,16209,3669,2744,22,2722,925,1144,1578,,,,
Lotbinière,20039,18817,22158,21319,4813,3428,38,3390,1385,1870,1520,,,,
Maisonneuve,65178,54554,170978,124798,36725,20875,8,20867,15850,,9331,,,,11536
Maskinongé,15813,15563,16509,16377,3753,2939,34,2905,814,1398,1507,,,,
Mégantic,23621,18721,31314,26761,7486,5650,45,5605,1836,2986,2619,,,,
Missisquoi,18482,9908,17466,10479,4968,3865,63,3802,1103,2002,1800,,,,
Montcalm,13001,12020,13862,12904,3411,2836,30,2806,575,1432,1374,,,,
Montmagny,14757,14663,17356,17226,3757,3010,29,2981,747,1328,1653,,,,
Montmorency,12311,12124,13215,12953,3018,2672,21,2651,346,1292,1359,,,,
Nicolet,26590,26121,30055,29741,6909,5586,60,5526,1323,2721,2805,,,,
Pontiac,25722,9397,29416,14270,6547,4675,57,4618,1872,1393,2059,1166,,,
Portneuf,27159,25669,30529,29292,6735,4990,17,4973,1745,2868,2105,,,,
Québec-Centre,20366,15297,21143,16945,4634,3750,99,3651,884,2122,1529,,,,
Québec-Comté,22101,18710,25844,22428,5431,4608,66,4542,823,2247,2295,,,,
Québec-Est,39325,36808,47429,45670,10087,,,,,Élu sans opposition,,,,,
Québec-Ouest,9149,4911,9618,5465,2887,2384,37,2347,503,1219,1128,,,,
Richelieu,18576,18189,20686,20384,5310,4138,126,4012,1172,2373,1639,,,,
Richmond-Wolfe,34137,25697,39491,31937,9354,7252,86,7166,2102,3855,3311,,,,
Rimouski,40157,38465,51490,50074,9662,8003,77,7926,1659,3747,4179,,,,
Rouville,15990,15458,13131,12737,3359,2688,32,2656,671,1467,1189,,,,
Saint-Antoine,47653,14597,48638,14230,10820,7498,153,7345,3322,2668,4677,,,,
