Circonscriptions,Anglophones_1941,Francophones_1941,Allophones_1941,Anglophones_1951,Francophones_1951,Allophones_1951,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_union_des_electeurs,Autres_liberal_01,Autres_liberal_02,Autres_union_nationale,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_commonwealth_cooperative_federation_01,Autres_ouvrier_progressiste,Autres_ouvrier,Autres_commonwealth_cooperative_federation_02
Abitibi-Est,4224,58738,4727,4172,77360,4824,24636,20172,346,19826,4464,5313,8373,6140,,,,,,,,,,
Abitibi-Ouest,4224,58738,4727,4172,77360,4824,12926,11318,181,11137,1608,2196,5669,3172,,,100,,,,,,,
Argenteuil,8187,14236,247,8476,17151,245,13794,11432,110,11322,2362,5055,5488,779,,,,,,,,,,
Arthabaska,301,29693,45,223,36680,54,17525,15428,165,15263,2097,5146,8368,1749,,,,,,,,,,
Bagot,70,17548,24,112,19091,21,9937,8822,53,8769,1115,3295,5220,254,,,,,,,,,,
Beauce,247,47768,58,253,54676,44,24314,21536,209,21327,2778,4559,12571,4197,,,,,,,,,,
Beauharnois,2611,27349,309,2740,35810,198,19317,15843,170,15673,3474,4006,9929,1738,,,,,,,,,,
Bellechasse,50,23611,15,91,25233,8,12533,10464,95,10369,2069,4246,5027,1096,,,,,,,,,,
Berthier,97,21077,59,147,24500,70,13206,11768,208,11560,1438,5542,5952,66,,,,,,,,,,
Bonaventure,7499,30796,901,6503,33332,906,19625,16653,211,16442,2972,7669,8384,137,,,252,,,,,,,
Brome,6834,5485,166,6984,6073,336,8011,6680,62,6618,1331,2493,3977,148,,,,,,,,,,
Chambly,10862,20804,788,18119,58489,1323,32157,23725,286,23439,8432,8698,12197,869,,,1014,335,326,,,,,
Champlain,1616,65986,455,2260,83040,445,19503,16862,129,16733,2641,4133,11465,1135,,,,,,,,,,
Charlevoix,228,25371,63,248,27989,22,13279,11260,98,11162,2019,4064,6078,961,,,59,,,,,,,
Châteauguay,3191,11197,55,4021,13716,120,9438,7911,58,7853,1527,3474,4277,102,,,,,,,,,,
Chicoutimi,1676,76468,737,4969,174743,1146,47983,41118,296,40822,6865,7424,23602,9796,,,,,,,,,,
Compton,6009,16508,440,5391,18276,189,12888,10574,63,10511,2314,3606,5593,1312,,,,,,,,,,
Deux-Montagnes,1228,14989,529,2249,18282,517,10881,9088,88,9000,1793,3207,5638,155,,,,,,,,,,
Dorchester,756,29089,24,667,32634,12,17487,15292,104,15188,2195,4841,9345,1002,,,,,,,,,,
Drummond,2329,34220,134,2336,50958,132,23600,18701,520,18181,4899,4727,10016,3438,,,,,,,,,,
Frontenac,410,27927,259,437,30244,52,14124,12448,107,12341,1676,3050,6948,2343,,,,,,,,,,
Gaspé-Nord,71,12320,6,53,15027,9,8744,8028,82,7946,716,3572,3359,97,,,,918,,,,,,
Gaspé-Sud,7537,26303,31,7042,30368,32,15977,13280,158,13122,2697,4968,8002,152,,,,,,,,,,
Gatineau,8729,20270,755,10033,24504,727,16309,12812,108,12704,3497,5545,6649,510,,,,,,,,,,
Hull,3220,37880,334,5906,51073,339,23660,18509,162,18347,5151,5537,12036,774,,,,,,,,,,
Huntingdon,4870,6304,1220,5451,7083,923,7380,6173,66,6107,1207,2574,3453,80,,,,,,,,,,
Iberville,272,9977,24,431,13021,55,6681,5793,136,5657,888,2025,3369,228,,,,35,,,,,,
Îles-de-la-Madeleine,711,8214,15,737,9260,2,4627,4238,38,4200,389,1719,2442,39,,,,,,,,,,
