Circonscriptions,Anglophones_1986,Francophones_1986,Allophones_1986,Anglophones_1991,Francophones_1991,Allophones_1991,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_rhinoceros,Autres_parti_vert,Autres_parti_marxiste-leniniste,Autres_republicain-commonwealth,Autres_parti_communiste_canadien,Autres_credit_social,Autres_parti_libertarien,Autres_christian_heritage_party
Abitibi,2050,72289,13050,2499,75291,13605,61409,39479,813,38666,21930,6251,22254,10161,,,,,,,,,,
Ahuntsic,4225,65581,21215,3933,59737,24375,66906,52083,845,51238,14823,21056,21748,5638,,,1042,1131,343,77,203,,,
Anjou-Rivière-des-Prairies,5140,71618,20870,6312,74988,29825,73763,54597,1338,53259,19166,17421,27451,6687,,,,1217,483,,,,,
Argenteuil-Papineau,8745,63692,1090,9178,73667,1235,55217,41526,631,40895,13691,11088,23076,5772,,,959,,,,,,,
Beauce,507,94973,160,632,98088,145,68530,53282,573,52709,15248,13641,36212,2856,,,,,,,,,,
Beauharnois-Salaberry,10293,73685,1215,10653,76172,1255,65032,50641,704,49937,14391,13351,29149,5937,,,729,771,,,,,,
Bellechasse,398,82813,140,517,79548,95,59986,42937,424,42513,17049,11120,27621,2762,,,,1010,,,,,,
Berthier-Montcalm,2013,90064,1855,2528,99042,2215,72746,53297,1044,52253,19449,13624,29370,5883,1292,,,2084,,,,,,
Blainville-Deux-Montagnes,9580,101192,4005,10754,129001,5575,88069,67124,1352,65772,20945,13787,40810,9243,,,1782,,,150,,,,
Bonaventure-Îles-de-la-Madeleine,6315,44626,680,6073,44192,855,36609,26615,282,26333,9994,9296,15491,1546,,,,,,,,,,
Bourassa,3860,70150,16245,3699,62911,18945,62097,44732,950,43782,17365,18159,18979,4797,,,882,396,125,107,159,178,,
Brome-Missisquoi,15557,58688,1615,15961,62574,1795,55464,42437,675,41762,13027,13733,22540,5489,,,,,,,,,,
Chambly,9100,81206,2350,8636,92509,2475,67286,55483,703,54780,11803,10886,25770,17268,,,792,,,64,,,,
Champlain,1023,79473,2000,795,81505,2335,61672,47088,1037,46051,14584,7471,29788,8792,,,,,,,,,,
Charlesbourg,8689,98173,1960,10106,115485,3325,77676,60459,1269,59190,17217,15727,35549,7914,,,660,,364,,,,,
Charlevoix,1973,104010,835,1942,108458,1010,57275,42527,384,42143,14748,5994,33730,1819,,,,,,,,,,
Châteauguay,535,78536,1975,502,76553,2090,70945,51070,953,50117,19875,16422,22439,8282,,,600,,,,,,,
Chicoutimi,12661,72422,3140,13979,84106,4215,58609,44359,743,43616,14250,8047,30699,4870,1724,,1250,,,,,,,
Drummond,909,84923,475,861,86614,425,57832,45203,916,44287,12629,15380,23703,5204,,,,,,,,,,
Duvernay,2834,84716,6920,3513,88212,11495,71474,56604,1576,55028,14870,12607,33426,8147,,,,,,368,,480,,
Frontenac,1183,77968,465,1240,82215,550,44383,35464,318,35146,8919,6978,25872,1785,,,,,,,,,,
Gaspé,841,62638,225,795,59815,190,40982,28709,289,28420,12273,9908,16298,1504,,,,511,,,,,,
Gatineau-La-Lièvre,4565,56024,125,4044,50711,90,78810,54723,413,54310,24087,23507,21385,8394,185,,525,,,,,,,
Hochelaga-Maisonneuve,3222,77507,6930,3259,76061,9580,61240,42342,954,41388,18898,14168,16246,8583,,,1196,800,159,122,114,,,
Hull-Aylmer,13054,70169,4475,14663,71772,6510,63094,46994,403,46591,16100,23218,14849,7170,559,,661,,134,,,,,
Joliette,1112,93178,975,1308,109367,1175,72067,52225,1564,50661,19842,12573,27908,7232,,,,2290,530,128,,,,
Jonquière,824,66458,250,659,66861,255,46846,34340,514,33826,12506,5277,21523,7026,,,,,,,,,,
Kamouraska-Rivière-du-Loup,245,72406,100,255,70275,105,51603,35350,475,34875,16253,10353,20388,3257,,,,685,192,,,,,
Lachine-Lac-Saint-Louis,49286,38125,10165,47873,39432,12500,70051,57670,634,57036,12381,25136,25870,4518,,,,858,227,102,,,325,
Lac-Saint-Jean,386,69051,160,301,68864,135,47132,35285,435,34850,11847,5390,23112,6348,,,,,,,,,,
Langelier,2018,89846,2295,1950,85185,2860,74312,53906,1270,52636,20406,14843,24555,10586,319,,,1931,402,,,,,
Laprairie,16251,70095,11275,17070,76970,17740,72723,58948,825,58123,13775,19497,30834,6228,,,1378,,,186,,,,
Lasalle-Émard,25087,59455,18110,24928,55722,19910,67584,52477,1012,51465,15107,23394,21979,5458,,,,,305,117,212,,,
Laurentides,3684,94017,1380,4486,109574,1600,78847,57220,1056,56164,21627,15752,31000,7755,,,1408,,,249,,,,
Laurier-Sainte-Marie,4402,67861,10285,5638,61947,11775,59956,41569,729,40840,18387,15956,12113,8828,,,2121,1438,130,79,175,,,
Laval,13616,66452,15705,12819,71891,23920,70688,56022,1331,54691,14666,18819,26858,8546,,,,,,468,,,,
Laval-des-Rapides,4944,80583,8435,5054,84321,13175,70941,53615,1602,52013,17326,14926,27955,7397,,,,1511,,224,,,,
Lévis,961,102893,515,1175,116615,590,77784,59672,1051,58621,18112,13002,33673,11501,,,,,,,,445,,
Longueuil,3818,97685,5340,3495,100675,7665,77055,55770,1231,54539,21285,12328,29054,10681,,,2080,,233,163,,,,
Lotbinière,526,91322,550,615,93125,560,65599,51279,845,50434,14320,15067,26585,8782,,,,,,,,,,
Louis-Hébert,3267,89185,2040,3160,91810,2780,77036,63245,793,62452,13791,15469,37329,8139,,,1515,,,,,,,
Manicouagan,5471,45973,6600,5503,45303,7420,37182,28125,355,27770,9057,6355,17126,4008,,,,,,281,,,,
Matapédia-Matane,347,64898,55,372,61468,95,46097,32291,492,31799,13806,11584,15962,4253,,,,,,,,,,
Mégantic-Compton-Stanstead,10516,62781,560,10559,63966,760,52830,39059,502,38557,13771,11566,23246,3195,,,,,,,,550,,
Mercier,3755,96730,5325,3494,95991,7280,77812,57667,1410,56257,20145,12942,30804,10251,,,1617,,197,137,309,,,
Montmorency-Orléans,625,91465,480,758,98772,570,69268,51432,906,50526,17836,11578,30578,7700,,,,,670,,,,,
Mont-Royal,42476,20490,29155,40918,19397,34005,60890,46003,302,45701,14887,27354,14601,2455,165,,512,438,68,108,,,,
Notre-Dame-de-Grâce,40952,22529,16615,38652,21203,18845,54284,42364,350,42014,11920,22928,11702,5154,,,678,848,80,45,,,223,356
Outremont,15109,50375,28285,15749,48616,31160,60902,46381,591,45790,14521,15895,17597,9379,,,1077,1342,183,117,200,,,
Papineau-Saint-Michel,3586,58871,27300,3364,49277,31170,57470,40307,907,39400,17163,18122,13094,5948,178,,987,469,193,174,235,,,
Pierrefonds-Dollard,43578,40209,16125,48099,42881,25130,69739,55759,442,55317,13980,22244,27532,3854,452,,856,,,77,,,302,
Pontiac-Gatineau-Labelle,17389,58770,1400,18000,60670,1500,55143,38763,445,38318,16380,11589,20522,6207,,,,,,,,,,
Portneuf,1462,72828,335,1675,82740,405,56486,42360,705,41655,14126,11055,23893,5100,,,,1607,,,,,,
Québec-Est,1085,92080,820,1254,100486,1375,71271,53894,963,52931,17377,13732,29493,7555,,,1028,906,217,,,,,
Richelieu,670,80097,660,665,80645,610,59440,47459,869,46590,11981,8979,32104,3154,,,457,1896,,,,,,
Richmond-Wolfe,4007,72279,375,3884,75201,410,54301,41500,528,40972,12801,16813,19451,3918,,,790,,,,,,,
Rimouski-Témiscouata,351,74095,160,376,73919,175,54396,38549,572,37977,15847,10561,23789,2417,1210,,,,,,,,,
Roberval,555,73614,875,431,71459,780,49094,35309,332,34977,13785,4219,26717,3318,,,723,,,,,,,
Rosemont,3403,79589,9110,3438,74337,11130,67754,46286,1025,45261,21468,13209,17127,9163,2060,122,1656,1383,122,120,151,148,,
Saint-Denis,6545,46337,38630,7091,41445,43650,56971,43023,823,42200,13948,19928,12843,6151,,,1166,1107,341,191,204,269,,
Saint-Henri-Westmount,33221,35813,14090,32064,33662,19210,55737,40416,521,39895,15321,16600,15673,5235,402,60,671,900,184,,,,170,
Saint-Hubert,15600,86505,6595,15403,91042,8675,73280,53352,1063,52289,19928,15209,25573,9435,,,1222,718,,132,,,,
Saint-Hyacinthe-Bagot,578,84459,665,667,88298,770,63185,49057,1059,47998,14128,16289,25267,6442,,,,,,,,,,
Saint-Jean,2955,78655,1495,3551,88389,1560,62192,50270,1072,49198,11922,14643,27685,5786,,,1084,,,,,,,
Saint-Laurent,21111,40994,26755,18951,37864,38185,58282,44757,643,44114,13525,20418,18287,4213,,,,765,311,120,,,,
Saint-Léonard,5947,52299,36060,6255,47055,37745,62845,46814,1018,45796,16031,23014,17055,4663,,,,833,231,,,,,
Saint-Maurice,771,74662,280,785,75465,280,55944,42621,1249,41372,13323,10168,18741,12463,,,,,,,,,,
