Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_liberal,Autres_union_nationale,Autres_independants,Autres_independant_ministeriel,Autres_conservateur,Autres_commonwealth_cooperative_federation,Autres_communiste,Autres_candidat_du_peuple,Autres_ouvrier
Abitibi,23692,21004,67689,58579,12950,9829,72,9757,3121,3299,6458,,,,,,,,,
Argenteuil,18976,11026,22670,14152,5843,4703,18,4685,1140,2179,942,,1564,,,,,,,
Arthabaska,27159,26693,30039,29522,7263,6429,31,6398,834,2839,3559,,,,,,,,,
Bagot,16914,16782,17642,17563,4685,4170,,4170,515,2101,2069,,,,,,,,,
Beauce,44793,44330,48073,47750,10354,8720,24,8696,1634,1207,4788,2701,,,,,,,,
Beauharnois,25163,20906,30269,27197,6228,4906,13,4893,1322,1923,2970,,,,,,,,,
Bellechasse,22006,21927,23676,23539,5719,5076,34,5042,643,2262,2780,,,,,,,,,
Berthier,19506,19276,21233,20999,5608,5080,23,5057,528,2529,2528,,,,,,,,,
Bonaventure,32432,24229,39196,30711,9141,7828,121,7707,1313,3831,3876,,,,,,,,,
Brome,12433,5628,12485,5942,4297,3539,19,3520,758,1684,1836,,,,,,,,,
Chambly,26801,16576,32454,20729,7821,6011,99,5912,1810,2460,3452,,,,,,,,,
Champlain,28888,28432,32690,32189,7710,6701,73,6628,1009,2560,4068,,,,,,,,,
Charlevoix-Saguenay,44694,37812,55081,47167,10960,9777,42,9735,1183,4655,5080,,,,,,,,,
Châteauguay,13125,9837,14443,11088,4018,3453,3,3450,565,1551,1899,,,,,,,,,
Chicoutimi,55724,52925,78881,75432,14159,11131,34,11097,3028,2820,8277,,,,,,,,,
Compton,21917,14683,22957,16458,6585,5303,19,5284,1282,2127,3157,,,,,,,,,
Deux-Montagnes,14284,13427,16746,14937,4126,3818,54,3764,308,1637,2127,,,,,,,,,
Dorchester,27994,26863,29869,28918,7796,6701,19,6682,1095,2754,3928,,,,,,,,,
Dorion,33434,27747,34640,29704,13627,9102,124,8978,4525,3304,5674,,,,,,,,,
Drummond,26179,23731,36683,34078,8879,7362,59,7303,1517,3217,4086,,,,,,,,,
Frontenac,25681,24756,28596,27791,6409,5399,47,5352,1010,1926,3426,,,,,,,,,
Gaspé-Nord,9242,9076,12397,12025,3452,2967,10,2957,485,1252,1426,,,,279,,,,,
Gaspé-Sud,28433,20164,33871,25637,7282,6391,63,6328,891,2675,3653,,,,,,,,,
Gatineau,26925,17444,29754,20130,7834,6149,43,6106,1685,3021,3085,,,,,,,,,
Hull,36945,32489,41434,37377,10466,6556,76,6480,3910,2857,3623,,,,,,,,,
Huntingdon,12345,5914,12394,6447,3924,3213,13,3200,711,1356,1844,,,,,,,,,
Iberville,9402,8991,10273,9811,2616,2263,,2263,353,1292,971,,,,,,,,,
Îles-de-la-Madeleine,7942,7148,8940,8128,2314,1990,3,1987,324,986,1001,,,,,,,,,
Jacques-Cartier,39264,23246,42715,26556,11670,8694,44,8650,2976,,5164,,,,3486,,,,,
Joliette,27585,26719,31713,30889,7921,6684,23,6661,1237,3066,3595,,,,,,,,,
Kamouraska,23954,23807,25535,25434,6139,5360,31,5329,779,2609,2720,,,,,,,,,
Labelle,20140,19461,22974,22422,5382,4338,75,4263,1044,1186,3077,,,,,,,,,
Lac-Saint-Jean,20222,19572,25245,24490,5211,4696,9,4687,515,2143,2544,,,,,,,,,
L'Assomption,15323,14768,17543,16944,4961,3930,24,3906,1031,1826,2080,,,,,,,,,
Laurier,43860,18865,55032,22190,12039,7010,80,6930,5029,3472,3458,,,,,,,,,
Laval,133552,105734,154436,129138,27305,18457,162,18295,8848,5942,12353,,,,,,,,,
Laviolette,31047,28858,35367,33313,7909,6265,18,6247,1644,2188,4059,,,,,,,,,
Lévis,35656,34704,38119,37172,9298,7939,29,7910,1359,3857,4053,,,,,,,,,
L'Islet,19404,19276,20589,20397,5217,4482,36,4446,735,2213,2233,,,,,,,,,
Lotbinière,23034,22527,26664,26146,6795,5858,25,5833,937,2852,2981,,,,,,,,,
Maisonneuve,116154,88313,128738,99743,25735,16804,127,16677,8931,5232,11445,,,,,,,,,
Maskinongé,16039,15839,18206,17677,4731,4118,21,4097,613,1828,2269,,,,,,,,,
Matane,20394,19569,25488,24181,6921,5958,56,5902,963,2570,3256,76,,,,,,,,
Matapédia,24878,24574,29926,29575,7048,6066,27,6039,982,2840,3199,,,,,,,,,
Mégantic,35492,32685,40357,37542,9086,7794,16,7778,1292,2978,4627,,,173,,,,,,
Mercier,131689,93103,141768,107203,25959,16516,497,16019,9443,6380,9340,,299,,,,,,,
Missisquoi,19636,13335,21442,15435,6392,5100,73,5027,1292,2173,2854,,,,,,,,,
Montcalm,13865,12855,15208,14285,4057,3571,14,3557,486,1538,2019,,,,,,,,,
Montmagny,20239,20072,22049,21908,5614,4861,23,4838,753,2143,2695,,,,,,,,,
Montmorency,16955,16594,18602,18300,4377,3997,22,3975,380,1826,2149,,,,,,,,,
Napierville-Laprairie,21091,17582,22059,18718,5145,4563,53,4510,582,2179,2331,,,,,,,,,
Nicolet,28673,28471,30085,29838,7967,6842,9,6833,1125,2951,3612,270,,,,,,,,
Papineau,29246,23636,27551,23100,9995,7546,31,7515,2449,2886,4629,,,,,,,,,
Pontiac,21241,8742,19852,8744,6145,4700,44,4656,1445,2091,2005,560,,,,,,,,
Portneuf,35890,34670,38996,37825,9540,8221,54,8167,1319,2891,5276,,,,,,,,,
Québec-Centre,—,—,—,—,9087,7256,15,7241,1831,3404,3837,,,,,,,,,
Québec-Comté,40321,37364,52125,48348,9286,8395,112,8283,891,3632,4651,,,,,,,,,
Québec-Est,—,—,—,—,11669,9548,108,9440,2121,3614,5826,,,,,,,,,
Québec-Ouest,—,—,—,—,4028,3190,25,3165,838,1628,1346,24,,,,167,,,,
Richelieu,21483,21169,23691,23247,5744,4902,18,4884,842,2818,2034,32,,,,,,,,
Richmond,24956,19613,27493,22309,6930,5702,51,5651,1228,2191,3460,,,,,,,,,
Rimouski,33151,32255,44233,43228,7093,6356,26,6330,737,2839,3491,,,,,,,,,
Rivière-du-Loup,32965,32517,34493,33969,7998,7082,23,7059,916,3572,3487,,,,,,,,,
Roberval,30031,28811,39061,38000,7876,6810,16,6794,1066,2603,4191,,,,,,,,,
Rouville,13776,13112,15842,14757,4261,3657,20,3637,604,1591,2046,,,,,,,,,
Saint-Georges,36905,7757,41495,10193,5210,2529,10,2519,2681,,1399,221,,,,899,,,,
Saint-Henri,57631,43543,60137,47784,10342,7058,64,6994,3284,2322,3622,580,,,,,,,470,
Saint-Hyacinthe,25854,25541,31645,31277,7450,6534,13,6521,916,3289,3232,,,,,,,,,
Saint-Jacques,42925,37731,45698,41431,8616,6210,52,6158,2406,2357,3616,,,,,,,185,,
Saint-Jean,17649,15657,20584,18704,5454,4625,26,4599,829,2451,2148,,,,,,,,,
Saint-Laurent,20545,5309,20534,7404,4885,2296,55,2241,2589,1040,1201,,,,,,,,,
Saint-Louis,34861,12037,41375,17931,6611,3534,94,3440,3077,2024,773,,65,,,,,578,,
Saint-Maurice,32446,30950,36464,34732,8702,7142,32,7110,1560,2475,4635,,,,,,,,,
Saint-Sauveur,—,—,—,—,9663,8287,17,8270,1376,3454,4816,,,,,,,,,
Sainte-Anne,66238,32976,65082,35602,5237,3461,84,3377,1776,1673,1110,,,594,,,,,,
Sainte-Marie,75350,66170,80127,72333,14593,10047,221,9826,4546,3134,6410,,,,,,,282,,
Shefford,28262,24449,33387,29290,8190,6929,104,6825,1261,2885,3940,,,,,,,,,
Sherbrooke,37386,26842,46574,35388,10752,8235,29,8206,2517,3219,4987,,,,,,,,,
