Circonscriptions,Anglophones_1971,Francophones_1971,Allophones_1971,Anglophones_1981,Francophones_1981,Allophones_1981,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_rhinoceros,Autres_union_populaire,Autres_parti_marxiste-leniniste,Autres_parti_communiste_canadien,Autres_parti_libertarien,Autres_groupe_socialiste_des_travailleurs_du_quebec,Autres_rhinoceros_independant
Abitibi,4660,82395,5780,3795,85615,13105,76632,47851,707,47144,28781,15697,5652,21387,1420,,986,1425,344,233,,,,
Argenteuil,10445,53820,970,9815,56010,1000,45715,34560,260,34300,11155,22043,5889,3780,1579,,,699,155,155,,,,
Beauce,530,71215,90,780,80610,145,53476,43624,270,43354,9852,15193,2704,24770,215,,,344,128,,,,,
Beauharnois-Salaberry,10235,61610,1475,10730,64830,1305,54331,41533,762,40771,12798,26048,7460,4190,1866,,,967,240,,,,,
Bellechasse,455,83915,80,585,79800,100,56317,40642,360,40282,15675,17584,2924,18702,354,,,523,195,,,,,
Berthier-Maskinongé,500,62840,920,880,69365,1220,49984,38397,571,37826,11587,21725,11995,2851,841,,,,179,235,,,,
Blainville-Deux-Montagnes,13830,60540,2425,12020,96230,3765,66697,52177,954,51223,14520,34885,5042,5972,3472,,,1325,170,146,,211,,
Bonaventure-Îles-de-la-Madeleine,7010,53005,1080,6855,51945,880,39346,29329,397,28932,10017,15777,11641,,1514,,,,,,,,,
Bourassa,6780,74515,12575,6370,76355,16050,65657,48942,1076,47866,16715,29929,3705,5178,1804,,4918,1492,635,103,102,,,
Chambly,17525,59930,2660,16195,92605,4325,66606,52640,952,51688,13966,32952,7221,6436,3324,,,1290,306,159,,,,
Champlain,1315,71495,730,1320,76780,745,54622,42231,457,41774,12391,22256,4200,2796,1328,,10441,753,,,,,,
Charlesbourg,3050,88625,540,3285,129280,950,81790,63072,1223,61849,18718,40796,5860,10461,3784,,,,948,,,,,
Charlevoix,700,65120,195,530,71010,2025,48256,31871,469,31402,16385,18031,4503,8004,613,,,,251,,,,,
Châteauguay,18215,48920,3610,14320,66460,8000,55419,41235,673,40562,14184,27485,5909,3668,2404,,,883,213,,,,,
Chicoutimi,1135,65800,230,1275,66430,315,45045,33919,347,33572,11126,16605,7897,6763,1435,,,872,,,,,,
Dollard,49145,33365,10880,48030,40220,21400,67413,56860,396,56464,10553,43294,6208,1801,3949,,,793,143,64,58,154,,
Drummond,2275,68455,245,1170,73390,425,50653,40624,426,40198,10029,22989,5746,10010,639,,,641,106,67,,,,
Duvernay,3640,86805,3135,4820,92745,5540,64782,52774,1008,51766,12008,35270,4152,7446,2839,,,1592,220,122,125,,,
Frontenac,1525,68570,190,1260,68590,265,47397,37308,405,36903,10089,17024,7140,11582,492,,,429,173,63,,,,
Gamelin,7650,77210,8130,5855,69250,9435,59889,45909,911,44998,13980,30567,4711,5247,2753,,,1307,228,185,,,,
Gaspé,6945,53385,155,5505,54505,105,39436,28884,337,28547,10552,14830,11797,934,783,,,,203,,,,,
Gatineau,10150,65300,865,10505,88680,1390,64124,47962,340,47622,16162,34234,3174,6206,3292,,,,608,108,,,,
Hochelaga-Maisonneuve,5010,87870,3130,3175,62020,3115,51034,35100,1077,34023,15934,21059,3605,3769,1746,1837,60,1097,644,114,92,,,
Hull,13025,66135,2035,13750,65555,3565,56777,43649,311,43338,13128,30413,2320,2357,7175,,,835,132,106,,,,
Joliette,2430,75125,850,3270,88700,1145,62202,47989,751,47238,14213,18466,23960,2446,1324,,,828,140,74,,,,
Jonquière,2680,64840,385,1425,67295,285,46777,35420,390,35030,11357,21969,1597,7596,2724,,,1069,,75,,,,
Kamouraska-Rivière-du-Loup,355,69600,90,430,71250,150,49123,35217,320,34897,13906,15328,5662,12529,357,,515,506,,,,,,
Labelle,3610,71990,925,4395,86945,1335,62452,46063,997,45066,16389,29614,6073,6580,2134,,,,452,213,,,,
Lachine,59785,22145,4930,48980,24390,7415,54578,47384,233,47151,7194,29846,13428,801,2450,,,398,84,59,,85,,
Lac-Saint-Jean,1530,63990,150,645,77215,210,49270,36573,484,36089,12697,18978,3251,11048,1589,,,802,421,,,,,
Langelier,3930,81205,955,2495,60565,1205,53909,39458,505,38953,14451,25931,2186,4748,3773,,,1824,195,156,140,,,
Laprairie,25315,52535,4170,27450,78540,10590,70351,57577,785,56792,12774,39410,6576,4461,4188,,,1335,266,121,,435,,
Lasalle,29455,51390,12400,26950,51050,14455,63108,49461,767,48694,13647,36560,4669,2668,3249,,,1037,309,202,,,,
Laurier,5075,64570,21525,5070,43285,15100,42884,29404,865,28539,13480,17366,2790,3250,1934,,,2673,229,118,179,,,
Laval,22580,61065,7825,20035,83275,13240,69235,56166,959,55207,13069,40067,5484,4592,3521,,,1191,156,196,,,,
Laval-des-Rapides,13000,71830,9545,10260,69600,15030,65102,51904,1277,50627,13198,36387,5033,4779,3702,,,,472,254,,,,
Lévis,930,76160,215,1570,113075,415,72628,55265,809,54456,17363,31753,6726,11403,3392,,,,841,341,,,,
Longueuil,6285,88340,2965,6845,112150,5325,79020,57509,1686,55823,21511,34207,5952,8173,3995,,,2556,764,176,,,,
Lotbinière,340,74115,115,570,80970,450,54092,42450,409,42041,11642,16958,3639,20083,1159,,,,202,,,,,
Louis-Hébert,6355,85760,1475,4770,96475,1895,73636,58611,1175,57436,15025,37908,3322,9297,5812,,,,746,351,,,,
Manicouagan,8575,59045,4715,7265,69670,4915,53039,31889,477,31412,21150,18528,4948,5378,2105,,,,453,,,,,
Matapédia-Matane,395,60890,75,515,58280,80,40849,27603,358,27245,13246,19728,2993,3602,548,,,,374,,,,,
Mégantic-Compton-Stanstead,12555,56650,340,11740,66435,540,50670,37762,346,37416,12908,19309,7463,9047,1316,,,,281,,,,,
Mercier,6425,82960,3935,5580,82145,8520,61752,46459,1007,45452,15293,26784,5076,10328,1816,,,1074,121,118,135,,,
Missisquoi,15980,49100,1435,16580,55640,1720,49118,38280,399,37881,10838,16383,18198,2097,991,,,,212,,,,,
Montmorency,915,67030,290,1025,84680,380,56261,42834,580,42254,13427,26870,4506,8467,1859,,,,226,326,,,,
Mont-Royal,52475,16460,20905,45715,19020,23520,60745,51037,314,50723,9708,43202,3660,1049,2023,,,647,,61,81,,,
Notre-Dame-de-Grâce,51530,30625,16965,38560,27805,14315,56754,45956,371,45585,10798,33011,6632,1316,3683,,,739,116,88,,,,
Outremont,20175,41790,30980,15150,38835,23610,51819,40384,593,39791,11435,28710,2134,1765,4112,,122,2564,108,91,185,,,
Papineau,4105,74105,18715,3805,53805,13125,49952,35227,736,34491,14725,23619,2652,4039,1913,,412,1409,150,144,153,,,
Pontiac-Gatineau-Labelle,17110,47195,1260,17615,50915,1390,45826,32080,318,31762,13746,20253,5851,3084,1682,,,597,295,,,,,
Portneuf,2390,53740,205,2230,81815,350,54775,40228,466,39762,14547,25297,3620,8330,1346,,,985,184,,,,,
Québec-Est,1745,87035,470,1265,74245,705,59209,43963,865,43098,15246,28365,3128,7778,2147,,,1307,231,142,,,,
Richelieu,1170,72850,450,1250,80820,740,57469,46014,790,45224,11455,25264,11258,5798,1500,,,1041,218,145,,,,
Richmond,5960,58835,240,5200,59915,270,43569,33630,234,33396,9939,15135,2472,14662,551,,,414,162,,,,,
Rimouski,460,74235,65,650,77530,170,52613,37573,453,37120,15040,16716,2556,16821,492,,,455,80,,,,,
Roberval,385,64060,455,380,69590,610,45391,34207,269,33938,11184,13677,3705,15582,385,,,406,183,,,,,
Rosemont,6635,63590,20940,5275,52710,15745,54718,40305,708,39597,14413,28116,3129,3919,2238,,,1248,167,115,156,,509,
Saint-Denis,12575,45395,34660,10340,37830,32645,51669,41829,601,41228,9840,30552,3380,3177,2412,,,1056,226,238,187,,,
Saint-Henri-Westmount,42640,41905,9655,33640,35295,9350,57129,44421,426,43995,12708,31486,6374,1376,3297,,,957,145,175,,185,,
Saint-Hyacinthe,625,74370,305,875,82885,585,57291,44384,549,43835,12907,23666,12327,6087,802,,,444,79,68,,,,362
Saint-Jacques,26295,55490,9985,19585,38000,7880,46497,30305,640,29665,16192,20520,3704,1715,1978,,143,933,84,104,189,295,,
Saint-Jean,5255,68270,1495,5315,82940,1785,57885,45082,902,44180,12803,28496,4050,8275,2204,,,666,310,179,,,,
Saint-Léonard-Anjou,8645,64070,18850,10780,77735,34665,77813,60147,1067,59080,17666,45582,3556,5102,3105,,,1291,268,176,,,,
Saint-Maurice,1450,70015,240,1205,68480,300,50320,38921,583,38338,11399,27243,2795,6837,952,,,,351,160,,,,
Saint-Michel,4140,70305,19120,4205,57630,17290,54053,41668,896,40772,12385,29046,2602,4299,2616,,,1453,432,147,177,,,
Sainte-Marie,4045,85140,3020,3210,61030,3545,49381,34063,1053,33010,15318,19612,6797,2936,1575,,,1527,306,166,91,,,
Shefford,5260,72060,75,5300,90860,850,61686,49789,660,49129,11897,25287,11567,3922,1008,,6454,770,121,,,,,
