26 octobre 1908,Recensement de 1901,,Recensement de 1911,,,,,,,,,Autres,,,,
Circonscriptions,Population_totale_1901,Canadiens_francais_1901,Population_totale_1911,Canadiens_francais_1911,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_independants_01,Autres_independants_02,Autres_ouvrier,Autres_socialiste
Argenteuil,16407,7391,16766,8559,3946,2939,24,2915,1007,1328,1587,,,,,
Bagot,16291,16038,18206,18078,4422,3450,15,3435,972,1884,1551,,,,,
Beauce,43129,42192,51399,50580,10157,4300,34,4266,5857,4083,183,,,,,
Beauharnois,21732,19506,20802,18049,4688,3863,206,3657,825,1843,1814,,,,,
Bellechasse,18706,18640,21141,21114,4055,2633,18,2615,1422,1988,627,,,,,
Berthier,18982,18672,19872,19620,4482,3570,61,3509,912,1887,1622,,,,,
Bonaventure,24495,17056,28110,20035,4713,3596,42,3554,1117,2408,1146,,,,,
Brome,13397,4766,13216,4977,3763,2990,46,2944,773,1674,1233,,37,,,
Chambly-Verchères,24318,22269,28715,24115,6738,4194,56,4138,2544,2481,1657,,,,,
Champlain,35159,34293,42758,38944,8461,6574,47,6527,1887,3217,3310,,,,,
Charlevoix,19334,18979,20637,20302,4366,3698,39,3659,668,1725,1934,,,,,
Châteauguay,15693,9415,13322,9607,3328,2505,16,2489,823,1397,1092,,,,,
Chicoutimi-Saguenay,48291,44289,63341,60127,14043,8967,,8967,5076,,4349,4618,,,,
Compton,26460,14460,29630,18714,7673,6043,87,5956,1630,3175,2781,,,,,
Deux-Montagnes,14438,13366,13868,12902,3352,2811,49,2762,541,1427,1335,,,,,
Dorchester,21007,18106,25096,23627,4840,4035,30,4005,805,2084,1921,,,,,
Drummond-Arthabaska,44484,41045,41590,39165,9627,6716,42,6674,2911,3754,,2920,,,,
Gaspé,30683,22785,35001,27127,5730,2656,22,2634,3074,2063,571,,,,,
Hochelaga,56919,34429,75049,43032,14478,9313,186,9127,5165,4656,4471,,,,,
Huntingdon,13979,5105,13240,5372,3235,2531,27,2504,704,1292,1212,,,,,
Jacques-Cartier,26168,19297,65023,40920,11143,7436,123,7313,3707,3170,4143,,,,,
Joliette,22255,21662,23911,23227,5065,4075,41,4034,990,2178,1856,,,,,
Kamouraska,19099,19012,20888,20806,4225,3455,49,3406,770,1860,1546,,,,,
Labelle,30931,24653,40351,34016,7996,4635,60,4575,3361,2951,1624,,,,,
Laprairie-Napierville,17523,16890,19335,16503,4234,3530,68,3462,704,1923,1539,,,,,
L'Assomption,14993,14661,15164,14691,3405,2509,43,2466,896,1524,942,,,,,
Laval,19743,17998,29977,26819,5442,4390,71,4319,1052,2194,2125,,,,,
Lévis,26210,25068,28913,27947,6255,4588,56,4532,1667,2841,,1691,,,,
L'Islet,14439,14413,16435,16209,3265,2569,36,2533,696,1184,1349,,,,,
Lotbinière,20039,18817,22158,21319,4654,3800,37,3763,854,2304,1459,,,,,
Maisonneuve,65178,54554,170978,124798,25600,10587,292,10295,15013,,,,2937,,7358,
Maskinongé,15813,15563,16509,16377,3691,2691,24,2667,1000,1500,1167,,,,,
Mégantic,23621,18721,31314,26761,6605,5202,37,5165,1403,2800,2365,,,,,
Missisquoi,18482,9908,17466,10479,5114,3838,24,3814,1276,1891,1873,,50,,,
Montcalm,13001,12020,13862,12904,3271,2734,46,2688,537,1432,1256,,,,,
Montmagny,14757,14663,17356,17226,3372,2649,31,2618,723,1388,1230,,,,,
Montmorency,12311,12124,13215,12953,2864,2476,15,2461,388,1388,1073,,,,,
Nicolet,26590,26121,30055,29741,6782,4798,28,4770,1984,2718,2052,,,,,
Pontiac,25722,9397,29416,14270,6764,4388,46,4342,2376,2543,1799,,,,,
Portneuf,27159,25669,30529,29292,6378,5195,19,5176,1183,2949,2074,,153,,,
Québec-Centre,20366,15297,21143,16945,4147,3276,92,3184,871,2049,1135,,,,,
Québec-Comté,22101,18710,25844,22428,5062,4226,56,4170,836,2139,,,1993,38,,
Québec-Est,39325,36808,47429,45670,8804,5379,65,5314,3425,3764,1550,,,,,
Québec-Ouest,9149,4911,9618,5465,2605,2072,32,2040,533,1015,1025,,,,,
Richelieu,18576,18189,20686,20384,5310,3916,,3916,1394,2468,1448,,,,,
Richmond-Wolfe,34137,25697,39491,31937,8954,7048,117,6931,1906,3880,3051,,,,,
Rimouski,40157,38465,51490,50074,8788,6972,87,6885,1816,3737,3148,,,,,
Rouville,15990,15458,13131,12737,,,,,,Élu sans opposition,,,,,,
Saint-Antoine,47653,14597,48638,14230,10476,6378,164,6214,4098,2676,3538,,,,,
Saint-Hyacinthe,21543,21302,22342,22094,5371,4112,19,4093,1259,2325,1768,,,,,
Saint-Jacques,42618,37081,44057,38384,9685,6704,241,6463,2981,3995,2468,,,,,
Saint-Jean-Iberville,19536,18141,21882,19632,5678,2546,,2546,3132,2415,131,,,,,
Saint-Laurent,48808,22278,55860,18307,10467,6627,144,6483,3840,3576,2721,,,,,186
Sainte-Anne,23368,7439,21676,6539,8313,5758,66,5692,2555,2811,2881,,,,,
Sainte-Marie,40631,32850,54910,45941,9930,6302,125,6177,3628,3523,2654,,,,,
Shefford,23628,18086,23976,19214,6079,4664,41,4623,1415,2465,2158,,,,,
Sherbrooke,18426,10645,23211,13947,5421,4159,69,4090,1262,1973,2117,,,,,
Soulanges,9928,9269,9400,8949,2950,1853,22,1831,1097,889,942,,,,,
Stanstead,18998,8744,20765,10655,5697,4307,48,4259,1390,2211,2048,,,,,
Témiscouata,29185,28320,36430,35628,6614,5422,33,5389,1192,3027,2362,,,,,
Terrebonne,26816,25424,29018,26715,6469,5180,75,5105,1289,2513,2592,,,,,
Trois-Rivières-Saint-Maurice,26167,25181,36153,34777,7334,4950,38,4912,2384,3139,1773,,,,,
Vaudreuil,10445,9352,11039,9861,2995,2088,25,2063,907,1408,655,,,,,
Wright,44800,29946,48332,34373,9942,6474,61,6413,3468,3562,2851,,,,,
Yamaska,16204,15767,19511,19059,4668,3652,48,3604,1016,1846,1758,,,,,
