Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Ralliement_national,Rassemblement_pour_l_independance_nationale,Autres_independants_01,Autres_independants_02,Autres_conservateur,Autres_parti_socialiste_du_quebec,Autres_parti_communiste_du_quebec,Autres_droit_vital_personnel,Autres_parti_du_developpement_economique
Joliette,606,43925,438,700,51095,295,27845,22639,322,22317,5206,9136,11372,386,1423,,,,,,,
Jonquière,2488,61888,578,2350,60410,375,32677,25835,339,25496,6842,11959,7464,4992,916,,,,165,,,
Kamouraska,84,27024,30,105,26135,25,15526,11974,205,11769,3552,4755,6161,175,,678,,,,,,
Labelle,211,28697,176,825,29550,205,14618,11955,142,11813,2663,4325,6827,125,536,,,,,,,
Lac-Saint-Jean,622,43145,153,600,44505,115,24831,21377,341,21036,3454,8430,10985,1621,,,,,,,,
Lafontaine,11156,75893,4185,8855,92400,4615,45556,30788,549,30239,14768,12807,13592,466,3374,,,,,,,
L'Assomption,1931,37127,382,2310,59305,585,26911,21630,398,21232,5281,9468,9958,363,1443,,,,,,,
Laurier,9333,44524,14438,7145,43150,24760,43456,27344,825,26519,16112,15012,8258,701,2131,,,,,,417,
Laval,13325,32660,3162,26035,80065,9785,49184,35743,1016,34727,13441,16910,12206,324,3131,1136,1020,,,,,
Laviolette,2080,46507,776,1095,45920,725,27990,22634,328,22306,5356,8665,12082,,1559,,,,,,,
Lévis,444,51266,132,765,61825,190,34931,29007,492,28515,5924,12020,15141,511,843,,,,,,,
Limoilou,1183,68426,433,1350,67380,360,44188,33805,491,33314,10383,14896,16547,582,1234,,,,,55,,
L'Islet,68,24676,54,95,23080,10,13631,10995,187,10808,2636,4836,5972,,,,,,,,,
Lotbinière,868,29284,82,295,27055,20,15884,13791,199,13592,2093,6131,6218,1243,,,,,,,,
Louis-Hébert,6355,52575,922,7795,90400,1635,45183,34862,569,34293,10321,22532,8376,394,2991,,,,,,,
Maisonneuve,4627,65497,2190,3535,61905,1565,47821,28752,506,28246,19069,11592,12621,371,3457,,,,205,,,
Marguerite-Bourgeoys,22410,24188,7025,37675,44740,11875,38700,24110,609,23501,14590,14603,4659,173,1297,2769,,,,,,
Maskinongé,110,20684,480,120,20385,750,12912,11685,134,11551,1227,5262,6115,174,,,,,,,,
Matane,318,34689,71,240,29990,30,23324,18594,417,18177,4730,9045,8746,386,,,,,,,,
Matapédia,131,35396,59,100,26720,40,16097,12958,284,12674,3139,6165,6143,146,220,,,,,,,
Mégantic,1652,55518,230,1395,56465,160,30936,26010,367,25643,4926,11306,11894,2443,,,,,,,,
Mercier,2326,58315,1393,2115,58975,2370,44155,27115,553,26562,17040,11759,11241,335,3115,,,,,112,,
Missisquoi,6328,22373,825,6635,26530,790,19397,14945,322,14623,4452,5319,8788,126,390,,,,,,,
Montcalm,1055,17506,205,1335,19895,315,11392,9911,155,9756,1481,4537,5007,44,168,,,,,,,
Montmagny,80,26337,33,115,26160,30,15273,12614,235,12379,2659,5337,6763,279,,,,,,,,
Montmorency,823,24804,81,780,57485,210,32091,26615,529,26086,5476,9627,14151,885,1423,,,,,,,
Napierville-Laprairie,4294,35703,2376,10410,59065,4290,28870,22980,492,22488,5890,9683,8921,488,,3396,,,,,,
Nicolet,110,30628,89,130,29725,145,17436,15652,97,15555,1784,7285,8140,130,,,,,,,,
Notre-Dame-de-Grâce,46225,14380,10744,42865,14130,12745,43960,26085,487,25598,17875,19563,2068,77,949,,,2941,,,,
Olier,5243,43973,11655,7970,75420,38055,45337,26247,753,25494,19090,11990,9674,464,3366,,,,,,,
Outremont,26820,26372,12542,22840,31245,11965,40809,26313,920,25393,14496,18075,2744,118,3218,,,1238,,,,
Papineau,6729,44493,495,7620,54385,510,31681,24723,471,24252,6958,10436,10999,313,2504,,,,,,,
Pontiac,10979,8327,641,11145,7895,530,12006,8753,106,8647,3253,4218,4429,,,,,,,,,
Portneuf,1853,48621,237,2360,48975,205,32724,26626,281,26345,6098,9978,11265,4407,613,82,,,,,,
Richelieu,643,37678,244,1030,45700,360,29702,25175,379,24796,4527,11177,12257,141,1221,,,,,,,
Richmond,5337,36624,271,4770,36080,190,23007,17896,531,17365,5111,8258,7995,1112,,,,,,,,
