Circonscriptions,Anglophones_1971,Francophones_1971,Allophones_1971,Anglophones_1981,Francophones_1981,Allophones_1981,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_liberal,Autres_credit_social_01,Autres_credit_social_02,Autres_independants_01,Autres_independants_02,Autres_parti_marxiste-leniniste,Autres_parti_rhinoceros,Autres_parti_communiste_canadien,Autres_rhinoceros
Abitibi,1115,42800,3085,2355,57825,10250,38197,22758,777,21981,15439,7046,1199,12423,1031,,,,282,,,,,
Ahuntsic,6730,68965,14725,5415,54775,16110,56170,39547,3921,35626,16623,24041,5304,2449,3448,,,,,,223,,161,
Argenteuil-Deux-Montagnes,16990,67820,1630,16200,89370,1935,54218,39071,1620,37451,15147,20414,10418,4333,2286,,,,,,,,,
Beauce,515,69375,90,760,78195,145,46155,33221,481,32740,12934,13855,8385,9640,418,,,,,,,442,,
Beauharnois-Salaberry,9805,62130,1460,10370,65505,1300,48313,33864,1449,32415,14449,16828,9801,3430,1445,,,,,,,911,,
Bellechasse,405,64195,70,535,63680,110,42225,27641,518,27123,14584,10759,3210,12550,604,,,,,,,,,
Berthier,455,61215,890,670,66215,1170,42574,29050,977,28073,13524,15316,8370,3796,591,,,,,,,,,
Bonaventure-Îles-de-la-Madeleine,6980,46955,1070,6815,46925,870,33376,21867,693,21174,11509,12977,6884,,1313,,,,,,,,,
Bourassa,8060,98555,19355,7810,96360,22060,78559,48646,4386,44260,29913,26550,7500,5218,3912,,,,,,194,673,213,
Brome-Missisquoi,16150,58530,1665,16870,67555,1920,51019,38680,915,37765,12339,13506,19490,3597,1172,,,,,,,,,
Chambly,19415,98315,2600,18260,169555,4935,82787,56583,4546,52037,26204,30226,10887,5547,4825,,,,,,,552,,
Champlain,945,62270,640,855,59990,645,41017,30332,802,29530,10685,11896,2452,14466,716,,,,,,,,,
Charlevoix,335,59035,165,370,54615,110,39016,25595,684,24911,13421,10372,4942,8905,692,,,,,,,,,
Chicoutimi,2340,80220,285,1440,84635,380,51405,35405,1790,33615,16000,17096,9817,5618,882,,,,,,202,,,
Compton,10915,51010,265,9810,51230,380,39068,27198,542,26656,11870,11474,4407,9917,858,,,,,,,,,
Dollard,58485,51150,14255,54435,58120,27865,79270,57138,2183,54955,22132,37088,9979,1890,5746,,,,,,252,,,
Drummond,1540,73745,250,1455,79910,520,49826,38606,1681,36925,11220,15561,5186,15548,630,,,,,,,,,
Duvernay,4150,104055,3915,5780,114735,7395,69264,47526,4416,43110,21738,25674,9165,4996,3275,,,,,,,,,
Frontenac,1415,66400,185,1180,66485,265,42338,29817,882,28935,12521,14236,2667,10000,2032,,,,,,,,,
Gamelin,8065,78300,7585,5895,68545,9060,57861,37993,3476,34517,19868,20698,6557,3684,3234,,,,,,344,,,
Gaspé,6935,49540,140,5490,51060,105,34679,21436,778,20658,13243,12213,8445,,,,,,,,,,,
Gatineau,8730,71585,770,9565,88545,1155,53833,33404,961,32443,20429,19513,3944,7205,1781,,,,,,,,,
Hochelaga,2280,61910,2160,1780,44035,2155,38884,22991,1810,21181,15893,10561,6435,2258,1461,,,,190,,181,,95,
Hull,16250,75215,2335,17070,79875,4000,61475,38837,1102,37735,22638,26872,4006,3292,3093,472,,,,,,,,
Joliette,2090,80745,745,3065,98425,1170,57126,42603,2243,40360,14523,14329,21935,2986,763,,,,,,156,,191,
Kamouraska,270,62855,75,340,62160,85,39885,23805,724,23081,16080,9484,1933,11664,,,,,,,,,,
Labelle,3605,76750,950,4315,92805,1345,55680,39534,1976,37558,16146,16224,14928,3116,1326,,1572,,165,,,,227,
Lachine,50115,35805,6285,38600,34310,6905,57365,42591,1181,41410,14774,22068,13550,1710,3571,,,,330,,181,,,
Lac-Saint-Jean,620,55670,140,495,59490,170,33618,24483,1195,23288,9135,11162,6129,5372,625,,,,,,,,,
Lafontaine,4185,60605,3710,2795,44240,3850,42952,25890,2217,23673,17062,11399,7887,2045,2104,,,,,,120,,118,
Langelier,1785,56320,575,1100,38760,720,36584,22463,1143,21320,14121,13557,2530,3344,1110,,,,337,97,161,184,,
Lapointe,2440,69630,375,1375,77135,295,44524,28756,1821,26935,15768,16673,1982,6466,1587,,,,,,227,,,
Laprairie,42720,81370,7595,40630,120665,18195,89276,60419,3368,57051,28857,35276,12767,3855,5153,,,,,,,,,
Lasalle,32375,68860,15000,28905,64700,16130,72724,47179,2635,44544,25545,28134,8612,2955,4560,,,,,,283,,,
Laurier,5050,42190,19760,4725,28460,13875,31634,18573,1422,17151,13061,10085,3310,1582,1646,,,,,,182,246,100,
Laval,26060,80055,9795,22230,99395,15295,71697,48729,3228,45501,22968,29715,7224,3922,4258,,,,382,,,,,
Lévis,1030,78810,215,1625,111840,410,56925,38538,2022,36516,18387,20348,11485,,4279,,,,,,404,,,
Longueuil,8820,100125,3755,9045,127520,6205,79375,50876,3947,46929,28499,24500,7267,7490,6042,,,,,,357,1110,,163
Lotbinière,315,70500,100,530,78395,445,46948,36505,835,35670,10443,10885,2833,21448,504,,,,,,,,,
Louis-Hébert,8270,96810,1750,5795,96660,2220,74430,51825,4136,47689,22605,32441,5201,2799,6829,,,,,,419,,,
Maisonneuve-Rosemont,5970,59805,4505,3655,44715,4045,44444,27576,2381,25195,16868,13817,6053,2783,2186,,,,,,156,,200,
Manicouagan,9155,65445,10945,7130,51165,6875,57879,25945,1795,24150,31934,16220,4024,,3247,,,,,,659,,,
Matane,280,47800,70,400,48330,80,29449,17133,633,16500,12316,11194,2598,2141,567,,,,,,,,,
Mercier,9480,103030,4885,7990,106060,11555,74272,44505,4064,40441,29767,22545,7026,6255,4137,,,,,,200,,278,
Montmorency,1575,113530,580,2255,151600,940,79714,54754,2708,52046,24960,27082,11867,8905,3570,,,,369,,253,,,
Mont-Royal,52945,16460,20000,45235,18420,22415,59202,43525,635,42890,15677,32166,5723,414,4214,,,,211,,162,,,
Notre-Dame-de-Grâce,44890,17535,14620,35210,15905,12800,45939,33177,662,32515,12762,20151,8300,,3673,,,,,,391,,,
Outremont,18900,37200,21385,13830,35455,17820,44931,30725,2511,28214,14206,20400,3007,663,3453,,,,399,,292,,,
Papineau,3305,58225,11925,3095,43775,9230,41921,25583,2101,23482,16338,14532,3740,2899,1992,,,,,,155,,164,
Pontiac,15980,42870,1115,14235,41640,805,37761,23249,542,22707,14512,12642,5277,3394,1394,,,,,,,,,
Portneuf,5465,109945,690,4850,164630,995,80495,55065,2582,52483,25430,25620,4427,19456,2980,,,,,,,,,
Québec-Est,1525,80320,425,1055,66225,625,52449,34032,1784,32248,18417,19014,5060,5442,2522,,,,,,210,,,
Richelieu,1175,75570,465,1240,83735,700,53200,38334,3065,35269,14866,20801,12052,,1679,,,,,,737,,,
Richmond,5725,56780,230,4980,56405,240,38576,28305,943,27362,10271,9526,5094,11825,917,,,,,,,,,
Rimouski,500,68480,75,620,71925,165,44692,31515,812,30703,13177,13698,893,15085,528,,,,,,89,410,,
Rivière-du-Loup-Témiscouata,285,59625,55,380,58340,100,37302,25714,661,25053,11588,11071,9128,3261,708,,885,,,,,,,
Roberval,330,53170,420,330,58965,570,33606,23464,615,22849,10142,8636,1096,12877,240,,,,,,,,,
Saint-Denis,8260,36610,32420,7245,27365,28165,36737,25640,1470,24170,11097,15310,4897,1630,1963,,,,,,208,,162,
Saint-Henri,14520,39395,3110,10890,26065,2200,28832,17664,724,16940,11168,8813,6147,633,922,,,,,,119,306,,
Saint-Hyacinthe,4025,77795,740,3540,93315,980,56801,43602,1500,42102,13199,15965,21453,2940,861,,,,,,,883,,
Saint-Jacques,6455,29255,16010,4780,20000,10250,24845,14740,976,13764,10105,7709,3518,797,1313,,,,,,127,154,146,
Saint-Jean,6065,76860,1475,6275,92285,1935,54334,37571,2236,35335,16763,18798,9689,3014,2234,,1116,234,,,250,,,
