Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Credit_social,Nouveau_parti_democratique,Autres_liberal,Autres_conservateur,Autres_creditiste,Autres_independants,Autres_ouvrier,Autres_nationaliste,Autres_lib._des_electeurs,Autres_independantiste,Autres_communiste
Argenteuil-Deux-Montagnes,15576,47486,1605,16510,65655,1525,34905,29027,234,28793,5878,12324,10176,5114,1179,,,,,,,,,
Beauce,297,60994,116,385,62825,85,30234,25211,178,25033,5023,10532,1134,12627,740,,,,,,,,,
Beauharnois-Salaberry,10185,58764,1242,17395,71265,1985,38619,31299,336,30963,7320,15892,5440,7836,1795,,,,,,,,,
Bellechasse,131,32329,53,150,30165,30,15834,12336,244,12092,3498,5434,1291,5367,,,,,,,,,,
Berthier-Maskinongé-De-Lanaudière,291,47869,641,340,47475,855,25806,20573,193,20380,5233,8178,8471,3339,392,,,,,,,,,
Bonaventure,6093,35857,1012,6135,34505,1060,20632,16304,125,16179,4328,9092,2785,4302,,,,,,,,,,
Brome-Missisquoi,13503,28363,1351,14325,33625,1315,23734,18971,131,18840,4763,7105,8411,2468,856,,,,,,,,,
Cartier,7287,24416,28865,6045,18670,27735,19944,13842,332,13510,6102,6642,2788,2162,1918,,,,,,,,,
Chambly-Rouville,15289,44183,1487,20400,72870,2315,32287,24770,310,24460,7517,13850,3412,4887,2311,,,,,,,,,
Champlain,845,63351,507,835,66020,590,32715,27987,214,27773,4728,12446,7287,7470,570,,,,,,,,,
Chapleau,1873,54172,3476,2475,64475,4670,33901,25130,269,24861,8771,5955,4205,14701,,,,,,,,,,
Charlevoix,982,47498,115,550,46865,65,24136,20184,164,20020,3952,5787,6843,7390,,,,,,,,,,
Châteauguay-Huntingdon-Laprairie,13300,44606,3823,19850,69440,5605,33660,23262,325,22937,10398,10746,6926,4039,1226,,,,,,,,,
Chicoutimi,2193,81988,368,2405,84545,280,38087,31541,269,31272,6546,10334,3670,14581,2687,,,,,,,,,
Compton-Frontenac,5212,36977,266,4475,32890,110,20227,15931,108,15823,4296,5673,3471,6234,445,,,,,,,,,
Dollard,27523,70197,15045,30750,71935,22000,58212,41808,751,41057,16404,23764,4693,4938,6342,1320,,,,,,,,
Dorchester,483,38449,70,360,35935,55,18049,14332,104,14228,3717,4801,3597,5830,,,,,,,,,,
Drummond-Arthabaska,1821,87667,363,1485,100190,290,45601,37184,235,36949,8417,17338,3416,14739,1456,,,,,,,,,
Gaspé,7556,56960,378,6950,55475,155,29804,23982,190,23792,5822,10738,8846,4208,,,,,,,,,,
Gatineau,14858,35366,1146,17210,44245,1420,31116,25030,183,24847,6086,11589,5861,6295,1102,,,,,,,,,
Hochelaga,4208,73877,4115,3610,68410,2955,46587,28717,476,28241,17870,13093,3892,7535,3394,,,,,,,,,327
Hull,9079,83242,1235,11515,105010,2195,44713,37379,253,37126,7334,19667,2965,13603,891,,,,,,,,,
Îles-de-la-Madeleine,801,11656,22,845,12450,10,5656,4827,23,4804,829,3053,183,1568,,,,,,,,,,
Jacques-Cartier-Lasalle,84774,67140,10939,126265,97440,19445,94681,76086,723,75363,18595,44299,20260,4637,6167,,,,,,,,,
Joliette-L'Assomption-Montcalm,3587,97990,1022,4335,129855,1190,54060,38117,283,37834,15943,12299,16103,7399,2033,,,,,,,,,
Kamouraska,112,35163,37,135,33655,40,17736,12967,112,12855,4769,5659,767,6286,143,,,,,,,,,
Labelle,1343,44298,325,1780,44435,235,22228,17487,155,17332,4741,6632,2844,6951,905,,,,,,,,,
Lac-Saint-Jean,639,47267,154,605,47630,130,21777,18606,172,18434,3171,6219,1373,9318,1524,,,,,,,,,
Lafontaine,2089,47494,1510,1430,41115,1015,31411,21975,313,21662,9436,10929,2937,4456,3340,,,,,,,,,
Lapointe,2500,69568,579,2390,73340,390,33482,28455,306,28149,5027,8506,3474,13312,2857,,,,,,,,,
Laurier,1520,39746,2271,1280,33505,1985,26870,18226,261,17965,8644,8059,3245,4282,2379,,,,,,,,,
Laval,25492,153858,10589,40605,245780,22810,112822,81825,1231,80594,30997,43452,10963,13701,12478,,,,,,,,,
Lévis,417,48500,130,745,58595,185,27374,23778,266,23512,3596,9634,4563,9315,,,,,,,,,,
Longueuil,23958,79937,3423,27105,122090,5665,56390,43030,595,42435,13360,17223,14269,7735,3208,,,,,,,,,
Lotbinière,917,37523,101,345,34535,35,18301,16028,180,15848,2273,6957,5449,3442,,,,,,,,,,
Maisonneuve-Rosemont,12006,68131,8553,8175,67425,7490,64850,42704,575,42129,22146,20595,7711,6025,7798,,,,,,,,,
Matapédia-Matane,442,67061,129,335,54620,70,29145,24079,212,23867,5066,10265,6021,7237,,,,344,,,,,,
Mégantic,1675,67879,242,1415,68010,200,33276,26055,204,25851,7221,9140,4267,11329,1115,,,,,,,,,
Mercier,28394,198590,22723,30420,322465,59765,120083,80904,1141,79763,39179,33450,15130,19577,11606,,,,,,,,,
Montmagny-L'Islet,119,40793,75,165,39515,25,20591,16076,151,15925,4515,7096,3292,5537,,,,,,,,,,
Montmorency,5767,126730,1011,7765,197290,2035,76279,62953,878,62075,13326,25091,5555,28147,3282,,,,,,,,,
