Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Ralliement_creditiste,Nouveau_parti_democratique,Autres_liberal,Autres_conservateur_01,Autres_creditiste,Autres_independants_01,Autres_independants_02,Autres_PDE,Autres_franc_lib,Autres_parti_rhinoceros,Autres_conservateur_02,Autres_esprit_social,Autres_communiste
Abitibi,1273,44235,3007,1115,42800,3085,27335,20025,224,19801,7310,6606,1796,10884,515,,,,,,,,,,,
Ahuntsic,5332,63064,9395,6730,68965,14725,50690,36952,1293,35659,13738,23149,4807,1243,4977,1483,,,,,,,,,,
Argenteuil-Deux-Montagnes,15955,49090,1689,16990,67820,1630,41059,32694,548,32146,8365,15726,13566,1158,1696,,,,,,,,,,,
Beauce,530,68071,130,515,69375,90,36352,28593,307,28286,7759,7752,6207,13428,639,,,,260,,,,,,,
Beauharnois-Salaberry,9787,58611,1619,9805,62130,1460,40519,29307,550,28757,11212,17203,8703,1087,1764,,,,,,,,,,,
Bellechasse,383,68621,118,405,64195,70,34985,24070,350,23720,10915,9793,2262,11137,528,,,,,,,,,,,
Berthier,394,61696,672,455,61215,890,34608,23378,355,23023,11230,10818,8182,2994,1029,,,,,,,,,,,
Bonaventure-Îles-de-la-Madeleine,6894,47513,1034,6980,46955,1070,27653,19300,280,19020,8353,10144,3674,4240,282,,,,680,,,,,,,
Bourassa,7522,63396,6398,8060,98555,19355,54791,36927,1027,35900,17864,19778,10939,1401,3443,,,,,,,,,339,,
Brome-Missisquoi,15527,52012,1621,16150,58530,1665,40555,31095,477,30618,9460,12905,11705,5205,803,,,,,,,,,,,
Chambly,13874,56128,1628,19415,98315,2600,52146,35379,1049,34330,16767,22767,6739,1430,3394,,,,,,,,,,,
Champlain,1747,66930,703,945,62270,640,35392,26891,361,26530,8501,9665,6449,9866,550,,,,,,,,,,,
Charlevoix,317,53357,135,335,59035,165,34015,23112,442,22670,10903,8282,9487,3831,1070,,,,,,,,,,,
Chicoutimi,2165,75221,329,2340,80220,285,38116,28330,435,27895,9786,14054,9811,3151,879,,,,,,,,,,,
Compton,11754,55053,440,10915,51010,265,33004,25652,238,25414,7352,8615,3987,11961,851,,,,,,,,,,,
Dollard,39972,36435,7734,58485,51150,14255,59219,48178,869,47309,11041,34146,2391,287,10485,,,,,,,,,,,
Drummond,3314,66657,263,1540,73745,250,38208,30601,324,30277,7607,11667,8342,9545,723,,,,,,,,,,,
Duvernay,3701,62637,2994,4150,104055,3915,50442,37636,636,37000,12806,18701,1068,1006,16225,,,,,,,,,,,
Frontenac,1685,66334,239,1415,66400,185,33651,27283,381,26902,6368,9863,3510,12298,1231,,,,,,,,,,,
Gamelin,11114,61519,6767,8065,78300,7585,50846,35619,896,34723,15227,19051,8866,873,5210,,,,358,,365,,,,,
Gaspé,7540,50426,258,6935,49540,140,26804,20545,233,20312,6259,9208,6969,3571,564,,,,,,,,,,,
Gatineau,7012,56667,553,8730,71585,770,36147,27112,309,26803,9035,14348,7581,3711,1163,,,,,,,,,,,
Hochelaga,3294,74659,4249,2280,61910,2160,40424,22641,734,21907,17783,12080,5720,1122,2793,,,,,,,,,,,192
Hull,13029,61518,1421,16250,75215,2335,45700,33796,354,33442,11904,22982,3661,5311,1151,337,,,,,,,,,,
Joliette,1687,68570,748,2090,80745,745,42074,29395,628,28767,12679,12292,12464,2391,1620,,,,,,,,,,,
Kamouraska,208,66416,101,270,62855,75,33335,22046,298,21748,11289,7631,4996,8762,359,,,,,,,,,,,
Labelle,2575,68035,1139,3605,76750,950,41781,30621,754,29867,11160,15801,10152,2215,1699,,,,,,,,,,,
Lachine,45532,29300,5101,50115,35805,6285,51419,40647,315,40332,10772,25989,6225,220,7898,,,,,,,,,,,
Lac-Saint-Jean,643,55289,158,620,55670,140,26413,20373,254,20119,6040,9325,1034,8430,1330,,,,,,,,,,,
Lafontaine,6073,64885,5330,4185,60605,3710,43868,26258,829,25429,17610,14786,6412,879,3142,210,,,,,,,,,,
Langelier,2151,74087,889,1785,56320,575,41484,30058,733,29325,11426,11439,8150,8770,658,,,308,,,,,,,,
Lapointe,2524,68313,614,2440,69630,375,34613,25549,408,25141,9064,11821,8077,4324,919,,,,,,,,,,,
Laprairie,26424,43244,4175,42720,81370,7595,59731,42884,761,42123,16847,31968,5316,1288,3551,,,,,,,,,,,
Lasalle,18635,50418,9751,32375,68860,15000,57115,39633,990,38643,17482,26546,7018,982,4097,,,,,,,,,,,
Laurier,6397,50648,19870,5050,42190,19760,34575,19881,594,19287,14694,10040,2827,695,843,,,,4402,480,,,,,,
Laval,13585,38475,3349,26060,80055,9795,53226,39361,932,38429,13865,24740,4801,940,5807,,,,,,,2141,,,,
Lévis,1278,68540,179,1030,78810,215,41579,33308,482,32826,8271,12227,9523,9887,1189,,,,,,,,,,,
Longueuil,8590,65029,2303,8820,100125,3755,48866,32316,876,31440,16550,19080,5448,2023,4254,,281,,,,,,354,,,
Lotbinière,309,67532,217,315,70500,100,36692,30397,405,29992,6295,9743,8215,11302,732,,,,,,,,,,,
Louis-Hébert,8685,66787,1058,8270,96810,1750,58369,44994,1113,43881,13375,28220,8174,5433,2054,,,,,,,,,,,
Maisonneuve-Rosemont,8254,63572,5828,5970,59805,4505,46010,28078,951,27127,17932,15784,5522,1233,4588,,,,,,,,,,,
Manicouagan,8537,46178,8448,9155,65445,10945,37195,22803,305,22498,14392,13504,4539,1992,2463,,,,,,,,,,,
Matane,373,57089,279,280,47800,70,24878,17360,300,17060,7518,9207,6055,1159,639,,,,,,,,,,,
Mercier,8069,60737,3259,9480,103030,4885,55787,37861,1273,36588,17926,19077,10571,3011,3041,,,,888,,,,,,,
Montmorency,1195,73970,324,1575,113530,580,53644,42152,732,41420,11492,17327,6555,16114,775,,,,649,,,,,,,
Mont-Royal,46641,13066,16468,52945,16460,20000,51896,41810,598,41212,10086,37402,1965,80,1583,,,,182,,,,,,,
Notre-Dame-de-Grâce,48039,18234,13316,44890,17535,14620,44693,36008,460,35548,8685,25959,2466,,7123,,,,,,,,,,,
Outremont,23956,31931,24924,18900,37200,21385,44046,31964,1175,30789,12082,24219,3059,,3511,,,,,,,,,,,
Papineau,3471,62295,12807,3305,58225,11925,40139,23744,994,22750,16395,14379,4168,1094,2572,,,,,,537,,,,,
Pontiac,16099,42431,1230,15980,42870,1115,30896,21186,297,20889,9710,10250,7392,2420,827,,,,,,,,,,,
Portneuf,3355,70346,373,5465,109945,690,49793,38629,691,37938,11164,13965,4519,18328,1126,,,,,,,,,,,
Québec-Est,1230,77083,462,1525,80320,425,46442,34988,676,34312,11454,14945,4607,13807,953,,,,,,,,,,,
Richelieu,751,67589,357,1175,75570,465,43031,32152,671,31481,10879,15350,12470,1966,1300,,,,395,,,,,,,
Richmond,6361,59993,318,5725,56780,230,31302,25128,270,24858,6174,8870,3527,11853,608,,,,,,,,,,,
Rimouski,457,68441,233,500,68480,75,35146,24807,352,24455,10339,12073,9445,2937,,,,,,,,,,,,
Rivière-du-Loup-Témiscouata,261,70054,89,285,59625,55,31171,22963,339,22624,8208,10605,8630,3029,360,,,,,,,,,,,
Roberval,412,56165,593,330,53170,420,26005,18993,263,18730,7012,7727,1951,8811,241,,,,,,,,,,,
Saint-Denis,11121,45065,21670,8260,36610,32420,36741,24453,705,23748,12288,17022,3653,1165,1908,,,,,,,,,,,
Saint-Henri,19168,56555,5763,14520,39395,3110,36143,20866,704,20162,15277,12792,972,608,1491,465,,,3499,335,,,,,,
Saint-Hyacinthe,3377,68148,573,4025,77795,740,44804,35245,695,34550,9559,15601,16389,1682,878,,,,,,,,,,,
Saint-Jacques,6374,45297,20328,6455,29255,16010,30344,16896,656,16240,13448,9701,4238,705,971,,,,314,,,,,,311,
Saint-Jean,6070,64341,1430,6065,76860,1475,41820,31129,617,30512,10691,15878,9715,1373,3332,,,,,,214,,,,,
Saint-Maurice,2256,69400,326,1455,69460,230,39212,31700,487,31213,7512,13895,4570,12198,550,,,,,,,,,,,
Saint-Michel,5992,54942,17877,8940,85805,43465,55560,34878,1484,33394,20682,22307,4685,2515,3176,,,,,,711,,,,,
Sainte-Marie,2083,80021,1860,1690,59220,1630,38863,22053,897,21156,16810,7449,9528,884,1149,1977,,,169,,,,,,,
Shefford,5388,63597,594,5075,72770,575,39618,31524,441,31083,8094,12158,5718,12633,574,,,,,,,,,,,
Sherbrooke,11084,65842,959,10785,85610,1165,51070,38575,624,37951,12495,15270,5946,15172,1563,,,,,,,,,,,
Témiscamingue,6440,50948,2900,5015,48185,1460,27866,21665,200,21465,6201,6603,1774,12532,556,,,,,,,,,,,
Terrebonne,7182,58672,1556,10110,104675,2650,51625,35106,934,34172,16519,21191,6934,1363,3860,,,,,,824,,,,,
Trois-Rivières,2786,84159,487,2700,92245,440,52274,39066,1014,38052,13208,17592,10501,7305,1724,,,,566,364,,,,,,
Vaudreuil,28849,44623,2959,50630,56240,5275,51584,40959,570,40389,10625,29830,7654,,2905,,,,,,,,,,,
Verdun,30818,44669,2830,26250,46195,2275,44542,30322,659,29663,14220,22436,3410,1004,2813,,,,,,,,,,,
Villeneuve,2989,53800,3009,3730,58725,2790,29880,21462,327,21135,8418,7994,2182,10073,886,,,,,,,,,,,
Westmount,45971,21481,10708,47720,23870,11630,51439,39983,648,39335,11456,31104,5928,,2303,,,,,,,,,,,
