Circonscriptions,Anglophones_2006,Francophones_2006,Allophones_2006,Anglophones_2011,Francophones_2011,Allophones_2011,Electeur_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Quebec_solidaire,Parti_vert,Autres_independants_01,Autres_independants_02,Autres_parti_independantiste,Autres_parti_marxiste-leniniste,Autres_parti_durable,Autres_parti_republique_du_quebec
Abitibi-Est,1067,40038,2030,1223,41612,1595,33722,19805,256,19549,13917,8942,8427,1742,438,,,,,,,
Abitibi-Ouest,355,41565,485,336,42079,510,32854,18745,258,18487,14109,5317,10597,2198,,,,,375,,,
Acadie,5573,26292,41360,5607,26083,43510,48719,22854,304,22550,25865,15145,4718,982,958,747,,,,,,
Anjou,2775,40520,16925,2570,39040,19705,44703,26320,385,25935,18383,13082,8930,2252,944,727,,,,,,
Argenteuil,7357,40788,1275,7350,46670,1295,41006,22215,346,21869,18791,10843,7353,2457,456,760,,,,,,
Arthabaska,421,59924,945,431,63794,995,49689,31781,516,31265,17908,13304,8794,7777,697,693,,,,,,
Beauce-Nord,326,48854,385,381,53129,245,40080,25596,289,25307,14484,9612,2297,12633,264,384,117,,,,,
Beauce-Sud,330,58935,435,461,60074,255,46954,28170,415,27755,18784,12108,2947,11538,315,536,311,,,,,
Beauharnois,1528,51797,730,1708,52842,625,43856,26753,564,26189,17103,8811,12349,3311,681,570,467,,,,,
Bellechasse,196,42054,300,336,44024,205,34785,22385,289,22096,12400,10530,3450,7598,518,,,,,,,
Berthier,722,65638,2880,875,66995,2765,54647,33022,608,32414,21625,8435,13776,8358,934,911,,,,,,
Bertrand,3730,60105,1760,3740,64305,1890,54264,31494,423,31071,22770,10627,15263,3496,851,834,,,,,,
Blainville,2337,71033,3555,2859,78366,4910,57641,35108,588,34520,22533,11217,13989,7571,789,954,,,,,,
Bonaventure,4881,28854,920,3829,28756,120,29066,16863,193,16670,12203,10707,4844,586,533,,,,,,,
Borduas,1940,49965,1125,1849,55126,1240,43198,28453,485,27968,14745,9125,13329,3430,966,904,,,214,,,
Bourassa-Sauvé,3376,42819,31010,2960,38655,35010,48694,23217,471,22746,25477,13950,6111,1947,738,,,,,,,
Bourget,1790,49460,9370,1957,49763,11615,47434,26353,439,25914,21081,7984,13007,2677,1180,939,,,127,,,
