Circonscriptions,Anglophones_1996,Francophones_1996,Allophones_1996,Anglophones_2001,Francophones_2001,Allophones_2001,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_de_la_loi_naturelle,Autres_parti_reformiste,Autres_parti_marxiste-leniniste,Autres_parti_vert,Autres_christian_heritage_party,Autres_action_canadienne
Abitibi,2570,73870,19805,2348,69302,21815,65737,39916,1505,38411,25821,16803,6531,14168,909,,,,,,,,
Ahuntsic,4602,61123,37285,4114,61341,38145,75839,60429,1609,58820,15410,28971,9520,18689,1051,,,589,,,,,
Anjou-Rivière-des-Prairies,5639,60266,27625,5262,60283,29985,67976,52800,1669,51131,15176,24189,9405,16558,752,,,,,227,,,
Argenteuil-Papineau,10205,88630,1455,9344,96651,1865,75301,53740,1869,51871,21561,17648,11171,21202,836,,,509,,,,505,
Beauce,662,97133,140,522,99003,160,72343,46229,1108,45121,26114,22156,9385,12002,735,843,,,,,,,
Beauharnois-Salaberry,10162,80933,1295,9738,80132,1530,69450,53704,2217,51487,15746,17226,13160,20449,652,,,,,,,,
Beauport-Montmorency-Orléans,707,97283,580,667,96353,645,75840,53300,2136,51164,22540,13863,12748,21994,885,,,,1255,419,,,
Bellechasse-Etchemins-Montmagny-L'Islet,452,81853,75,411,79934,95,63838,43420,1296,42124,20418,14100,12840,14053,520,,,,611,,,,
Berthier-Montcalm,3015,120195,2695,2981,121304,3055,91867,64921,2794,62127,26946,15073,13338,32707,1009,,,,,,,,
Bonaventure-Gaspé-Iles-de-la-Madeleine-Pabok,7650,67155,145,6555,61300,155,57617,39722,989,38733,17895,15804,6297,15983,649,,,,,,,,
Bourassa,3837,58973,25860,4055,57940,29535,63341,47314,1800,45514,16027,23765,5937,14813,999,,,,,,,,
Brome-Missisquoi,15694,65076,1740,15350,68565,1870,61553,46810,1346,45464,14743,19261,12770,12652,781,,,,,,,,
Brossard-Laprairie,11816,65544,20595,11530,67645,20530,69182,54564,1658,52906,14618,24676,9982,17342,906,,,,,,,,
Chambly,4832,94513,1780,4427,97538,1630,73357,55471,2501,52970,17886,14061,11802,26109,998,,,,,,,,
Champlain,1144,83811,2860,742,81458,3110,67129,49450,2432,47018,17679,12915,12784,20687,632,,,,,,,,
Charlesbourg,1836,101619,1170,1435,103545,1315,79031,58410,2342,56068,20621,17628,13811,21556,963,,,709,1135,266,,,
Charlevoix,516,71719,2220,386,71089,2495,58730,37666,1139,36527,21064,9838,6443,19792,454,,,,,,,,
Châteauguay,15320,90495,4245,14179,94636,4105,78422,59535,2553,56982,18887,19167,11112,25909,794,,,,,,,,
Chicoutimi,682,85923,495,617,79963,420,64122,43895,1324,42571,20227,4839,18598,18281,853,,,,,,,,
Compton-Stanstead,10530,65055,1360,9832,70258,1560,55705,41739,1102,40637,13966,8119,18125,13367,587,,,439,,,,,
Drummond,1432,80573,470,1149,84521,725,62407,45771,1811,43960,16636,10165,14777,18577,441,,,,,,,,
Frontenac-Mégantic,1022,66533,265,908,65937,225,52876,40082,1179,38903,12794,13968,9885,14433,252,,,365,,,,,
Gatineau,7922,107793,4035,7648,111252,4795,84066,55993,1493,54500,28073,25298,15786,11391,982,,,448,,150,,445,
Hochelaga-Maisonneuve,3377,74513,13225,3183,76812,14795,68720,49863,2188,47675,18857,16308,7583,21938,825,,,577,,444,,,
Hull-Aylmer,16491,71839,7900,16780,74320,9580,69366,48862,1114,47748,20504,25835,8461,9922,1317,,,266,935,151,586,275,
Joliette,844,89006,905,883,93687,975,69304,50977,2407,48570,18327,7452,17417,22605,502,,,594,,,,,
Jonquière,607,65463,235,542,65678,385,51844,34845,1047,33798,16999,4874,11808,16415,353,,,348,,,,,
Kamouraska-Rivière-du-Loup-Témiscouata-Les-Basques,291,86344,85,235,84040,125,66748,44474,1314,43160,22274,14119,11623,16518,420,,,480,,,,,
Lac-Saint-Jean,225,68610,135,260,67745,160,51184,34780,929,33851,16404,7109,4845,21506,391,,,,,,,,
Lac-Saint-Louis,54477,30908,19670,53479,32761,22655,74550,62317,574,61743,12233,42613,11293,4347,1548,,,386,1556,,,,
Lasalle-Émard,23040,51830,21735,22882,51338,24310,70173,54730,1642,53088,15443,32317,6445,12953,920,,,453,,,,,
Laurentides,5072,116848,1800,5048,123622,2100,91860,64681,2041,62640,27179,19053,14096,28647,844,,,,,,,,
Laurier-Sainte-Marie,5896,74879,13170,6079,77681,13600,72606,50831,2260,48571,21775,11154,5808,26546,2180,1255,123,,,338,1167,,
Laval-Centre,4861,84524,16670,5001,87384,18085,77895,59502,2292,57210,18393,20222,13132,22668,1188,,,,,,,,
Laval-Est,3822,86778,14395,4558,86777,17395,78364,62295,2246,60049,16069,19279,16912,23093,765,,,,,,,,
Laval-Ouest,11874,75786,27680,11189,77321,31285,84108,66528,1978,64550,17580,31566,12365,19547,1072,,,,,,,,
Lévis,1344,119191,610,1018,123017,575,89862,64441,2804,61637,25421,17256,14630,27870,1881,,,,,,,,
Longueuil,2306,73914,6280,2115,75745,6280,61159,43815,1961,41854,17344,12247,7773,20977,857,,,,,,,,
Lotbinière,554,67096,475,406,66864,480,50585,36555,1301,35254,14030,10062,9690,13069,445,1988,,,,,,,
Louis-Hébert,3028,90492,4255,2379,90741,4025,78913,60899,1546,59353,18014,19955,13002,23653,1161,,,558,1024,,,,
Manicouagan,5094,44091,5350,4598,41727,5730,39526,26734,810,25924,12792,10671,2009,12203,1041,,,,,,,,
Matapédia-Matane,2209,69796,910,2418,65697,800,55386,36119,1082,35037,19267,10558,7991,15694,417,,,377,,,,,
Mercier,2829,81791,7435,2658,82837,7370,70737,50766,2487,48279,19971,14061,8500,24649,772,,,,,297,,,
Mont-Royal,35474,18581,39735,33959,21266,41000,62055,48861,492,48369,13194,30115,5006,1981,966,10090,,211,,,,,
Notre-Dame-de-Grâce-Lachine,38616,37859,22605,35939,41151,24170,68644,53358,1053,52305,15286,29582,10350,8797,2315,389,303,569,,,,,
Outremont,12453,47427,34610,12667,49858,34905,61703,45669,1258,44411,16034,22271,5424,12608,2862,,,868,,378,,,
Papineau-Saint-Denis,6378,46507,52105,5269,48041,54775,66704,50394,1676,48718,16310,26260,6227,14083,1196,471,,,,481,,,
Pierrefonds-Dollard,43212,37793,28475,41580,37750,31725,73444,58649,729,57920,14795,38476,10546,6239,1060,,,465,1134,,,,
Pontiac-Gatineau-Labelle,21049,78396,1280,20998,78097,1610,76014,50729,1064,49665,25285,22736,9187,15897,1097,,,479,,,,269,
Portneuf,1759,85751,445,1431,88379,480,65151,45006,2018,42988,20145,12674,10587,18615,1112,,,,,,,,
Québec,2115,92070,3330,1796,93794,3770,80368,58708,2964,55744,21660,18062,10309,24817,2556,,,,,,,,
Québec-Est,1561,104464,1850,1409,105191,2040,84707,61665,2625,59040,23042,18539,14533,23245,1240,,,,1483,,,,
Repentigny,2481,115464,2200,2139,122231,2205,84686,62453,3323,59130,22233,12495,12436,33283,916,,,,,,,,
