cod_mrc,an_profil,an_donnee,PRC0320,PRC0120,PRC3220,PRC3120,PRC3020,PRC2420,PRC2520,PRC2620,PRC0220,PRC2120,PRC2720,PRC2820,PRC2920,nom_mrc
AR011,2015,2014,0.0325,0.0175,1411,2739,1473,2.5905,0.1318,0.1649,0.1591,0.578,0.5013,0.0563,0.1656,Hors MRC - Les Îles-de-la-Madeleine
AR020,2015,2014,0.0342,0.0233,1264,2471,1681,3.2904,0.1607,0.2283,0.1923,0.6216,0.5956,0.0612,0.2324,Le Rocher-Percé
AR030,2015,2014,0.0245,0.0446,1418,2561,4673,2.4376,0.2626,0.2115,0.2023,0.6443,0.5288,0.0742,0.198,La Côte-de-Gaspé
AR040,2015,2014,0.0267,0.0074,1329,2008,560,4.1175,0.1719,0.1411,0.1487,0.5948,0.6114,0.076,0.2188,La Haute-Gaspésie
AR050,2015,2014,0.0259,0.0249,1093,1943,1870,2.3992,0.061,0.3409,0.3214,0.6326,0.5365,0.0342,0.1427,Bonaventure
AR060,2015,2014,0.0233,0.0243,1210,1945,2025,2.9105,0.192,0.2822,0.2584,0.5714,0.6256,0.0675,0.1452,Avignon
AR070,2015,2014,0.0251,0.076,1429,2188,6615,3.5038,0.2674,0.1321,0.1423,0.5517,0.6258,0.0444,0.196,La Matapédia
AR080,2015,2014,0.0254,0.0308,2198,3114,3779,2.5881,0.0993,0.2383,0.2431,0.585,0.6573,0.0553,0.1633,La Matanie
AR090,2015,2014,0.021,0.0421,1713,2473,4960,3.4439,0.2877,0.1852,0.1873,0.6142,0.6568,0.0844,0.1384,La Mitis
AR100,2015,2014,0.0173,0.011,2308,3231,2056,3.9265,0.2352,0.2047,0.2074,0.6242,0.6691,0.0654,0.0893,Rimouski-Neigette
AR110,2015,2014,0.0252,0.0306,1463,2255,2738,3.4386,0.2283,0.2044,0.2046,0.666,0.6458,0.0464,0.1746,Les Basques
AR120,2015,2014,0.0191,0.0214,2359,3160,3536,2.8635,0.1771,0.1796,0.204,0.6431,0.6404,0.0454,0.0845,Riviere-du-Loup
AR130,2015,2014,0.0274,0.0249,1460,2459,2228,2.6061,0.2337,0.1905,0.2003,0.6518,0.5439,0.0522,0.2293,Témiscouata
AR140,2015,2014,0.0196,0.0191,1717,2465,2408,3.4718,0.3475,0.2235,0.2293,0.6187,0.6492,0.0605,0.1453,Kamouraska
AR150,2015,2014,0.0225,0.0276,2275,2856,3501,2.8739,0.2348,0.239,0.2492,0.6194,0.7361,0.0409,0.1004,Charlevoix-Est
AR160,2015,2014,0.0155,0.0365,1805,2332,5503,2.0261,0.1468,0.316,0.2865,0.6881,0.8036,0.0341,0.0326,Charlevoix
AR170,2015,2014,0.0209,0.0191,1236,1976,1813,2.9728,0.3353,0.0905,0.0977,0.6047,0.6217,0.0342,0.1528,L'Islet
AR180,2015,2014,0.0187,0.0255,1868,2399,3280,2.571,0.1648,0.1579,0.1722,0.6525,0.712,0.0462,0.118,Montmagny
AR190,2015,2014,0.0143,0.0199,1794,2272,3166,3.2071,0.2833,0.1915,0.1997,0.6089,0.766,0.0175,0.0523,Bellechasse
AR200,2015,2014,0.0068,0.0044,1580,1950,1268,4.0197,0.3464,0.1232,0.1296,0.6976,0.805,0.0129,0.0424,L'Île-d'Orléans
AR210,2015,2014,0.0129,0.0217,2049,2550,4299,2.4024,0.1873,0.3097,0.291,0.6477,0.7787,0.0307,0.0256,La Cote-de-Beaupré
AR220,2015,2014,0.0116,0.0178,2052,2927,4486,2.566,0.1214,0.1596,0.1621,0.7066,0.7087,0.0735,0.0354,La Jacques-Cartier
AR231,2015,2014,0.0209,0.0291,5720,8020,11191,1.8841,0.0574,0.2441,0.2532,0.6458,0.6529,0.0713,0.0858,Hors MRC - Québec
AR251,2015,2014,0.0165,0.0229,3680,4762,6611,2.1596,0.0766,0.2049,0.1987,0.5951,0.768,0.0281,0.0515,Hors MRC - Lévis
AR260,2015,2014,0.0158,0.0221,2308,2795,3924,3.0007,0.1991,0.1867,0.2058,0.6541,0.7432,0.016,0.0707,La Nouvelle-Beauce
AR270,2015,2014,0.0197,0.0265,1975,2558,3440,2.8373,0.2222,0.1712,0.1948,0.6418,0.6785,0.0307,0.0979,Robert-Cliche
AR280,2015,2014,0.019,0.0223,1168,1712,2004,2.2646,0.2587,0.1583,0.1679,0.6588,0.6686,0.0356,0.1849,Les Etchemins
AR290,2015,2014,0.017,0.022,2159,2675,3469,3.2556,0.1991,0.1914,0.2166,0.6338,0.738,0.0348,0.1026,Beauce-Sartigan
AR300,2015,2014,0.0264,0.0278,1611,3328,3501,2.7799,0.1289,0.1339,0.1423,0.7003,0.4532,0.0235,0.3174,Le Granit
AR310,2015,2014,0.0208,0.0236,1964,2751,3131,2.4335,0.22,0.1416,0.1465,0.6034,0.7008,0.0467,0.1225,Les Appalaches
AR320,2015,2014,0.0167,0.0104,1994,2509,1573,5.0029,0.3403,0.0955,0.1106,0.5737,0.723,0.0222,0.1063,L'Érable
AR330,2015,2014,0.0136,0.0187,1909,2429,3337,2.8916,0.2912,0.2138,0.2286,0.722,0.7235,0.0152,0.0818,Lotbinière
AR340,2015,2014,0.0154,0.0157,1796,2394,2449,3.6977,0.2994,0.1434,0.1547,0.6248,0.7312,0.0379,0.0588,Portneuf
AR350,2015,2014,0.0162,0.0143,1242,1774,1558,3.1633,0.1397,0.1576,0.1608,0.6461,0.6632,0.0356,0.0942,Mékinac
AR361,2015,2014,0.0265,0.0549,2833,4099,8495,1.8994,0.0626,0.3007,0.2736,0.6815,0.7087,0.0572,0.0895,Hors MRC - Shawinigan
AR371,2015,2014,0.024,0.033,3841,5153,7083,2.0836,0.109,0.2636,0.2677,0.611,0.6672,0.0553,0.0879,Hors MRC - Trois-Rivières
AR372,2015,2014,0.0138,0.0172,1381,1672,2086,2.7666,0.221,0.2655,0.253,0.7116,0.7992,0.0165,0.09,Les Chenaux
AR380,2015,2014,0.0176,0.0272,2606,2910,4486,2.367,0.2733,0.2707,0.2609,0.5881,0.8042,0.0099,0.1036,Bécancour
AR390,2015,2014,0.0187,0.016,2690,3342,2855,3.6023,0.1486,0.1512,0.1598,0.6275,0.7636,0.0322,0.0777,Arthabaska
AR400,2015,2014,0.0217,0.0146,1781,2593,1749,3.5363,0.1191,0.0881,0.0971,0.5079,0.647,0.0243,0.1634,Les Sources
AR410,2015,2014,0.0159,0.015,1785,2496,2360,4.4277,0.205,0.1009,0.1108,0.6182,0.6679,0.0175,0.1485,Le Haut-Saint-François
AR420,2015,2014,0.0126,0.0073,1937,2479,1427,4.2555,0.2623,0.1209,0.1305,0.5681,0.7477,0.0213,0.0861,Le Val-Saint-François
AR431,2015,2014,0.0287,0.0287,3712,8377,8367,1.963,0.073,0.1665,0.1655,0.6346,0.4292,0.0455,0.0389,Hors MRC - Sherbrooke
AR440,2015,2014,0.019,0.0087,2000,3635,1663,4.2003,0.21,0.0462,0.0552,0.5744,0.4848,0.0183,0.0982,Coaticook
AR450,2015,2014,0.0129,0.0127,1886,2888,2845,2.3909,0.2079,0.1328,0.1388,0.6379,0.617,0.0117,0.0457,Memphrémagog
AR460,2015,2014,0.0129,0.0139,2587,3029,3262,2.8958,0.2533,0.2109,0.2197,0.5975,0.7574,0.0349,0.056,Brome-Missisquoi
AR470,2015,2014,0.0143,0.0135,3045,3486,3274,3.2172,0.2271,0.1733,0.1912,0.6609,0.7634,0.0229,0.0671,La Haute-Yamaska
AR480,2015,2014,0.0136,0.0094,1885,2280,1577,4.5975,0.3916,0.0971,0.1088,0.5982,0.7601,0.02,0.0768,Acton
AR490,2015,2014,0.0141,0.014,2392,2834,2811,3.3764,0.2117,0.1788,0.1915,0.6328,0.7719,0.0295,0.0594,Drummond
AR500,2015,2014,0.0144,0.0127,1860,2378,2102,4.25,0.39,0.1183,0.1368,0.6096,0.7243,0.0671,0.0803,Nicolet-Yamaska
AR510,2015,2014,0.0164,0.0192,1441,1784,2084,3.5584,0.3051,0.2085,0.2133,0.6743,0.7418,0.0262,0.1024,Maskinongé
AR520,2015,2014,0.0134,0.0126,1660,2044,1920,3.3674,0.3008,0.1338,0.1403,0.6545,0.7784,0.0176,0.0728,D'Autray
AR530,2015,2014,0.0164,0.0198,2555,2869,3449,2.5363,0.2498,0.1325,0.1493,0.5623,0.7644,0.036,0.0514,Pierre-De Saurel
AR540,2015,2014,0.0133,0.0107,3024,3748,3026,3.9715,0.1774,0.1053,0.1253,0.6085,0.7367,0.0544,0.0617,Les Maskoutains
AR550,2015,2014,0.0121,0.011,2552,2980,2708,3.4079,0.307,0.1765,0.1852,0.6162,0.789,0.0141,0.0318,Rouville
AR560,2015,2014,0.0141,0.0144,3051,3740,3807,2.7189,0.1602,0.1782,0.1888,0.6477,0.7187,0.0391,0.0592,Le Haut-Richelieu
AR570,2015,2014,0.0127,0.0198,3007,3351,5217,2.4646,0.2342,0.2695,0.2783,0.67,0.7246,0.0118,0.0632,La Vallée-du-Richelieu
AR581,2015,2014,0.0162,0.0203,4558,6085,7621,2.1315,0.107,0.2156,0.2474,0.6378,0.5999,0.0205,0.0466,Hors MRC - Longueuil
AR590,2015,2014,0.0133,0.0162,2949,3491,4236,2.5143,0.1906,0.1537,0.1653,0.6162,0.7402,0.0157,0.0507,Marguerite-D'Youville
AR600,2015,2014,0.0147,0.0286,3410,3925,7662,1.8986,0.1648,0.2327,0.2379,0.6321,0.8241,0.0239,0.0102,L'Assomption
AR610,2015,2014,0.0183,0.0301,2641,4160,6828,2.1756,0.238,0.1924,0.2021,0.6595,0.601,0.0367,0.0207,Joliette
AR620,2015,2014,0.0114,0.0136,1149,1307,1557,2.3915,0.193,0.1313,0.1386,0.6557,0.8056,0.0229,0.0627,Matawinie
AR630,2015,2014,0.0133,0.0167,1658,1878,2360,2.2947,0.2288,0.1414,0.147,0.6639,0.8146,0.0171,0.0523,Montcalm
