cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,RAT0200,RAT0201,PRC3300,PRC3302,PRC3301,PRC3400,PRC3402,PRC3401,IND0102,IND0200,IND0400,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population 
22005,2015,2015,824546844.95,0,807972894,0,684659941.2,0,60006020.4,0,23765130,0,39541802.4,0,0.8474,0,0.0743,0,0.0294,0,0.0489,0,253971,229637,221117,0,0.9337,0,2426,0,0,2193,0,0,121,91,95,Sainte-Catherine-de-la-Jacques-Cartier,2 000 @ 9 999,V,AR220,La Jacques-Cartier,03,Capitale-Nationale,7259
22010,2015,2015,387628665.2,0,387628665.2,0,324846116,0,41212715.2,0,41552,0,21528282,0,0.838,0,0.1063,0,0.0001,0,0.0555,0,304073,276043,231697,0,1.2743,0,3913,0,0,3552,0,0,193,118,106,Fossambault-sur-le-Lac,1 @ 1 999,V,AR220,La Jacques-Cartier,03,Capitale-Nationale,1854
22015,2015,2015,332387540.8,0,331883932.8,0,315548004.8,0,0,0,0,0,16335928,0,0.9508,0,0,0,0,0,0.0492,0,1105381,1066350,837248,0,0.2946,0,3357,0,0,3239,0,0,697,27,28,Lac-Saint-Joseph,1 @ 1 999,V,AR220,La Jacques-Cartier,03,Capitale-Nationale,248
22020,2015,2015,595013730.4,0,492495146.9,0,446327423,0,9040656.2,0,1650074.7,0,35476993,0,0.9063,0,0.0184,0,0.0034,0,0.072,0,307346,287287,298552,0,0.5717,0,1837,0,0,1717,0,0,163,56,105,Shannon,2 000 @ 9 999,M,AR220,La Jacques-Cartier,03,Capitale-Nationale,5720
22025,2015,2015,754436871.92,0,374957961.7,0,286585263.4,0,41953206.2,0,19860508.5,0,26558983.6,0,0.7643,0,0.1119,0,0.053,0,0.0708,0,288587,261797,453115,0,0.3315,0,971,0,0,880,0,0,247,32,47,Saint-Gabriel-de-Valcartier,2 000 @ 9 999,M,AR220,La Jacques-Cartier,03,Capitale-Nationale,3058
22030,2015,2015,92993040,0,92993040,0,82327245,0,3781050,0,0,0,6884745,0,0.8853,0,0.0407,0,0,0,0.074,0,344998,315998,278422,0,0.9801,0,3389,0,0,3104,0,0,232,91,77,Lac-Delage,1 @ 1 999,V,AR220,La Jacques-Cartier,03,Capitale-Nationale,642
22035,2015,2015,1252510646.9,0,1240496510,0,1009086639,0,116969831,0,5953046,0,108486994,0,0.8135,0,0.0943,0,0.0048,0,0.0875,0,282111,265495,220551,0,0.6921,0,2133,0,0,2008,0,0,120,67,74,Stoneham-et-Tewkesbury,2 000 @ 9 999,CU,AR220,La Jacques-Cartier,03,Capitale-Nationale,7704
22040,2015,2015,1281886619,0,1273038338,0,1186507531,0,24171466,0,580184,0,61779157,0,0.932,0,0.019,0,0.0005,0,0.0485,0,411290,391714,326346,0,0.7457,0,3139,0,0,2990,0,0,178,73,73,Lac-Beauport,2 000 @ 9 999,M,AR220,La Jacques-Cartier,03,Capitale-Nationale,7604
22045,2015,2015,714773412.78,0,711607418,0,648899952,0,12137069,0,641754,0,49928643,0,0.9119,0,0.0171,0,0.0009,0,0.0702,0,234557,225065,188595,0,1.179,0,2873,0,0,2756,0,0,103,115,112,Sainte-Brigitte-de-Laval,2 000 @ 9 999,V,AR220,La Jacques-Cartier,03,Capitale-Nationale,6965
23027,2015,2015,67283109035,0,61443142806,0,49086691764,0,11324554984,0,129914550,0,901981508.04,0,0.7989,0,0.1843,0,0.0021,0,0.0147,0,282834,188169,409207,0,1.1294,1.1294,3257,0,3257,2167,0,2167,124,99,107,Quebec,100 000 et plus,V,AR231,Hors MRC - Quebec,03,Capitale-Nationale,536100
23057,2015,2015,1947540102.8,0,1917192578,0,1665228240,0,237235006.44,0,0,0,14729331.6,0,0.8686,0,0.1237,0,0,0,0.0077,0,286433,234629,333426,0,1.0767,1.0767,3164,0,3164,2592,0,2592,131,98,112,L'Ancienne-Lorette,10 000 @ 24 999,V,AR231,Hors MRC - Quebec,03,Capitale-Nationale,16930
23072,2015,2015,2976293595.6,0,2884938125.3,0,2318469395,0,437904822.3,0,72655000,0,55908908,0,0.8036,0,0.1518,0,0.0252,0,0.0194,0,349399,319308,392651,0,1.096,1.096,3955,0,3955,3615,0,3615,155,100,130,Saint-Augustin-de-Desmaures,10 000 @ 24 999,V,AR231,Hors MRC - Quebec,03,Capitale-Nationale,18982
25213,2015,2015,16769153766,0,16146596940,0,13195999998,0,2296426164,0,189857292,0,464313486,0,0.8173,0,0.1422,0,0.0118,0,0.0288,0,272675,213179,316477,0,0.9467,0,2627,0,0,2054,0,0,96,83,84,Levis,100 000 et plus,V,AR251,Hors MRC - Levis,12,Chaudiere-Appalaches,142894
26005,2015,2015,151960493.4,0,151145940,0,84596426,0,8353433,0,46019800,0,12176281,0,0.5597,0,0.0553,0,0.3045,0,0.0806,0,137753,124604,121959,0,0.9057,0,1299,0,0,1175,0,0,101,84,75,Frampton,1 @ 1 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1412
26010,2015,2015,119822475.8,0,119049387,0,67010367,0,6245859,0,41428863,0,4364298,0,0.5629,0,0.0525,0,0.348,0,0.0367,0,164771,152840,145239,0,0.9532,0,1571,0,0,1457,0,0,121,88,92,Saints-Anges,1 @ 1 999,P,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1178
26015,2015,2015,151648304.76,0,150043320,0,108388152,0,27370872,0,12093624,0,2190672,0,0.7224,0,0.1824,0,0.0806,0,0.0146,0,146929,126034,147231,0,1.2989,0,1955,0,0,1677,0,0,122,120,115,Vallee-Jonction,1 @ 1 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1982
26022,2015,2015,220932582.47,0,218874243,0,132837075,0,14534793,0,64515150,0,6987225,0,0.6069,0,0.0664,0,0.2948,0,0.0319,0,174978,153414,162810,0,1.0889,0,1905,0,0,1671,0,0,89,106,95,Saint-Elzear,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2286
26030,2015,2015,1214023953.5,0,1175247027.9,0,856981719,0,210718935.9,0,84367503,0,23178870,0,0.7292,0,0.1793,0,0.0718,0,0.0197,0,184876,144674,215865,0,1.4298,0,2643,0,0,2069,0,0,85,130,135,Sainte-Marie,10 000 @ 24 999,V,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,13585
26035,2015,2015,124267433.83,0,123503709,0,60134390,0,7147770,0,53660189,0,2561360,0,0.4869,0,0.0579,0,0.4345,0,0.0207,0,147498,126793,152663,0,1.1585,0,1726,0,0,1484,0,0,127,107,58,Sainte-Marguerite,1 @ 1 999,P,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1088
26040,2015,2015,132003089.75,0,128606616,0,68582052,0,6110316,0,51694848,0,2219400,0,0.5333,0,0.0475,0,0.402,0,0.0173,0,164411,147982,189116,0,1.0638,0,1749,0,0,1574,0,0,157,98,93,Sainte-Henedine,1 @ 1 999,P,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1253
26048,2015,2015,228756834.11,0,227013514.1,0,177466013,0,17858727.1,0,26473575,0,5215199,0,0.7817,0,0.0787,0,0.1166,0,0.023,0,189991,165386,180123,0,1.1775,0,2334,0,0,2031,0,0,98,115,114,Scott,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2303
26055,2015,2015,252281245.62,0,249832489,0,123115263,0,14197166,0,107713167,0,4806893,0,0.4928,0,0.0568,0,0.4311,0,0.0192,0,172418,156966,194812,0,1.0228,0,1763,0,0,1605,0,0,106,100,90,Saint-Bernard,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2194
26063,2015,2015,351076981.55,0,346361888,0,193011205,0,29936087,0,118708957,0,4705639,0,0.5573,0,0.0864,0,0.3427,0,0.0136,0,194819,174567,221360,0,0.9177,0,1788,0,0,1602,0,0,121,89,80,Saint-Isidore,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,3026
26070,2015,2015,695697074.16,0,687636070,0,546101710,0,49861240,0,69552010,0,22121110,0,0.7942,0,0.0725,0,0.1011,0,0.0322,0,234466,216223,215120,0,0.8878,0,2107,0,0,1943,0,0,117,87,82,Saint-Lambert-de-Lauzon,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,6632
27008,2015,2015,225094138.32,0,222788824,0,145095122,0,31174248,0,43497710,0,3021744,0,0.6513,0,0.1399,0,0.1952,0,0.0136,0,131831,117164,131865,0,1.5338,0,2022,0,0,1797,0,0,72,150,108,Saint-Victor,2 000 @ 9 999,M,AR270,Robert-Cliche,12,Chaudiere-Appalaches,2481
27015,2015,2015,46167604,0,46167604,0,28400204,0,9431226,0,6674584,0,1661590,0,0.6152,0,0.2043,0,0.1446,0,0.036,0,125999,120850,102367,0,0.7667,0,966,0,0,927,0,0,85,71,84,Saint-Alfred,1 @ 1 999,M,AR270,Robert-Cliche,12,Chaudiere-Appalaches,495
27028,2015,2015,460965274.33,0,427441671,0,300950232,0,93532704,0,26824455,0,6134280,0,0.7041,0,0.2188,0,0.0628,0,0.0144,0,129455,104407,134746,0,1.6858,0,2182,0,0,1760,0,0,74,164,164,Beauceville,2 000 @ 9 999,V,AR270,Robert-Cliche,12,Chaudiere-Appalaches,6418
27035,2015,2015,124855002.38,0,123659224,0,60148712,0,28703688,0,34312408,0,494416,0,0.4864,0,0.2321,0,0.2775,0,0.004,0,117735,107214,133678,0,1.2603,0,1484,0,0,1351,0,0,111,116,108,Saint-Odilon-de-Cranbourne,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,1449
27043,2015,2015,372956117.49,0,348907581,0,244985301,0,72060516,0,27315882,0,4545882,0,0.7021,0,0.2065,0,0.0783,0,0.013,0,143698,117746,156836,0,1.4588,0,2096,0,0,1718,0,0,86,142,150,Saint-Joseph-de-Beauce,2 000 @ 9 999,V,AR270,Robert-Cliche,12,Chaudiere-Appalaches,4857
27050,2015,2015,45430704,0,45350316,0,15790005,0,9220464,0,20209365,0,130482,0,0.3482,0,0.2033,0,0.4456,0,0.0029,0,135911,132176,163420,0,1.0845,0,1474,0,0,1433,0,0,136,100,92,Saint-Joseph-des-Erables,1 @ 1 999,M,AR270,Robert-Cliche,12,Chaudiere-Appalaches,432
27055,2015,2015,51207600,0,51146500,0,18660700,0,10858900,0,21502100,0,124800,0,0.3648,0,0.2123,0,0.4204,0,0.0024,0,106048,98063,120206,0,1.1926,0,1265,0,0,1169,0,0,100,110,91,Saint-Jules,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,581
27060,2015,2015,96259047.07,0,94827491,0,71385016,0,15368680,0,6331384,0,1742411,0,0.7528,0,0.1621,0,0.0668,0,0.0184,0,130509,114551,125501,0,1.3761,0,1809,0,0,1588,0,0,104,127,112,Tring-Jonction,1 @ 1 999,VL,AR270,Robert-Cliche,12,Chaudiere-Appalaches,1517
27065,2015,2015,96236606,0,94468900,0,49800700,0,20543400,0,23120600,0,1004200,0,0.5272,0,0.2175,0,0.2447,0,0.0106,0,129428,114945,131291,0,1.3275,0,1686,0,0,1498,0,0,109,123,100,Saint-Frederic,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,1101
27070,2015,2015,41219160.346,0,41215468,0,16076606,0,12471578,0,12012056,0,655228,0,0.3901,0,0.3026,0,0.2914,0,0.0159,0,107395,99271,96306,0,1.1529,0,1238,0,0,1144,0,0,80,107,96,Saint-Severin,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,275
28005,2015,2015,126301278.2,0,125013900,0,80069100,0,13714800,0,27238700,0,3991300,0,0.6405,0,0.1097,0,0.2179,0,0.0319,0,88740,71624,83977,0,1.146,0,1017,0,0,821,0,0,70,106,106,Saint-Zacharie,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,1721
28015,2015,2015,83986792.036,0,83638492,0,57210538,0,10108602,0,13465004,0,2854348,0,0.684,0,0.1209,0,0.161,0,0.0341,0,110799,92103,90993,0,1.1176,0,1232,0,0,1024,0,0,76,103,116,Sainte-Aurelie,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,898
28020,2015,2015,222952119.6,0,210363700,0,162100700,0,25902800,0,19588700,0,2771500,0,0.7706,0,0.1231,0,0.0931,0,0.0132,0,118414,101497,110756,0,1.5043,0,1781,0,0,1527,0,0,60,147,121,Saint-Prosper,2 000 @ 9 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,3631
28025,2015,2015,76096677.854,0,75607691,0,46729367,0,13000417,0,14311599,0,1566308,0,0.6181,0,0.1719,0,0.1893,0,0.0207,0,108158,91407,89949,0,1.3246,0,1453,0,0,1228,0,0,75,122,127,Saint-Benjamin,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,886
28030,2015,2015,61992401.628,0,61439412,0,38049123,0,10600063,0,10967693,0,1822533,0,0.6193,0,0.1725,0,0.1785,0,0.0297,0,99581,85953,92942,0,1.1573,0,1152,0,0,995,0,0,77,107,142,Sainte-Rose-de-Watford,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,763
28035,2015,2015,38613565.354,0,38612098,0,15478512,0,10437392,0,10922002,0,1774192,0,0.4009,0,0.2703,0,0.2829,0,0.0459,0,68811,56811,72175,0,0.1187,0,82,0,0,67,0,0,60,11,117,Saint-Louis-de-Gonzague,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,422
28040,2015,2015,39219434.184,0,38597790,0,22976492,0,6284250,0,7794822,0,1542226,0,0.5953,0,0.1628,0,0.2019,0,0.04,0,76847,65581,76451,0,1.2638,0,971,0,0,829,0,0,64,117,141,Saint-Cyprien,1 @ 1 999,P,AR280,Les Etchemins,12,Chaudiere-Appalaches,515
28045,2015,2015,122599972,0,118605500,0,83948500,0,20671800,0,10731200,0,3254000,0,0.7078,0,0.1743,0,0.0905,0,0.0274,0,114976,94901,112891,0,1.2196,0,1402,0,0,1157,0,0,94,113,111,Sainte-Justine,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,1808
28053,2015,2015,347066270.32,0,323446368,0,252719358,0,45080422,0,17595284,0,8051304,0,0.7813,0,0.1394,0,0.0544,0,0.0249,0,146625,120925,134262,0,1.2587,0,1858,0,0,1532,0,0,73,123,126,Lac-Etchemin,2 000 @ 9 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,3927
28060,2015,2015,51958392,0,51958392,0,31271058,0,17515542,0,2744616,0,427176,0,0.6018,0,0.3371,0,0.0528,0,0.0082,0,89873,83338,72365,0,1.1482,0,1032,0,0,957,0,0,60,106,93,Saint-Luc-de-Bellechasse,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,465
28065,2015,2015,31745112,0,31707039,0,19113534,0,6125757,0,6268836,0,198912,0,0.6028,0,0.1932,0,0.1977,0,0.0063,0,72527,67008,65725,0,1.4287,0,1055,0,0,975,0,0,55,132,131,Sainte-Sabine,1 @ 1 999,P,AR280,Les Etchemins,12,Chaudiere-Appalaches,384
28070,2015,2015,58062167.696,0,56716920,0,32474520,0,13469456,0,10457304,0,315640,0,0.5726,0,0.2375,0,0.1844,0,0.0056,0,72402,63348,65019,0,1.2319,0,892,0,0,780,0,0,54,114,131,Saint-Camille-de-Lellis,1 @ 1 999,P,AR280,Les Etchemins,12,Chaudiere-Appalaches,826
28075,2015,2015,80277038.074,0,79131668,0,46827567,0,22122130,0,9526143,0,655828,0,0.5918,0,0.2796,0,0.1204,0,0.0083,0,94564,84123,85766,0,0.9178,0,868,0,0,772,0,0,71,85,82,Saint-Magloire,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,722
29005,2015,2015,90053381.376,0,83877031,0,26414311,0,42375995.2,0,13919096.8,0,1167628,0,0.3149,0,0.5052,0,0.1659,0,0.0139,0,77771,62424,115305,0,0.914,0,711,0,0,571,0,0,96,84,117,Saint-Theophile,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,749
29013,2015,2015,154170196.44,0,152229600,0,85062240,0,48687360,0,15669960,0,2810040,0,0.5588,0,0.3198,0,0.1029,0,0.0185,0,101765,92499,128368,0,1.232,0,1254,0,0,1140,0,0,70,120,135,Saint-Gedeon-de-Beauce,2 000 @ 9 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,2257
29020,2015,2015,39266864,0,39266864,0,2631928,0,25960688,0,10673208,0,1040,0,0.067,0,0.6611,0,0.2718,0,0,0,70830,67764,324520,0,0.6635,0,470,0,0,450,0,0,270,61,59,Saint-Hilaire-de-Dorset,1 @ 1 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,101
29025,2015,2015,79827259.644,0,79306920,0,28190943,0,23909787,0,26541603,0,664587,0,0.3555,0,0.3015,0,0.3347,0,0.0084,0,104878,92399,139803,0,1.1694,0,1226,0,0,1081,0,0,116,108,93,Saint-Evariste-de-Forsyth,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,507
29030,2015,2015,116887987.48,0,114332240,0,73636200,0,27139200,0,11181720,0,2375120,0,0.6441,0,0.2374,0,0.0978,0,0.0208,0,122337,94043,142027,0,1.8904,0,2313,0,0,1778,0,0,118,175,178,La Guadeloupe,1 @ 1 999,VL,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1814
29038,2015,2015,146792867.52,0,145813794,0,60585858,0,24802116,0,58090632,0,2335188,0,0.4155,0,0.1701,0,0.3984,0,0.016,0,108228,98398,153871,0,1.3975,0,1547,0,0,1406,0,0,128,129,118,Saint-Honore-de-Shenley,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1603
29045,2015,2015,182491153.82,0,170075616,0,105296538,0,37432674,0,25006524,0,2339880,0,0.6191,0,0.2201,0,0.147,0,0.0138,0,110451,96815,129335,0,1.1652,0,1287,0,0,1128,0,0,71,114,112,Saint-Martin,2 000 @ 9 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,2454
29050,2015,2015,59015364,0,59015364,0,33637764,0,18879588,0,4372434,0,2125578,0,0.57,0,0.3199,0,0.0741,0,0.036,0,125888,122555,101575,0,0.9117,0,1189,0,0,1158,0,0,85,84,98,Saint-Rene,1 @ 1 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,733
29057,2015,2015,227928247.36,0,225920640,0,155357180,0,45278750,0,22034980,0,3249730,0,0.6877,0,0.2004,0,0.0975,0,0.0144,0,125740,111880,119522,0,1.2106,0,1522,0,0,1354,0,0,65,118,118,Saint-Come--Liniere,2 000 @ 9 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,3322
29065,2015,2015,39718404,0,39682269,0,12954249,0,11654775,0,14995035,0,78210,0,0.3264,0,0.2937,0,0.3779,0,0.002,0,103841,95379,124509,0,0.8511,0,884,0,0,812,0,0,104,79,87,Saint-Philibert,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,372
29073,2015,2015,2700282917.5,0,2525808133.7,0,1857361584,0,545466334.4,0,63221496,0,59758719.28,0,0.7354,0,0.216,0,0.025,0,0.0237,0,163488,125395,202420,0,1.3091,0,2140,0,0,1642,0,0,68,124,112,Saint-Georges,25 000 @ 99 999,V,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,32321
29095,2015,2015,50352830,0,49931750,0,48033810,0,265760,0,227150,0,1405030,0,0.962,0,0.0053,0,0.0045,0,0.0281,0,404670,383356,242081,0,0.5848,0,2407,0,0,2280,0,0,201,54,44,Lac-Poulin,1 @ 1 999,VL,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,135
29100,2015,2015,166083457.18,0,165278667,0,92469327,0,28843905,0,39912270,0,4053165,0,0.5595,0,0.1745,0,0.2415,0,0.0245,0,133410,121734,137714,0,0.9793,0,1306,0,0,1192,0,0,115,91,90,Saint-Benoit-Labre,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1633
29112,2015,2015,202407435.6,0,200225200,0,107029300,0,35027400,0,55689300,0,2479200,0,0.5345,0,0.1749,0,0.2781,0,0.0124,0,133655,111527,152301,0,1.2857,0,1733,0,0,1446,0,0,83,125,98,Saint-Ephrem-de-Beauce,2 000 @ 9 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,2567
29120,2015,2015,116782338.2,0,115722000,0,89014500,0,17927500,0,3825300,0,4954700,0,0.7692,0,0.1549,0,0.0331,0,0.0428,0,160406,145344,145433,0,0.9558,0,1627,0,0,1475,0,0,121,88,88,Notre-Dame-des-Pins,1 @ 1 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1405
29125,2015,2015,46437780,0,46437780,0,28840348,0,9513796,0,7045356,0,1038280,0,0.6211,0,0.2049,0,0.1517,0,0.0224,0,145037,133005,101172,0,0.9334,0,1382,0,0,1267,0,0,84,86,69,Saint-Simon-les-Mines,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,569
30005,2015,2015,71055233.396,0,69819806,0,33833716,0,21031486,0,12632004,0,2322600,0,0.4846,0,0.3012,0,0.1809,0,0.0333,0,100382,86599,103730,0,0.8676,0,871,0,0,751,0,0,86,80,83,Saint-Augustin-de-Woburn,1 @ 1 999,P,AR300,Le Granit,05,Estrie,678
30010,2015,2015,111380844.12,0,110512688,0,70233904,0,19942208,0,10802168,0,9534408,0,0.6355,0,0.1805,0,0.0977,0,0.0863,0,93564,89019,64123,0,0.9882,0,925,0,0,880,0,0,53,91,96,Notre-Dame-des-Bois,1 @ 1 999,M,AR300,Le Granit,05,Estrie,908
30015,2015,2015,34608918,0,34599684,0,17614596,0,13003296,0,2697924,0,1283868,0,0.5091,0,0.3758,0,0.078,0,0.0371,0,129091,117103,120170,0,0.8639,0,1115,0,0,1012,0,0,100,80,119,Val-Racine,1 @ 1 999,M,AR300,Le Granit,05,Estrie,193
30020,2015,2015,88055500,0,88055500,0,64341000,0,8327200,0,9304400,0,6082900,0,0.7307,0,0.0946,0,0.1057,0,0.0691,0,200792,195657,180812,0,0.8311,0,1669,0,0,1626,0,0,150,77,86,Piopolis,1 @ 1 999,M,AR300,Le Granit,05,Estrie,359
30025,2015,2015,204226850.2,0,204223000,0,154800800,0,20655100,0,21736000,0,7031100,0,0.758,0,0.1011,0,0.1064,0,0.0344,0,177629,161282,161700,0,0.9221,0,1638,0,0,1487,0,0,135,85,72,Frontenac,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1699
30030,2015,2015,506207806.65,0,464360715,0,322292880,0,128940420,0,2349795,0,10777620,0,0.6941,0,0.2777,0,0.0051,0,0.0232,0,155658,105861,204198,0,1.6657,0,2765,0,0,1881,0,0,112,162,208,Lac-Megantic,2 000 @ 9 999,V,AR300,Le Granit,05,Estrie,5847
30035,2015,2015,93981712,0,93981712,0,74644656,0,7395523,0,6190896,0,5750637,0,0.7942,0,0.0787,0,0.0659,0,0.0612,0,189325,168526,139646,0,0.7423,0,1459,0,0,1299,0,0,116,69,64,Marston,1 @ 1 999,CT,AR300,Le Granit,05,Estrie,697
30040,2015,2015,45453975,0,45453765,0,21061950,0,13424040,0,10586520,0,381255,0,0.4634,0,0.2953,0,0.2329,0,0.0084,0,113349,107191,105218,0,1.1386,0,1291,0,0,1220,0,0,88,105,115,Milan,1 @ 1 999,M,AR300,Le Granit,05,Estrie,254
30045,2015,2015,101369801.2,0,100701100,0,64061700,0,15049700,0,18590100,0,2999600,0,0.6362,0,0.1494,0,0.1846,0,0.0298,0,109988,96900,94035,0,1.2787,0,1406,0,0,1239,0,0,78,118,114,Nantes,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1417
30050,2015,2015,83732539.464,0,83059704,0,47629568,0,16098166,0,18328842,0,1003128,0,0.5734,0,0.1938,0,0.2207,0,0.0121,0,100222,95473,102488,0,1.2373,0,1252,0,0,1193,0,0,85,114,130,Sainte-Cecile-de-Whitton,1 @ 1 999,M,AR300,Le Granit,05,Estrie,882
30055,2015,2015,60716993.6,0,60076400,0,26672800,0,11261200,0,21445900,0,696500,0,0.444,0,0.1874,0,0.357,0,0.0116,0,98235,91786,124676,0,1.4848,0,1465,0,0,1369,0,0,104,137,131,Audet,1 @ 1 999,M,AR300,Le Granit,05,Estrie,764
30070,2015,2015,50992986.858,0,50316988,0,21160914,0,15878109,0,12757209,0,520756,0,0.4206,0,0.3156,0,0.2535,0,0.0103,0,77949,75729,103016,0,1.1544,0,900,0,0,874,0,0,86,107,169,Saint-Robert-Bellarmin,1 @ 1 999,M,AR300,Le Granit,05,Estrie,667
30072,2015,2015,88599718.738,0,88081898,0,41979943,0,11077377,0,34149615,0,874963,0,0.4766,0,0.1258,0,0.3877,0,0.0099,0,92979,83653,103504,0,1.4635,0,1373,0,0,1235,0,0,86,135,150,Saint-Ludger,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1192
30080,2015,2015,104624162.5,0,103997349,0,63587050,0,16834011,0,21161659,0,2414629,0,0.6114,0,0.1619,0,0.2035,0,0.0232,0,119433,98261,120953,0,1.2755,0,1523,0,0,1253,0,0,101,118,106,Lac-Drolet,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1027
30085,2015,2015,63207521.2,0,62583500,0,29344000,0,13951800,0,19008100,0,279600,0,0.4689,0,0.2229,0,0.3037,0,0.0045,0,101227,87105,124180,0,1.5459,0,1565,0,0,1347,0,0,103,143,117,Saint-Sebastien,1 @ 1 999,M,AR300,Le Granit,05,Estrie,714
30090,2015,2015,61481296.306,0,61002081,0,29802272,0,9673578,0,20930634,0,595597,0,0.4885,0,0.1586,0,0.3431,0,0.0098,0,76293,65960,97900,0,1.3994,0,1068,0,0,923,0,0,81,129,135,Courcelles,1 @ 1 999,M,AR300,Le Granit,05,Estrie,948
30095,2015,2015,243498509.2,0,240510400,0,182767600,0,15237800,0,34050100,0,8454900,0,0.7599,0,0.0634,0,0.1416,0,0.0352,0,155291,124643,148565,0,1.2548,0,1949,0,0,1564,0,0,124,116,106,Lambton,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1571
30100,2015,2015,88654497.6,0,87456500,0,57256900,0,12214200,0,15260000,0,2725400,0,0.6547,0,0.1397,0,0.1745,0,0.0312,0,128554,106511,106813,0,1.2027,0,1546,0,0,1281,0,0,89,111,106,Saint-Romain,1 @ 1 999,M,AR300,Le Granit,05,Estrie,733
30105,2015,2015,58347147.2,0,57449900,0,23812600,0,11816500,0,21216000,0,604800,0,0.4145,0,0.2057,0,0.3693,0,0.0105,0,97715,91593,107256,0,1.0919,0,1067,0,0,1000,0,0,89,101,90,Stornoway,1 @ 1 999,M,AR300,Le Granit,05,Estrie,554
30110,2015,2015,220430968.4,0,219622800,0,181832000,0,11171400,0,14566400,0,12053000,0,0.8279,0,0.0509,0,0.0663,0,0.0549,0,199440,178650,143230,0,0.7761,0,1548,0,0,1387,0,0,119,72,58,Stratford,1 @ 1 999,CT,AR300,Le Granit,05,Estrie,1037
31008,2015,2015,177425299.64,0,175812402,0,136640730,0,9312294,0,15656694,0,14202684,0,0.7772,0,0.053,0,0.0891,0,0.0808,0,184780,160778,138722,0,0.9398,0,1733,0,0,1508,0,0,115,87,76,Beaulac-Garthby,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,843
