cod_classe_pop,an_profil,an_donnee,PRC0310,PRC0110,PRC3210,PRC3110,PRC3010,PRC2410,PRC2510,PRC2610,PRC0210,PRC2110,PRC2710,PRC2810,PRC2910,desc_classe_pop
CP01,2015,2014,0.0145,0.0133,1306,1798,1640,3.3271,0.2918,0.1522,0.1637,0.6543,0.6656,0.0229,0.1601,1 @ 1 999
CP02,2015,2014,0.015,0.0175,2116,2689,3138,2.8228,0.2404,0.1552,0.1647,0.6246,0.7288,0.0362,0.074,2 000 @ 9 999
CP03,2015,2014,0.016,0.0197,3454,4314,5313,2.4363,0.2126,0.1599,0.1671,0.6183,0.718,0.0462,0.0415,10 000 @ 24 999
CP04,2015,2014,0.0164,0.0224,3764,4590,6282,2.3639,0.1568,0.1799,0.1873,0.6307,0.7552,0.0321,0.0449,25 000 @ 99 999
CP05,2015,2014,0.0216,0.0229,5640,8705,9243,1.7966,0.0895,0.2113,0.2158,0.6049,0.5762,0.049,0.0709,100 000 et plus
