cod_classe_pop,an_profil,an_donnee,PRC1410,PRC1510,PRC1610,PRC2210,PRC2310,PRC2010,PFRAT0111,PFRAT0210,PRC3310,PRC3410,desc_classe_pop
CP01,2015,2015,0.6675,0.08,0.1985,0.0539,156485,138224,135034,0.9791,1543,1363,1 @ 1 999
CP02,2015,2015,0.762,0.1189,0.0803,0.0388,215262,176718,195432,1.0233,2218,1821,2 000 @ 9 999
CP03,2015,2015,0.832,0.131,0.0144,0.0226,296903,234176,291936,1.0252,3042,2399,10 000 @ 24 999
CP04,2015,2015,0.7998,0.1679,0.0122,0.0201,259863,195520,303512,1.0452,2750,2069,25 000 @ 99 999
CP05,2015,2015,0.8011,0.1823,0.0022,0.0145,296494,194058,426684,1.0355,3020,1977,100 000 et plus
