cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010102,POSTE_9061,POSTE_5428,POSTE_9682,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3022,RF12010101,PRC0300,PRC0301,PRC0100,PRC0102,PRC0101,PRC3200,PRC3202,PRC3201,PRC3203,PRC3100,PRC3102,PRC3101,PRC3103,PRC3000,PRC3002,PRC3001,PRC3003,PRC2400,PRC2500,PRC2600,PRC0200,PRC2100,PRC2700,PRC2800,PRC2900,PRN0300,PRN0200,PRN0100,POSTE_6805,POSTE_6833,POSTE_6825,POSTE_6827,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population
AG010,2015,2014,0,951233699.8,0,19435509,0,6150305,0,17395062,0,6150305,0,8178,0,795158,0,3645379,0,18531464.212,0,0,0,0,0,0,0,0,0,0.0195,0,0,0.0054,0,0,0,0,574,0,0,0,1642,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Les Iles-de-la-Madeleine,10 000 @ 24 999,AG,,,11,Gaspesie--Iles-de-la-Madeleine,12636
AG230,2015,2014,0,68406119596,0,0,0,2753803,0,0,0,2753803,0,3330710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quebec,100 000 et plus,AG,,,03,Capitale-Nationale,565677
AG410,2015,2014,0,580903025.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cookshire-Eaton,2 000 @ 9 999,AG,,,05,Estrie,6079
AG582,2015,2014,0,51447668401,0,0,0,1883040,0,0,0,1883040,0,1932187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Longueuil,100 000 et plus,AG,,,16,Monteregie,410852
AG660,2015,2014,0,275927587129,0,0,0,45662000,0,0,0,45662000,0,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montreal,100 000 et plus,AG,,,06,Montreal,1937999
AG770,2015,2014,0,811350079.68,0,0,0,18248,0,0,0,18248,0,6601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sainte-Marguerite--Esterel,2 000 @ 9 999,AG,,,15,Laurentides,3079
AG780,2015,2014,0,1809387220.6,0,4879722,0,3225752,0,4879722,0,3225752,0,62328,0,295259,0,172420,0,4874208.3376,0,0,0,0,0,0,0,0,0,0.0027,0,0,0.002,0,0,0,0,337,0,0,0,462,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sainte-Agathe-des-Monts,10 000 @ 24 999,AG,,,15,Laurentides,11048
AG781,2015,2014,0,3778891972.1,0,16961549,0,15291652,0,16896131,0,15291652,0,141159,0,129445,0,257070,0,18573546.574,0,0,0,0,0,0,0,0,0,0.0049,0,0,0.0031,0,0,0,0,1260,0,0,0,1481,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mont-Tremblant,2 000 @ 9 999,AG,,,15,Laurentides,9714
AG790,2015,2014,0,1262473187,0,0,0,67479,0,0,0,67479,0,19530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mont-Laurier,10 000 @ 24 999,AG,,,15,Laurentides,14774
AG791,2015,2014,0,773196055.34,0,0,0,0,0,0,0,0,0,97241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Riviere-Rouge,2 000 @ 9 999,AG,,,15,Laurentides,5739
AG900,2015,2014,0,933648921.18,0,0,0,60309,0,0,0,60309,0,0,0,243700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Tuque,10 000 @ 24 999,AG,,,04,Mauricie,11808
01023,2015,2014,922291300,0,32851180,13415672,14595433,8445129,29385172,11990111,14595433,8445129,93534,37463,1668088,872930,4828186,1182807,30191830,11660365.788,0,11321789,16423567,5101778,11321789,4691331,108716878,42311090,3812135,0.0126,0.0321,0.0123,0,0.0177,827,584,1411,0,1085,1676,2761,0,1057,462,1519,0,2.5695,0.1297,0.1596,0.1546,0.5747,0.4967,0.0568,0.1643,0,0,0,0,0,0,0,Les Iles-de-la-Madeleine,10 000 @ 24 999,M,AR011,Hors MRC - Les Iles de la Madeleine,11,Gaspesie--Iles-de-la-Madeleine,12154
