"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0710","RFU0750","RFU0755","RFU0760","RFU0800","RFU0900","RFU1000","RFU1100","RFU1150","RFU1300","RFU1350","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
01023,Les Îles-de-la-Madeleine,M,12711,1.00,905394900.00,133894200.00,83814700.00,158681000.00,19751700.00,51603700.00,1353140200.00,0.00,1353140200.00,0.00,0.00,3754900.00,0.00,6067100.00,7617900.00,4762800.00,62888100.00,0.00,5462900.00,11141832.00,17737420.00,0.00,1472573152.00,03,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie-Îles-de-la-Madeleine
01042,Grosse-Île,M,478,1.00,24774400.00,1469300.00,1468100.00,12238600.00,0.00,1209900.00,41160300.00,0.00,41160300.00,0.00,0.00,0.00,0.00,0.00,708800.00,0.00,711000.00,0.00,0.00,1086336.00,771046.00,0.00,44437482.00,01,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie-Îles-de-la-Madeleine
02005,Percé,V,3103,1.37,219900755.00,22526225.00,23128477.00,59407995.00,7285523.00,24667124.00,356916099.00,0.00,356916099.00,0.00,0.00,0.00,0.00,3612553.00,816931.00,15341808.00,0.00,0.00,448949.00,6725908.14,34151.36,0.00,383896399.50,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie-Îles-de-la-Madeleine
02010,Sainte-Thérèse-de-Gaspé,M,1023,1.28,51512832.00,6052608.00,5493888.00,14975744.00,430336.00,1817728.00,80283136.00,0.00,80283136.00,0.00,0.00,0.00,0.00,65920.00,70912.00,0.00,0.00,0.00,0.00,1356398.08,0.00,0.00,81776366.08,01,1 @ 1 999,AR020,Le Rocher-Percé,,,11,Gaspésie-Îles-de-la-Madeleine
02015,Grande-Rivière,V,3427,1.35,167802570.00,42701310.00,9288810.00,41897790.00,575100.00,5264730.00,267530310.00,0.00,267530310.00,0.00,0.00,0.00,0.00,356265.00,1282500.00,462645.00,811485.00,0.00,11600280.00,4096342.80,14145467.40,0.00,300285295.20,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie-Îles-de-la-Madeleine
02028,Chandler,V,7405,1.22,403310650.00,68448100.00,32196654.00,91990196.00,1257332.00,15726410.00,612929342.00,0.00,612929342.00,0.00,0.00,0.00,0.00,808860.00,1980792.00,2230404.00,49055346.00,0.00,0.00,7191675.52,16037212.32,0.00,690233631.84,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie-Îles-de-la-Madeleine
02047,Port-Daniel-Gascons,M,2281,1.00,119378300.00,18663700.00,6857100.00,229892400.00,3687400.00,12755500.00,391234400.00,0.00,391234400.00,0.00,0.00,0.00,0.00,22200.00,532400.00,0.00,0.00,0.00,0.00,5820934.00,13284.00,0.00,397623218.00,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie-Îles-de-la-Madeleine
03005,Gaspé,V,15260,1.18,998452044.00,173419762.00,117554550.00,218914131.00,6972148.00,75346304.00,1590658939.00,0.00,1590658939.00,0.00,0.00,0.00,0.00,2033258.00,30889450.00,14277174.00,85817506.00,0.00,50381752.00,14428657.68,41067846.80,0.00,1829554583.48,03,10 000 @ 24 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie-Îles-de-la-Madeleine
03010,Cloridorme,CT,647,1.20,32613960.00,1078920.00,1989240.00,4147200.00,109800.00,2151600.00,42090720.00,0.00,42090720.00,0.00,0.00,0.00,0.00,0.00,80520.00,232320.00,0.00,0.00,0.00,1406136.00,0.00,0.00,43809696.00,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie-Îles-de-la-Madeleine
03015,Petite-Vallée,M,161,1.49,14616453.00,408111.00,2185979.00,1835680.00,304556.00,1457816.00,20808595.00,0.00,20808595.00,0.00,0.00,0.00,0.00,0.00,36207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20844802.00,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie-Îles-de-la-Madeleine
