"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg" 
54065,Saint-Valérien-de-Milton,M,1813,1.08,111530088.00,7074648.00,7412472.00,19375848.00,173377044.00,1992384.00,320762484.00,0.00,0.00,0.00,151416.00,0.00,0.00,1273843.26,1876.50,0.00,322189619.76,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54072,Saint-Liboire,M,3038,1.06,205850516.00,16619422.00,3697386.00,26924318.00,161338148.00,4068704.00,418498494.00,0.00,0.00,0.00,185606.00,623081.25,0.00,1563277.40,0.00,0.00,420870458.65,02,2 000 @ 9 999,AR540,Les Maskoutains,,,16,Montérégie
54090,Saint-Simon,M,1435,1.00,90169200.00,8461900.00,2824800.00,19120600.00,153355400.00,621900.00,274553800.00,0.00,0.00,40700.00,0.00,0.00,0.00,658443.00,417.00,0.00,275253360.00,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54095,Sainte-Hélène-de-Bagot,M,1691,0.99,104558355.00,14799114.00,1793781.00,35135397.00,126272025.00,1220076.00,283778748.00,0.00,0.00,3861.00,0.00,0.00,0.00,854214.08,0.00,0.00,284636823.08,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54100,Saint-Hugues,M,1318,1.00,78075100.00,5027200.00,2741300.00,11933100.00,197902200.00,1066200.00,296745100.00,0.00,0.00,199100.00,0.00,585915.00,0.00,602912.50,0.00,0.00,298133027.50,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54105,Saint-Barnabé-Sud,M,855,1.00,61209800.00,2645900.00,1762300.00,4619400.00,199025200.00,257000.00,269519600.00,0.00,0.00,0.00,0.00,0.00,0.00,507280.50,0.00,0.00,270026880.50,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54110,Saint-Jude,M,1322,1.00,76722400.00,6589100.00,4243000.00,6644100.00,152050800.00,4911700.00,251161100.00,0.00,0.00,0.00,0.00,0.00,0.00,1332245.50,0.00,0.00,252493345.50,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54115,Saint-Bernard-de-Michaudville,M,596,1.00,39310400.00,1868100.00,2181200.00,2328600.00,138904800.00,1817600.00,186410700.00,0.00,0.00,0.00,0.00,0.00,0.00,322758.00,0.00,0.00,186733458.00,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54120,Saint-Louis,M,722,1.00,46277600.00,761700.00,2196200.00,4381800.00,83211900.00,732700.00,137561900.00,0.00,0.00,0.00,0.00,0.00,0.00,391563.00,834.00,0.00,137954297.00,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
54125,Saint-Marcel-de-Richelieu,M,507,1.00,27208800.00,624400.00,1443100.00,895000.00,122787200.00,429900.00,153388400.00,0.00,0.00,0.00,0.00,0.00,0.00,723634.00,0.00,0.00,154112034.00,01,1 @ 1 999,AR540,Les Maskoutains,,,16,Montérégie
