"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
01023,Les Îles-de-la-Madeleine,M,11863,0.99,592545393.00,82966851.00,37488825.00,119805246.00,12675564.00,43304580.00,888786459.00,3599937.00,0.00,7790607.00,4689432.00,39697257.60,2030371.20,6935836.05,11645998.65,0.00,965175898.50,03,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
01042,Grosse-Île,M,473,0.99,16287777.00,1003959.00,1026036.00,9028404.00,0.00,844965.00,28191141.00,0.00,0.00,0.00,615483.00,163548.00,0.00,672779.25,505340.55,0.00,30148291.80,01,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
02005,Percé,V,3147,1.11,147534540.00,14958027.00,15578184.00,33041370.00,3673545.00,15371058.00,230156724.00,0.00,0.00,13646562.00,603507.00,0.00,512908.80,2055120.60,14502.15,0.00,246989324.55,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02010,Sainte-Thérèse-de-Gaspé,M,1056,1.25,34779750.00,4664250.00,4548375.00,9617750.00,374750.00,1318000.00,55302875.00,0.00,0.00,17000.00,115375.00,0.00,0.00,954850.00,0.00,0.00,56390100.00,01,1 @ 1 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02015,Grande-Rivière,V,3354,1.10,105024260.00,28195750.00,11297220.00,24894540.00,285120.00,4045800.00,173742690.00,0.00,0.00,6626730.00,1021130.00,494032.00,6274400.00,2245243.00,6862784.50,0.00,197267009.50,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02028,Chandler,V,7422,1.01,282433673.00,46294360.00,25396753.00,62513950.00,682760.00,12652573.00,429974069.00,0.00,0.00,2760027.00,1108172.00,26849112.80,0.00,4113760.30,9094888.40,0.00,473900029.50,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02047,Port-Daniel--Gascons,M,2416,1.09,92422081.00,13052641.00,5377188.00,8516497.00,3002296.00,13647454.00,136018157.00,0.00,0.00,11118.00,419214.00,0.00,0.00,2359163.30,13957.45,0.00,138821609.75,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
03005,Gaspé,V,15010,0.99,773016651.00,123254901.00,90368586.00,159650152.20,4836645.00,63416529.00,1214543464.20,0.00,0.00,13690611.00,22477049.10,43928913.60,28622484.00,7393171.50,24853578.75,0.00,1355509272.15,03,10 000 @ 24 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03010,Cloridorme,CT,670,1.01,26686624.00,926877.00,1727504.00,3097872.00,186345.00,1325423.00,33950645.00,0.00,0.00,267448.00,58277.00,0.00,0.00,806838.50,0.00,0.00,35083208.50,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03015,Petite-Vallée,M,166,0.97,7909186.00,0.00,1549963.00,478423.40,129883.00,792199.00,10859654.40,0.00,0.00,0.00,22571.90,0.00,0.00,0.00,0.00,0.00,10882226.30,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03020,Grande-Vallée,M,1062,0.97,49298542.80,5376739.10,5653480.10,7274796.30,735977.80,2231572.30,70571108.40,0.00,0.00,0.00,132385.60,1360824.64,0.00,1060526.22,2796538.62,0.00,75921383.48,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03025,Murdochville,V,657,0.95,9172250.00,2006020.00,1943890.00,3420237.50,0.00,324615.00,16867012.50,0.00,0.00,0.00,53912.50,307480.80,0.00,0.00,285192.38,0.00,17513598.18,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,286,1.03,13294519.00,939875.00,7086709.00,1892007.00,286649.00,2083793.00,25583552.00,0.00,0.00,115875.00,250908.00,0.00,0.00,0.00,0.00,0.00,25950335.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04010,Saint-Maxime-du-Mont-Louis,M,1061,0.97,36260249.00,3881746.00,5728044.00,5232374.00,342895.00,2953359.00,54398667.00,0.00,0.00,2103833.00,183330.00,0.00,0.00,697774.35,2268791.20,0.00,59652395.55,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04015,Mont-Saint-Pierre,VL,171,0.88,6252576.00,582648.00,911416.00,1702976.00,112112.00,479336.00,10041064.00,0.00,0.00,17600.00,18480.00,0.00,0.00,0.00,0.00,0.00,10077144.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04020,Rivière-à-Claude,M,115,1.03,6485910.00,334029.00,1650987.00,400052.00,98159.00,1190989.00,10160126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10160126.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04025,Marsoui,VL,296,1.00,8603000.00,468500.00,1348900.00,1711100.00,0.00,799500.00,12931000.00,0.00,0.00,0.00,31200.00,0.00,0.00,768690.00,0.00,0.00,13730890.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04030,La Martre,M,248,1.02,8979468.00,346800.00,2801226.00,580584.00,398412.00,1402806.00,14509296.00,0.00,0.00,0.00,38760.00,0.00,0.00,0.00,0.00,0.00,14548056.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04037,Sainte-Anne-des-Monts,V,6703,0.99,254198835.00,49661370.00,25573482.00,53578899.00,1898028.00,8392824.00,393303438.00,0.00,0.00,3312837.00,928620.00,25057296.00,0.00,1628441.10,11571545.70,0.00,435802177.80,02,2 000 @ 9 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04047,Cap-Chat,V,2405,1.00,93311000.00,17756400.00,15593800.00,22124600.00,5674700.00,3077400.00,157537900.00,0.00,0.00,16300.00,38200.00,5251440.00,0.00,803530.00,2701595.00,0.00,166348965.00,02,2 000 @ 9 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
05010,Shigawake,M,273,0.99,10502870.40,527571.00,451638.00,627481.80,2108106.00,1952280.00,16169947.20,0.00,0.00,20394.00,55380.60,0.00,0.00,0.00,8751.60,0.00,16254473.40,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05015,Saint-Godefroi,CT,388,0.98,15748796.00,1298108.00,612304.00,1346422.00,1110046.00,1967448.00,22083124.00,0.00,0.00,0.00,93688.00,0.00,0.00,0.00,0.00,0.00,22176812.00,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05020,Hope Town,M,380,1.01,17646013.00,587820.00,1260783.00,650137.00,1416525.00,3394711.00,24955989.00,0.00,0.00,1414.00,0.00,0.00,0.00,0.00,2035.15,0.00,24959438.15,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05025,Hope,CT,591,0.99,25797618.00,2426391.00,1549746.00,491040.00,1251360.00,3815955.00,35332110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35332110.00,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05032,Paspébiac,V,3089,1.04,149528080.00,19999408.00,10267920.00,25571322.40,1897272.00,8554842.40,215818844.80,0.00,0.00,89325.60,401866.40,3187025.92,0.00,862461.08,9466014.48,0.00,229825538.28,02,2 000 @ 9 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05040,New Carlisle,M,1327,1.00,58647900.00,5359100.00,5690800.00,4444700.00,443000.00,6649600.00,81235100.00,0.00,0.00,12610000.00,214220.00,0.00,0.00,0.00,4251910.00,0.00,98311230.00,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05045,Bonaventure,V,2768,0.99,135674154.00,22148577.00,16617249.00,28653530.40,8073648.00,12261645.00,223428803.40,683496.00,0.00,2338677.00,35244.00,1741687.20,0.00,1764219.60,10584416.70,0.00,240576543.90,02,2 000 @ 9 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05050,Saint-Elzéar,M,451,1.03,14887620.00,773942.00,4807010.00,1790644.70,633810.50,4453926.00,27346953.20,0.00,0.00,0.00,63437.70,278940.48,0.00,327311.86,0.00,0.00,28016643.24,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05055,Saint-Siméon,P,1150,1.09,59875487.60,11956101.00,6880407.00,3271188.10,2145992.00,4277705.00,88406880.70,0.00,0.00,56440.20,146866.60,0.00,0.00,615204.72,0.00,0.00,89225392.22,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05060,Caplan,M,2041,0.99,94283630.10,16010963.10,11305344.60,9786536.10,6246563.40,6840266.40,144473303.70,0.00,0.00,137610.00,97049.70,2230731.36,0.00,733229.64,1158.30,0.00,147673082.70,02,2 000 @ 9 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05065,Saint-Alphonse,M,694,1.06,25671080.00,1805604.00,5528175.60,3321202.60,2244073.00,3733002.00,42303137.20,0.00,0.00,0.00,50169.80,0.00,0.00,614457.09,3513.90,0.00,42971277.99,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05070,New Richmond,V,3756,0.99,161281692.00,29007970.20,21166497.00,52192186.20,6699132.00,10575873.00,280923350.40,0.00,0.00,797296.50,55440.00,1160200.80,0.00,2551284.45,1706304.60,0.00,287193876.75,02,2 000 @ 9 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
05077,Cascapédia--Saint-Jules,M,737,1.01,40303343.00,3401447.70,7080302.00,2329817.50,888598.00,5185441.00,59188949.20,0.00,0.00,222684.80,56156.00,0.00,0.00,0.00,393.90,0.00,59468183.90,01,1 @ 1 999,AR050,Bonaventure,,,11,Gaspésie--Îles-de-la-Madeleine
06005,Maria,M,2547,1.05,143851008.00,22170015.00,19055830.50,18519427.50,2188704.00,9437820.00,215222805.00,0.00,0.00,24570.00,275646.00,29568319.20,0.00,3098652.38,5801.25,0.00,248195793.83,02,2 000 @ 9 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06013,Carleton-sur-Mer,V,4029,1.00,232538900.00,30994300.00,30457750.00,47800130.00,5957600.00,12996700.00,360745380.00,5400.00,0.00,237400.00,377200.00,518160.00,4684320.00,2200705.00,10961665.00,0.00,379730230.00,02,2 000 @ 9 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06020,Nouvelle,M,1691,0.98,80716818.00,10754431.80,13006834.40,12709747.40,3648442.00,8631840.00,129468113.60,0.00,0.00,4578648.20,151037.60,0.00,22344.00,1087467.29,0.00,0.00,135307610.69,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06025,Escuminac,M,564,1.01,26221044.30,2004850.00,8432490.00,1888891.90,827947.50,6417035.00,45792258.70,0.00,0.00,92819.00,48389.10,0.00,0.00,830918.92,0.00,0.00,46764385.72,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06030,Pointe-à-la-Croix,M,1491,0.97,41926601.00,12249548.00,8591290.00,11255298.00,116206.00,5574784.00,79713727.00,0.00,0.00,151514.00,2117607.00,228687.20,0.00,1735955.65,0.00,0.00,83947490.85,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06035,Ristigouche-Partie-Sud-Est,CT,161,0.98,7333438.00,565362.00,2318190.00,417097.80,282338.00,1530368.00,12446793.80,0.00,0.00,25970.00,0.00,0.00,0.00,0.00,0.00,0.00,12472763.80,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06040,Saint-André-de-Restigouche,M,165,1.03,4289332.00,595546.00,1510907.00,906091.00,1702487.00,1820628.00,10824991.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10824991.00,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06045,Matapédia,M,639,1.02,20026272.00,4237630.80,5302572.00,3192702.00,1774392.00,3603048.00,38136616.80,0.00,0.00,3823612.80,76795.80,4057812.96,0.00,0.00,5783004.24,0.00,51877842.60,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06050,Saint-Alexis-de-Matapédia,M,519,1.01,15768827.00,1870116.00,2693296.30,1215090.60,2860875.50,2128049.80,26536255.20,0.00,0.00,2222.00,47369.00,0.00,0.00,447726.44,0.00,0.00,27033572.64,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06055,Saint-François-d'Assise,M,671,1.10,22288970.00,2981770.00,3212110.00,874016.00,756800.00,4737700.00,34851366.00,0.00,0.00,0.00,51095.00,0.00,0.00,816101.00,1287.00,0.00,35719849.00,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
06060,L'Ascension-de-Patapédia,M,167,0.98,4452385.00,62426.00,932813.00,2128373.80,1806728.00,1510180.00,10892905.80,0.00,0.00,0.00,53419.80,0.00,0.00,0.00,0.00,0.00,10946325.60,01,1 @ 1 999,AR060,Avignon,,,11,Gaspésie--Îles-de-la-Madeleine
