"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
01023,Les Îles-de-la-Madeleine,M,12146,1.00,644556000.00,95285900.00,38735000.00,127209100.00,14595200.00,45082500.00,965463700.00,3559400.00,0.00,8586700.00,6064400.00,44115422.00,4241224.00,8680314.50,14246804.00,0.00,1054957964.50,03,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
01042,Grosse-Île,M,469,1.00,19467100.00,1358600.00,1044500.00,10342400.00,0.00,1180200.00,33392800.00,0.00,0.00,0.00,653800.00,231361.00,0.00,841340.50,527741.50,0.00,35647043.00,01,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
02005,Percé,V,3051,1.11,150235836.00,15545883.00,15891204.00,34574724.00,3374289.00,15410241.00,235032177.00,0.00,0.00,13216770.00,476745.00,0.00,567084.57,2260632.66,15634.91,0.00,251569044.14,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02010,Sainte-Thérèse-de-Gaspé,M,995,1.00,38449700.00,4646700.00,3977400.00,9591000.00,336200.00,1537300.00,58538300.00,0.00,0.00,24900.00,55400.00,0.00,0.00,923994.50,0.00,0.00,59542594.50,01,1 @ 1 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02015,Grande-Rivière,V,3429,1.03,120530909.00,30735818.00,9758735.00,24811979.00,252350.00,4322498.00,190412289.00,0.00,0.00,6728887.00,1042566.00,523167.39,6566790.75,2417397.13,8335067.46,0.00,216026164.72,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02028,Chandler,V,7441,1.01,295279459.00,49395161.00,24624911.00,69227319.00,1017676.00,12741857.00,452286383.00,0.00,0.00,2419960.00,1588326.00,28655949.27,0.00,4636925.15,10607372.49,0.00,500194915.91,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02047,Port-Daniel--Gascons,M,2236,1.05,92338155.00,13107675.00,5026875.00,199102155.00,3112305.00,8571045.00,321258210.00,0.00,0.00,8295.00,416430.00,0.00,0.00,2529652.13,14789.78,0.00,324227376.90,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
03005,Gaspé,V,15179,1.00,794368510.00,134277100.00,93385400.00,158159560.00,4600700.00,64886000.00,1249677270.00,0.00,0.00,12562100.00,22436090.00,47837309.00,30952857.00,8441790.50,27615087.50,0.00,1399522504.00,03,10 000 @ 24 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03010,Cloridorme,CT,626,0.96,25878720.00,880992.00,1553376.00,2804448.00,49824.00,1698144.00,32865504.00,0.00,0.00,190656.00,55392.00,0.00,0.00,843585.60,0.00,0.00,33955137.60,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03015,Petite-Vallée,M,174,0.95,7915875.00,0.00,1379210.00,584630.00,215555.00,892050.00,10987320.00,0.00,0.00,0.00,25555.00,0.00,0.00,0.00,0.00,0.00,11012875.00,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03020,Grande-Vallée,M,1060,1.00,54249400.00,6682500.00,5785500.00,7777000.00,332700.00,2648200.00,77475300.00,0.00,0.00,0.00,139500.00,1502325.50,0.00,1349133.50,3242596.50,0.00,83708855.50,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03025,Murdochville,V,594,0.96,9754656.00,2037312.00,2004288.00,3555360.00,0.00,273696.00,17625312.00,0.00,0.00,0.00,57696.00,312555.36,0.00,0.00,339012.96,0.00,18334576.32,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,277,1.14,14998866.00,934914.00,8065728.00,2505720.00,317262.00,2183556.00,29006046.00,0.00,0.00,128250.00,24510.00,0.00,0.00,0.00,0.00,0.00,29158806.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
