"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0710","RFU0750","RFU0755","RFU0760","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
1023,"Les Îles-de-la-Madeleine","M",12467,"1.23","820930782.00","122571345.00","46856727.00","166768812.00","19307925.00","54888504.00","1231324095.00","0.00","1231324095.00","0.00","0.00","4422711.00","0.00","11943054.00","7579014.00","54473372.85","5216705.52","10815212.27","17398247.30","0.00","1343172411.93",3,"10 000 @ 24 999","AR011","Hors MRC - Les Îles de la Madeleine",,,11,"Gaspésie--Îles-de-la-Madeleine"
1042,"Grosse-Île","M",474,"1.23","24529029.00","1446234.00","1460502.00","13297653.00","0.00","1335288.00","42068706.00","0.00","42068706.00","0.00","0.00","0.00","0.00","0.00","702822.00","691479.56","0.00","1034848.82","649122.05","0.00","45146978.42",1,"1 @ 1 999","AR011","Hors MRC - Les Îles de la Madeleine",,,11,"Gaspésie--Îles-de-la-Madeleine"
2005,"Percé","V",3069,"1.00","162313000.00","16184500.00","17183300.00","37379700.00","5181500.00","19572900.00","257814900.00","0.00","257814900.00","0.00","0.00","0.00","0.00","13835300.00","560400.00","0.00","546039.00","4280776.50","21736.00","0.00","277059151.50",2,"2 000 @ 9 999","AR020","Le Rocher-Percé",,,11,"Gaspésie--Îles-de-la-Madeleine"
2010,"Sainte-Thérèse-de-Gaspé","M",1013,"1.02","40011336.00","4760442.00","4458012.00","11193786.00","342924.00","1655256.00","62421756.00","0.00","62421756.00","0.00","0.00","0.00","0.00","52530.00","56508.00","0.00","0.00","942474.39","0.00","0.00","63473268.39",1,"1 @ 1 999","AR020","Le Rocher-Percé",,,11,"Gaspésie--Îles-de-la-Madeleine"
2015,"Grande-Rivière","V",3451,"1.11","135147495.00","33746775.00","9920181.00","32536986.00","501498.00","4312572.00","216165507.00","0.00","216165507.00","0.00","0.00","0.00","0.00","687312.00","1054500.00","563801.75","8059616.76","2748568.68","10141418.43","0.00","239420724.62",2,"2 000 @ 9 999","AR020","Le Rocher-Percé",,,11,"Gaspésie--Îles-de-la-Madeleine"
2028,"Chandler","V",7423,"1.00","325595600.00","55259900.00","26325100.00","76192400.00","1090600.00","13024400.00","497488000.00","0.00","497488000.00","0.00","0.00","0.00","0.00","2303800.00","1623600.00","33976858.50","0.00","5139992.00","11462022.00","0.00","551994272.50",2,"2 000 @ 9 999","AR020","Le Rocher-Percé",,,11,"Gaspésie--Îles-de-la-Madeleine"
2047,"Port-Daniel--Gascons","M",2267,"1.15","103964370.00","14790380.00","5779900.00","232151650.00","3428725.00","9422065.00","369537090.00","0.00","369537090.00","0.00","0.00","0.00","0.00","31395.00","454595.00","0.00","0.00","4253417.03","15622.75","0.00","374292119.78",2,"2 000 @ 9 999","AR020","Le Rocher-Percé",,,11,"Gaspésie--Îles-de-la-Madeleine"
3005,"Gaspé","V",15151,"1.05","870127545.00","146353830.00","103763205.00","193347682.50","5832645.00","67848585.00","1387273492.50","0.00","1387273492.50","0.00","0.00","0.00","0.00","13943370.00","28363335.00","54664359.75","37054310.48","10838427.60","30471516.08","0.00","1562608811.40",3,"10 000 @ 24 999","AR030","La Côte-de-Gaspé",,,11,"Gaspésie--Îles-de-la-Madeleine"
3010,"Cloridorme","CT",614,"1.02","27329880.00","850068.00","1673106.00","3392316.00","93330.00","1841100.00","35179800.00","0.00","35179800.00","0.00","0.00","0.00","0.00","197472.00","68442.00","0.00","0.00","1042169.70","0.00","0.00","36487883.70",1,"1 @ 1 999","AR030","La Côte-de-Gaspé",,,11,"Gaspésie--Îles-de-la-Madeleine"
3015,"Petite-Vallée","M",166,"1.01","9542581.00","134330.00","1513990.00","1248360.00","206444.00","992426.00","13638131.00","0.00","13638131.00","0.00","0.00","0.00","0.00","0.00","24543.00","0.00","0.00","0.00","0.00","0.00","13662674.00",1,"1 @ 1 999","AR030","La Côte-de-Gaspé",,,11,"Gaspésie--Îles-de-la-Madeleine"
3020,"Grande-Vallée","M",1068,"1.01","64209942.00","7938600.00","6005662.00","8753266.00","179982.00","2836484.00","89923936.00","0.00","89923936.00","0.00","0.00","0.00","0.00","0.00","144127.00","1458972.78","0.00","1564465.76","3532107.87","0.00","96623609.40",1,"1 @ 1 999","AR030","La Côte-de-Gaspé",,,11,"Gaspésie--Îles-de-la-Madeleine"
3025,"Murdochville","V",621,"0.99","11340450.00","2226015.00","2205621.00","3919707.00","0.00","405999.00","20097792.00","0.00","20097792.00","0.00","0.00","0.00","0.00","0.00","59796.00","329935.32","0.00","0.00","394767.95","0.00","20882291.27",1,"1 @ 1 999","AR030","La Côte-de-Gaspé",,,11,"Gaspésie--Îles-de-la-Madeleine"
4005,"Sainte-Madeleine-de-la-Rivière-Madeleine","M",299,"1.00","13875300.00","872500.00","9005300.00","2521800.00","326800.00","2533700.00","29135400.00","0.00","29135400.00","0.00","0.00","0.00","0.00","112000.00","29900.00","0.00","0.00","0.00","0.00","0.00","29277300.00",1,"1 @ 1 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4010,"Saint-Maxime-du-Mont-Louis","M",1113,"1.00","43178300.00","4264000.00","6567200.00","6338000.00","547300.00","3910200.00","64805000.00","0.00","64805000.00","0.00","0.00","0.00","0.00","2598700.00","241900.00","0.00","0.00","858500.50","3352277.50","0.00","71856378.00",1,"1 @ 1 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4015,"Mont-Saint-Pierre","VL",170,"1.00","9496200.00","740000.00","1396700.00","2568300.00","152000.00","762100.00","15115300.00","0.00","15115300.00","0.00","0.00","0.00","0.00","27900.00","41000.00","0.00","0.00","0.00","0.00","0.00","15184200.00",1,"1 @ 1 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4020,"Rivière-à-Claude","M",148,"1.00","6394400.00","354500.00","1926100.00","393700.00","95800.00","1689700.00","10854200.00","0.00","10854200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10854200.00",1,"1 @ 1 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4025,"Marsoui","VL",277,"1.06","9580280.00","344606.00","1364962.00","1976794.00","58088.00","757582.00","14082312.00","0.00","14082312.00","0.00","0.00","0.00","0.00","0.00","33072.00","0.00","0.00","896292.54","0.00","0.00","15011676.54",1,"1 @ 1 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4030,"La Martre","M",218,"1.00","9523800.00","360900.00","2953800.00","754000.00","399500.00","2268200.00","16260200.00","0.00","16260200.00","0.00","0.00","0.00","0.00","0.00","41200.00","0.00","0.00","0.00","0.00","0.00","16301400.00",1,"1 @ 1 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4037,"Sainte-Anne-des-Monts","V",6333,"1.00","278137500.00","59670300.00","28770000.00","66205400.00","2668000.00","10582300.00","446033500.00","0.00","446033500.00","0.00","0.00","0.00","0.00","3718500.00","1133900.00","34413723.50","0.00","1993277.00","16717272.00","0.00","504010172.50",2,"2 000 @ 9 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
4047,"Cap-Chat","V",2388,"1.01","95468937.00","18046983.00","14567432.00","25533911.00","6160798.00","2658219.00","162436280.00","0.00","162436280.00","0.00","0.00","0.00","0.00","5757.00","38582.00","5604691.50","0.00","1055927.73","3142941.23","0.00","172284179.46",2,"2 000 @ 9 999","AR040","La Haute-Gaspésie",,,11,"Gaspésie--Îles-de-la-Madeleine"
5010,"Shigawake","M",284,"0.98","13449618.00","566636.00","790468.00","782922.00","1774584.00","2665698.00","20029926.00","0.00","20029926.00","0.00","0.00","0.00","0.00","0.00","59094.00","0.00","0.00","0.00","7217.21","0.00","20096237.21",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5015,"Saint-Godefroi","CT",334,"1.00","17372000.00","1550700.00","637000.00","1821800.00","917300.00","1821600.00","24120400.00","0.00","24120400.00","0.00","0.00","0.00","0.00","0.00","56300.00","0.00","0.00","0.00","0.00","0.00","24176700.00",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5020,"Hope Town","M",392,"1.06","19906164.00","1197588.00","1761296.00","1801894.00","1083744.00","4177142.00","29927828.00","0.00","29927828.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2501.07","0.00","29930329.07",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5025,"Hope","CT",606,"1.00","30259800.00","2239600.00","1925400.00","1674300.00","750300.00","4387800.00","41237200.00","0.00","41237200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1716.00","0.00","41238916.00",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5032,"Paspébiac","V",3169,"1.04","164621808.00","21510424.00","10716992.00","26769922.40","2432872.00","9754160.00","235806178.40","0.00","235806178.40","0.00","0.00","0.00","0.00","91624.00","399880.00","3887986.96","0.00","1019252.52","10751861.12","0.00","251956783.00",2,"2 000 @ 9 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5040,"New Carlisle","M",1425,"1.00","66522900.00","5840900.00","6483500.00","4544900.00","496700.00","6590800.00","90479700.00","0.00","90479700.00","0.00","0.00","0.00","0.00","12937000.00","231200.00","4888747.50","0.00","0.00","5116111.00","0.00","113652758.50",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5045,"Bonaventure","V",2745,"1.03","155827773.00","27080348.00","22002345.00","35880709.20","11395817.00","11382015.00","263569007.20","0.00","263569007.20","0.00","0.00","747574.00","0.00","2608887.00","41406.00","1979698.11","0.00","2064784.87","13266483.95","0.00","284277841.12",2,"2 000 @ 9 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
5050,"Saint-Elzéar","M",467,"1.09","16938491.00","777279.00","6138117.00","2134983.00","718855.00","5179789.00","31887514.00","0.00","31887514.00","0.00","0.00","0.00","0.00","0.00","64746.00","344104.28","0.00","410561.58","0.00","0.00","32706925.86",1,"1 @ 1 999","AR050","Bonaventure",,,11,"Gaspésie--Îles-de-la-Madeleine"
