"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
01023,Les Îles-de-la-Madeleine,M,12320,1.11,724692804.00,107362419.00,42456168.00,142478157.00,16248624.00,49683156.00,1082921328.00,3950823.00,0.00,10694406.00,6861576.00,49118002.83,4707758.64,9760069.61,15700857.32,0.00,1183714821.39,03,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
01042,Grosse-Île,M,470,1.11,21386037.00,1290042.00,1159395.00,12085458.00,0.00,1230990.00,37151922.00,0.00,0.00,0.00,725718.00,256810.71,0.00,933887.96,585793.07,0.00,39654131.73,01,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
02005,Percé,V,3038,1.20,166277280.00,15976320.00,17547720.00,38304720.00,4169640.00,16610760.00,258886440.00,0.00,0.00,14668200.00,515400.00,0.00,613064.40,2531614.80,16902.60,0.00,277231621.80,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02010,Sainte-Thérèse-de-Gaspé,M,1015,1.00,38477400.00,4636800.00,4205800.00,9561000.00,336200.00,1591000.00,58808200.00,0.00,0.00,24900.00,55400.00,0.00,0.00,923994.50,0.00,0.00,59812494.50,01,1 @ 1 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02015,Grande-Rivière,V,3423,1.09,129381038.00,33034848.00,9660016.00,26075743.00,492462.00,4665200.00,203309307.00,0.00,0.00,7027557.00,1018278.00,553643.16,6949322.25,2558216.38,8820605.37,0.00,230236929.15,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02028,Chandler,V,7350,1.09,321455824.00,54424463.00,26413752.00,73535106.00,1098284.00,13382148.00,490309577.00,0.00,0.00,2503403.00,1714134.00,30925727.43,0.00,5004206.35,11447560.41,0.00,541904608.19,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02047,Port-Daniel--Gascons,M,2237,1.06,94930526.00,13252438.00,5294382.00,200817424.00,3109086.00,8716486.00,326120342.00,0.00,0.00,8374.00,420396.00,0.00,0.00,2553744.05,14930.63,0.00,329117786.68,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
03005,Gaspé,V,15182,1.00,823166900.00,137508200.00,97691700.00,180882550.00,5306900.00,65794800.00,1310351050.00,0.00,0.00,13307800.00,24671800.00,51973246.00,34576893.00,10000490.50,28770527.50,0.00,1473651807.00,03,10 000 @ 24 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03010,Cloridorme,CT,611,0.99,26614368.00,793980.00,1653399.00,3113847.00,90585.00,1744776.00,34010955.00,0.00,0.00,205524.00,66429.00,0.00,0.00,1011517.65,0.00,0.00,35294425.65,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03015,Petite-Vallée,M,168,1.05,8650635.00,123795.00,1362900.00,896910.00,238245.00,974505.00,12246990.00,0.00,0.00,0.00,28245.00,0.00,0.00,0.00,0.00,0.00,12275235.00,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03020,Grande-Vallée,M,1051,1.12,61206432.00,7772576.00,6489168.00,8946560.00,181440.00,2934960.00,87531136.00,0.00,0.00,0.00,156240.00,1682604.56,0.00,1511029.52,3631708.08,0.00,94512718.16,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03025,Murdochville,V,607,1.03,10370452.00,2039091.00,2245194.00,3950565.00,0.00,278512.00,18883814.00,0.00,0.00,0.00,61903.00,335345.86,0.00,0.00,409171.62,0.00,19690234.48,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,274,1.19,15663018.00,975919.00,8690332.00,2615620.00,331177.00,2293725.00,30569791.00,0.00,0.00,133875.00,25585.00,0.00,0.00,0.00,0.00,0.00,30729251.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04010,Saint-Maxime-du-Mont-Louis,M,1084,1.15,43520370.00,4540315.00,6571445.00,6474960.00,577530.00,3430220.00,65114840.00,0.00,0.00,2583475.00,217580.00,0.00,0.00,909984.08,3143626.20,0.00,71969505.28,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04015,Mont-Saint-Pierre,VL,159,1.16,8512660.00,690200.00,1222756.00,2246456.00,147784.00,691824.00,13511680.00,0.00,0.00,23200.00,24360.00,0.00,0.00,0.00,0.00,0.00,13559240.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04020,Rivière-à-Claude,M,128,1.00,6377200.00,329500.00,1615400.00,306200.00,103300.00,1158000.00,9889600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9889600.00,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
04025,Marsoui,VL,272,0.99,8746452.00,463815.00,1356597.00,1659042.00,54252.00,756657.00,13036815.00,0.00,0.00,0.00,30888.00,0.00,0.00,837103.41,0.00,0.00,13904806.41,01,1 @ 1 999,AR040,La Haute-Gaspésie,,,11,Gaspésie--Îles-de-la-Madeleine
