poste,description
RFU0100,Évaluation imposable uniformisée des résidences d'un logement
RFU0200,Évaluation imposable uniformisée des immeubles à logements et condo.
RFU0300,Évaluation imposable uniformisée autres immeubles résidentiels
RFU0400,Évaluation imposable uniformisée industrielle et commerciale
RFU0500,Évaluation imposable uniformisée agricole
RFU0600,Évaluation imposable uniformisée autre
RFU0700,Évaluation uniformisée des immeubles imposables
RFU0710,Évaluation uniformisée des exploitations agricoles enregistrées exemptes de certaines taxes
RFU0750,Évaluation uniformisée des immeubles imposables nette des exploitations agricoles enregistrées exemptes de certaines taxes
RFU0755,Taux de compensation du programme d'aide financière en lien avec une exploitation agricole
RFU0760,Évaluation uniformisée compensée des exploitations agricoles enregistrées exemptes de certaines taxes
RFU0800,"Évaluation uniformisée immeubles visés à l'article 208, alinéa 1"
RFU0900,"Évaluation uniformisée immeubles visés à l'article 210, alinéa 2"
RFU1000,Évaluation uniformisée immeubles du gouvernement du Québec
RFU1100,Évaluation uniformisée immeubles du gouvernement fédéral
RFU1150,Évaluation uniformisée immeubles de la Société québécoise des infrastructures
RFU1300,Évaluation uniformisée immeubles des réseaux de la santé et des services sociaux
RFU1350,"Évaluation uniformisée Place des Arts, ENPQ et ITAQ"
RFU1400,Évaluation uniformisée des cégeps et universités
RFU1501,Évaluation uniformisée des écoles primaires
RFU1502,Évaluation uniformisée des autres immeubles scolaires
RFU1600,Évaluation uniformisée article 222
RFU3000,Richesse foncière uniformisée (RFU)
