ID_SEANCE,NOM_SEANCE,TYPE_ASSEMBLEE,DATE_VIDEO,TITRE_VIDEO,DESCRIPTION_VIDEO,DUREE,URL
"CA_2024-06-21_R","Conseil d'agglomération","Ordinaire",2024-06-21T10:07:15,"2024-06-20 17 H 00 - Conseil d'agglomération Montréal",,"1:05:30","https://www.youtube.com/watch?v=XlVmjnJzR9A"
"CA_2024-01-26_R","Conseil d'agglomération","Ordinaire",2024-01-26T12:23:51,"2024-01-25 17 H 00 - Conseil d'agglomération Montréal",,"2:13:46","https://www.youtube.com/watch?v=9GskaxmGHAM"
"CA_2023-11-16_E","Conseil d'agglomération","Extraordinaire",2023-11-16T11:11:48,"2023-11-15 17 H 00 - Conseil d'agglomération extraordinaire Montréal",,"0:30:06","https://www.youtube.com/watch?v=cRc_8vq7sM4"
"CA_2023-06-16_R","Conseil d'agglomération","Ordinaire",2023-06-16T10:15:28,"2023-06-15 17 H 00 - Conseil d'agglomération Montréal","00:00 Ouverture 08:45 Période de questions du public 14:40 Période de questions des membres du conseil 21:15 Ordre du jour ...","0:50:43","https://www.youtube.com/watch?v=9Ie36eZr7dI"
"CA_2023-05-19_R","Conseil d'agglomération","Ordinaire",2023-05-19T09:52:43,"2023-05-18 17 H 00 - Conseil d'agglomération Montréal",,"0:45:20","https://www.youtube.com/watch?v=feIDKXbB5Yk"
"CA_2023-04-21_R","Conseil d'agglomération","Ordinaire",2023-04-21T10:06:28,"2023-04-20 17 H 00 - Conseil d'agglomération Montréal",,"1:07:46","https://www.youtube.com/watch?v=oLXSCxG5Gjg"
"CA_2023-03-23_R","Conseil d'agglomération","Ordinaire",2023-03-23T21:47:10,"2023-03-23 17 H 00 - Conseil d'agglomération Montréal",,"0:28:44","https://www.youtube.com/watch?v=nyid3QhyCio"
"CA_2023-02-23_R","Conseil d'agglomération","Ordinaire",2023-02-23T22:49:05,"2023-02-23 17 H 00 - Conseil d'agglomération Montréal",,"0:21:19","https://www.youtube.com/watch?v=GeqpWb4b3ZQ"
"CA_2023-01-26_R","Conseil d'agglomération","Ordinaire",2023-01-26T23:06:51,"2023-01-26 17 H 00 - Conseil d'agglomération Montréal",,"0:35:10","https://www.youtube.com/watch?v=IYx5yA_ku2k"
"CA_2022-12-22_E","Conseil d'agglomération","Extraordinaire",2022-12-22T15:25:40,"2022-12-22 9 H 30 - Conseil d'agglomération extraordinaire Montréal",,"0:58:01","https://www.youtube.com/watch?v=-S5so1oTwcg"
"CA_2022-11-29_E","Conseil d'agglomération","Extraordinaire",2022-11-29T23:03:45,"2022-11-29 17 H 30 - Conseil d'agglomération extraordinaire Montréal",,"0:23:51","https://www.youtube.com/watch?v=nGWn5EDGBbk"
"CA_2022-11-24_R","Conseil d'agglomération","Ordinaire",2022-11-24T22:26:34,"2022-11-24 17 H 00 - Conseil d'agglomération Montréal",,"0:23:23","https://www.youtube.com/watch?v=zRxCErgyB8M"
"CA_2022-10-27_R","Conseil d'agglomération","Ordinaire",2022-10-27T21:53:24,"2022-10-27 17 H 00 - Conseil d'agglomération Montréal",,"0:48:05","https://www.youtube.com/watch?v=eUOwBKYj7fU"
"CA_2022-09-22_R","Conseil d'agglomération","Ordinaire",2022-09-22T21:47:53,"2022-09-22 17 H 00 - Conseil d'agglomération Montréal",,"0:43:26","https://www.youtube.com/watch?v=6nH2oP9yNGU"
"CA_2022-09-22_R","Conseil d'agglomération","Ordinaire",2022-09-22T21:47:53,"2022-09-22 17 H 00 - Conseil d'agglomération Montréal",,"0:43:26","https://www.youtube.com/watch?v=6nH2oP9yNGU"
"CA_2022-08-25_R","Conseil d'agglomération","Ordinaire",2022-08-25T22:12:56,"2022-08-25 17 H 00 - Conseil d'agglomération Montréal",,"1:06:09","https://www.youtube.com/watch?v=C_SBzSGrxHs"
"CA_2022-06-16_R","Conseil d'agglomération","Ordinaire",2022-06-16T21:47:14,"2022-06-16 17 H 00 - Conseil d'agglomération Montréal",,"0:34:21","https://www.youtube.com/watch?v=HvRU0QtWYl0"
"CA_2022-05-19_R","Conseil d'agglomération","Ordinaire",2022-05-19T21:47:33,"2022-05-19 17 H 00 - Conseil d'agglomération Montréal",,"0:42:58","https://www.youtube.com/watch?v=cQ21DzuEX08"
"CA_2022-04-28_R","Conseil d'agglomération","Ordinaire",2022-04-28T21:54:36,"2022-04-28 17 H 00 - Conseil d'agglomération Montréal",,"0:47:01","https://www.youtube.com/watch?v=i_sBICbrRWw"
"CA_2022-04-22_E","Conseil d'agglomération","Extraordinaire",2022-04-22T15:09:50,"2022-04-22 11 H 00 - Conseil d'agglomération extraordinaire Montréal",,"0:06:46","https://www.youtube.com/watch?v=qkDZjsF2KR0"
"CA_2022-03-24_R","Conseil d'agglomération","Ordinaire",2022-03-24T21:49:11,"2022-03-24 17 H 00 - Conseil d'agglomération Montréal",,"0:42:00","https://www.youtube.com/watch?v=_Tu_wqvSoqE"
"CA_2022-03-18_R","Conseil d'agglomération","Ordinaire",2022-03-18T15:18:49,"2022-03-18 11 H 00 - Conseil d'agglomération Montréal",,"0:06:58","https://www.youtube.com/watch?v=_dLd-MRq0Kc"
"CA_2022-02-24_R","Conseil d'agglomération","Ordinaire",2022-02-24T23:01:03,"2022-02-24 17 H 00 - Conseil d'agglomération Montréal",,"0:53:59","https://www.youtube.com/watch?v=40zGYoEcM20"
"CA_2022-02-18_R","Conseil d'agglomération","Ordinaire",2022-02-18T16:14:16,"2022-02-18 11 H 00 - Conseil d'agglomération Montréal",,"0:03:36","https://www.youtube.com/watch?v=KEJwrGjbbq8"
"CA_2022-01-27_R","Conseil d'agglomération","Ordinaire",2022-01-27T22:45:37,"2022-01-27 17 H 00 - Conseil d'agglomération Montréal",,"0:37:56","https://www.youtube.com/watch?v=JJInX_PfH5E"
"CA_2022-01-21_R","Conseil d'agglomération","Ordinaire",2022-01-21T18:51:02,"2022-01-21 13 H 00 - Conseil d'agglomération Montréal",,"0:44:51","https://www.youtube.com/watch?v=O-VTLTUiULo"
"CA_2022-01-21_R","Conseil d'agglomération","Ordinaire",2022-01-21T16:11:16,"2022-01-21 11 H 00 - Conseil d'agglomération Montréal",,"0:03:16","https://www.youtube.com/watch?v=9wcybO_Oexg"
"CA_2021-12-23_R","Conseil d'agglomération","Ordinaire",2021-12-23T22:45:33,"2021-12- 23 17 H 00 - Conseil d'agglomération Montréal",,"0:37:47","https://www.youtube.com/watch?v=uQWr2777loc"
"CA_2021-12-22_R","Conseil d'agglomération","Ordinaire",2021-12-22T22:50:59,"2021-12-22 17 H 30 - Conseil d'agglomération Montréal",,"0:23:45","https://www.youtube.com/watch?v=t3QLlh9cPYI"
"CA_2021-12-02_R","Conseil d'agglomération","Ordinaire",2021-12-02T22:43:39,"2021-12-02 17 H 00 - Conseil d'agglomération Montréal","(06:03) Ouverture de séance (12:20) 51 – Nomination / Désignation (17:26) 01 – Période de questions du public (20:57) 03 ...","0:45:31","https://www.youtube.com/watch?v=Pa1Xrinlczk"
"CA_2021-09-30_R","Conseil d'agglomération","Ordinaire",2021-09-30T22:02:25,"2021-09- 30 17 H 00 - Conseil d'agglomération Montréal","2021-09- 30 17 H 00 - Conseil d'agglomération Montréal (00:11:30) 00 – Ouverture (00:13:38) 01 – Période de questions du ...","1:01:25","https://www.youtube.com/watch?v=J_D1-UCOn2k"
"CA_2021-08-26_R","Conseil d'agglomération","Ordinaire",2021-08-26T22:13:15,"2021-08-26 17 H 00 - Conseil d'agglomération Montréal","2021-08- 26 17 H 00 - Conseil d'agglomération Montréal.","1:12:41","https://www.youtube.com/watch?v=h49wNemKFy4"
"CA_2021-06-17_R","Conseil d'agglomération","Ordinaire",2021-06-17T22:22:31,"2021-06-17 17 H 00 - Conseil d'agglomération Montréal","2021-06-17 17 H 00 - Conseil d'agglomération Montréal (00:09:24) 00 – Ouverture de la séance (00:11:14) 01 – Période de ...","1:25:36","https://www.youtube.com/watch?v=J81TPp17m0Y"
"CA_2021-06-11_E","Conseil d'agglomération","Extraordinaire",2021-06-11T19:05:59,"2021-06-11 15 H - Conseil d'agglomération extraordinaire","Conseil d'agglomération extraordinaire.","0:09:31","https://www.youtube.com/watch?v=5SbA8K84mKQ"
"CA_2021-05-20_R","Conseil d'agglomération","Ordinaire",2021-05-20T21:34:59,"2021-05-20 17 H 00 - Conseil d'agglomération Montréal",,"0:36:46","https://www.youtube.com/watch?v=Q_fdSiheWhg"
"CA_2021-05-14_E","Conseil d'agglomération","Extraordinaire",2021-05-14T15:13:44,"2021-05-14 11 H - Conseil d'agglomération extraordinaire","Conseil d'agglomération extraordinaire.","0:04:21","https://www.youtube.com/watch?v=4OHkM9pfuK4"
"CA_2021-04-22_R","Conseil d'agglomération","Ordinaire",2021-04-22T21:38:45,"2021-04-22 17 H 00 Conseil d'agglomération Montréal","04-22 17 H 00 Conseil d'agglomération Montréal Chapitres : (00:00:00) 00 – Ouverture de la séance (00:01:16) 01 – Période de ...","0:33:18","https://www.youtube.com/watch?v=AfaSqvTh2Fg"
"CA_2021-04-16_R","Conseil d'agglomération","Ordinaire",2021-04-16T15:14:25,"2021-04-16 11 H 00 - Conseil d'agglomération Montréal","2021-04-16 11 H 00 - Conseil d'agglomération Montréal (00:00:00) Ouverture de la séance (00:01:17) Période de questions du ...","0:10:48","https://www.youtube.com/watch?v=x3flE6IMBfc"
"CA_2021-03-25_R","Conseil d'agglomération","Ordinaire",2021-03-25T21:39:43,"2021-03-25 11 H 00 - Conseil d'agglomération Montréal",,"0:41:50","https://www.youtube.com/watch?v=ggp9l10QYQw"
"CA_2021-03-19_R","Conseil d'agglomération","Ordinaire",2021-03-19T15:07:58,"2021-03-19 11 H 00 - Conseil d'agglomération Montréal",,"0:11:31","https://www.youtube.com/watch?v=GjJjNaXpJJA"
