ID_SEANCE,NOM_SEANCE,TYPE_ASSEMBLEE,DATE_VIDEO,TITRE_VIDEO,DESCRIPTION_VIDEO,DUREE,URL
"CP_2024-10-02_R","Commission Permanente","Ordinaire",2024-10-02T03:37:05,"2024-10-01 9 H 30 - Commission de la sécurité publique","État de situation : sécurité incendie des résidences privées pour aîné·e·s de l'agglomération de Montréal.","1:48:00","https://www.youtube.com/watch?v=bPbNXXUocig"
"CP_2024-09-30_R","Commission Permanente","Ordinaire",2024-09-30T20:07:47,"2024-09-30 13 H 30 - Commission sur la culture, le patrimoine et les sports","Consultation publique sur le projet de Politique de développement culturel 2025-2030.","2:26:26","https://www.youtube.com/watch?v=qwNBBayKgPM"
"CP_2024-09-11_R","Commission Permanente","Ordinaire",2024-09-11T07:45:01,"2024-09-10 14 H 00 - Commission sur le schéma d'aménagement et de développement de Montréal","Modification 7 au schéma d'aménagement et de développement de Montréal.","1:39:21","https://www.youtube.com/watch?v=qNzbMh2mk90"
"CP_2024-09-07_R","Commission Permanente","Ordinaire",2024-09-07T03:22:08,"2024-09-06 9 H 30 - Commission sur le schéma d'aménagement et de développement de Montréal","Modification 6 au schéma d'aménagement et de développement de Montréal.","1:38:20","https://www.youtube.com/watch?v=8v4UbWLurrc"
"CP_2024-06-29_R","Commission Permanente","Ordinaire",2024-06-29T06:56:45,"2024-06-28 14 H 00 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","0:58:11","https://www.youtube.com/watch?v=BaHFJIJp2Ok"
"CP_2024-06-11_R","Commission Permanente","Ordinaire",2024-06-11T07:57:37,"2024-06-10 13 H 00 - Commission de la sécurité publique","Mesures du SPVM pour favoriser l'équité, la diversité et l'inclusion et lutter contre le racisme, les discriminations et les profilages.","2:51:31","https://www.youtube.com/watch?v=7hKO7vA7wGc"
"CP_2024-05-30_R","Commission Permanente","Ordinaire",2024-05-30T08:49:02,"2024-05-29 13 H 00 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:37:11","https://www.youtube.com/watch?v=O8V6qXPRvSc"
"CP_2024-05-30_R","Commission Permanente","Ordinaire",2024-05-30T03:01:41,"2024-05-29 9 H 30 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","1:59:34","https://www.youtube.com/watch?v=apoDg3Uofus"
"CP_2024-05-29_R","Commission Permanente","Ordinaire",2024-05-29T08:49:44,"2024-05-28 13 H 30 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:00:51","https://www.youtube.com/watch?v=K-0pqHv0Hjo"
"CP_2024-05-28_R","Commission Permanente","Ordinaire",2024-05-28T09:24:19,"2024-05-27 13 H 30 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:23:11","https://www.youtube.com/watch?v=6uckmG5JEPQ"
"CP_2024-05-28_R","Commission Permanente","Ordinaire",2024-05-28T05:36:03,"2024-05-27 9 H 00 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:48:56","https://www.youtube.com/watch?v=XN7KoV8F_e0"
"CP_2024-05-16_R","Commission Permanente","Ordinaire",2024-05-16T06:41:12,"2024-05-15 13 H 00 - Commission de la sécurité publique","Rapport des activités 2023 du SIM.","1:34:11","https://www.youtube.com/watch?v=lUk4b4OE0Ls"
"CP_2024-05-07_R","Commission Permanente","Ordinaire",2024-05-07T03:56:36,"2024-05-06 9 H 30 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","2:00:16","https://www.youtube.com/watch?v=yqqTpvXa9oo"
"CP_2024-04-30_R","Commission Permanente","Ordinaire",2024-04-30T03:35:58,"2024-04-29 10 H 00 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","1:29:35","https://www.youtube.com/watch?v=UARviwlEwNA"
"CP_2024-03-22_R","Commission Permanente","Ordinaire",2024-03-22T20:32:25,"2024-03-22 10 H 00 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","6:26:56","https://www.youtube.com/watch?v=0P4-dGhphyI"
"CP_2024-03-21_R","Commission Permanente","Ordinaire",2024-03-21T07:37:19,"2024-03-20 14 H 00 - Commissions sur le transport et les travaux publics","Le chemin de l'école : sécurisation et déplacements actifs.","1:06:15","https://www.youtube.com/watch?v=-VsWwp9lpBk"
"CP_2024-03-15_R","Commission Permanente","Ordinaire",2024-03-15T13:39:43,"2024-03-14 19 H 00 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","2:28:05","https://www.youtube.com/watch?v=I9FhTYUkn68"
"CP_2024-03-12_R","Commission Permanente","Ordinaire",2024-03-12T08:48:25,"2024-03-11 13 H 30 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","3:07:01","https://www.youtube.com/watch?v=gQ8IEcXjb4k"
"CP_2024-02-14_R","Commission Permanente","Ordinaire",2024-02-14T13:58:31,"2024-02-13 18 H - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","2:24:05","https://www.youtube.com/watch?v=9Dg_lsBWeH0"
"CP_2024-02-09_R","Commission Permanente","Ordinaire",2024-02-09T13:35:19,"2024-02-08 18 H 30 - Commission de la sécurité publique","Accompagnement et soutien aux personnes victimes de violence.","2:00:10","https://www.youtube.com/watch?v=c4Fl7nFGHyM"
"CP_2024-02-01_R","Commission Permanente","Ordinaire",2024-02-01T07:23:02,"2024-01-31 13H30-Commission sur l'eau, l'environnement, le développement durable et les grands parcs","Consultation sur l'avenir de l'eau de Montréal.","0:53:10","https://www.youtube.com/watch?v=copAUB2txDQ"
