ID_SEANCE,NOM_SEANCE,TYPE_ASSEMBLEE,DATE_VIDEO,TITRE_VIDEO,DESCRIPTION_VIDEO,DUREE,URL
"CP_2024-09-07_R","Commission Permanente","Ordinaire",2024-09-07T03:22:08,"2024-09-06 9 H 30 - Commission sur le schéma d'aménagement et de développement de Montréal","Modification 6 au schéma d'aménagement et de développement de Montréal.","1:38:20","https://www.youtube.com/watch?v=8v4UbWLurrc"
"CP_2024-06-29_R","Commission Permanente","Ordinaire",2024-06-29T06:56:45,"2024-06-28 14 H 00 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","0:58:11","https://www.youtube.com/watch?v=BaHFJIJp2Ok"
"CP_2024-06-11_R","Commission Permanente","Ordinaire",2024-06-11T07:57:37,"2024-06-10 13 H 00 - Commission de la sécurité publique","Mesures du SPVM pour favoriser l'équité, la diversité et l'inclusion et lutter contre le racisme, les discriminations et les profilages.","2:51:31","https://www.youtube.com/watch?v=7hKO7vA7wGc"
"CP_2024-05-30_R","Commission Permanente","Ordinaire",2024-05-30T08:49:02,"2024-05-29 13 H 00 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:37:11","https://www.youtube.com/watch?v=O8V6qXPRvSc"
"CP_2024-05-28_R","Commission Permanente","Ordinaire",2024-05-28T09:24:19,"2024-05-27 13 H 30 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:23:11","https://www.youtube.com/watch?v=6uckmG5JEPQ"
"CP_2024-05-28_R","Commission Permanente","Ordinaire",2024-05-28T05:36:03,"2024-05-27 9 H 00 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","3:48:56","https://www.youtube.com/watch?v=XN7KoV8F_e0"
"CP_2024-05-07_R","Commission Permanente","Ordinaire",2024-05-07T03:56:36,"2024-05-06 9 H 30 - Commission sur les finances et l'administration","Consultation prébudgétaire 2025.","2:00:16","https://www.youtube.com/watch?v=yqqTpvXa9oo"
"CP_2024-04-30_R","Commission Permanente","Ordinaire",2024-04-30T03:35:58,"2024-04-29 10 H 00 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","1:29:35","https://www.youtube.com/watch?v=UARviwlEwNA"
"CP_2024-03-22_R","Commission Permanente","Ordinaire",2024-03-22T20:32:25,"2024-03-22 10 H 00 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","6:26:56","https://www.youtube.com/watch?v=0P4-dGhphyI"
"CP_2024-03-15_R","Commission Permanente","Ordinaire",2024-03-15T13:39:43,"2024-03-14 19 H 00 - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","2:28:05","https://www.youtube.com/watch?v=I9FhTYUkn68"
"CP_2024-02-14_R","Commission Permanente","Ordinaire",2024-02-14T13:58:31,"2024-02-13 18 H - Commission sur le développement économique et urbain et l'habitation","Politique de la vie nocturne montréalaise.","2:24:05","https://www.youtube.com/watch?v=9Dg_lsBWeH0"
"CP_2024-02-01_R","Commission Permanente","Ordinaire",2024-02-01T07:23:02,"2024-01-31 13H30-Commission sur l'eau, l'environnement, le développement durable et les grands parcs","Consultation sur l'avenir de l'eau de Montréal.","0:53:10","https://www.youtube.com/watch?v=copAUB2txDQ"
"CP_2024-01-18_R","Commission Permanente","Ordinaire",2024-01-18T09:31:23,"2024-01-17 13 H 30 - Commissions sur le transport et les travaux publics","Le chemin de l'école : sécurisation et déplacements actifs.","2:48:50","https://www.youtube.com/watch?v=w21ibm7GeZU"
"CP_2023-12-09_R","Commission Permanente","Ordinaire",2023-12-09T06:58:55,"2023-12-08 13H 00 - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","0:53:46","https://www.youtube.com/watch?v=ttDw2J6TRZs"
"CP_2023-11-29_R","Commission Permanente","Ordinaire",2023-11-29T05:09:53,"2023-11-28 9 H - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","2:41:16","https://www.youtube.com/watch?v=QOzDtcYj2lg"
"CP_2023-11-28_R","Commission Permanente","Ordinaire",2023-11-28T09:18:13,"2023-11-27 13 H 30 - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","2:14:20","https://www.youtube.com/watch?v=_bvRMFc1rBk"
"CP_2023-11-28_R","Commission Permanente","Ordinaire",2023-11-28T06:07:47,"2023-11-27 9H 30 - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","3:29:16","https://www.youtube.com/watch?v=vD7uRgsEv9k"
"CP_2023-11-25_R","Commission Permanente","Ordinaire",2023-11-25T09:58:00,"2023-11-24 13 H 30 - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","3:18:01","https://www.youtube.com/watch?v=z7vG7kTWdy0"
"CP_2023-11-25_R","Commission Permanente","Ordinaire",2023-11-25T06:12:36,"2023-11-24 9 H 30 - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","3:10:10","https://www.youtube.com/watch?v=0jvIktG5ZZk"
"CP_2023-11-24_R","Commission Permanente","Ordinaire",2023-11-24T05:59:45,"2023-11-23 9 H 00 - Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","3:54:15","https://www.youtube.com/watch?v=wxi-6sy_a6I"
"CP_2023-11-22_R","Commission Permanente","Ordinaire",2023-11-22T22:08:43,"2023-11-22 13 H 00-Commission sur les finances et l'administration","Étude publique du budget 2024 et du PDI 2024-2033.","4:01:26","https://www.youtube.com/watch?v=mUnAPoJHC0I"
"CP_2023-11-17_R","Commission Permanente","Ordinaire",2023-11-17T19:50:04,"2023-11-17 9 H 00-Commission sur les finances et l'administration","Gestion financière et administrative de l'Office de consultation publique de Montréal.","5:27:43","https://www.youtube.com/watch?v=rbWNlub6rRA"
"CP_2023-11-11_R","Commission Permanente","Ordinaire",2023-11-11T10:23:28,"2023-11-10 13 H 30-Commission sur le développement économique et urbain et l'habitation","Règlement pour une métropole mixte: Bilan des deux premières années de mise en oeuvre.","3:06:40","https://www.youtube.com/watch?v=P-eS5jTGcO4"
"CP_2023-10-26_R","Commission Permanente","Ordinaire",2023-10-26T13:21:14,"2023-10-25 19 H 00 Commission sur le transport et les travaux publics","Le chemin de l'école : sécurisation et déplacements actifs.","1:51:40","https://www.youtube.com/watch?v=iZFd0VQ7Jn0"
